ENSTGUP00000003207	ENSTGUG00000003110	Taeniopygia_guttata	ENSTGUT00000003239
ENSVVUP00000034131	ENSVVUG00000024659	Vulpes_vulpes
ENSAOWP00000017125	ENSAOWG00000011719	Apteryx_owenii
ENSMMOP00000028718	ENSMMOG00000021664	Mola_mola
ENSMALP00000005347	ENSMALG00000003855	Monopterus_albus
ENSPPRP00000024564	ENSPPRG00000014831	Panthera_pardus
ENSBIXP00005003800	ENSBIXG00005000641	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000013854	ENSOARG00000012934	Ovis_aries
ENSJJAP00000007808	ENSJJAG00000012146	Jaculus_jaculus
ENSPLAP00000007100	ENSPLAG00000009355	Poecilia_latipinna
ENSSSCP00000008228	ENSSSCG00000007704	Sus_scrofa_strain_reference
ENSMLUP00000007635	ENSMLUG00000008380	Myotis_lucifugus
ENSCSEP00000000556	ENSCSEG00000000376	Cynoglossus_semilaevis
ENSEEUP00000004436	ENSEEUG00000004861	Erinaceus_europaeus
ENSPVAP00000011405	ENSPVAG00000012102	Pteropus_vampyrus
ENSPFOP00000005900	ENSPFOG00000006001	Poecilia_formosa
ENSDARP00000063417	ENSDARG00000043209	Danio_rerio
ENSAMEP00000011707	ENSAMEG00000011119	Ailuropoda_melanoleuca
ENSGALP00000001307	ENSGALG00000000891	Gallus_gallus
ENSPPYP00000019595	ENSPPYG00000017479	Pongo_abelii
ENSBSLP00000006811	ENSBSLG00000003371	Betta_splendens
ENSEEEP00000013342	ENSEEEG00000006685	Electrophorus_electricus
ENSSFOP00015007058	ENSSFOG00015004641	Scleropages_formosus
ENSJHYP00000019885	ENSJHYG00000015102	Junco_hyemalis
ENSCAPP00000013342	ENSCAPG00000013989	Cavia_aperea
ENSAOCP00000029229	ENSAOCG00000019331	Amphiprion_ocellaris
ENSODEP00000020512	ENSODEG00000015132	Octodon_degus
ENSHGLP00100004094	ENSHGLG00100003118	Heterocephalus_glaber_HetGla_1.0
ENSCATP00000004320	ENSCATG00000015253	Cercocebus_atys
ENSNLEP00000039892	ENSNLEG00000008648	Nomascus_leucogenys
ENSPMGP00000001080	ENSPMGG00000000744	Periophthalmus_magnuspinnatus
ENSPNYP00000012403	ENSPNYG00000009412	Pundamilia_nyererei
ENSDNOP00000000231	ENSDNOG00000000305	Dasypus_novemcinctus
ENSDNVP00000023825	ENSDNVG00000016556	Dromaius_novaehollandiae
ENSMUGP00000000990	ENSMUGG00000000942	Meriones_unguiculatus
ENSMUNP00000009517	ENSMUNG00000007502	Melopsittacus_undulatus
ENSEBUP00000009639	ENSEBUG00000006181	Eptatretus_burgeri
ENSPMJP00000025755	ENSPMJG00000018842	Parus_major
ENSSTOP00000013467	ENSSTOG00000015023	Ictidomys_tridecemlineatus
ENSMPUP00000015932	ENSMPUG00000016038	Mustela_putorius_furo
ENSPCIP00000031315	ENSPCIG00000023276	Phascolarctos_cinereus
ENSCGOP00000016004	ENSCGOG00000007712	Cottoperca_gobio
ENSSMRP00000010945	ENSSMRG00000008641	Salvator_merianae
ENSCHIP00000009108	ENSCHIG00000012082	Capra_hircus
ENSETEP00000000757	ENSETEG00000000934	Echinops_telfairi
ENSCMIP00000026892	ENSCMIG00000011734	Callorhinchus_milii
ENSPSIP00000008574	ENSPSIG00000007787	Pelodiscus_sinensis
ENSPEMP00000009025	ENSPEMG00000010466	Peromyscus_maniculatus_bairdii
ENSBTAP00000059417	ENSBTAG00000054515	Bos_taurus
ENSSLDP00000029881	ENSSLDG00000023045	Seriola_lalandi_dorsalis
ENSFALP00000014300	ENSFALG00000013697	Ficedula_albicollis
ENSCPOP00000017105	ENSCPOG00000023149	Cavia_porcellus
ENSVPAP00000006793	ENSVPAG00000007305	Vicugna_pacos
ENSPVIP00000016880	ENSPVIG00000013020	Pogona_vitticeps
ENSCCNP00000014913	ENSCCNG00000015369	Castor_canadensis
ENSMNEP00000017570	ENSMNEG00000032761	Macaca_nemestrina
ENSCINP00000034919	ENSCING00000023888	Ciona_intestinalis
ENSONIP00000002393	ENSONIG00000001912	Oreochromis_niloticus
ENSPTEP00000016417	ENSPTEG00000018055	Piliocolobus_tephrosceles
ENSOANP00000022699	ENSOANG00000014405	Ornithorhynchus_anatinus
ENSRBIP00000013909	ENSRBIG00000031049	Rhinopithecus_bieti
ENSPNAP00000009059	ENSPNAG00000005627	Pygocentrus_nattereri
ENSGGOP00000015357	ENSGGOG00000011730	Gorilla_gorilla
ENSPTIP00000014005	ENSPTIG00000013561	Panthera_tigris_altaica
ENSPPYP00000019625	ENSPPYG00000017508	Pongo_abelii
ENSECRP00000019500	ENSECRG00000013037	Erpetoichthys_calabaricus
MGP_PahariEiJ_P0059542	MGP_PahariEiJ_G0024415	Mus_pahari_strain_PAHARI_EIJ
ENSZALP00000004271	ENSZALG00000004041	Zonotrichia_albicollis
ENSHCOP00000001673	ENSHCOG00000002678	Hippocampus_comes
ENSMODP00000017194	ENSMODG00000013753	Monodelphis_domestica
ENSECAP00000009980	ENSECAG00000012138	Equus_caballus
ENSELUP00000013922	ENSELUG00000013971	Esox_lucius
YNL022C_mRNA	YNL022C	Saccharomyces_cerevisiae_strain_S288C
ENSAPOP00000013994	ENSAPOG00000016848	Acanthochromis_polyacanthus
MGP_SPRETEiJ_P0074061	MGP_SPRETEiJ_G0028834	Mus_spretus_strain_SPRET/EiJ
ENSCSAP00000014177	ENSCSAG00000018161	Chlorocebus_sabaeus
ENSPSMP00000029368	ENSPSMG00000020405	Prolemur_simus
ENSFCAP00000011744	ENSFCAG00000012667	Felis_catus
ENSORLP00000004331	ENSORLG00000003480	Oryzias_latipes_ASM223467v1
ENSPCAP00000010078	ENSPCAG00000010802	Procavia_capensis
Y53F4B.4b.2	WBGene00013151	Caenorhabditis_elegans_strain_N2	Y53F4B.4b.2
ENSNSUP00000007401	ENSNSUG00000005815	Notechis_scutatus
ENSDCDP00000058922	ENSDCDG00000034124	Denticeps_clupeoides
ENSACAP00000000181	ENSACAG00000000193	Anolis_carolinensis
ENSCABP00000005985	ENSCABG00000004504	Chelonoidis_abingdonii
ENSBTAP00000037133	ENSBTAG00000017941	Bos_taurus
ENSSCAP00000005000	ENSSCAG00000004020	Serinus_canaria
ENSOANP00000030373	ENSOANG00000028972	Ornithorhynchus_anatinus
ENSAHAP00000017071	ENSAHAG00000012175	Apteryx_haastii
ENSTSYP00000019461	ENSTSYG00000036549	Carlito_syrichta
ENSPTRP00000089750	ENSPTRG00000042795	Pan_troglodytes
ENSGAGP00000023258	ENSGAGG00000017057	Gopherus_agassizii
ENSACIP00000001382	ENSACIG00000001153	Amphilophus_citrinellus
ENSMOCP00000024689	ENSMOCG00000021028	Microtus_ochrogaster
ENSTBEP00000002025	ENSTBEG00000002356	Tupaia_belangeri
ENSCPUP00000016510	ENSCPUG00000011416	Calidris_pugnax
ENSLCOP00000020985	ENSLCOG00000014852	Lepidothrix_coronata
ENSCGRP00015006197	ENSCGRG00015004808	Cricetulus_griseus_CriGri-PICR
ENSORLP00020016587	ENSORLG00020017611	Oryzias_latipes_ASM223471v1
ENSOMEP00000005126	ENSOMEG00000006110	Oryzias_melastigma
ENSMUSP00000000940	ENSMUSG00000000916	Mus_musculus_strain_reference_(CL57BL6)
ENSBMUP00000010236	ENSBMUG00000007901	Bos_mutus
ENSTNIP00000014978	ENSTNIG00000012017	Tetraodon_nigroviridis
ENSPTRP00000075417	ENSPTRG00000045195	Pan_troglodytes
ENSTRUP00000045497	ENSTRUG00000017748	Takifugu_rubripes
MGP_CAROLIEiJ_P0071325	MGP_CAROLIEiJ_G0027835	Mus_caroli_strain_CAROLI_EIJ
ENSCHOP00000012140	ENSCHOG00000013725	Choloepus_hoffmanni
ENSXMAP00000019262	ENSXMAG00000019220	Xiphophorus_maculatus
ENSCJAP00000031225	ENSCJAG00000016968	Callithrix_jacchus
ENSCCAP00000006601	ENSCCAG00000021042	Cebus_capucinus_imitator
ENSHHUP00000001975	ENSHHUG00000001185	Hucho_hucho
ENSSHAP00000017871	ENSSHAG00000015172	Sarcophilus_harrisii
ENSCAFP00020015608	ENSCAFG00020012547	Canis_lupus_dingo
ENSANAP00000022630	ENSANAG00000029059	Aotus_nancymaae
ENSNGAP00000013651	ENSNGAG00000015157	Nannospalax_galili
ENSCGRP00001004858	ENSCGRG00001006270	Cricetulus_griseus_CHOK1GS_HDv1
ENSSDAP00000019733	ENSSDAG00000017969	Spermophilus_dauricus
