FBpp0087092	FBgn0033686	Drosophila_melanogaster	FBtr0087984
C02F5.6b.1	WBGene00015349	Caenorhabditis_elegans_strain_N2
ENSMMMP00000023010	ENSMMMG00000020160	Marmota_marmota_marmota
ENSSTOP00000020431	ENSSTOG00000023211	Ictidomys_tridecemlineatus
ENSUPAP00010019013	ENSUPAG00010015066	Urocitellus_parryii
ENSPTRP00000089637	ENSPTRG00000001031	Pan_troglodytes
ENSPPAP00000008161	ENSPPAG00000027321	Pan_paniscus
ENSP00000359049	ENSG00000162639	Homo_sapiens
ENSGGOP00000004355	ENSGGOG00000004437	Gorilla_gorilla
ENSPPYP00000001267	ENSPPYG00000001093	Pongo_abelii
ENSNLEP00000041271	ENSNLEG00000001592	Nomascus_leucogenys
ENSRBIP00000037152	ENSRBIG00000042162	Rhinopithecus_bieti
ENSRROP00000024448	ENSRROG00000036022	Rhinopithecus_roxellana
ENSPTEP00000007915	ENSPTEG00000008988	Piliocolobus_tephrosceles
ENSCANP00000010781	ENSCANG00000028786	Colobus_angolensis_palliatus
ENSMFAP00000035591	ENSMFAG00000002745	Macaca_fascicularis
ENSMNEP00000012286	ENSMNEG00000030437	Macaca_nemestrina
ENSMMUP00000078588	ENSMMUG00000009431	Macaca_mulatta
ENSTGEP00000000313	ENSTGEG00000000354	Theropithecus_gelada
ENSPANP00000040711	ENSPANG00000013358	Papio_anubis
ENSCATP00000034939	ENSCATG00000040366	Cercocebus_atys
ENSMLEP00000024472	ENSMLEG00000036385	Mandrillus_leucophaeus
ENSCSAP00000016498	ENSCSAG00000001530	Chlorocebus_sabaeus
ENSCCAP00000029045	ENSCCAG00000032536	Cebus_capucinus_imitator
ENSCJAP00000004557	ENSCJAG00000002494	Callithrix_jacchus
ENSSBOP00000002373	ENSSBOG00000012352	Saimiri_boliviensis_boliviensis
ENSANAP00000016388	ENSANAG00000026048	Aotus_nancymaae
ENSTSYP00000028856	ENSTSYG00000005876	Carlito_syrichta
ENSTBEP00000005959	ENSTBEG00000006906	Tupaia_belangeri
ENSTBEP00000001085	ENSTBEG00000001279	Tupaia_belangeri
ENSOCUP00000018183	ENSOCUG00000022347	Oryctolagus_cuniculus
ENSLAFP00000005301	ENSLAFG00000006316	Loxodonta_africana
ENSETEP00000000718	ENSETEG00000000886	Echinops_telfairi
ENSOANP00000026679	ENSOANG00000020963	Ornithorhynchus_anatinus
ENSPVIP00000008910	ENSPVIG00000007143	Pogona_vitticeps
ENSACAP00000005584	ENSACAG00000005696	Anolis_carolinensis
ENSNSUP00000008458	ENSNSUG00000006551	Notechis_scutatus
ENSSMRP00000018728	ENSSMRG00000014577	Salvator_merianae
ENSSPUP00000023104	ENSSPUG00000017733	Sphenodon_punctatus
ENSMGAP00000006165	ENSMGAG00000006172	Meleagris_gallopavo
ENSGALP00000003026	ENSGALG00000001959	Gallus_gallus
ENSCJPP00005027175	ENSCJPG00005021085	Coturnix_japonica
ENSNMEP00000023561	ENSNMEG00000020088	Numida_meleagris
ENSABRP00000013023	ENSABRG00000011630	Anser_brachyrhynchus
ENSAPLP00000019154	ENSAPLG00000025057	Anas_platyrhynchos_platyrhynchos
ENSPMJP00000026406	ENSPMJG00000019294	Parus_major
ENSCCEP00000000373	ENSCCEG00000000522	Cyanistes_caeruleus
ENSFALP00000002781	ENSFALG00000002668	Ficedula_albicollis
ENSZALP00000019244	ENSZALG00000015282	Zonotrichia_albicollis
ENSJHYP00000022108	ENSJHYG00000016675	Junco_hyemalis
ENSSCAP00000016240	ENSSCAG00000011887	Serinus_canaria
ENSTGUP00000004729	ENSTGUG00000004598	Taeniopygia_guttata
ENSLSDP00000003595	ENSLSDG00000002713	Lonchura_striata_domestica
ENSMVIP00005022723	ENSMVIG00005015953	Manacus_vitellinus
ENSLCOP00000018291	ENSLCOG00000012927	Lepidothrix_coronata
ENSMUNP00000002253	ENSMUNG00000001987	Melopsittacus_undulatus
ENSCPUP00000002066	ENSCPUG00000001585	Calidris_pugnax
ENSCPGP00000003868	ENSCPGG00000002872	Calidris_pygmaea
ENSAHAP00000021404	ENSAHAG00000015006	Apteryx_haastii
ENSARWP00000027812	ENSARWG00000018791	Apteryx_rowi
ENSAOWP00000005375	ENSAOWG00000003708	Apteryx_owenii
ENSDNVP00000010613	ENSDNVG00000007490	Dromaius_novaehollandiae
ENSNPEP00000007342	ENSNPEG00000005407	Nothoprocta_perdicaria
ENSCPRP00005025523	ENSCPRG00005017696	Crocodylus_porosus
ENSGAGP00000001937	ENSGAGG00000001556	Gopherus_agassizii
ENSCABP00000011996	ENSCABG00000008963	Chelonoidis_abingdonii
ENSCPBP00000041243	ENSCPBG00000028300	Chrysemys_picta_bellii
ENSPSIP00000005300	ENSPSIG00000004937	Pelodiscus_sinensis
ENSXETP00000013131	ENSXETG00000013373	Xenopus_tropicalis
ENSLACP00000017710	ENSLACG00000015598	Latimeria_chalumnae
ENSHHUP00000011713	ENSHHUG00000007146	Hucho_hucho
ENSELUP00000024745	ENSELUG00000023477	Esox_lucius
ENSCSEP00000030325	ENSCSEG00000019425	Cynoglossus_semilaevis
ENSGWIP00000025077	ENSGWIG00000013272	Gouania_willdenowi
ENSSDUP00000021861	ENSSDUG00000015914	Seriola_dumerili
ENSSLDP00000024277	ENSSLDG00000018890	Seriola_lalandi_dorsalis
ENSLCAP00010046270	ENSLCAG00010021463	Lates_calcarifer
ENSSMAP00000032439	ENSSMAG00000019889	Scophthalmus_maximus
ENSMALP00000028131	ENSMALG00000019499	Monopterus_albus
ENSATEP00000032157	ENSATEG00000022128	Anabas_testudineus
ENSAOCP00000013143	ENSAOCG00000017675	Amphiprion_ocellaris
ENSAPEP00000019907	ENSAPEG00000014209	Amphiprion_percula
ENSAOCP00000002718	ENSAOCG00000005875	Amphiprion_ocellaris
ENSAPOP00000028268	ENSAPOG00000013450	Acanthochromis_polyacanthus
ENSSPAP00000014371	ENSSPAG00000010827	Stegastes_partitus
ENSPRNP00000037491	ENSPRNG00000018679	Parambassis_ranga
ENSMZEP00005025272	ENSMZEG00005018860	Maylandia_zebra
ENSACLP00000039265	ENSACLG00000026501	Astatotilapia_calliptera
ENSHBUP00000002874	ENSHBUG00000004089	Haplochromis_burtoni
ENSPNYP00000019336	ENSPNYG00000014586	Pundamilia_nyererei
ENSNBRP00000027059	ENSNBRG00000020636	Neolamprologus_brichardi
ENSONIP00000010518	ENSONIG00000008365	Oreochromis_niloticus
ENSACIP00000021192	ENSACIG00000016443	Amphilophus_citrinellus
ENSLCRP00005050933	ENSLCRG00005019216	Larimichthys_crocea
ENSFHEP00000022629	ENSFHEG00000003127	Fundulus_heteroclitus
ENSCVAP00000026480	ENSCVAG00000012108	Cyprinodon_variegatus
ENSXMAP00000000552	ENSXMAG00000000555	Xiphophorus_maculatus
ENSGAFP00000015381	ENSGAFG00000010390	Gambusia_affinis
ENSPFOP00000019348	ENSPFOG00000019232	Poecilia_formosa
ENSPLAP00000000107	ENSPLAG00000000865	Poecilia_latipinna
ENSPMEP00000027860	ENSPMEG00000012549	Poecilia_mexicana
ENSPREP00000033300	ENSPREG00000022562	Poecilia_reticulata
ENSKMAP00000012401	ENSKMAG00000009299	Kryptolebias_marmoratus
ENSORLP00000014262	ENSORLG00000011389	Oryzias_latipes_ASM223467v1
ENSORLP00020024651	ENSORLG00020006153	Oryzias_latipes_ASM223471v1
ENSORLP00015003192	ENSORLG00015003924	Oryzias_latipes_ASM223469v1
ENSOMEP00000028125	ENSOMEG00000010988	Oryzias_melastigma
ENSBSLP00000002708	ENSBSLG00000001541	Betta_splendens
ENSTRUP00000046766	ENSTRUG00000018279	Takifugu_rubripes
ENSTNIP00000005899	ENSTNIG00000003313	Tetraodon_nigroviridis
ENSMMOP00000001936	ENSMMOG00000001626	Mola_mola
ENSCGOP00000019213	ENSCGOG00000009212	Cottoperca_gobio
ENSLBEP00000026323	ENSLBEG00000020059	Labrus_bergylta
ENSMAMP00000018036	ENSMAMG00000012144	Mastacembelus_armatus
ENSGACP00000008513	ENSGACG00000006440	Gasterosteus_aculeatus
ENSPMGP00000004263	ENSPMGG00000003635	Periophthalmus_magnuspinnatus
ENSHCOP00000013891	ENSHCOG00000017115	Hippocampus_comes
ENSGMOP00000009283	ENSGMOG00000008674	Gadus_morhua
ENSEEEP00000004546	ENSEEEG00000002337	Electrophorus_electricus
ENSIPUP00000030594	ENSIPUG00000020668	Ictalurus_punctatus
ENSAMXP00000010646	ENSAMXG00000010360	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005023715	ENSAMXG00005012167	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000023781	ENSPNAG00000008262	Pygocentrus_nattereri
ENSDARP00000004251	ENSDARG00000018871	Danio_rerio
ENSCHAP00000043485	ENSCHAG00000020231	Clupea_harengus
ENSSFOP00015006739	ENSSFOG00015004456	Scleropages_formosus
ENSPKIP00000019824	ENSPKIG00000004845	Paramormyrops_kingsleyae
ENSLOCP00000009577	ENSLOCG00000007885	Lepisosteus_oculatus
ENSECRP00000019346	ENSECRG00000012938	Erpetoichthys_calabaricus
ENSCMIP00000022111	ENSCMIG00000010027	Callorhinchus_milii
ENSPMAP00000004065	ENSPMAG00000003728	Petromyzon_marinus
ENSCSAVP00000010138	ENSCSAVG00000005976	Ciona_savignyi
ENSCINP00000021708	ENSCING00000011337	Ciona_intestinalis
