MGP_CAROLIEiJ_P0031518	MGP_CAROLIEiJ_G0017515	Mus_caroli_strain_CAROLI_EIJ
ENSGMOP00000001118	ENSGMOG00000001069	Gadus_morhua
ENSPTRP00000068574	ENSPTRG00000009764	Pan_troglodytes
ENSXETP00000000790	ENSXETG00000002734	Xenopus_tropicalis
ENSFHEP00000011825	ENSFHEG00000013328	Fundulus_heteroclitus
ENSCGRP00000025100	ENSCGRG00000018176	Cricetulus_griseus_CriGri_1.0
ENSAMEP00000018582	ENSAMEG00000017577	Ailuropoda_melanoleuca
ENSLSDP00000004814	ENSLSDG00000003773	Lonchura_striata_domestica
ENSSPAP00000020866	ENSSPAG00000015692	Stegastes_partitus
ENSECRP00000028563	ENSECRG00000019346	Erpetoichthys_calabaricus
ENSIPUP00000010404	ENSIPUG00000007080	Ictalurus_punctatus
ENSCGOP00000053245	ENSCGOG00000023239	Cottoperca_gobio
ENSCAFP00020012008	ENSCAFG00020009257	Canis_lupus_dingo
ENSMICP00000034181	ENSMICG00000008580	Microcebus_murinus
MGP_PahariEiJ_P0038234	MGP_PahariEiJ_G0018641	Mus_pahari_strain_PAHARI_EIJ
ENSGACP00000019028	ENSGACG00000014425	Gasterosteus_aculeatus
ENSETEP00000014340	ENSETEG00000017653	Echinops_telfairi
ENSPEMP00000020930	ENSPEMG00000018717	Peromyscus_maniculatus_bairdii
ENSPMJP00000023047	ENSPMJG00000017041	Parus_major
ENSTSYP00000023515	ENSTSYG00000011991	Carlito_syrichta
ENSMMMP00000006502	ENSMMMG00000005787	Marmota_marmota_marmota
ENSELUP00000032698	ENSELUG00000010713	Esox_lucius
ENSLCRP00005042975	ENSLCRG00005016208	Larimichthys_crocea
ENSSHAP00000015611	ENSSHAG00000013303	Sarcophilus_harrisii
ENSGWIP00000034366	ENSGWIG00000017701	Gouania_willdenowi
ENSMAMP00000013300	ENSMAMG00000008960	Mastacembelus_armatus
ENSEEUP00000002549	ENSEEUG00000002781	Erinaceus_europaeus
ENSPSMP00000019647	ENSPSMG00000013870	Prolemur_simus
ENSMLUP00000000303	ENSMLUG00000000333	Myotis_lucifugus
ENSMMOP00000007060	ENSMMOG00000005488	Mola_mola
ENSBTAP00000040249	ENSBTAG00000019105	Bos_taurus
ENSOCUP00000029159	ENSOCUG00000003888	Oryctolagus_cuniculus
ENSMSIP00000016866	ENSMSIG00000014422	Mus_spicilegus
ENSSMRP00000005818	ENSSMRG00000004695	Salvator_merianae
ENSMPUP00000011393	ENSMPUG00000011483	Mustela_putorius_furo
ENSUMAP00000022259	ENSUMAG00000015627	Ursus_maritimus
ENSMGAP00000006408	ENSMGAG00000006376	Meleagris_gallopavo
ENSAMXP00000035712	ENSAMXG00000036127	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSOPRP00000008607	ENSOPRG00000009411	Ochotona_princeps
ENSUPAP00010024821	ENSUPAG00010019627	Urocitellus_parryii
ENSPTEP00000042924	ENSPTEG00000039178	Piliocolobus_tephrosceles
ENSNVIP00000020509	ENSNVIG00000016063	Neovison_vison
ENSSDUP00000006661	ENSSDUG00000004883	Seriola_dumerili
ENSCJPP00005027402	ENSCJPG00005021247	Coturnix_japonica
ENSCJAP00000002844	ENSCJAG00000001569	Callithrix_jacchus
ENSHGLP00000009889	ENSHGLG00000007094	Heterocephalus_glaber_HetGla_female_1.0
ENSBSLP00000048828	ENSBSLG00000023184	Betta_splendens
ENSSLDP00000026548	ENSSLDG00000020600	Seriola_lalandi_dorsalis
ENSRROP00000003675	ENSRROG00000014304	Rhinopithecus_roxellana
ENSAOCP00000013086	ENSAOCG00000017662	Amphiprion_ocellaris
MGP_SPRETEiJ_P0032967	MGP_SPRETEiJ_G0018359	Mus_spretus_strain_SPRET/EiJ
ENSPMEP00000032667	ENSPMEG00000020780	Poecilia_mexicana
ENSAOWP00000010869	ENSAOWG00000007313	Apteryx_owenii
ENSHBUP00000022557	ENSHBUG00000002862	Haplochromis_burtoni
ENSMALP00000026230	ENSMALG00000018200	Monopterus_albus
ENSABRP00000012092	ENSABRG00000010875	Anser_brachyrhynchus
ENSBMUP00000035547	ENSBMUG00000026408	Bos_mutus
ENSDNOP00000001544	ENSDNOG00000002000	Dasypus_novemcinctus
ENSORLP00020033046	ENSORLG00020018883	Oryzias_latipes_ASM223471v1
ENSSCAP00000018220	ENSSCAG00000013033	Serinus_canaria
ENSCHOP00000000256	ENSCHOG00000000289	Choloepus_hoffmanni
ENSCSEP00000003969	ENSCSEG00000002580	Cynoglossus_semilaevis
YBR170C_mRNA	YBR170C	Saccharomyces_cerevisiae_strain_S288C
ENSPNYP00000026233	ENSPNYG00000019751	Pundamilia_nyererei
ENSCPOP00000028616	ENSCPOG00000007800	Cavia_porcellus
ENSPCIP00000040438	ENSPCIG00000029604	Phascolarctos_cinereus
ENSBBBP00000022219	ENSBBBG00000016001	Bison_bison_bison
ENSNMEP00000002571	ENSNMEG00000003224	Numida_meleagris
ENSPSIP00000012459	ENSPSIG00000011057	Pelodiscus_sinensis
ENSLAFP00000025950	ENSLAFG00000015865	Loxodonta_africana
ENSPMGP00000002719	ENSPMGG00000002369	Periophthalmus_magnuspinnatus
ENSDCDP00000038441	ENSDCDG00000025790	Denticeps_clupeoides
ENSPMAP00000007385	ENSPMAG00000006655	Petromyzon_marinus
ENSGGOP00000027386	ENSGGOG00000004220	Gorilla_gorilla
ENSCHIP00000004603	ENSCHIG00000008794	Capra_hircus
ENSACIP00000013853	ENSACIG00000010734	Amphilophus_citrinellus
ENSCMIP00000044615	ENSCMIG00000018376	Callorhinchus_milii
ENSCAFP00000008625	ENSCAFG00000005759	Canis_lupus_familiaris
ENSLOCP00000016030	ENSLOCG00000013007	Lepisosteus_oculatus
ENSCGRP00015000131	ENSCGRG00015000073	Cricetulus_griseus_CriGri-PICR
ENSPFOP00000027472	ENSPFOG00000018598	Poecilia_formosa
ENSCCNP00000008949	ENSCCNG00000009455	Castor_canadensis
ENSHCOP00000015140	ENSHCOG00000018740	Hippocampus_comes
ENSGAFP00000019982	ENSGAFG00000013506	Gambusia_affinis
ENSMMUP00000056523	ENSMMUG00000001586	Macaca_mulatta
ENSDNVP00000013618	ENSDNVG00000009327	Dromaius_novaehollandiae
ENSDORP00000009671	ENSDORG00000010288	Dipodomys_ordii
ENSMUSP00000035851	ENSMUSG00000039703	Mus_musculus_strain_reference_(CL57BL6)
ENSCPBP00000013940	ENSCPBG00000010388	Chrysemys_picta_bellii
ENSVURP00010011637	ENSVURG00010008996	Vombatus_ursinus
ENSHGLP00100000234	ENSHGLG00100000202	Heterocephalus_glaber_HetGla_1.0
ENSTRUP00000011853	ENSTRUG00000004956	Takifugu_rubripes
ENSLACP00000021019	ENSLACG00000018468	Latimeria_chalumnae
ENSNPEP00000014038	ENSNPEG00000010495	Nothoprocta_perdicaria
ENSJJAP00000015633	ENSJJAG00000017733	Jaculus_jaculus
ENSTGEP00000012313	ENSTGEG00000010031	Theropithecus_gelada
ENSODEP00000011173	ENSODEG00000008315	Octodon_degus
ENSMVIP00005018022	ENSMVIG00005012819	Manacus_vitellinus
ENSTNIP00000014837	ENSTNIG00000011879	Tetraodon_nigroviridis
ENSTBEP00000002776	ENSTBEG00000003195	Tupaia_belangeri
ENSUAMP00000021432	ENSUAMG00000016805	Ursus_americanus
ENSCPRP00005026497	ENSCPRG00005018390	Crocodylus_porosus
ENSXCOP00000004460	ENSXCOG00000003527	Xiphophorus_couchianus
F59E12.5b.1	WBGene00019121	Caenorhabditis_elegans_strain_N2
ENSZALP00000002605	ENSZALG00000002762	Zonotrichia_albicollis
ENSAHAP00000026681	ENSAHAG00000018544	Apteryx_haastii
ENSLCAP00010055178	ENSLCAG00010025718	Lates_calcarifer
ENSRNOP00000051856	ENSRNOG00000036698	Rattus_norvegicus
ENSPVAP00000016918	ENSPVAG00000017933	Pteropus_vampyrus
ENSHHUP00000016998	ENSHHUG00000010516	Hucho_hucho
ENSGAGP00000008120	ENSGAGG00000005771	Gopherus_agassizii
ENSCSAVP00000012627	ENSCSAVG00000007411	Ciona_savignyi
ENSMAUP00000025341	ENSMAUG00000021902	Mesocricetus_auratus
ENSHGLP00100016771	ENSHGLG00100012377	Heterocephalus_glaber_HetGla_1.0
ENSMFAP00000044698	ENSMFAG00000036624	Macaca_fascicularis
ENSSDAP00000016799	ENSSDAG00000015170	Spermophilus_dauricus
ENSMLEP00000018244	ENSMLEG00000033303	Mandrillus_leucophaeus
ENSHHUP00000037216	ENSHHUG00000023082	Hucho_hucho
ENSCAPP00000015298	ENSCAPG00000015435	Cavia_aperea
ENSARWP00000009283	ENSARWG00000006051	Apteryx_rowi
ENSACAP00000014885	ENSACAG00000015119	Anolis_carolinensis
ENSOGAP00000013593	ENSOGAG00000015173	Otolemur_garnettii
ENSPRNP00000042958	ENSPRNG00000020929	Parambassis_ranga
ENSACLP00000030960	ENSACLG00000020936	Astatotilapia_calliptera
ENSPLAP00000012909	ENSPLAG00000016347	Poecilia_latipinna
ENSGALP00000059948	ENSGALG00000004583	Gallus_gallus
ENSMEUP00000013327	ENSMEUG00000014593	Notamacropus_eugenii
ENSSBOP00000039911	ENSSBOG00000035967	Saimiri_boliviensis_boliviensis
ENSNBRP00000031543	ENSNBRG00000023966	Neolamprologus_brichardi
ENSSFOP00015011982	ENSSFOG00015007652	Scleropages_formosus
ENSPPAP00000009292	ENSPPAG00000027853	Pan_paniscus
ENSFALP00000013230	ENSFALG00000012683	Ficedula_albicollis
ENSAPEP00000017484	ENSAPEG00000012480	Amphiprion_percula
ENSDARP00000133068	ENSDARG00000100487	Danio_rerio
ENSATEP00000015970	ENSATEG00000011047	Anabas_testudineus
ENSMNEP00000031935	ENSMNEG00000039349	Macaca_nemestrina
ENSPCOP00000007141	ENSPCOG00000014788	Propithecus_coquereli
ENSEBUP00000000172	ENSEBUG00000000325	Eptatretus_burgeri
ENSOARP00000019764	ENSOARG00000018408	Ovis_aries
ENSLCOP00000015234	ENSLCOG00000010883	Lepidothrix_coronata
ENSNLEP00000038109	ENSNLEG00000013771	Nomascus_leucogenys
ENSKMAP00000002337	ENSKMAG00000001762	Kryptolebias_marmoratus
ENSLBEP00000010249	ENSLBEG00000007910	Labrus_bergylta
ENSVVUP00000027140	ENSVVUG00000019455	Vulpes_vulpes
ENSCPUP00000021406	ENSCPUG00000014580	Calidris_pugnax
ENSRBIP00000025876	ENSRBIG00000036817	Rhinopithecus_bieti
ENSCHAP00000032928	ENSCHAG00000015416	Clupea_harengus
ENSPTIP00000010715	ENSPTIG00000011395	Panthera_tigris_altaica
