ENSETEP00000010181	ENSETEG00000012553	Echinops_telfairi
ENSTSYP00000014435	ENSTSYG00000033638	Carlito_syrichta
ENSVURP00010006780	ENSVURG00010005255	Vombatus_ursinus
ENSPCIP00000042260	ENSPCIG00000008254	Phascolarctos_cinereus
ENSMEUP00000003591	ENSMEUG00000003935	Notamacropus_eugenii
ENSMODP00000027158	ENSMODG00000010911	Monodelphis_domestica
ENSOANP00000025034	ENSOANG00000019740	Ornithorhynchus_anatinus
ENSAOWP00000010504	ENSAOWG00000007234	Apteryx_owenii
ENSAHAP00000018417	ENSAHAG00000013069	Apteryx_haastii
ENSARWP00000011821	ENSARWG00000008169	Apteryx_rowi
ENSDNVP00000017333	ENSDNVG00000012118	Dromaius_novaehollandiae
ENSNPEP00000002764	ENSNPEG00000002135	Nothoprocta_perdicaria
ENSCPGP00000009434	ENSCPGG00000006713	Calidris_pygmaea
ENSCPUP00000017469	ENSCPUG00000012029	Calidris_pugnax
ENSMUNP00000012921	ENSMUNG00000010113	Melopsittacus_undulatus
ENSTGUP00000010078	ENSTGUG00000009760	Taeniopygia_guttata
ENSLSDP00000022049	ENSLSDG00000015574	Lonchura_striata_domestica
ENSZALP00000005558	ENSZALG00000005175	Zonotrichia_albicollis
ENSJHYP00000015855	ENSJHYG00000012173	Junco_hyemalis
ENSSCAP00000020149	ENSSCAG00000014522	Serinus_canaria
ENSFALP00000010936	ENSFALG00000010484	Ficedula_albicollis
ENSCCEP00000007670	ENSCCEG00000008031	Cyanistes_caeruleus
ENSPMJP00000012713	ENSPMJG00000009746	Parus_major
ENSLCOP00000019367	ENSLCOG00000013702	Lepidothrix_coronata
ENSMVIP00005010929	ENSMVIG00005008033	Manacus_vitellinus
ENSABRP00000016159	ENSABRG00000014181	Anser_brachyrhynchus
ENSAPLP00000013513	ENSAPLG00000013662	Anas_platyrhynchos_platyrhynchos
ENSGALP00000038261	ENSGALG00000006856	Gallus_gallus
ENSCJPP00005023266	ENSCJPG00005018487	Coturnix_japonica
ENSMGAP00000009270	ENSMGAG00000008971	Meleagris_gallopavo
ENSNMEP00000014979	ENSNMEG00000013313	Numida_meleagris
ENSCPRP00005021880	ENSCPRG00005015221	Crocodylus_porosus
ENSCABP00000020477	ENSCABG00000015075	Chelonoidis_abingdonii
ENSGAGP00000024292	ENSGAGG00000017752	Gopherus_agassizii
ENSCPBP00000009199	ENSCPBG00000007117	Chrysemys_picta_bellii
ENSPSIP00000014457	ENSPSIG00000012920	Pelodiscus_sinensis
ENSACAP00000015237	ENSACAG00000015459	Anolis_carolinensis
ENSPVIP00000030180	ENSPVIG00000022236	Pogona_vitticeps
ENSNSUP00000022893	ENSNSUG00000016602	Notechis_scutatus
ENSSMRP00000018172	ENSSMRG00000014141	Salvator_merianae
ENSSPUP00000006792	ENSSPUG00000005241	Sphenodon_punctatus
ENSXETP00000042651	ENSXETG00000010391	Xenopus_tropicalis
ENSLACP00000011807	ENSLACG00000010394	Latimeria_chalumnae
ENSECRP00000008041	ENSECRG00000005361	Erpetoichthys_calabaricus
ENSSFOP00015017068	ENSSFOG00015010999	Scleropages_formosus
ENSPKIP00000000113	ENSPKIG00000018897	Paramormyrops_kingsleyae
ENSDCDP00000013128	ENSDCDG00000008764	Denticeps_clupeoides
ENSDCDP00000012380	ENSDCDG00000007652	Denticeps_clupeoides
ENSCHAP00000002909	ENSCHAG00000001904	Clupea_harengus
ENSAMXP00000014758	ENSAMXG00000014332	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005020623	ENSAMXG00005010607	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000004405	ENSPNAG00000010864	Pygocentrus_nattereri
ENSEEEP00000041007	ENSEEEG00000019420	Electrophorus_electricus
ENSIPUP00000023065	ENSIPUG00000015553	Ictalurus_punctatus
ENSDARP00000055842	ENSDARG00000038288	Danio_rerio
ENSTRUP00000010910	ENSTRUG00000004585	Takifugu_rubripes
ENSTNIP00000019161	ENSTNIG00000016071	Tetraodon_nigroviridis
ENSPMGP00000007479	ENSPMGG00000006197	Periophthalmus_magnuspinnatus
ENSSLDP00000013543	ENSSLDG00000010787	Seriola_lalandi_dorsalis
ENSAPOP00000012584	ENSAPOG00000015262	Acanthochromis_polyacanthus
ENSBSLP00000041012	ENSBSLG00000019811	Betta_splendens
ENSHCOP00000017062	ENSHCOG00000020911	Hippocampus_comes
ENSXMAP00000038060	ENSXMAG00000003730	Xiphophorus_maculatus
ENSXCOP00000004825	ENSXCOG00000003789	Xiphophorus_couchianus
ENSGAFP00000030822	ENSGAFG00000020777	Gambusia_affinis
ENSPMEP00000017897	ENSPMEG00000020779	Poecilia_mexicana
ENSPFOP00000010908	ENSPFOG00000010899	Poecilia_formosa
ENSPLAP00000002521	ENSPLAG00000003806	Poecilia_latipinna
ENSPREP00000016809	ENSPREG00000011363	Poecilia_reticulata
ENSCVAP00000012694	ENSCVAG00000015156	Cyprinodon_variegatus
ENSFHEP00000019244	ENSFHEG00000021129	Fundulus_heteroclitus
ENSKMAP00000027506	ENSKMAG00000020396	Kryptolebias_marmoratus
ENSORLP00000026570	ENSORLG00000006486	Oryzias_latipes_ASM223467v1
ENSORLP00020026219	ENSORLG00020008555	Oryzias_latipes_ASM223471v1
ENSORLP00015001031	ENSORLG00015001617	Oryzias_latipes_ASM223469v1
ENSOMEP00000033239	ENSOMEG00000019118	Oryzias_melastigma
ENSMZEP00005000810	ENSMZEG00005000697	Maylandia_zebra
ENSACLP00000020633	ENSACLG00000014011	Astatotilapia_calliptera
ENSPNYP00000019895	ENSPNYG00000015046	Pundamilia_nyererei
ENSHBUP00000016454	ENSHBUG00000018414	Haplochromis_burtoni
ENSNBRP00000019205	ENSNBRG00000014786	Neolamprologus_brichardi
ENSONIP00000019527	ENSONIG00000015519	Oreochromis_niloticus
ENSACIP00000006181	ENSACIG00000004857	Amphilophus_citrinellus
ENSCSEP00000011806	ENSCSEG00000007599	Cynoglossus_semilaevis
ENSAPEP00000030687	ENSAPEG00000021808	Amphiprion_percula
ENSAOCP00000029263	ENSAOCG00000019471	Amphiprion_ocellaris
ENSAPOP00000026017	ENSAPOG00000000272	Acanthochromis_polyacanthus
ENSSPAP00000015131	ENSSPAG00000011372	Stegastes_partitus
ENSGWIP00000039468	ENSGWIG00000020041	Gouania_willdenowi
ENSCGOP00000041045	ENSCGOG00000018619	Cottoperca_gobio
ENSGACP00000007114	ENSGACG00000005365	Gasterosteus_aculeatus
ENSLCRP00005017754	ENSLCRG00005007302	Larimichthys_crocea
ENSLBEP00000018569	ENSLBEG00000014313	Labrus_bergylta
ENSMMOP00000001350	ENSMMOG00000001136	Mola_mola
ENSSMAP00000022296	ENSSMAG00000013639	Scophthalmus_maximus
ENSLCAP00010029600	ENSLCAG00010013908	Lates_calcarifer
ENSSLDP00000029859	ENSSLDG00000023016	Seriola_lalandi_dorsalis
ENSSDUP00000018165	ENSSDUG00000013251	Seriola_dumerili
ENSMALP00000008921	ENSMALG00000006356	Monopterus_albus
ENSMAMP00000007932	ENSMAMG00000005397	Mastacembelus_armatus
ENSATEP00000014815	ENSATEG00000010335	Anabas_testudineus
ENSPRNP00000006669	ENSPRNG00000003999	Parambassis_ranga
ENSGMOP00000018959	ENSGMOG00000017632	Gadus_morhua
ENSELUP00000042362	ENSELUG00000023563	Esox_lucius
ENSPRNP00000006556	ENSPRNG00000003938	Parambassis_ranga
ENSPMGP00000026215	ENSPMGG00000021145	Periophthalmus_magnuspinnatus
ENSCSEP00000019521	ENSCSEG00000012483	Cynoglossus_semilaevis
ENSATEP00000030005	ENSATEG00000020710	Anabas_testudineus
ENSBSLP00000024599	ENSBSLG00000012480	Betta_splendens
ENSHCOP00000027154	ENSHCOG00000018727	Hippocampus_comes
ENSGACP00000022673	ENSGACG00000017169	Gasterosteus_aculeatus
ENSCGOP00000004750	ENSCGOG00000002422	Cottoperca_gobio
ENSLBEP00000034346	ENSLBEG00000025836	Labrus_bergylta
ENSMALP00000020336	ENSMALG00000014206	Monopterus_albus
ENSMAMP00000021642	ENSMAMG00000014529	Mastacembelus_armatus
ENSGWIP00000004485	ENSGWIG00000002419	Gouania_willdenowi
ENSSDUP00000020356	ENSSDUG00000014799	Seriola_dumerili
ENSSLDP00000009770	ENSSLDG00000007774	Seriola_lalandi_dorsalis
ENSLCAP00010040455	ENSLCAG00010018926	Lates_calcarifer
ENSAPEP00000000127	ENSAPEG00000000095	Amphiprion_percula
ENSAOCP00000019597	ENSAOCG00000003101	Amphiprion_ocellaris
ENSAPOP00000030769	ENSAPOG00000017566	Acanthochromis_polyacanthus
ENSSPAP00000012961	ENSSPAG00000009818	Stegastes_partitus
ENSLCRP00005037120	ENSLCRG00005014453	Larimichthys_crocea
ENSPFOP00000003593	ENSPFOG00000003588	Poecilia_formosa
ENSPMEP00000027055	ENSPMEG00000011207	Poecilia_mexicana
ENSPREP00000006246	ENSPREG00000004320	Poecilia_reticulata
ENSXCOP00000018546	ENSXCOG00000013960	Xiphophorus_couchianus
ENSXMAP00000039176	ENSXMAG00000000019	Xiphophorus_maculatus
ENSPLAP00000013579	ENSPLAG00000017113	Poecilia_latipinna
ENSGAFP00000019563	ENSGAFG00000013216	Gambusia_affinis
ENSCVAP00000016603	ENSCVAG00000019601	Cyprinodon_variegatus
ENSKMAP00000003360	ENSKMAG00000002541	Kryptolebias_marmoratus
ENSORLP00015022670	ENSORLG00015002178	Oryzias_latipes_ASM223469v1
ENSORLP00020021490	ENSORLG00020001322	Oryzias_latipes_ASM223471v1
ENSORLP00000001609	ENSORLG00000001305	Oryzias_latipes_ASM223467v1
ENSOMEP00000005005	ENSOMEG00000006004	Oryzias_melastigma
ENSMZEP00005018459	ENSMZEG00005013865	Maylandia_zebra
ENSPNYP00000032102	ENSPNYG00000024237	Pundamilia_nyererei
ENSACLP00000018040	ENSACLG00000012285	Astatotilapia_calliptera
ENSHBUP00000007136	ENSHBUG00000008679	Haplochromis_burtoni
ENSNBRP00000025531	ENSNBRG00000019509	Neolamprologus_brichardi
ENSONIP00000007334	ENSONIG00000005822	Oreochromis_niloticus
ENSACIP00000026721	ENSACIG00000020685	Amphilophus_citrinellus
ENSTNIP00000012460	ENSTNIG00000009586	Tetraodon_nigroviridis
ENSTRUP00000042004	ENSTRUG00000016437	Takifugu_rubripes
ENSMMOP00000002885	ENSMMOG00000002331	Mola_mola
ENSFHEP00000020101	ENSFHEG00000022036	Fundulus_heteroclitus
ENSGMOP00000020624	ENSGMOG00000019184	Gadus_morhua
ENSHHUP00000040752	ENSHHUG00000025178	Hucho_hucho
ENSHHUP00000014321	ENSHHUG00000008838	Hucho_hucho
ENSELUP00000025075	ENSELUG00000023780	Esox_lucius
ENSAMXP00005054147	ENSAMXG00005024232	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000031053	ENSAMXG00000038701	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000022363	ENSPNAG00000029748	Pygocentrus_nattereri
ENSEEEP00000002222	ENSEEEG00000001353	Electrophorus_electricus
ENSIPUP00000007942	ENSIPUG00000005454	Ictalurus_punctatus
ENSDARP00000127604	ENSDARG00000068629	Danio_rerio
ENSDCDP00000058387	ENSDCDG00000033905	Denticeps_clupeoides
ENSFHEP00000002329	ENSFHEG00000003113	Fundulus_heteroclitus
ENSSMAP00000015390	ENSSMAG00000009395	Scophthalmus_maximus
ENSHHUP00000035601	ENSHHUG00000022414	Hucho_hucho
ENSCHAP00000009590	ENSCHAG00000005614	Clupea_harengus
ENSCMIP00000008669	ENSCMIG00000004648	Callorhinchus_milii
ENSPMAP00000000158	ENSPMAG00000000141	Petromyzon_marinus
ENSEBUP00000006377	ENSEBUG00000004231	Eptatretus_burgeri
ENSPMAP00000008779	ENSPMAG00000007963	Petromyzon_marinus
ENSCSAVP00000004679	ENSCSAVG00000002789	Ciona_savignyi
ENSCINP00000032244	ENSCING00000018216	Ciona_intestinalis
