ENSVURP00010013152	ENSVURG00010010113	Vombatus_ursinus	ENSVURT00010014965
ENSPCIP00000010966	ENSPCIG00000008870	Phascolarctos_cinereus	ENSPCIT00000013708
ENSMEUP00000010800	ENSMEUG00000011832	Notamacropus_eugenii	ENSMEUT00000011889
ENSSHAP00000020535	ENSSHAG00000017411	Sarcophilus_harrisii	ENSSHAT00000020698
ENSMODP00000054847	ENSMODG00000010691	Monodelphis_domestica	ENSMODT00000086070
ENSOANP00000005155	ENSOANG00000003253	Ornithorhynchus_anatinus
ENSTGEP00000010197	ENSTGEG00000008338	Theropithecus_gelada
ENSPANP00000011990	ENSPANG00000009526	Papio_anubis
ENSMFAP00000009705	ENSMFAG00000034989	Macaca_fascicularis
ENSMNEP00000020899	ENSMNEG00000034169	Macaca_nemestrina
ENSMMUP00000029568	ENSMMUG00000001091	Macaca_mulatta
ENSCSAP00000011515	ENSCSAG00000015427	Chlorocebus_sabaeus
ENSCCAP00000017799	ENSCCAG00000026700	Cebus_capucinus_imitator
ENSSBOP00000001544	ENSSBOG00000006899	Saimiri_boliviensis_boliviensis
ENSCJAP00000004626	ENSCJAG00000002489	Callithrix_jacchus
ENSANAP00000020447	ENSANAG00000027966	Aotus_nancymaae
ENSPSMP00000018844	ENSPSMG00000013238	Prolemur_simus
ENSMICP00000040116	ENSMICG00000009144	Microcebus_murinus
ENSPCOP00000009136	ENSPCOG00000015898	Propithecus_coquereli
ENSOGAP00000013154	ENSOGAG00000014670	Otolemur_garnettii
ENSTSYP00000022528	ENSTSYG00000000534	Carlito_syrichta
ENSOCUP00000014227	ENSOCUG00000016542	Oryctolagus_cuniculus
ENSOPRP00000000331	ENSOPRG00000000359	Ochotona_princeps
ENSAMEP00000011847	ENSAMEG00000011260	Ailuropoda_melanoleuca
ENSUAMP00000005233	ENSUAMG00000004299	Ursus_americanus
ENSGALP00000073400	ENSGALG00000003299	Gallus_gallus
ENSCJPP00005018693	ENSCJPG00005015204	Coturnix_japonica
ENSMGAP00000001588	ENSMGAG00000002028	Meleagris_gallopavo
ENSNMEP00000023190	ENSNMEG00000019798	Numida_meleagris
ENSAPLP00000013578	ENSAPLG00000013728	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000017231	ENSAPLG00000019197	Anas_platyrhynchos_platyrhynchos
ENSABRP00000003218	ENSABRG00000003063	Anser_brachyrhynchus
ENSCPGP00000012130	ENSCPGG00000008636	Calidris_pygmaea
ENSCPUP00000011503	ENSCPUG00000008162	Calidris_pugnax
ENSMUNP00000001542	ENSMUNG00000001319	Melopsittacus_undulatus
ENSLCOP00000011085	ENSLCOG00000008039	Lepidothrix_coronata	ENSLCOT00000011745
ENSLCOP00000011086	ENSLCOG00000008040	Lepidothrix_coronata
ENSMVIP00005027398	ENSMVIG00005019101	Manacus_vitellinus
ENSTGUP00000004993	ENSTGUG00000004829	Taeniopygia_guttata
ENSLSDP00000008542	ENSLSDG00000006374	Lonchura_striata_domestica
ENSZALP00000012159	ENSZALG00000010243	Zonotrichia_albicollis
ENSJHYP00000003386	ENSJHYG00000002792	Junco_hyemalis
ENSSCAP00000023801	ENSSCAG00000017029	Serinus_canaria
ENSFALP00000006989	ENSFALG00000006679	Ficedula_albicollis
ENSPMJP00000024405	ENSPMJG00000017952	Parus_major
ENSCCEP00000007069	ENSCCEG00000007482	Cyanistes_caeruleus
ENSDNVP00000004143	ENSDNVG00000002948	Dromaius_novaehollandiae
ENSNPEP00000001825	ENSNPEG00000000305	Nothoprocta_perdicaria
ENSAOWP00000004368	ENSAOWG00000002779	Apteryx_owenii
ENSAHAP00000001555	ENSAHAG00000001320	Apteryx_haastii
ENSARWP00000017451	ENSARWG00000011756	Apteryx_rowi
ENSCPRP00005001816	ENSCPRG00005001217	Crocodylus_porosus
ENSGAGP00000033847	ENSGAGG00000024078	Gopherus_agassizii
ENSCABP00000019846	ENSCABG00000014276	Chelonoidis_abingdonii
ENSCPBP00000008505	ENSCPBG00000006622	Chrysemys_picta_bellii
ENSPSIP00000011454	ENSPSIG00000010362	Pelodiscus_sinensis
ENSSPUP00000014706	ENSSPUG00000011359	Sphenodon_punctatus
ENSSPUP00000014692	ENSSPUG00000011333	Sphenodon_punctatus
ENSSPUP00000014699	ENSSPUG00000011352	Sphenodon_punctatus
ENSPVIP00000027128	ENSPVIG00000020182	Pogona_vitticeps
ENSACAP00000017722	ENSACAG00000017999	Anolis_carolinensis
ENSNSUP00000011375	ENSNSUG00000008577	Notechis_scutatus
ENSSMRP00000024703	ENSSMRG00000019100	Salvator_merianae
ENSXETP00000051577	ENSXETG00000020592	Xenopus_tropicalis
ENSLACP00000022334	ENSLACG00000012332	Latimeria_chalumnae
ENSSFOP00015020679	ENSSFOG00015013215	Scleropages_formosus
ENSPKIP00000028492	ENSPKIG00000010104	Paramormyrops_kingsleyae
ENSPKIP00000013028	ENSPKIG00000000572	Paramormyrops_kingsleyae
ENSSFOP00015031549	ENSSFOG00015020197	Scleropages_formosus
ENSDCDP00000023818	ENSDCDG00000017236	Denticeps_clupeoides
ENSCHAP00000006386	ENSCHAG00000001902	Clupea_harengus
ENSAMXP00005046146	ENSAMXG00005020782	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000021158	ENSAMXG00000020550	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000012181	ENSPNAG00000018015	Pygocentrus_nattereri
ENSIPUP00000036829	ENSIPUG00000024667	Ictalurus_punctatus
ENSEEEP00000028058	ENSEEEG00000013502	Electrophorus_electricus
ENSDARP00000151686	ENSDARG00000062765	Danio_rerio
ENSGACP00000007451	ENSGACG00000005630	Gasterosteus_aculeatus
ENSLBEP00000034157	ENSLBEG00000025674	Labrus_bergylta
ENSCVAP00000014957	ENSCVAG00000017829	Cyprinodon_variegatus
ENSFHEP00000020004	ENSFHEG00000021998	Fundulus_heteroclitus
ENSPMEP00000023010	ENSPMEG00000004354	Poecilia_mexicana
ENSPFOP00000030093	ENSPFOG00000011218	Poecilia_formosa
ENSPREP00000017535	ENSPREG00000011814	Poecilia_reticulata
ENSPLAP00000014938	ENSPLAG00000018796	Poecilia_latipinna
ENSXMAP00000027707	ENSXMAG00000028356	Xiphophorus_maculatus
ENSXCOP00000003421	ENSXCOG00000002697	Xiphophorus_couchianus
ENSGAFP00000001850	ENSGAFG00000001287	Gambusia_affinis
ENSKMAP00000004142	ENSKMAG00000003104	Kryptolebias_marmoratus
ENSPNYP00000011357	ENSPNYG00000008559	Pundamilia_nyererei
ENSMZEP00005012770	ENSMZEG00005009554	Maylandia_zebra
ENSACLP00000016763	ENSACLG00000011405	Astatotilapia_calliptera
ENSHBUP00000029636	ENSHBUG00000001030	Haplochromis_burtoni
ENSNBRP00000024158	ENSNBRG00000018432	Neolamprologus_brichardi
ENSONIP00000018126	ENSONIG00000014418	Oreochromis_niloticus
ENSACIP00000008142	ENSACIG00000006333	Amphilophus_citrinellus
ENSAOCP00000010634	ENSAOCG00000001018	Amphiprion_ocellaris
ENSAPEP00000025034	ENSAPEG00000017752	Amphiprion_percula
ENSAPOP00000033349	ENSAPOG00000000624	Acanthochromis_polyacanthus
ENSSPAP00000001390	ENSSPAG00000000985	Stegastes_partitus
ENSORLP00000003502	ENSORLG00000002807	Oryzias_latipes_ASM223467v1
ENSORLP00020004355	ENSORLG00020005213	Oryzias_latipes_ASM223471v1
ENSORLP00015013993	ENSORLG00015014953	Oryzias_latipes_ASM223469v1
ENSOMEP00000032558	ENSOMEG00000018046	Oryzias_melastigma
ENSPRNP00000007587	ENSPRNG00000002470	Parambassis_ranga
ENSSLDP00000008136	ENSSLDG00000006463	Seriola_lalandi_dorsalis
ENSATEP00000029374	ENSATEG00000020222	Anabas_testudineus
ENSBSLP00000018957	ENSBSLG00000008531	Betta_splendens
ENSMAMP00000021909	ENSMAMG00000014657	Mastacembelus_armatus
ENSCSEP00000015643	ENSCSEG00000009992	Cynoglossus_semilaevis
ENSCSEP00000030544	ENSCSEG00000019551	Cynoglossus_semilaevis
ENSGWIP00000015924	ENSGWIG00000005659	Gouania_willdenowi
ENSCGOP00000015434	ENSCGOG00000006841	Cottoperca_gobio
ENSLCRP00005038143	ENSLCRG00005013518	Larimichthys_crocea
ENSLCAP00010007676	ENSLCAG00010003573	Lates_calcarifer
ENSMALP00000028887	ENSMALG00000019960	Monopterus_albus
ENSHCOP00000004572	ENSHCOG00000006071	Hippocampus_comes
ENSSLDP00000006363	ENSSLDG00000005010	Seriola_lalandi_dorsalis
ENSSDUP00000003915	ENSSDUG00000002924	Seriola_dumerili
ENSSMAP00000009742	ENSSMAG00000005965	Scophthalmus_maximus
ENSTRUP00000042262	ENSTRUG00000016530	Takifugu_rubripes
ENSTNIP00000019016	ENSTNIG00000015930	Tetraodon_nigroviridis
ENSMMOP00000015307	ENSMMOG00000011674	Mola_mola
ENSPMGP00000003982	ENSPMGG00000003402	Periophthalmus_magnuspinnatus
ENSGMOP00000014567	ENSGMOG00000013608	Gadus_morhua
ENSHHUP00000063181	ENSHHUG00000037265	Hucho_hucho
ENSHHUP00000033244	ENSHHUG00000020797	Hucho_hucho
ENSELUP00000008208	ENSELUG00000008901	Esox_lucius
ENSLOCP00000018570	ENSLOCG00000015087	Lepisosteus_oculatus
ENSECRP00000003233	ENSECRG00000002214	Erpetoichthys_calabaricus
ENSCMIP00000028215	ENSCMIG00000012098	Callorhinchus_milii
ENSEBUP00000010301	ENSEBUG00000006592	Eptatretus_burgeri
ENSLBEP00000007510	ENSLBEG00000005811	Labrus_bergylta
ENSCSAVP00000018343	ENSCSAVG00000010773	Ciona_savignyi
ENSCINP00000025830	ENSCING00000010414	Ciona_intestinalis
