ENSMUGP00000019225	ENSMUGG00000016284	Meriones_unguiculatus
ENSCPOP00000008264	ENSCPOG00000009202	Cavia_porcellus
ENSCAPP00000008330	ENSCAPG00000010054	Cavia_aperea
ENSFDAP00000021887	ENSFDAG00000007381	Fukomys_damarensis
ENSLAFP00000018819	ENSLAFG00000029398	Loxodonta_africana
ENSGAGP00000026967	ENSGAGG00000019627	Gopherus_agassizii
ENSCABP00000023598	ENSCABG00000017392	Chelonoidis_abingdonii
ENSCPBP00000029376	ENSCPBG00000020711	Chrysemys_picta_bellii
ENSPSIP00000007295	ENSPSIG00000006705	Pelodiscus_sinensis
ENSAPLP00000029407	ENSAPLG00000021624	Anas_platyrhynchos_platyrhynchos
ENSABRP00000002960	ENSABRG00000002863	Anser_brachyrhynchus
ENSNMEP00000001335	ENSNMEG00000001742	Numida_meleagris
ENSCPGP00000015487	ENSCPGG00000010915	Calidris_pygmaea
ENSCPUP00000002001	ENSCPUG00000001533	Calidris_pugnax
ENSZALP00000023579	ENSZALG00000018226	Zonotrichia_albicollis
ENSNPEP00000005174	ENSNPEG00000003905	Nothoprocta_perdicaria
ENSARWP00000002070	ENSARWG00000001587	Apteryx_rowi
ENSAHAP00000017285	ENSAHAG00000012291	Apteryx_haastii
ENSAOWP00000012336	ENSAOWG00000008444	Apteryx_owenii
ENSDNVP00000014133	ENSDNVG00000009928	Dromaius_novaehollandiae
ENSGALP00000014105	ENSGALG00000008675	Gallus_gallus
ENSCJPP00005023807	ENSCJPG00005018821	Coturnix_japonica
ENSACAP00000012600	ENSACAG00000012800	Anolis_carolinensis
ENSPVIP00000022796	ENSPVIG00000017203	Pogona_vitticeps
ENSBTAP00000055370	ENSBTAG00000047418	Bos_taurus
ENSBTAP00000060800	ENSBTAG00000052720	Bos_taurus
ENSBIXP00005031757	ENSBIXG00005012193	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000026731	ENSBIXG00000029508	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000029747	ENSBMUG00000022231	Bos_mutus
ENSPCIP00000022391	ENSPCIG00000016976	Phascolarctos_cinereus
ENSCVAP00000024834	ENSCVAG00000009189	Cyprinodon_variegatus
ENSFHEP00000013167	ENSFHEG00000014680	Fundulus_heteroclitus
ENSXCOP00000009353	ENSXCOG00000007125	Xiphophorus_couchianus
ENSXMAP00000040720	ENSXMAG00000020938	Xiphophorus_maculatus
ENSPLAP00000019793	ENSPLAG00000002213	Poecilia_latipinna
ENSPMEP00000011898	ENSPMEG00000014054	Poecilia_mexicana
ENSPFOP00000019492	ENSPFOG00000019373	Poecilia_formosa
ENSPREP00000034174	ENSPREG00000023150	Poecilia_reticulata
ENSGAFP00000004692	ENSGAFG00000003197	Gambusia_affinis
ENSOMEP00000020662	ENSOMEG00000022568	Oryzias_melastigma
ENSMAMP00000026022	ENSMAMG00000017456	Mastacembelus_armatus
ENSATEP00000024684	ENSATEG00000017131	Anabas_testudineus
ENSORLP00000029274	ENSORLG00000006789	Oryzias_latipes_ASM223467v1
ENSORLP00020005643	ENSORLG00020006466	Oryzias_latipes_ASM223471v1
ENSKMAP00000017028	ENSKMAG00000012704	Kryptolebias_marmoratus
ENSPRNP00000037385	ENSPRNG00000018642	Parambassis_ranga
ENSBSLP00000047734	ENSBSLG00000022720	Betta_splendens
ENSMMOP00000022066	ENSMMOG00000016762	Mola_mola
ENSHCOP00000000554	ENSHCOG00000001394	Hippocampus_comes
ENSSPAP00000003269	ENSSPAG00000002476	Stegastes_partitus
ENSTRUP00000055357	ENSTRUG00000016841	Takifugu_rubripes
ENSPMGP00000008277	ENSPMGG00000006854	Periophthalmus_magnuspinnatus
ENSAOCP00000031690	ENSAOCG00000023538	Amphiprion_ocellaris
ENSAPEP00000000956	ENSAPEG00000000725	Amphiprion_percula
ENSAPOP00000024082	ENSAPOG00000006216	Acanthochromis_polyacanthus
ENSDCDP00000055566	ENSDCDG00000032834	Denticeps_clupeoides
ENSSMAP00000020970	ENSSMAG00000012846	Scophthalmus_maximus
ENSCSEP00000031716	ENSCSEG00000020323	Cynoglossus_semilaevis
ENSLBEP00000004344	ENSLBEG00000003333	Labrus_bergylta
ENSLCRP00005018931	ENSLCRG00005007719	Larimichthys_crocea
ENSHBUP00000034310	ENSHBUG00000021794	Haplochromis_burtoni
ENSPNYP00000020290	ENSPNYG00000015346	Pundamilia_nyererei
ENSMZEP00005022824	ENSMZEG00005017085	Maylandia_zebra
ENSACLP00000026365	ENSACLG00000017899	Astatotilapia_calliptera
ENSNBRP00000028563	ENSNBRG00000021746	Neolamprologus_brichardi
ENSONIP00000006522	ENSONIG00000005191	Oreochromis_niloticus
ENSACIP00000001123	ENSACIG00000000952	Amphilophus_citrinellus
ENSAPOP00000025546	ENSAPOG00000008741	Acanthochromis_polyacanthus
ENSSMAP00000013002	ENSSMAG00000008007	Scophthalmus_maximus
ENSPMEP00000016116	ENSPMEG00000018749	Poecilia_mexicana
ENSPLAP00000010851	ENSPLAG00000013857	Poecilia_latipinna
ENSPMGP00000015127	ENSPMGG00000012398	Periophthalmus_magnuspinnatus
ENSMALP00000000864	ENSMALG00000000234	Monopterus_albus
ENSBSLP00000004533	ENSBSLG00000002408	Betta_splendens
ENSMALP00000015716	ENSMALG00000011033	Monopterus_albus
ENSONIP00000003538	ENSONIG00000002822	Oreochromis_niloticus
ENSKMAP00000004018	ENSKMAG00000003061	Kryptolebias_marmoratus
ENSBSLP00000023366	ENSBSLG00000011831	Betta_splendens
ENSAMXP00005053520	ENSAMXG00005023971	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000042801	ENSAMXG00000038622	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000013051	ENSPNAG00000018882	Pygocentrus_nattereri
ENSDARP00000096504	ENSDARG00000092553	Danio_rerio
ENSDCDP00000032032	ENSDCDG00000022130	Denticeps_clupeoides
ENSAMXP00000045860	ENSAMXG00000015746	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000030407	ENSIPUG00000020527	Ictalurus_punctatus
ENSMALP00000022203	ENSMALG00000015496	Monopterus_albus
ENSGWIP00000017388	ENSGWIG00000009675	Gouania_willdenowi
ENSSFOP00015017904	ENSSFOG00015011507	Scleropages_formosus
ENSPKIP00000000246	ENSPKIG00000018987	Paramormyrops_kingsleyae
ENSXETP00000044359	ENSXETG00000002168	Xenopus_tropicalis
ENSCSEP00000000320	ENSCSEG00000000235	Cynoglossus_semilaevis
