W02B12.10.1	WBGene00012205	Caenorhabditis_elegans_strain_N2	W02B12.10.1
FBpp0070317	FBgn0025629	Drosophila_melanogaster	FBtr0070331
ENSCSEP00000006622	ENSCSEG00000004284	Cynoglossus_semilaevis
ENSGMOP00000002202	ENSGMOG00000002066	Gadus_morhua
ENSAMXP00000027226	ENSAMXG00000041151	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005018625	ENSAMXG00005009695	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000022939	ENSPNAG00000007490	Pygocentrus_nattereri
ENSEEEP00000032509	ENSEEEG00000015495	Electrophorus_electricus
ENSIPUP00000001338	ENSIPUG00000000954	Ictalurus_punctatus
ENSDARP00000128994	ENSDARG00000076518	Danio_rerio
ENSCHAP00000037599	ENSCHAG00000017674	Clupea_harengus
ENSDCDP00000059649	ENSDCDG00000034412	Denticeps_clupeoides
ENSHHUP00000056843	ENSHHUG00000033905	Hucho_hucho
ENSHHUP00000090545	ENSHHUG00000052272	Hucho_hucho
ENSELUP00000021559	ENSELUG00000020660	Esox_lucius
ENSPKIP00000020922	ENSPKIG00000005523	Paramormyrops_kingsleyae
ENSSFOP00015026259	ENSSFOG00015016887	Scleropages_formosus
ENSLOCP00000004651	ENSLOCG00000003897	Lepisosteus_oculatus
ENSECRP00000016703	ENSECRG00000011099	Erpetoichthys_calabaricus
ENSARWP00000025065	ENSARWG00000017064	Apteryx_rowi	ENSARWT00000028389
ENSAOWP00000027379	ENSAOWG00000018451	Apteryx_owenii	ENSAOWT00000031024
ENSAHAP00000014576	ENSAHAG00000010507	Apteryx_haastii	ENSAHAT00000016163
ENSCJPP00005004550	ENSCJPG00005004484	Coturnix_japonica
ENSCPRP00005005663	ENSCPRG00005004047	Crocodylus_porosus
ENSACAP00000012850	ENSACAG00000013090	Anolis_carolinensis
ENSPVIP00000008713	ENSPVIG00000006996	Pogona_vitticeps
ENSNSUP00000004358	ENSNSUG00000003465	Notechis_scutatus
ENSSMRP00000010913	ENSSMRG00000008621	Salvator_merianae
ENSSPUP00000008273	ENSSPUG00000006381	Sphenodon_punctatus
ENSCABP00000018593	ENSCABG00000013734	Chelonoidis_abingdonii
ENSGAGP00000015013	ENSGAGG00000011345	Gopherus_agassizii
ENSGAGP00000028846	ENSGAGG00000020902	Gopherus_agassizii
ENSCABP00000009948	ENSCABG00000007474	Chelonoidis_abingdonii
ENSCPBP00000025520	ENSCPBG00000018143	Chrysemys_picta_bellii
ENSPSIP00000017897	ENSPSIG00000015919	Pelodiscus_sinensis
ENSUMAP00000027720	ENSUMAG00000020114	Ursus_maritimus
ENSUAMP00000016513	ENSUAMG00000013150	Ursus_americanus
ENSAMEP00000005738	ENSAMEG00000005428	Ailuropoda_melanoleuca
ENSCAFP00020029260	ENSCAFG00020022852	Canis_lupus_dingo
ENSVVUP00000022955	ENSVVUG00000016799	Vulpes_vulpes
ENSMPUP00000002025	ENSMPUG00000002046	Mustela_putorius_furo
ENSNVIP00000004171	ENSNVIG00000003365	Neovison_vison
ENSPTIP00000012733	ENSPTIG00000012709	Panthera_tigris_altaica
ENSPPRP00000019862	ENSPPRG00000011095	Panthera_pardus
ENSFCAP00000032633	ENSFCAG00000032363	Felis_catus
ENSTTRP00000016578	ENSTTRG00000008348	Tursiops_truncatus
ENSMLUP00000005422	ENSMLUG00000005935	Myotis_lucifugus
ENSPVAP00000016989	ENSPVAG00000012136	Pteropus_vampyrus
ENSPTEP00000027576	ENSPTEG00000027391	Piliocolobus_tephrosceles
ENSCANP00000033300	ENSCANG00000040320	Colobus_angolensis_palliatus
ENSRBIP00000030077	ENSRBIG00000038916	Rhinopithecus_bieti
ENSRROP00000027293	ENSRROG00000037434	Rhinopithecus_roxellana
ENSMMUP00000029161	ENSMMUG00000022148	Macaca_mulatta
ENSMFAP00000007110	ENSMFAG00000035422	Macaca_fascicularis
ENSMNEP00000026824	ENSMNEG00000036839	Macaca_nemestrina
ENSMLEP00000017531	ENSMLEG00000032975	Mandrillus_leucophaeus
ENSCSAP00000000944	ENSCSAG00000004611	Chlorocebus_sabaeus
ENSPANP00000001923	ENSPANG00000010683	Papio_anubis
ENSTGEP00000023145	ENSTGEG00000018743	Theropithecus_gelada
ENSCATP00000025674	ENSCATG00000036300	Cercocebus_atys
ENSP00000314441	ENSG00000037897	Homo_sapiens
ENSGGOP00000033150	ENSGGOG00000001411	Gorilla_gorilla
ENSPPAP00000039848	ENSPPAG00000042594	Pan_paniscus
ENSPTRP00000008761	ENSPTRG00000005150	Pan_troglodytes
ENSPPYP00000005363	ENSPPYG00000004706	Pongo_abelii
ENSNLEP00000020879	ENSNLEG00000017183	Nomascus_leucogenys
ENSPPAP00000004376	ENSPPAG00000018404	Pan_paniscus
ENSPTRP00000078608	ENSPTRG00000045518	Pan_troglodytes
ENSGGOP00000041634	ENSGGOG00000023724	Gorilla_gorilla
ENSNLEP00000045693	ENSNLEG00000036055	Nomascus_leucogenys
ENSRROP00000022648	ENSRROG00000035186	Rhinopithecus_roxellana
ENSRBIP00000043215	ENSRBIG00000044784	Rhinopithecus_bieti
ENSCANP00000037299	ENSCANG00000042319	Colobus_angolensis_palliatus
ENSMFAP00000034660	ENSMFAG00000003822	Macaca_fascicularis
ENSMNEP00000011516	ENSMNEG00000030088	Macaca_nemestrina
ENSMLEP00000001140	ENSMLEG00000004501	Mandrillus_leucophaeus
ENSPANP00000024589	ENSPANG00000029531	Papio_anubis
ENSCATP00000005847	ENSCATG00000018666	Cercocebus_atys
ENSCCAP00000019498	ENSCCAG00000027591	Cebus_capucinus_imitator
ENSSBOP00000004611	ENSSBOG00000018949	Saimiri_boliviensis_boliviensis
ENSCJAP00000012260	ENSCJAG00000006615	Callithrix_jacchus
ENSANAP00000007194	ENSANAG00000021665	Aotus_nancymaae
ENSTSYP00000010148	ENSTSYG00000011077	Carlito_syrichta
ENSPCOP00000002142	ENSPCOG00000006594	Propithecus_coquereli
ENSPSMP00000030120	ENSPSMG00000020892	Prolemur_simus
ENSMICP00000049542	ENSMICG00000045368	Microcebus_murinus
ENSOGAP00000012889	ENSOGAG00000014384	Otolemur_garnettii
ENSUPAP00010022203	ENSUPAG00010017651	Urocitellus_parryii
ENSSTOP00000032417	ENSSTOG00000001154	Ictidomys_tridecemlineatus
ENSMMMP00000011758	ENSMMMG00000010517	Marmota_marmota_marmota
ENSSDAP00000002480	ENSSDAG00000002384	Spermophilus_dauricus
ENSPCAP00000016057	ENSPCAG00000003713	Procavia_capensis
ENSEASP00005010239	ENSEASG00005007286	Equus_asinus_asinus
ENSECAP00000007058	ENSECAG00000009016	Equus_caballus
ENSSSCP00000022154	ENSSSCG00000025027	Sus_scrofa_strain_reference
ENSCCNP00000032928	ENSCCNG00000031215	Castor_canadensis
ENSDORP00000018468	ENSDORG00000007270	Dipodomys_ordii
MGP_SPRETEiJ_P0026229	MGP_SPRETEiJ_G0016701	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000022506	ENSMSIG00000019094	Mus_spicilegus
ENSMUSP00000006915	ENSMUSG00000006732	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0024961	MGP_CAROLIEiJ_G0015875	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087703	MGP_PahariEiJ_G0031210	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064874	ENSRNOG00000047895	Rattus_norvegicus
ENSMUGP00000009179	ENSMUGG00000008205	Meriones_unguiculatus
ENSCGRP00001017668	ENSCGRG00001017652	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015001479	ENSCGRG00015001245	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000018004	ENSCGRG00000013092	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000023557	ENSMOCG00000020233	Microtus_ochrogaster
ENSPEMP00000037085	ENSPEMG00000030468	Peromyscus_maniculatus_bairdii
ENSNGAP00000010682	ENSNGAG00000013035	Nannospalax_galili
ENSJJAP00000011093	ENSJJAG00000014500	Jaculus_jaculus
ENSHGLP00100007679	ENSHGLG00100005738	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000025669	ENSHGLG00000018274	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000008499	ENSFDAG00000016753	Fukomys_damarensis
ENSODEP00000002313	ENSODEG00000001799	Octodon_degus
ENSCLAP00000021851	ENSCLAG00000014968	Chinchilla_lanigera
ENSCPOP00000000058	ENSCPOG00000000066	Cavia_porcellus
ENSCAPP00000007960	ENSCAPG00000009761	Cavia_aperea
ENSOCUP00000010754	ENSOCUG00000012498	Oryctolagus_cuniculus
ENSOPRP00000006094	ENSOPRG00000006660	Ochotona_princeps
ENSETEP00000002189	ENSETEG00000002682	Echinops_telfairi
ENSLAFP00000009030	ENSLAFG00000010794	Loxodonta_africana
ENSBIXP00005005379	ENSBIXG00005011085	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000015459	ENSBIXG00000006811	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000022487	ENSBTAG00000016908	Bos_taurus
ENSBMUP00000034127	ENSBMUG00000025424	Bos_mutus
ENSBBBP00000004208	ENSBBBG00000013134	Bison_bison_bison
ENSOARP00000005583	ENSOARG00000005201	Ovis_aries
ENSCHIP00000015101	ENSCHIG00000015867	Capra_hircus
ENSVPAP00000011706	ENSVPAG00000012594	Vicugna_pacos
ENSEEUP00000006305	ENSEEUG00000006927	Erinaceus_europaeus
ENSSARP00000010253	ENSSARG00000011330	Sorex_araneus
ENSCAFP00000059228	ENSCAFG00000000290	Canis_lupus_familiaris
ENSETEP00000002353	ENSETEG00000002878	Echinops_telfairi
ENSDNOP00000034859	ENSDNOG00000042518	Dasypus_novemcinctus
ENSTBEP00000009950	ENSTBEG00000011522	Tupaia_belangeri
ENSVURP00010029972	ENSVURG00010022917	Vombatus_ursinus
ENSPCIP00000051180	ENSPCIG00000035859	Phascolarctos_cinereus
ENSMEUP00000013361	ENSMEUG00000014634	Notamacropus_eugenii
ENSSHAP00000011080	ENSSHAG00000009543	Sarcophilus_harrisii
ENSMODP00000026681	ENSMODG00000021349	Monodelphis_domestica
ENSOANP00000022684	ENSOANG00000014393	Ornithorhynchus_anatinus
ENSXETP00000014501	ENSXETG00000000622	Xenopus_tropicalis
ENSCMIP00000007901	ENSCMIG00000004272	Callorhinchus_milii	ENSCMIT00000008131
ENSEBUP00000024369	ENSEBUG00000015021	Eptatretus_burgeri	ENSEBUT00000024946
ENSPMAP00000000823	ENSPMAG00000000749	Petromyzon_marinus	ENSPMAT00000000825
ENSLACP00000020591	ENSLACG00000018096	Latimeria_chalumnae	ENSLACT00000020731
ENSCINP00000034817	ENSCING00000020062	Ciona_intestinalis
ENSCSAVP00000008346	ENSCSAVG00000004963	Ciona_savignyi
YDL201W_mRNA	YDL201W	Saccharomyces_cerevisiae_strain_S288C
