ENSPCOP00000020233	ENSPCOG00000022073	Propithecus_coquereli
ENSECAP00000026923	ENSECAG00000005769	Equus_caballus
ENSMODP00000007992	ENSMODG00000006439	Monodelphis_domestica
ENSOGAP00000007617	ENSOGAG00000008501	Otolemur_garnettii
ENSTGUP00000005149	ENSTGUG00000004985	Taeniopygia_guttata
ENSBMUP00000008911	ENSBMUG00000006947	Bos_mutus
ENSCLAP00000015914	ENSCLAG00000010950	Chinchilla_lanigera
ENSCAPP00000016295	ENSCAPG00000016208	Cavia_aperea
ENSTBEP00000010358	ENSTBEG00000011947	Tupaia_belangeri
ENSMLEP00000015873	ENSMLEG00000032125	Mandrillus_leucophaeus
ENSXETP00000031326	ENSXETG00000011630	Xenopus_tropicalis
ENSOANP00000000685	ENSOANG00000000429	Ornithorhynchus_anatinus
ENSCANP00000022899	ENSCANG00000034877	Colobus_angolensis_palliatus
ENSPMAP00000005865	ENSPMAG00000005303	Petromyzon_marinus
ENSCCEP00000007815	ENSCCEG00000008147	Cyanistes_caeruleus
ENSCPBP00000024908	ENSCPBG00000017703	Chrysemys_picta_bellii
ENSHGLP00000000144	ENSHGLG00000000163	Heterocephalus_glaber_HetGla_female_1.0
MGP_CAROLIEiJ_P0055132	MGP_CAROLIEiJ_G0024429	Mus_caroli_strain_CAROLI_EIJ
ENSCPGP00000021521	ENSCPGG00000015012	Calidris_pygmaea
ENSMMMP00000024612	ENSMMMG00000021545	Marmota_marmota_marmota
ENSMSIP00000000994	ENSMSIG00000001029	Mus_spicilegus
ENSNSUP00000022293	ENSNSUG00000016210	Notechis_scutatus
ENSCPRP00005015906	ENSCPRG00005011125	Crocodylus_porosus
ENSPPRP00000007615	ENSPPRG00000002701	Panthera_pardus
ENSCGRP00001012346	ENSCGRG00001013771	Cricetulus_griseus_CHOK1GS_HDv1
ENSNLEP00000019001	ENSNLEG00000015658	Nomascus_leucogenys
ENSTTRP00000001541	ENSTTRG00000001636	Tursiops_truncatus
ENSMUGP00000019863	ENSMUGG00000016794	Meriones_unguiculatus
ENSDORP00000006733	ENSDORG00000007179	Dipodomys_ordii
ENSMGAP00000003359	ENSMGAG00000003608	Meleagris_gallopavo
ENSPSIP00000003845	ENSPSIG00000003644	Pelodiscus_sinensis
ENSOPRP00000007698	ENSOPRG00000008411	Ochotona_princeps
ENSBIXP00000014086	ENSBIXG00000018872	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPMAP00000005661	ENSPMAG00000005151	Petromyzon_marinus
ENSANAP00000033295	ENSANAG00000034290	Aotus_nancymaae
ENSBIXP00005005626	ENSBIXG00005011264	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMPUP00000015650	ENSMPUG00000015759	Mustela_putorius_furo
ENSSMRP00000019138	ENSSMRG00000014914	Salvator_merianae
ENSCJPP00005019173	ENSCJPG00005015587	Coturnix_japonica	ENSCJPT00005026603
ENSCAFP00020007272	ENSCAFG00020005810	Canis_lupus_dingo
ENSPVAP00000013568	ENSPVAG00000014394	Pteropus_vampyrus
ENSMAUP00000007210	ENSMAUG00000008947	Mesocricetus_auratus
ENSDNVP00000020854	ENSDNVG00000014590	Dromaius_novaehollandiae
ENSMVIP00005019334	ENSMVIG00005013699	Manacus_vitellinus
ENSNVIP00000010074	ENSNVIG00000007953	Neovison_vison
ENSCJAP00000021464	ENSCJAG00000011654	Callithrix_jacchus
ENSSPUP00000017990	ENSSPUG00000013903	Sphenodon_punctatus
ENSCAFP00020001996	ENSCAFG00020001731	Canis_lupus_dingo
ENSNGAP00000003479	ENSNGAG00000004034	Nannospalax_galili
ENSCPOP00000003680	ENSCPOG00000004078	Cavia_porcellus
ENSCMIP00000027644	ENSCMIG00000012034	Callorhinchus_milii
ENSAHAP00000012651	ENSAHAG00000009120	Apteryx_haastii
ENSLAFP00000001927	ENSLAFG00000002307	Loxodonta_africana
ENSETEP00000010878	ENSETEG00000013415	Echinops_telfairi
ENSMEUP00000003328	ENSMEUG00000003640	Notamacropus_eugenii
ENSVVUP00000030627	ENSVVUG00000022271	Vulpes_vulpes
ENSGALP00000013877	ENSGALG00000008525	Gallus_gallus	ENSGALT00000013893
ENSPCIP00000040609	ENSPCIG00000025187	Phascolarctos_cinereus
ENSMICP00000005275	ENSMICG00000005779	Microcebus_murinus
ENSARWP00000014593	ENSARWG00000009701	Apteryx_rowi
ENSMLUP00000008629	ENSMLUG00000009465	Myotis_lucifugus
ENSHGLP00100018317	ENSHGLG00100013502	Heterocephalus_glaber_HetGla_1.0
ENSCMIP00000010504	ENSCMIG00000005541	Callorhinchus_milii
ENSSTOP00000012896	ENSSTOG00000014396	Ictidomys_tridecemlineatus
ENSCCAP00000004773	ENSCCAG00000019845	Cebus_capucinus_imitator
ENSOARP00000008099	ENSOARG00000007550	Ovis_aries
ENSCHIP00000024254	ENSCHIG00000021501	Capra_hircus
ENSBBBP00000014571	ENSBBBG00000022329	Bison_bison_bison
ENSAMEP00000003609	ENSAMEG00000003400	Ailuropoda_melanoleuca
ENSJJAP00000020955	ENSJJAG00000021468	Jaculus_jaculus
ENSCGRP00000003211	ENSCGRG00000002358	Cricetulus_griseus_CriGri_1.0
ENSPPYP00000012051	ENSPPYG00000010786	Pongo_abelii
ENSCAFP00000006539	ENSCAFG00000004389	Canis_lupus_familiaris
ENSFCAP00000055472	ENSFCAG00000008419	Felis_catus
ENSSBOP00000011356	ENSSBOG00000022490	Saimiri_boliviensis_boliviensis
ENSRROP00000045457	ENSRROG00000045624	Rhinopithecus_roxellana
ENSODEP00000017823	ENSODEG00000013149	Octodon_degus
ENSSDAP00000004200	ENSSDAG00000003940	Spermophilus_dauricus
ENSCGRP00015006351	ENSCGRG00015004920	Cricetulus_griseus_CriGri-PICR
ENSPTIP00000018074	ENSPTIG00000016315	Panthera_tigris_altaica
ENSPPAP00000032056	ENSPPAG00000038923	Pan_paniscus
ENSSARP00000010172	ENSSARG00000011266	Sorex_araneus
MGP_PahariEiJ_P0066115	MGP_PahariEiJ_G0025872	Mus_pahari_strain_PAHARI_EIJ
MGP_SPRETEiJ_P0057271	MGP_SPRETEiJ_G0025349	Mus_spretus_strain_SPRET/EiJ
ENSNPEP00000005473	ENSNPEG00000003643	Nothoprocta_perdicaria
ENSFDAP00000016288	ENSFDAG00000004693	Fukomys_damarensis
ENSPSMP00000013520	ENSPSMG00000009630	Prolemur_simus
ENSFALP00000000823	ENSFALG00000000792	Ficedula_albicollis
ENSEBUP00000010921	ENSEBUG00000007017	Eptatretus_burgeri
ENSZALP00000022479	ENSZALG00000017432	Zonotrichia_albicollis
ENSMUGP00000019910	ENSMUGG00000016829	Meriones_unguiculatus
ENSPTEP00000031058	ENSPTEG00000030108	Piliocolobus_tephrosceles
ENSPMJP00000004065	ENSPMJG00000003511	Parus_major
ENSAOWP00000017611	ENSAOWG00000012036	Apteryx_owenii
ENSLSDP00000022500	ENSLSDG00000015903	Lonchura_striata_domestica
ENSLCOP00000016664	ENSLCOG00000011864	Lepidothrix_coronata
ENSPEMP00000027705	ENSPEMG00000023436	Peromyscus_maniculatus_bairdii
ENSMMUP00000037382	ENSMMUG00000009201	Macaca_mulatta
ENSAPLP00000011957	ENSAPLG00000012148	Anas_platyrhynchos_platyrhynchos
ENSTGEP00000025837	ENSTGEG00000020801	Theropithecus_gelada
ENSABRP00000002169	ENSABRG00000002156	Anser_brachyrhynchus	ENSABRT00000003200
ENSACAP00000013995	ENSACAG00000014187	Anolis_carolinensis
