ENSODEP00000016803	ENSODEG00000012378	Octodon_degus
ENSSPUP00000023501	ENSSPUG00000017999	Sphenodon_punctatus
ENSGAGP00000001467	ENSGAGG00000001177	Gopherus_agassizii
ENSCABP00000028407	ENSCABG00000020855	Chelonoidis_abingdonii
ENSCPBP00000026787	ENSCPBG00000019013	Chrysemys_picta_bellii
ENSPSIP00000012145	ENSPSIG00000010962	Pelodiscus_sinensis
ENSOANP00000005587	ENSOANG00000003527	Ornithorhynchus_anatinus
ENSXETP00000032427	ENSXETG00000010953	Xenopus_tropicalis
ENSUPAP00010029989	ENSUPAG00010023567	Urocitellus_parryii
ENSSTOP00000025088	ENSSTOG00000027932	Ictidomys_tridecemlineatus
ENSSDAP00000013893	ENSSDAG00000012510	Spermophilus_dauricus
ENSMMMP00000009433	ENSMMMG00000008382	Marmota_marmota_marmota
ENSCCNP00000011171	ENSCCNG00000011529	Castor_canadensis
MGP_SPRETEiJ_P0040563	MGP_SPRETEiJ_G0020851	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000158945	ENSMUSG00000033697	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000029399	ENSMSIG00000024684	Mus_spicilegus
MGP_CAROLIEiJ_P0038751	MGP_CAROLIEiJ_G0019948	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042123	MGP_PahariEiJ_G0019958	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000051450	ENSRNOG00000016566	Rattus_norvegicus
ENSMUGP00000014115	ENSMUGG00000012240	Meriones_unguiculatus
ENSMOCP00000002936	ENSMOCG00000002341	Microtus_ochrogaster	ENSMOCT00000003134
ENSPEMP00000002715	ENSPEMG00000003242	Peromyscus_maniculatus_bairdii
ENSCGRP00015029334	ENSCGRG00015022112	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017515	ENSCGRG00001017523	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014286	ENSCGRG00000010337	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000015350	ENSMAUG00000014821	Mesocricetus_auratus
ENSNGAP00000009594	ENSNGAG00000012243	Nannospalax_galili
ENSCPOP00000013965	ENSCPOG00000015486	Cavia_porcellus
ENSCAPP00000014685	ENSCAPG00000015000	Cavia_aperea
ENSCLAP00000019993	ENSCLAG00000013700	Chinchilla_lanigera
ENSHGLP00000010658	ENSHGLG00000007635	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010874	ENSHGLG00100008071	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007301	ENSFDAG00000015841	Fukomys_damarensis
ENSOCUP00000002292	ENSOCUG00000002652	Oryctolagus_cuniculus
ENSPTRP00000035433	ENSPTRG00000020714	Pan_troglodytes
ENSPPAP00000012780	ENSPPAG00000029570	Pan_paniscus
ENSGGOP00000014006	ENSGGOG00000014358	Gorilla_gorilla
ENSP00000366522	ENSG00000147799	Homo_sapiens
ENSPPYP00000021293	ENSPPYG00000018987	Pongo_abelii
ENSNLEP00000044365	ENSNLEG00000010917	Nomascus_leucogenys
ENSCATP00000031289	ENSCATG00000038766	Cercocebus_atys
ENSMLEP00000010893	ENSMLEG00000029625	Mandrillus_leucophaeus
ENSMFAP00000010732	ENSMFAG00000009224	Macaca_fascicularis
ENSMMUP00000062400	ENSMMUG00000061544	Macaca_mulatta
ENSMNEP00000012595	ENSMNEG00000030593	Macaca_nemestrina
ENSTGEP00000024193	ENSTGEG00000019569	Theropithecus_gelada
ENSPANP00000011791	ENSPANG00000010062	Papio_anubis
ENSCSAP00000004487	ENSCSAG00000008227	Chlorocebus_sabaeus
ENSPTEP00000022007	ENSPTEG00000022967	Piliocolobus_tephrosceles
ENSCANP00000009544	ENSCANG00000028190	Colobus_angolensis_palliatus
ENSRROP00000020315	ENSRROG00000034103	Rhinopithecus_roxellana
ENSRBIP00000023580	ENSRBIG00000035705	Rhinopithecus_bieti
ENSCCAP00000037042	ENSCCAG00000036412	Cebus_capucinus_imitator
ENSSBOP00000003558	ENSSBOG00000016923	Saimiri_boliviensis_boliviensis
ENSANAP00000025410	ENSANAG00000030400	Aotus_nancymaae
ENSCJAP00000069360	ENSCJAG00000021395	Callithrix_jacchus
ENSTSYP00000004732	ENSTSYG00000005180	Carlito_syrichta
ENSPCOP00000007484	ENSPCOG00000014982	Propithecus_coquereli
ENSPSMP00000036305	ENSPSMG00000024980	Prolemur_simus
ENSMICP00000050249	ENSMICG00000015961	Microcebus_murinus
ENSOGAP00000011663	ENSOGAG00000013020	Otolemur_garnettii
ENSPVAP00000014778	ENSPVAG00000015671	Pteropus_vampyrus
ENSMLUP00000010377	ENSMLUG00000011368	Myotis_lucifugus
ENSCHIP00000002760	ENSCHIG00000006436	Capra_hircus
ENSOARP00000013597	ENSOARG00000012694	Ovis_aries
ENSBIXP00000006071	ENSBIXG00000012212	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005004437	ENSBIXG00005000858	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000058454	ENSBTAG00000007186	Bos_taurus
ENSBMUP00000020046	ENSBMUG00000014966	Bos_mutus
ENSBBBP00000019852	ENSBBBG00000001592	Bison_bison_bison
ENSTTRP00000009407	ENSTTRG00000009918	Tursiops_truncatus
ENSSSCP00000006302	ENSSSCG00000005894	Sus_scrofa_strain_reference
ENSUMAP00000026628	ENSUMAG00000019386	Ursus_maritimus
ENSUAMP00000008143	ENSUAMG00000006954	Ursus_americanus
ENSAMEP00000005739	ENSAMEG00000005424	Ailuropoda_melanoleuca
ENSMPUP00000006005	ENSMPUG00000006056	Mustela_putorius_furo
ENSNVIP00000031444	ENSNVIG00000024171	Neovison_vison
ENSCAFP00020026736	ENSCAFG00020020985	Canis_lupus_dingo
ENSCAFP00000002432	ENSCAFG00000001669	Canis_lupus_familiaris
ENSVVUP00000007311	ENSVVUG00000005525	Vulpes_vulpes
ENSPPRP00000020642	ENSPPRG00000011661	Panthera_pardus
ENSPTIP00000021439	ENSPTIG00000018571	Panthera_tigris_altaica
ENSFCAP00000027809	ENSFCAG00000014395	Felis_catus
ENSEASP00005015765	ENSEASG00005010971	Equus_asinus_asinus
ENSECAP00000041816	ENSECAG00000024412	Equus_caballus
ENSSARP00000003660	ENSSARG00000004010	Sorex_araneus
ENSEEUP00000007191	ENSEEUG00000007883	Erinaceus_europaeus
ENSDNOP00000032075	ENSDNOG00000049804	Dasypus_novemcinctus
ENSPCAP00000013382	ENSPCAG00000014338	Procavia_capensis
ENSOPRP00000002484	ENSOPRG00000002699	Ochotona_princeps
ENSLAFP00000025027	ENSLAFG00000009522	Loxodonta_africana
ENSETEP00000014823	ENSETEG00000018246	Echinops_telfairi
ENSACAP00000020078	ENSACAG00000027788	Anolis_carolinensis
ENSLSDP00000000267	ENSLSDG00000000234	Lonchura_striata_domestica
ENSLACP00000023474	ENSLACG00000012244	Latimeria_chalumnae
ENSMGAP00000006963	ENSMGAG00000006905	Meleagris_gallopavo
ENSCMIP00000004402	ENSCMIG00000002620	Callorhinchus_milii
ENSSLDP00000015686	ENSSLDG00000012447	Seriola_lalandi_dorsalis
ENSSDUP00000026506	ENSSDUG00000019213	Seriola_dumerili
ENSSMAP00000008147	ENSSMAG00000005019	Scophthalmus_maximus
ENSLCAP00010016114	ENSLCAG00010007682	Lates_calcarifer
ENSATEP00000009586	ENSATEG00000006654	Anabas_testudineus
ENSBSLP00000023931	ENSBSLG00000012106	Betta_splendens
ENSCGOP00000005540	ENSCGOG00000002947	Cottoperca_gobio
ENSGACP00000004044	ENSGACG00000003082	Gasterosteus_aculeatus
ENSLBEP00000018921	ENSLBEG00000014534	Labrus_bergylta
ENSLCRP00005024321	ENSLCRG00005009758	Larimichthys_crocea
ENSMMOP00000010831	ENSMMOG00000008352	Mola_mola
ENSAOCP00000028155	ENSAOCG00000017664	Amphiprion_ocellaris
ENSAPEP00000029207	ENSAPEG00000020738	Amphiprion_percula
ENSAPOP00000027093	ENSAPOG00000011400	Acanthochromis_polyacanthus
ENSSPAP00000014534	ENSSPAG00000010978	Stegastes_partitus
ENSGWIP00000001683	ENSGWIG00000000977	Gouania_willdenowi
ENSTRUP00000020777	ENSTRUG00000008303	Takifugu_rubripes
ENSTNIP00000006593	ENSTNIG00000003984	Tetraodon_nigroviridis
ENSCSEP00000003005	ENSCSEG00000001973	Cynoglossus_semilaevis
ENSMALP00000030559	ENSMALG00000021101	Monopterus_albus
ENSPMEP00000031536	ENSPMEG00000018745	Poecilia_mexicana
ENSPFOP00000014664	ENSPFOG00000014646	Poecilia_formosa
ENSPREP00000029588	ENSPREG00000020019	Poecilia_reticulata
ENSPFOP00000022669	ENSPFOG00000024483	Poecilia_formosa
ENSXMAP00000011245	ENSXMAG00000011225	Xiphophorus_maculatus
ENSCVAP00000030794	ENSCVAG00000019585	Cyprinodon_variegatus
ENSKMAP00000013419	ENSKMAG00000010026	Kryptolebias_marmoratus
ENSORLP00020005778	ENSORLG00020006649	Oryzias_latipes_ASM223471v1
ENSORLP00000045711	ENSORLG00000022761	Oryzias_latipes_ASM223467v1
ENSORLP00015023143	ENSORLG00015000080	Oryzias_latipes_ASM223469v1
ENSOMEP00000026154	ENSOMEG00000007853	Oryzias_melastigma
ENSACLP00000027735	ENSACLG00000018822	Astatotilapia_calliptera
ENSMZEP00005024161	ENSMZEG00005018073	Maylandia_zebra
ENSPNYP00000003893	ENSPNYG00000003004	Pundamilia_nyererei
ENSHBUP00000006241	ENSHBUG00000007674	Haplochromis_burtoni
ENSNBRP00000025575	ENSNBRG00000019535	Neolamprologus_brichardi
ENSONIP00000009658	ENSONIG00000007661	Oreochromis_niloticus
ENSACIP00000002467	ENSACIG00000001996	Amphilophus_citrinellus
ENSPRNP00000004742	ENSPRNG00000002653	Parambassis_ranga
ENSMAMP00000032988	ENSMAMG00000022197	Mastacembelus_armatus
ENSHCOP00000008421	ENSHCOG00000010685	Hippocampus_comes
ENSPMGP00000003944	ENSPMGG00000003370	Periophthalmus_magnuspinnatus
ENSGMOP00000017736	ENSGMOG00000016514	Gadus_morhua
ENSHHUP00000014287	ENSHHUG00000008817	Hucho_hucho
ENSHHUP00000017745	ENSHHUG00000011045	Hucho_hucho
ENSELUP00000000520	ENSELUG00000002107	Esox_lucius
ENSAMXP00005016767	ENSAMXG00005008742	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00005016777	ENSAMXG00005008749	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000013782	ENSAMXG00000013370	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000001139	ENSPNAG00000000574	Pygocentrus_nattereri
ENSIPUP00000011160	ENSIPUG00000007606	Ictalurus_punctatus
ENSEEEP00000044212	ENSEEEG00000020876	Electrophorus_electricus
ENSDARP00000132870	ENSDARG00000100007	Danio_rerio
ENSDCDP00000017191	ENSDCDG00000013984	Denticeps_clupeoides
ENSDCDP00000017336	ENSDCDG00000014100	Denticeps_clupeoides
ENSCHAP00000016913	ENSCHAG00000008631	Clupea_harengus
ENSSFOP00015009669	ENSSFOG00015006263	Scleropages_formosus
ENSPKIP00000025913	ENSPKIG00000008583	Paramormyrops_kingsleyae
ENSSFOP00015010535	ENSSFOG00015006826	Scleropages_formosus
ENSPKIP00000015618	ENSPKIG00000002279	Paramormyrops_kingsleyae
ENSLOCP00000010295	ENSLOCG00000008461	Lepisosteus_oculatus
ENSECRP00000017259	ENSECRG00000011496	Erpetoichthys_calabaricus
ENSPMAP00000005044	ENSPMAG00000004592	Petromyzon_marinus
ENSEBUP00000004657	ENSEBUG00000003252	Eptatretus_burgeri
