ENSGAFP00000006941	ENSGAFG00000004710	Gambusia_affinis
ENSNBRP00000011425	ENSNBRG00000008874	Neolamprologus_brichardi
ENSSDAP00000009812	ENSSDAG00000008922	Spermophilus_dauricus
ENSSBOP00000002208	ENSSBOG00000011468	Saimiri_boliviensis_boliviensis
ENSAPEP00000006874	ENSAPEG00000004899	Amphiprion_percula
ENSGACP00000016807	ENSGACG00000012722	Gasterosteus_aculeatus
ENSSSCP00000038437	ENSSSCG00000027652	Sus_scrofa_strain_reference
ENSHHUP00000003265	ENSHHUG00000002049	Hucho_hucho
ENSEEUP00000004645	ENSEEUG00000005114	Erinaceus_europaeus
ENSATEP00000030860	ENSATEG00000021306	Anabas_testudineus
ENSPMJP00000014797	ENSPMJG00000011222	Parus_major	ENSPMJT00000019398
ENSMZEP00005027768	ENSMZEG00005020694	Maylandia_zebra
ENSODEP00000018660	ENSODEG00000013753	Octodon_degus
ENSMFAP00000037259	ENSMFAG00000037877	Macaca_fascicularis
ENSCGRP00001010506	ENSCGRG00001012393	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015019243	ENSCGRG00015014761	Cricetulus_griseus_CriGri-PICR
ENSMMMP00000000491	ENSMMMG00000000487	Marmota_marmota_marmota
ENSAHAP00000022143	ENSAHAG00000015553	Apteryx_haastii
ENSAMEP00000013407	ENSAMEG00000012739	Ailuropoda_melanoleuca
ENSCATP00000011914	ENSCATG00000030150	Cercocebus_atys
ENSGAGP00000002699	ENSGAGG00000002169	Gopherus_agassizii
ENSSMAP00000016572	ENSSMAG00000010151	Scophthalmus_maximus
ENSORLP00015027479	ENSORLG00015009565	Oryzias_latipes_ASM223469v1
ENSPTIP00000009493	ENSPTIG00000010552	Panthera_tigris_altaica
ENSXETP00000021860	ENSXETG00000006197	Xenopus_tropicalis
ENSPFOP00000023951	ENSPFOG00000009668	Poecilia_formosa
ENSMSIP00000028991	ENSMSIG00000024319	Mus_spicilegus
MGP_CAROLIEiJ_P0092127	MGP_CAROLIEiJ_G0033235	Mus_caroli_strain_CAROLI_EIJ
ENSMALP00000024321	ENSMALG00000016962	Monopterus_albus
ENSEEEP00000002438	ENSEEEG00000001428	Electrophorus_electricus
ENSCSEP00000024433	ENSCSEG00000015599	Cynoglossus_semilaevis
ENSCVAP00000013524	ENSCVAG00000016060	Cyprinodon_variegatus
ENSCSAP00000010498	ENSCSAG00000014371	Chlorocebus_sabaeus
ENSPMGP00000004626	ENSPMGG00000003929	Periophthalmus_magnuspinnatus
ENSGWIP00000035392	ENSGWIG00000018280	Gouania_willdenowi
ENSCCNP00000014875	ENSCCNG00000015345	Castor_canadensis
ENSMODP00000037488	ENSMODG00000025253	Monodelphis_domestica
ENSUPAP00010000071	ENSUPAG00010000081	Urocitellus_parryii
ENSLCOP00000002384	ENSLCOG00000001862	Lepidothrix_coronata	ENSLCOT00000002553
ENSCHIP00000024458	ENSCHIG00000021632	Capra_hircus
ENSPTRP00000070451	ENSPTRG00000021744	Pan_troglodytes
ENSMUGP00000010162	ENSMUGG00000008974	Meriones_unguiculatus
ENSCPGP00000008006	ENSCPGG00000005710	Calidris_pygmaea
ENSBSLP00000049523	ENSBSLG00000023568	Betta_splendens
ENSRROP00000011396	ENSRROG00000030039	Rhinopithecus_roxellana
ENSSARP00000009254	ENSSARG00000010246	Sorex_araneus
ENSGALP00000052364	ENSGALG00000054564	Gallus_gallus
ENSECRP00000008898	ENSECRG00000005980	Erpetoichthys_calabaricus
ENSTTRP00000011822	ENSTTRG00000012468	Tursiops_truncatus
ENSNLEP00000012232	ENSNLEG00000010036	Nomascus_leucogenys
ENSCPUP00000012381	ENSCPUG00000008766	Calidris_pugnax
ENSETEP00000012467	ENSETEG00000015382	Echinops_telfairi
ENSNVIP00000000459	ENSNVIG00000000417	Neovison_vison
ENSLSDP00000008711	ENSLSDG00000006501	Lonchura_striata_domestica
ENSBIXP00005040794	ENSBIXG00005023551	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCANP00000019977	ENSCANG00000033420	Colobus_angolensis_palliatus
ENSMAMP00000013294	ENSMAMG00000008988	Mastacembelus_armatus
ENSCJAP00000072153	ENSCJAG00000051881	Callithrix_jacchus
ENSARWP00000010783	ENSARWG00000007483	Apteryx_rowi
ENSFALP00000004312	ENSFALG00000004139	Ficedula_albicollis	ENSFALT00000004333
ENSSCAP00000021796	ENSSCAG00000015664	Serinus_canaria
ENSCLAP00000002232	ENSCLAG00000001609	Chinchilla_lanigera
ENSRNOP00000068396	ENSRNOG00000006515	Rattus_norvegicus
ENSLAFP00000009245	ENSLAFG00000011049	Loxodonta_africana
ENSDARP00000025618	ENSDARG00000001930	Danio_rerio
ENSFDAP00000008465	ENSFDAG00000006513	Fukomys_damarensis
ENSSMRP00000029703	ENSSMRG00000022830	Salvator_merianae
ENSJJAP00000010650	ENSJJAG00000014191	Jaculus_jaculus
ENSMODP00000049572	ENSMODG00000044623	Monodelphis_domestica
ENSOCUP00000035900	ENSOCUG00000006668	Oryctolagus_cuniculus
ENSCPBP00000008730	ENSCPBG00000006784	Chrysemys_picta_bellii
ENSCABP00000014487	ENSCABG00000010817	Chelonoidis_abingdonii
ENSLCRP00005030141	ENSLCRG00005011997	Larimichthys_crocea
ENSNPEP00000000398	ENSNPEG00000000349	Nothoprocta_perdicaria
ENSZALP00000023493	ENSZALG00000018173	Zonotrichia_albicollis
ENSUMAP00000015741	ENSUMAG00000011554	Ursus_maritimus
ENSPTEP00000003041	ENSPTEG00000003589	Piliocolobus_tephrosceles
ENSMEUP00000013140	ENSMEUG00000014410	Notamacropus_eugenii
ENSOARP00000018219	ENSOARG00000016967	Ovis_aries
ENSEASP00005026045	ENSEASG00005017768	Equus_asinus_asinus
ENSSDUP00000005491	ENSSDUG00000004040	Seriola_dumerili
ENSMMOP00000020983	ENSMMOG00000015948	Mola_mola
ENSACIP00000012274	ENSACIG00000009569	Amphilophus_citrinellus
ENSHCOP00000025282	ENSHCOG00000015329	Hippocampus_comes
ENSPCIP00000032345	ENSPCIG00000024016	Phascolarctos_cinereus
ENSMMUP00000080561	ENSMMUG00000037633	Macaca_mulatta
ENSFCAP00000035756	ENSFCAG00000022049	Felis_catus
ENSTBEP00000014065	ENSTBEG00000016205	Tupaia_belangeri
ENSMUSP00000109548	ENSMUSG00000043929	Mus_musculus_strain_reference_(CL57BL6)
ENSNMEP00000021615	ENSNMEG00000018528	Numida_meleagris
ENSPLAP00000006300	ENSPLAG00000008411	Poecilia_latipinna
ENSPCOP00000014615	ENSPCOG00000019009	Propithecus_coquereli
ENSFHEP00000005524	ENSFHEG00000006527	Fundulus_heteroclitus
ENSPEMP00000029346	ENSPEMG00000027980	Peromyscus_maniculatus_bairdii
ENSMPUP00000000103	ENSMPUG00000000107	Mustela_putorius_furo
ENSBTAP00000027396	ENSBTAG00000020561	Bos_taurus
ENSORLP00020011715	ENSORLG00020012655	Oryzias_latipes_ASM223471v1
ENSTNIP00000007212	ENSTNIG00000004563	Tetraodon_nigroviridis
ENSVURP00010014273	ENSVURG00010010959	Vombatus_ursinus
ENSCCEP00000010647	ENSCCEG00000010529	Cyanistes_caeruleus	ENSCCET00000016715
ENSMAUP00000002174	ENSMAUG00000001738	Mesocricetus_auratus
ENSABRP00000009271	ENSABRG00000008293	Anser_brachyrhynchus
ENSCMIP00000022127	ENSCMIG00000010033	Callorhinchus_milii
ENSPPYP00000022594	ENSPPYG00000020193	Pongo_abelii
ENSPNYP00000001303	ENSPNYG00000001030	Pundamilia_nyererei
ENSSPUP00000000076	ENSSPUG00000000106	Sphenodon_punctatus
ENSPCAP00000013701	ENSPCAG00000014693	Procavia_capensis
ENSVVUP00000017275	ENSVVUG00000012733	Vulpes_vulpes
ENSXMAP00000026192	ENSXMAG00000023286	Xiphophorus_maculatus
ENSMLUP00000001536	ENSMLUG00000001675	Myotis_lucifugus
ENSDNVP00000009284	ENSDNVG00000006556	Dromaius_novaehollandiae
ENSDCDP00000063271	ENSDCDG00000035686	Denticeps_clupeoides
ENSPSMP00000014012	ENSPSMG00000010060	Prolemur_simus
ENSMLEP00000003053	ENSMLEG00000012848	Mandrillus_leucophaeus
ENSAPLP00000011782	ENSAPLG00000012028	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005021572	ENSCJPG00005017264	Coturnix_japonica
ENSBIXP00000002270	ENSBIXG00000008006	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSONIP00000010366	ENSONIG00000008235	Oreochromis_niloticus
ENSPSIP00000017069	ENSPSIG00000015199	Pelodiscus_sinensis
ENSPANP00000034704	ENSPANG00000010573	Papio_anubis
ENSPMEP00000020660	ENSPMEG00000023869	Poecilia_mexicana
ENSIPUP00000010393	ENSIPUG00000007100	Ictalurus_punctatus
ENSNSUP00000016131	ENSNSUG00000011941	Notechis_scutatus
ENSSLDP00000011101	ENSSLDG00000008828	Seriola_lalandi_dorsalis
ENSGMOP00000004601	ENSGMOG00000004337	Gadus_morhua
ENSSTOP00000001963	ENSSTOG00000002209	Ictidomys_tridecemlineatus
ENSLCAP00010056859	ENSLCAG00010026543	Lates_calcarifer
ENSMICP00000046040	ENSMICG00000038607	Microcebus_murinus
ENSACAP00000007241	ENSACAG00000007405	Anolis_carolinensis
ENSPREP00000016548	ENSPREG00000011196	Poecilia_reticulata
ENSPRNP00000052127	ENSPRNG00000024640	Parambassis_ranga
ENSDNOP00000007956	ENSDNOG00000010294	Dasypus_novemcinctus
ENSHGLP00000008599	ENSHGLG00000006205	Heterocephalus_glaber_HetGla_female_1.0
ENSELUP00000034348	ENSELUG00000012872	Esox_lucius
ENSPNAP00000011721	ENSPNAG00000017414	Pygocentrus_nattereri
ENSORLP00000029290	ENSORLG00000018526	Oryzias_latipes_ASM223467v1
ENSAMXP00000029537	ENSAMXG00000043398	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLACP00000001055	ENSLACG00000000944	Latimeria_chalumnae
