ENSFDAP00000020212	ENSFDAG00000008611	Fukomys_damarensis
ENSMUSP00000087815	ENSMUSG00000022246	Mus_musculus_strain_reference_(CL57BL6)
ENSLCAP00010005060	ENSLCAG00010002569	Lates_calcarifer
ENSLBEP00000031023	ENSLBEG00000023438	Labrus_bergylta
ENSXMAP00000003677	ENSXMAG00000003662	Xiphophorus_maculatus
ENSPSMP00000011178	ENSPSMG00000008085	Prolemur_simus
ENSCCAP00000017206	ENSCCAG00000026408	Cebus_capucinus_imitator
ENSTGUP00000002015	ENSTGUG00000001957	Taeniopygia_guttata
ENSVURP00010020002	ENSVURG00010015270	Vombatus_ursinus
ENSEEUP00000004435	ENSEEUG00000004833	Erinaceus_europaeus
ENSFCAP00000028283	ENSFCAG00000000513	Felis_catus
ENSVVUP00000030305	ENSVVUG00000022106	Vulpes_vulpes
ENSMZEP00005024071	ENSMZEG00005018010	Maylandia_zebra
ENSHHUP00000039772	ENSHHUG00000024644	Hucho_hucho
ENSCPBP00000030265	ENSCPBG00000021300	Chrysemys_picta_bellii
ENSSARP00000008909	ENSSARG00000009825	Sorex_araneus
ENSLCRP00005032599	ENSLCRG00005012880	Larimichthys_crocea
ENSOARP00000012574	ENSOARG00000011727	Ovis_aries
ENSSTOP00000027261	ENSSTOG00000023891	Ictidomys_tridecemlineatus
ENSHBUP00000030591	ENSHBUG00000015729	Haplochromis_burtoni
ENSCSAP00000013175	ENSCSAG00000017137	Chlorocebus_sabaeus
ENSLSDP00000014557	ENSLSDG00000010518	Lonchura_striata_domestica
ENSABRP00000004866	ENSABRG00000004477	Anser_brachyrhynchus	ENSABRT00000006929
ENSZALP00000009580	ENSZALG00000008222	Zonotrichia_albicollis
ENSCANP00000035547	ENSCANG00000041333	Colobus_angolensis_palliatus
ENSXETP00000010623	ENSXETG00000016723	Xenopus_tropicalis
ENSNMEP00000000703	ENSNMEG00000001059	Numida_meleagris
ENSECRP00000011751	ENSECRG00000007831	Erpetoichthys_calabaricus
ENSMSIP00000003125	ENSMSIG00000002884	Mus_spicilegus
ENSJJAP00000015431	ENSJJAG00000017572	Jaculus_jaculus
MGP_SPRETEiJ_P0039643	MGP_SPRETEiJ_G0020565	Mus_spretus_strain_SPRET/EiJ
ENSSDUP00000022680	ENSSDUG00000016515	Seriola_dumerili
ENSDORP00000008802	ENSDORG00000009364	Dipodomys_ordii
ENSPVIP00000019663	ENSPVIG00000014899	Pogona_vitticeps
ENSCAPP00000017920	ENSCAPG00000017464	Cavia_aperea
ENSCGRP00001027664	ENSCGRG00001024609	Cricetulus_griseus_CHOK1GS_HDv1
ENSFALP00000002192	ENSFALG00000002112	Ficedula_albicollis
ENSTSYP00000029338	ENSTSYG00000027199	Carlito_syrichta
ENSEASP00005021949	ENSEASG00005014978	Equus_asinus_asinus
ENSGAFP00000011666	ENSGAFG00000007884	Gambusia_affinis
ENSSLDP00000021416	ENSSLDG00000016738	Seriola_lalandi_dorsalis
ENSCGRP00015021226	ENSCGRG00015016154	Cricetulus_griseus_CriGri-PICR
ENSCHAP00000060138	ENSCHAG00000026917	Clupea_harengus
ENSTBEP00000009694	ENSTBEG00000011190	Tupaia_belangeri
ENSGMOP00000017584	ENSGMOG00000016362	Gadus_morhua
ENSACAP00000008305	ENSACAG00000008462	Anolis_carolinensis
ENSMAMP00000014174	ENSMAMG00000009619	Mastacembelus_armatus
ENSMEUP00000003006	ENSMEUG00000003290	Notamacropus_eugenii
ENSOGAP00000013269	ENSOGAG00000014808	Otolemur_garnettii
MGP_PahariEiJ_P0027382	MGP_PahariEiJ_G0016048	Mus_pahari_strain_PAHARI_EIJ
ENSVPAP00000009420	ENSVPAG00000010124	Vicugna_pacos
ENSACLP00000028464	ENSACLG00000019325	Astatotilapia_calliptera
ENSSHAP00000017944	ENSSHAG00000015233	Sarcophilus_harrisii
ENSNGAP00000018751	ENSNGAG00000018767	Nannospalax_galili
ENSCCNP00000003311	ENSCCNG00000003443	Castor_canadensis
ENSDNVP00000019050	ENSDNVG00000013302	Dromaius_novaehollandiae
ENSHGLP00000003656	ENSHGLG00000002698	Heterocephalus_glaber_HetGla_female_1.0
ENSMGAP00000019015	ENSMGAG00000003087	Meleagris_gallopavo
ENSCJPP00005007147	ENSCJPG00005006594	Coturnix_japonica
ENSGGOP00000037301	ENSGGOG00000024320	Gorilla_gorilla
ENSPNAP00000003290	ENSPNAG00000009793	Pygocentrus_nattereri
ENSBBBP00000026685	ENSBBBG00000005980	Bison_bison_bison
ENSRROP00000002436	ENSRROG00000008993	Rhinopithecus_roxellana
ENSCGRP00000010924	ENSCGRG00000007954	Cricetulus_griseus_CriGri_1.0
ENSBSLP00000029554	ENSBSLG00000014682	Betta_splendens
ENSTNIP00000011989	ENSTNIG00000009129	Tetraodon_nigroviridis
ENSSSCP00000017821	ENSSSCG00000016824	Sus_scrofa_strain_reference
ENSPTEP00000026024	ENSPTEG00000026166	Piliocolobus_tephrosceles
ENSUAMP00000006414	ENSUAMG00000005634	Ursus_americanus
ENSPMGP00000029741	ENSPMGG00000023934	Periophthalmus_magnuspinnatus
ENSPFOP00000019843	ENSPFOG00000019717	Poecilia_formosa
ENSACIP00000024916	ENSACIG00000019305	Amphilophus_citrinellus
ENSMMUP00000018067	ENSMMUG00000013739	Macaca_mulatta
ENSLAFP00000021270	ENSLAFG00000007243	Loxodonta_africana
ENSOANP00000027698	ENSOANG00000021735	Ornithorhynchus_anatinus
ENSCGOP00000038582	ENSCGOG00000017690	Cottoperca_gobio
ENSTGEP00000007173	ENSTGEG00000005859	Theropithecus_gelada
ENSHGLP00100002589	ENSHGLG00100002022	Heterocephalus_glaber_HetGla_1.0
ENSMUGP00000019055	ENSMUGG00000016100	Meriones_unguiculatus
ENSCLAP00000015143	ENSCLAG00000010437	Chinchilla_lanigera
ENSNVIP00000004644	ENSNVIG00000003583	Neovison_vison
ENSNLEP00000017542	ENSNLEG00000014363	Nomascus_leucogenys
ENSCPGP00000010585	ENSCPGG00000007530	Calidris_pygmaea
ENSPTRP00000028776	ENSPTRG00000016781	Pan_troglodytes
ENSMODP00000025511	ENSMODG00000020394	Monodelphis_domestica
ENSPPYP00000017187	ENSPPYG00000015387	Pongo_abelii
ENSAOWP00000013058	ENSAOWG00000008913	Apteryx_owenii
ENSXCOP00000006647	ENSXCOG00000005144	Xiphophorus_couchianus
ENSCHIP00000024159	ENSCHIG00000021456	Capra_hircus
ENSPCIP00000030647	ENSPCIG00000022793	Phascolarctos_cinereus
ENSNPEP00000002991	ENSNPEG00000002297	Nothoprocta_perdicaria
ENSNSUP00000020663	ENSNSUG00000015038	Notechis_scutatus
ENSMOCP00000024453	ENSMOCG00000020864	Microtus_ochrogaster
ENSPCOP00000017848	ENSPCOG00000020767	Propithecus_coquereli
ENSUPAP00010002839	ENSUPAG00010002341	Urocitellus_parryii
ENSKMAP00000013639	ENSKMAG00000010241	Kryptolebias_marmoratus
ENSNBRP00000000357	ENSNBRG00000000288	Neolamprologus_brichardi
ENSMLEP00000001123	ENSMLEG00000003646	Mandrillus_leucophaeus
ENSBTAP00000009296	ENSBTAG00000007071	Bos_taurus
ENSCPUP00000027424	ENSCPUG00000018459	Calidris_pugnax
ENSPPRP00000000557	ENSPPRG00000024733	Panthera_pardus
