ENSLBEP00000027979	ENSLBEG00000021216	Labrus_bergylta
ENSPVAP00000004424	ENSPVAG00000004672	Pteropus_vampyrus
ENSMICP00000049380	ENSMICG00000045699	Microcebus_murinus
ENSLCOP00000020499	ENSLCOG00000014523	Lepidothrix_coronata
ENSMMOP00000011903	ENSMMOG00000009152	Mola_mola
ENSSDAP00000021704	ENSSDAG00000019740	Spermophilus_dauricus
ENSCGRP00001007310	ENSCGRG00001009739	Cricetulus_griseus_CHOK1GS_HDv1
ENSMEUP00000004787	ENSMEUG00000005240	Notamacropus_eugenii
ENSMAUP00000008912	ENSMAUG00000010220	Mesocricetus_auratus
ENSOGAP00000016879	ENSOGAG00000024745	Otolemur_garnettii
ENSCSEP00000009905	ENSCSEG00000006360	Cynoglossus_semilaevis
ENSORLP00015003734	ENSORLG00015004502	Oryzias_latipes_ASM223469v1
ENSCVAP00000029424	ENSCVAG00000017185	Cyprinodon_variegatus
ENSMSIP00000014942	ENSMSIG00000012852	Mus_spicilegus
ENSSTOP00000020144	ENSSTOG00000023683	Ictidomys_tridecemlineatus
ENSDNVP00000024968	ENSDNVG00000017364	Dromaius_novaehollandiae
ENSGMOP00000000702	ENSGMOG00000000713	Gadus_morhua
ENSEEEP00000048337	ENSEEEG00000022765	Electrophorus_electricus
ENSOANP00000021574	ENSOANG00000013680	Ornithorhynchus_anatinus
ENSCPRP00005004295	ENSCPRG00005003162	Crocodylus_porosus
ENSLSDP00000022786	ENSLSDG00000016085	Lonchura_striata_domestica
ENSBBBP00000013374	ENSBBBG00000021045	Bison_bison_bison
ENSMLEP00000000981	ENSMLEG00000003760	Mandrillus_leucophaeus
ENSGWIP00000054289	ENSGWIG00000025971	Gouania_willdenowi
ENSPCIP00000045494	ENSPCIG00000035084	Phascolarctos_cinereus
ENSGALP00000072411	ENSGALG00000053363	Gallus_gallus
ENSBTAP00000068342	ENSBTAG00000005933	Bos_taurus
ENSLAFP00000016526	ENSLAFG00000021975	Loxodonta_africana
ENSIPUP00000005816	ENSIPUG00000004041	Ictalurus_punctatus
ENSSFOP00015013114	ENSSFOG00015008436	Scleropages_formosus
ENSSMAP00000029508	ENSSMAG00000018080	Scophthalmus_maximus
ENSABRP00000008806	ENSABRG00000007922	Anser_brachyrhynchus
ENSMMMP00000019448	ENSMMMG00000017185	Marmota_marmota_marmota
ENSAMEP00000004388	ENSAMEG00000004159	Ailuropoda_melanoleuca
ENSPKIP00000034644	ENSPKIG00000013900	Paramormyrops_kingsleyae
ENSSLDP00000001145	ENSSLDG00000000978	Seriola_lalandi_dorsalis
ENSCPOP00000024240	ENSCPOG00000036076	Cavia_porcellus
ENSAOCP00000026367	ENSAOCG00000014581	Amphiprion_ocellaris
ENSELUP00000013810	ENSELUG00000013896	Esox_lucius
ENSLOCP00000008279	ENSLOCG00000006849	Lepisosteus_oculatus
ENSECRP00000009916	ENSECRG00000006629	Erpetoichthys_calabaricus
ENSPTEP00000002256	ENSPTEG00000002651	Piliocolobus_tephrosceles
ENSGAGP00000016470	ENSGAGG00000012325	Gopherus_agassizii
ENSCLAP00000008424	ENSCLAG00000005897	Chinchilla_lanigera
ENSTGUP00000003708	ENSTGUG00000003606	Taeniopygia_guttata
ENSPMEP00000023614	ENSPMEG00000000543	Poecilia_mexicana
ENSAHAP00000014507	ENSAHAG00000010452	Apteryx_haastii
ENSUAMP00000019411	ENSUAMG00000015341	Ursus_americanus
MGP_SPRETEiJ_P0068458	MGP_SPRETEiJ_G0027811	Mus_spretus_strain_SPRET/EiJ
ENSORLP00020011794	ENSORLG00020012743	Oryzias_latipes_ASM223471v1
ENSVURP00010031537	ENSVURG00010024111	Vombatus_ursinus
ENSTTRP00000002859	ENSTTRG00000003045	Tursiops_truncatus
ENSDNOP00000033578	ENSDNOG00000040248	Dasypus_novemcinctus
ENSUMAP00000033379	ENSUMAG00000024045	Ursus_maritimus
ENSPANP00000038851	ENSPANG00000035497	Papio_anubis
ENSMUSP00000030839	ENSMUSG00000028988	Mus_musculus_strain_reference_(CL57BL6)
ENSCSAP00000017234	ENSCSAG00000000772	Chlorocebus_sabaeus
ENSSHAP00000012978	ENSSHAG00000011103	Sarcophilus_harrisii
ENSSDUP00000010474	ENSSDUG00000007665	Seriola_dumerili
ENSPRNP00000003881	ENSPRNG00000002281	Parambassis_ranga
ENSCCNP00000030848	ENSCCNG00000029465	Castor_canadensis
ENSCJAP00000067308	ENSCJAG00000048373	Callithrix_jacchus
ENSPREP00000022926	ENSPREG00000015481	Poecilia_reticulata
ENSPNAP00000015937	ENSPNAG00000022044	Pygocentrus_nattereri
ENSPFOP00000029967	ENSPFOG00000021679	Poecilia_formosa
ENSTRUP00000056133	ENSTRUG00000023589	Takifugu_rubripes
ENSNBRP00000009070	ENSNBRG00000007100	Neolamprologus_brichardi
ENSMNEP00000020337	ENSMNEG00000033974	Macaca_nemestrina
ENSTNIP00000002257	ENSTNIG00000000843	Tetraodon_nigroviridis
ENSOMEP00000020557	ENSOMEG00000022428	Oryzias_melastigma
ENSODEP00000016935	ENSODEG00000012478	Octodon_degus
ENSXCOP00000006072	ENSXCOG00000004701	Xiphophorus_couchianus
ENSTSYP00000017524	ENSTSYG00000030458	Carlito_syrichta
ENSUPAP00010003055	ENSUPAG00010002537	Urocitellus_parryii
ENSMFAP00000015205	ENSMFAG00000030824	Macaca_fascicularis
ENSCPBP00000031438	ENSCPBG00000022061	Chrysemys_picta_bellii
ENSPMJP00000019867	ENSPMJG00000014823	Parus_major
ENSPPRP00000008333	ENSPPRG00000003168	Panthera_pardus
ENSCGOP00000039088	ENSCGOG00000017877	Cottoperca_gobio
ENSSBOP00000031804	ENSSBOG00000032108	Saimiri_boliviensis_boliviensis
ENSCHAP00000020537	ENSCHAG00000010387	Clupea_harengus
ENSGGOP00000038341	ENSGGOG00000042065	Gorilla_gorilla
ENSOPRP00000016012	ENSOPRG00000018674	Ochotona_princeps
ENSJHYP00000013553	ENSJHYG00000010500	Junco_hyemalis
ENSHGLP00100018268	ENSHGLG00100013470	Heterocephalus_glaber_HetGla_1.0
ENSPLAP00000016119	ENSPLAG00000020203	Poecilia_latipinna
ENSMLUP00000019431	ENSMLUG00000029404	Myotis_lucifugus
ENSSMRP00000016859	ENSSMRG00000013136	Salvator_merianae	ENSSMRT00000019727
ENSCABP00000023896	ENSCABG00000017594	Chelonoidis_abingdonii
ENSARWP00000002623	ENSARWG00000001961	Apteryx_rowi
ENSFDAP00000023212	ENSFDAG00000021410	Fukomys_damarensis
ENSBIXP00000014870	ENSBIXG00000000547	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSKMAP00000021897	ENSKMAG00000016271	Kryptolebias_marmoratus
ENSPEMP00000035278	ENSPEMG00000026412	Peromyscus_maniculatus_bairdii
ENSCCEP00000022552	ENSCCEG00000020367	Cyanistes_caeruleus
ENSVVUP00000032008	ENSVVUG00000023243	Vulpes_vulpes
ENSRBIP00000002309	ENSRBIG00000011379	Rhinopithecus_bieti
ENSAMXP00000048435	ENSAMXG00000037045	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCPGP00000015939	ENSCPGG00000011223	Calidris_pygmaea
ENSPTRP00000078817	ENSPTRG00000046205	Pan_troglodytes
ENSAPLP00000021820	ENSAPLG00000018129	Anas_platyrhynchos_platyrhynchos
ENSONIP00000002981	ENSONIG00000002386	Oreochromis_niloticus
ENSDCDP00000036400	ENSDCDG00000024247	Denticeps_clupeoides
ENSAMXP00005032837	ENSAMXG00005015985	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPUP00000019313	ENSCPUG00000013301	Calidris_pugnax
ENSNGAP00000010290	ENSNGAG00000012751	Nannospalax_galili
ENSACAP00000012950	ENSACAG00000013203	Anolis_carolinensis
ENSCAPP00000015855	ENSCAPG00000015878	Cavia_aperea
ENSCAFP00020007958	ENSCAFG00020006431	Canis_lupus_dingo
ENSCANP00000029205	ENSCANG00000038170	Colobus_angolensis_palliatus
ENSPSIP00000004438	ENSPSIG00000004172	Pelodiscus_sinensis
ENSGAFP00000028631	ENSGAFG00000019351	Gambusia_affinis
ENSHHUP00000027059	ENSHHUG00000017147	Hucho_hucho
ENSGACP00000009686	ENSGACG00000007303	Gasterosteus_aculeatus
ENSNMEP00000014496	ENSNMEG00000013016	Numida_meleagris
ENSBMUP00000002337	ENSBMUG00000001849	Bos_mutus
ENSCCAP00000002412	ENSCCAG00000014554	Cebus_capucinus_imitator
ENSPPAP00000008602	ENSPPAG00000027544	Pan_paniscus
ENSBSLP00000016903	ENSBSLG00000008848	Betta_splendens
ENSACLP00000038448	ENSACLG00000025967	Astatotilapia_calliptera
ENSAPOP00000027683	ENSAPOG00000012385	Acanthochromis_polyacanthus
ENSLCAP00010010306	ENSLCAG00010004910	Lates_calcarifer
ENSDARP00000056864	ENSDARG00000038954	Danio_rerio
ENSORLP00000045928	ENSORLG00000029626	Oryzias_latipes_ASM223467v1
ENSOCUP00000020386	ENSOCUG00000030596	Oryctolagus_cuniculus
ENSFHEP00000026022	ENSFHEG00000008589	Fundulus_heteroclitus
ENSPMGP00000011374	ENSPMGG00000009409	Periophthalmus_magnuspinnatus
ENSCJPP00005015026	ENSCJPG00005012487	Coturnix_japonica
ENSMAMP00000014337	ENSMAMG00000009743	Mastacembelus_armatus
ENSCATP00000033549	ENSCATG00000039762	Cercocebus_atys
ENSPNYP00000008821	ENSPNYG00000006712	Pundamilia_nyererei
ENSSCAP00000023761	ENSSCAG00000017008	Serinus_canaria
ENSMOCP00000024599	ENSMOCG00000020962	Microtus_ochrogaster
ENSXMAP00000030436	ENSXMAG00000029666	Xiphophorus_maculatus
ENSMGAP00000003943	ENSMGAG00000004178	Meleagris_gallopavo
