ENSHCOP00000001612	ENSHCOG00000002619	Hippocampus_comes
ENSCAFP00020006827	ENSCAFG00020005412	Canis_lupus_dingo
ENSKMAP00000026504	ENSKMAG00000019663	Kryptolebias_marmoratus
ENSPREP00000017746	ENSPREG00000011999	Poecilia_reticulata
ENSCCAP00000018889	ENSCCAG00000027178	Cebus_capucinus_imitator
ENSODEP00000005489	ENSODEG00000004144	Octodon_degus
ENSMICP00000051549	ENSMICG00000049386	Microcebus_murinus
ENSPCIP00000000069	ENSPCIG00000000039	Phascolarctos_cinereus
ENSMUNP00000021924	ENSMUNG00000016512	Melopsittacus_undulatus	ENSMUNT00000025010
ENSCCEP00000018806	ENSCCEG00000017196	Cyanistes_caeruleus
ENSTSYP00000024829	ENSTSYG00000007326	Carlito_syrichta
ENSMUSP00000081122	ENSMUSG00000036834	Mus_musculus_strain_reference_(CL57BL6)
ENSAMEP00000002750	ENSAMEG00000002608	Ailuropoda_melanoleuca
ENSGWIP00000044871	ENSGWIG00000022238	Gouania_willdenowi
ENSCPUP00000024350	ENSCPUG00000016525	Calidris_pugnax	ENSCPUT00000028713
ENSMMMP00000017786	ENSMMMG00000015750	Marmota_marmota_marmota
ENSPPYP00000015906	ENSPPYG00000014225	Pongo_abelii
ENSCGRP00001000291	ENSCGRG00001000217	Cricetulus_griseus_CHOK1GS_HDv1
ENSOMEP00000005736	ENSOMEG00000006810	Oryzias_melastigma
ENSGAGP00000013288	ENSGAGG00000010065	Gopherus_agassizii
ENSPLAP00000001909	ENSPLAG00000003078	Poecilia_latipinna
ENSBBBP00000006988	ENSBBBG00000015311	Bison_bison_bison
ENSFALP00000005108	ENSFALG00000004898	Ficedula_albicollis
ENSDNOP00000006937	ENSDNOG00000008919	Dasypus_novemcinctus
ENSPANP00000041036	ENSPANG00000020169	Papio_anubis
ENSFCAP00000030526	ENSFCAG00000012834	Felis_catus
ENSFHEP00000024224	ENSFHEG00000005698	Fundulus_heteroclitus
ENSPMEP00000034333	ENSPMEG00000000519	Poecilia_mexicana
ENSACAP00000004224	ENSACAG00000004239	Anolis_carolinensis
ENSDCDP00000035789	ENSDCDG00000023888	Denticeps_clupeoides
ENSEEUP00000009309	ENSEEUG00000010172	Erinaceus_europaeus
ENSARWP00000000314	ENSARWG00000000178	Apteryx_rowi	ENSARWT00000000374
ENSUMAP00000016122	ENSUMAG00000011780	Ursus_maritimus
ENSSBOP00000039313	ENSSBOG00000035699	Saimiri_boliviensis_boliviensis
ENSNLEP00000004625	ENSNLEG00000003776	Nomascus_leucogenys
ENSCPGP00000006204	ENSCPGG00000004439	Calidris_pygmaea	ENSCPGT00000006829
ENSIPUP00000022059	ENSIPUG00000014937	Ictalurus_punctatus
ENSMVIP00005024027	ENSMVIG00005016655	Manacus_vitellinus	ENSMVIT00005027068
ENSLSDP00000001860	ENSLSDG00000001454	Lonchura_striata_domestica
ENSCSEP00000033862	ENSCSEG00000021716	Cynoglossus_semilaevis
ENSLAFP00000001054	ENSLAFG00000001248	Loxodonta_africana
ENSMAMP00000024321	ENSMAMG00000016301	Mastacembelus_armatus
ENSACIP00000010298	ENSACIG00000008031	Amphilophus_citrinellus
ENSPTIP00000017313	ENSPTIG00000015618	Panthera_tigris_altaica
ENSP00000345988	ENSG00000114805	Homo_sapiens
ENSECAP00000031514	ENSECAG00000016623	Equus_caballus
ENSCAPP00000008484	ENSCAPG00000010153	Cavia_aperea
ENSPKIP00000035297	ENSPKIG00000014315	Paramormyrops_kingsleyae
ENSPVIP00000020217	ENSPVIG00000015047	Pogona_vitticeps
ENSNVIP00000015679	ENSNVIG00000012209	Neovison_vison
ENSOCUP00000027961	ENSOCUG00000009260	Oryctolagus_cuniculus
ENSFDAP00000014543	ENSFDAG00000002027	Fukomys_damarensis
ENSCPRP00005010130	ENSCPRG00005007105	Crocodylus_porosus
ENSSHAP00000014113	ENSSHAG00000012063	Sarcophilus_harrisii
ENSMMUP00000064744	ENSMMUG00000018341	Macaca_mulatta
ENSCPBP00000026377	ENSCPBG00000018581	Chrysemys_picta_bellii
ENSCSAP00000008188	ENSCSAG00000012000	Chlorocebus_sabaeus
MGP_SPRETEiJ_P0060160	MGP_SPRETEiJ_G0025975	Mus_spretus_strain_SPRET/EiJ
ENSHGLP00000024457	ENSHGLG00000017434	Heterocephalus_glaber_HetGla_female_1.0
ENSPTEP00000032580	ENSPTEG00000031247	Piliocolobus_tephrosceles
ENSTRUP00000019591	ENSTRUG00000007875	Takifugu_rubripes
ENSEBUP00000002062	ENSEBUG00000001644	Eptatretus_burgeri	ENSEBUT00000002408
ENSUAMP00000014890	ENSUAMG00000011948	Ursus_americanus
ENSCGOP00000001178	ENSCGOG00000000709	Cottoperca_gobio
MGP_CAROLIEiJ_P0057858	MGP_CAROLIEiJ_G0025035	Mus_caroli_strain_CAROLI_EIJ
ENSEEEP00000020614	ENSEEEG00000010057	Electrophorus_electricus
ENSCHOP00000007358	ENSCHOG00000008304	Choloepus_hoffmanni
ENSAOWP00000022219	ENSAOWG00000015009	Apteryx_owenii
ENSPMAP00000004363	ENSPMAG00000003982	Petromyzon_marinus
ENSLCAP00010048725	ENSLCAG00010022657	Lates_calcarifer
ENSCSEP00000025080	ENSCSEG00000016003	Cynoglossus_semilaevis
ENSVPAP00000007887	ENSVPAG00000008474	Vicugna_pacos
ENSJJAP00000021999	ENSJJAG00000022189	Jaculus_jaculus
ENSCAFP00000059159	ENSCAFG00000008746	Canis_lupus_familiaris
ENSCANP00000032342	ENSCANG00000039767	Colobus_angolensis_palliatus
ENSNGAP00000000410	ENSNGAG00000000313	Nannospalax_galili
ENSAOCP00000007100	ENSAOCG00000002102	Amphiprion_ocellaris
ENSGGOP00000009338	ENSGGOG00000009552	Gorilla_gorilla
ENSTBEP00000003068	ENSTBEG00000003513	Tupaia_belangeri
ENSPEMP00000002811	ENSPEMG00000003317	Peromyscus_maniculatus_bairdii
ENSPRNP00000022817	ENSPRNG00000010052	Parambassis_ranga
ENSPMJP00000008292	ENSPMJG00000006754	Parus_major
ENSORLP00020025061	ENSORLG00020006792	Oryzias_latipes_ASM223471v1
ENSXETP00000030743	ENSXETG00000011323	Xenopus_tropicalis
ENSBSLP00000043519	ENSBSLG00000020672	Betta_splendens
ENSMEUP00000008910	ENSMEUG00000009738	Notamacropus_eugenii
ENSXMAP00000001679	ENSXMAG00000001650	Xiphophorus_maculatus
ENSHBUP00000002130	ENSHBUG00000003384	Haplochromis_burtoni
ENSANAP00000041045	ENSANAG00000037829	Aotus_nancymaae
ENSLCRP00005003850	ENSLCRG00005000358	Larimichthys_crocea
ENSHGLP00100004028	ENSHGLG00100003073	Heterocephalus_glaber_HetGla_1.0
ENSSLDP00000029941	ENSSLDG00000023091	Seriola_lalandi_dorsalis
ENSMAUP00000016049	ENSMAUG00000015272	Mesocricetus_auratus
ENSAPEP00000007746	ENSAPEG00000005580	Amphiprion_percula
ENSBMUP00000008917	ENSBMUG00000006875	Bos_mutus
MGP_PahariEiJ_P0068823	MGP_PahariEiJ_G0026479	Mus_pahari_strain_PAHARI_EIJ
ENSTGUP00000011647	ENSTGUG00000011302	Taeniopygia_guttata
ENSTGUP00000011644	ENSTGUG00000011275	Taeniopygia_guttata
ENSMLEP00000027846	ENSMLEG00000038044	Mandrillus_leucophaeus
ENSLACP00000004243	ENSLACG00000003777	Latimeria_chalumnae
ENSPPRP00000001594	ENSPPRG00000023905	Panthera_pardus
ENSNBRP00000029772	ENSNBRG00000022647	Neolamprologus_brichardi
ENSTNIP00000006126	ENSTNIG00000003538	Tetraodon_nigroviridis
ENSCABP00000002543	ENSCABG00000001970	Chelonoidis_abingdonii
ENSAPEP00000004802	ENSAPEG00000003406	Amphiprion_percula
ENSDNVP00000006476	ENSDNVG00000004643	Dromaius_novaehollandiae	ENSDNVT00000007811
ENSCGOP00000007461	ENSCGOG00000003711	Cottoperca_gobio
ENSMZEP00005005684	ENSMZEG00005004360	Maylandia_zebra
ENSMMOP00000018465	ENSMMOG00000013977	Mola_mola
ENSMODP00000056629	ENSMODG00000015790	Monodelphis_domestica
ENSRROP00000014770	ENSRROG00000031577	Rhinopithecus_roxellana
ENSOANP00000015577	ENSOANG00000009822	Ornithorhynchus_anatinus
ENSAMXP00005001580	ENSAMXG00005000868	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNPEP00000001635	ENSNPEG00000001234	Nothoprocta_perdicaria
ENSSPAP00000005725	ENSSPAG00000004412	Stegastes_partitus
ENSGALP00000072842	ENSGALG00000010312	Gallus_gallus
ENSPSIP00000009828	ENSPSIG00000008812	Pelodiscus_sinensis
ENSZALP00000013726	ENSZALG00000011026	Zonotrichia_albicollis	ENSZALT00000018710
ENSHHUP00000008506	ENSHHUG00000005180	Hucho_hucho
ENSABRP00000023479	ENSABRG00000019784	Anser_brachyrhynchus
ENSMNEP00000036934	ENSMNEG00000041537	Macaca_nemestrina
ENSLCOP00000006373	ENSLCOG00000004727	Lepidothrix_coronata	ENSLCOT00000006803
ENSSMRP00000004104	ENSSMRG00000003423	Salvator_merianae
ENSPCOP00000031631	ENSPCOG00000028591	Propithecus_coquereli
ENSNBRP00000026258	ENSNBRG00000020080	Neolamprologus_brichardi
ENSVURP00010022400	ENSVURG00010017004	Vombatus_ursinus
ENSGAFP00000020746	ENSGAFG00000013985	Gambusia_affinis
ENSTTRP00000014027	ENSTTRG00000014793	Tursiops_truncatus
ENSSTOP00000000080	ENSSTOG00000000090	Ictidomys_tridecemlineatus
ENSMGAP00000017345	ENSMGAG00000017156	Meleagris_gallopavo
ENSOANP00000000531	ENSOANG00000000314	Ornithorhynchus_anatinus
ENSMGAP00000018781	ENSMGAG00000010755	Meleagris_gallopavo
ENSPVAP00000006802	ENSPVAG00000007208	Pteropus_vampyrus
ENSNMEP00000015392	ENSNMEG00000013200	Numida_meleagris
ENSCMIP00000001507	ENSCMIG00000000888	Callorhinchus_milii
ENSCJPP00005022809	ENSCJPG00005018132	Coturnix_japonica
ENSSPUP00000020166	ENSSPUG00000015450	Sphenodon_punctatus
ENSGACP00000001591	ENSGACG00000001226	Gasterosteus_aculeatus
ENSSSCP00000056890	ENSSSCG00000026718	Sus_scrofa_strain_reference
ENSAPLP00000029233	ENSAPLG00000014302	Anas_platyrhynchos_platyrhynchos
ENSDARP00000073797	ENSDARG00000079253	Danio_rerio
ENSCHAP00000034777	ENSCHAG00000016341	Clupea_harengus
ENSCVAP00000005622	ENSCVAG00000007108	Cyprinodon_variegatus
ENSMPUP00000002728	ENSMPUG00000002757	Mustela_putorius_furo
ENSCLAP00000003458	ENSCLAG00000002471	Chinchilla_lanigera
ENSRBIP00000015767	ENSRBIG00000031964	Rhinopithecus_bieti
ENSLBEP00000032381	ENSLBEG00000024359	Labrus_bergylta
ENSGACP00000013709	ENSGACG00000010371	Gasterosteus_aculeatus
ENSETEP00000010696	ENSETEG00000013181	Echinops_telfairi
ENSELUP00000008216	ENSELUG00000008909	Esox_lucius
ENSPKIP00000009824	ENSPKIG00000024765	Paramormyrops_kingsleyae
ENSMFAP00000029962	ENSMFAG00000042166	Macaca_fascicularis
ENSPMGP00000013598	ENSPMGG00000011175	Periophthalmus_magnuspinnatus
ENSCHIP00000029713	ENSCHIG00000024716	Capra_hircus
ENSSDUP00000001685	ENSSDUG00000001231	Seriola_dumerili
ENSPMGP00000017335	ENSPMGG00000014191	Periophthalmus_magnuspinnatus
ENSSDAP00000004597	ENSSDAG00000004317	Spermophilus_dauricus
ENSCGRP00000016681	ENSCGRG00000012116	Cricetulus_griseus_CriGri_1.0
ENSRNOP00000068291	ENSRNOG00000009955	Rattus_norvegicus
ENSJHYP00000004331	ENSJHYG00000003573	Junco_hyemalis	ENSJHYT00000005361
ENSMLUP00000005045	ENSMLUG00000005520	Myotis_lucifugus
ENSSFOP00015002086	ENSSFOG00015001415	Scleropages_formosus
ENSBIXP00005005262	ENSBIXG00005011013	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMALP00000004396	ENSMALG00000003080	Monopterus_albus
ENSUPAP00010008838	ENSUPAG00010006835	Urocitellus_parryii
ENSPCAP00000011348	ENSPCAG00000012034	Procavia_capensis
ENSGACP00000001589	ENSGACG00000001222	Gasterosteus_aculeatus
ENSEASP00005032883	ENSEASG00005022484	Equus_asinus_asinus
ENSATEP00000028386	ENSATEG00000019554	Anabas_testudineus
ENSLBEP00000031481	ENSLBEG00000023760	Labrus_bergylta
ENSHHUP00000041440	ENSHHUG00000025600	Hucho_hucho
ENSSMAP00000025817	ENSSMAG00000015783	Scophthalmus_maximus
ENSOANP00000029449	ENSOANG00000031997	Ornithorhynchus_anatinus
ENSSCAP00000012006	ENSSCAG00000008936	Serinus_canaria	ENSSCAT00000013523
ENSORLP00000006976	ENSORLG00000005538	Oryzias_latipes_ASM223467v1
ENSOANP00000019717	ENSOANG00000012464	Ornithorhynchus_anatinus
ENSPPAP00000003584	ENSPPAG00000015015	Pan_paniscus
ENSBTAP00000056439	ENSBTAG00000008307	Bos_taurus
ENSMUGP00000027146	ENSMUGG00000022448	Meriones_unguiculatus
ENSSPAP00000008994	ENSSPAG00000006824	Stegastes_partitus
ENSAPOP00000001287	ENSAPOG00000000949	Acanthochromis_polyacanthus
