MGP_PahariEiJ_P0028319	MGP_PahariEiJ_G0016284	Mus_pahari_strain_PAHARI_EIJ
ENSMLEP00000007134	ENSMLEG00000027486	Mandrillus_leucophaeus
ENSCGOP00000020823	ENSCGOG00000010085	Cottoperca_gobio
ENSCHAP00000029763	ENSCHAG00000014299	Clupea_harengus
ENSPTRP00000026984	ENSPTRG00000015685	Pan_troglodytes
ENSPVAP00000004582	ENSPVAG00000004840	Pteropus_vampyrus
ENSPVAP00000004583	ENSPVAG00000004841	Pteropus_vampyrus
ENSZALP00000006864	ENSZALG00000006162	Zonotrichia_albicollis
ENSCAPP00000001890	ENSCAPG00000004018	Cavia_aperea
ENSMALP00000020232	ENSMALG00000014119	Monopterus_albus
ENSHCOP00000017279	ENSHCOG00000000951	Hippocampus_comes
ENSFCAP00000007215	ENSFCAG00000007791	Felis_catus
ENSJHYP00000014297	ENSJHYG00000011073	Junco_hyemalis
ENSARWP00000006506	ENSARWG00000004594	Apteryx_rowi
ENSBMUP00000026962	ENSBMUG00000020086	Bos_mutus
ENSPCOP00000024824	ENSPCOG00000024622	Propithecus_coquereli
ENSPKIP00000035697	ENSPKIG00000014524	Paramormyrops_kingsleyae
ENSONIP00000012671	ENSONIG00000010076	Oreochromis_niloticus
ENSELUP00000010488	ENSELUG00000010990	Esox_lucius
ENSRNOP00000035500	ENSRNOG00000001707	Rattus_norvegicus
ENSCPGP00000025188	ENSCPGG00000017351	Calidris_pygmaea
ENSOPRP00000005174	ENSOPRG00000005636	Ochotona_princeps
ENSVPAP00000008368	ENSVPAG00000008997	Vicugna_pacos
ENSSARP00000008337	ENSSARG00000009222	Sorex_araneus
ENSHHUP00000044890	ENSHHUG00000027436	Hucho_hucho
ENSDCDP00000000813	ENSDCDG00000000464	Denticeps_clupeoides
ENSXMAP00000015015	ENSXMAG00000014958	Xiphophorus_maculatus
ENSFDAP00000017761	ENSFDAG00000010353	Fukomys_damarensis
ENSTRUP00000057152	ENSTRUG00000024661	Takifugu_rubripes
ENSMLUP00000005847	ENSMLUG00000006386	Myotis_lucifugus
ENSMAMP00000016318	ENSMAMG00000011014	Mastacembelus_armatus
ENSBIXP00000020630	ENSBIXG00000023924	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTSYP00000024646	ENSTSYG00000027027	Carlito_syrichta
ENSCABP00000017322	ENSCABG00000012848	Chelonoidis_abingdonii
ENSGALP00000068365	ENSGALG00000052986	Gallus_gallus	ENSGALT00000105535
ENSSTOP00000030917	ENSSTOG00000008179	Ictidomys_tridecemlineatus
ENSPSMP00000030713	ENSPSMG00000021312	Prolemur_simus
ENSXETP00000020944	ENSXETG00000012179	Xenopus_tropicalis
ENSPEMP00000015258	ENSPEMG00000014803	Peromyscus_maniculatus_bairdii
ENSCCEP00000014234	ENSCCEG00000013579	Cyanistes_caeruleus	ENSCCET00000022105
ENSACIP00000006658	ENSACIG00000005192	Amphilophus_citrinellus
ENSMEUP00000014254	ENSMEUG00000015611	Notamacropus_eugenii
ENSCMIP00000020035	ENSCMIG00000009279	Callorhinchus_milii
ENSNPEP00000004537	ENSNPEG00000003159	Nothoprocta_perdicaria
ENSMSIP00000015200	ENSMSIG00000013011	Mus_spicilegus
ENSBSLP00000040973	ENSBSLG00000019803	Betta_splendens
ENSDORP00000007442	ENSDORG00000007935	Dipodomys_ordii
ENSSFOP00015007405	ENSSFOG00015004810	Scleropages_formosus
ENSLBEP00000031330	ENSLBEG00000023605	Labrus_bergylta
ENSSPUP00000017820	ENSSPUG00000013762	Sphenodon_punctatus
ENSAMXP00005011053	ENSAMXG00005006078	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXCOP00000002085	ENSXCOG00000001669	Xiphophorus_couchianus
ENSAMXP00000001533	ENSAMXG00000001494	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSGGOP00000034661	ENSGGOG00000007552	Gorilla_gorilla
ENSLOCP00000007137	ENSLOCG00000005907	Lepisosteus_oculatus
ENSGALP00000071672	ENSGALG00000052753	Gallus_gallus
ENSCGRP00001022441	ENSCGRG00001020976	Cricetulus_griseus_CHOK1GS_HDv1
ENSCVAP00000022872	ENSCVAG00000005918	Cyprinodon_variegatus
ENSUAMP00000001554	ENSUAMG00000001262	Ursus_americanus
ENSANAP00000011004	ENSANAG00000023436	Aotus_nancymaae
ENSCGRP00000020639	ENSCGRG00000015017	Cricetulus_griseus_CriGri_1.0
ENSSSCP00000074196	ENSSSCG00000026185	Sus_scrofa_strain_reference
ENSNLEP00000007556	ENSNLEG00000006214	Nomascus_leucogenys
ENSORLP00020014788	ENSORLG00020015777	Oryzias_latipes_ASM223471v1
ENSHGLP00100017181	ENSHGLG00100012669	Heterocephalus_glaber_HetGla_1.0
ENSPRNP00000023472	ENSPRNG00000011975	Parambassis_ranga
ENSEEUP00000001201	ENSEEUG00000001321	Erinaceus_europaeus
ENSGAFP00000013587	ENSGAFG00000009169	Gambusia_affinis
ENSTRUP00000036551	ENSTRUG00000014293	Takifugu_rubripes
ENSMUGP00000004214	ENSMUGG00000003846	Meriones_unguiculatus
ENSPVIP00000001800	ENSPVIG00000001581	Pogona_vitticeps	ENSPVIT00000002336
ENSACLP00000001136	ENSACLG00000000776	Astatotilapia_calliptera
ENSSBOP00000019727	ENSSBOG00000026464	Saimiri_boliviensis_boliviensis
ENSPFOP00000005630	ENSPFOG00000005629	Poecilia_formosa
MGP_CAROLIEiJ_P0040937	MGP_CAROLIEiJ_G0020580	Mus_caroli_strain_CAROLI_EIJ
ENSCHOP00000006121	ENSCHOG00000006920	Choloepus_hoffmanni
ENSABRP00000000147	ENSABRG00000000095	Anser_brachyrhynchus	ENSABRT00000000239
ENSNGAP00000023397	ENSNGAG00000021963	Nannospalax_galili
ENSMMMP00000007344	ENSMMMG00000006578	Marmota_marmota_marmota
ENSSLDP00000030110	ENSSLDG00000023224	Seriola_lalandi_dorsalis
ENSCPBP00000021681	ENSCPBG00000015577	Chrysemys_picta_bellii
ENSODEP00000018826	ENSODEG00000013878	Octodon_degus
ENSNVIP00000019631	ENSNVIG00000015366	Neovison_vison
ENSAOCP00000001750	ENSAOCG00000004857	Amphiprion_ocellaris
ENSMNEP00000020931	ENSMNEG00000034270	Macaca_nemestrina
ENSUPAP00010004182	ENSUPAG00010003400	Urocitellus_parryii
ENSCCNP00000014211	ENSCCNG00000014627	Castor_canadensis
MGP_SPRETEiJ_P0042793	MGP_SPRETEiJ_G0021477	Mus_spretus_strain_SPRET/EiJ
ENSPCAP00000013398	ENSPCAG00000014306	Procavia_capensis
ENSGALP00000067006	ENSGALG00000028294	Gallus_gallus	ENSGALT00000100944
ENSPMEP00000022941	ENSPMEG00000004217	Poecilia_mexicana
ENSCATP00000037552	ENSCATG00000041491	Cercocebus_atys
ENSPSIP00000017333	ENSPSIG00000015339	Pelodiscus_sinensis
ENSJJAP00000007551	ENSJJAG00000011906	Jaculus_jaculus
ENSLACP00000013390	ENSLACG00000011789	Latimeria_chalumnae
ENSVURP00010030243	ENSVURG00010023118	Vombatus_ursinus
ENSMEUP00000014272	ENSMEUG00000015618	Notamacropus_eugenii
ENSSMAP00000002265	ENSSMAG00000001387	Scophthalmus_maximus
ENSAHAP00000001111	ENSAHAG00000000869	Apteryx_haastii
ENSGACP00000019889	ENSGACG00000015077	Gasterosteus_aculeatus
ENSMMUP00000024933	ENSMMUG00000018949	Macaca_mulatta
ENSPNYP00000011636	ENSPNYG00000008781	Pundamilia_nyererei
ENSECAP00000009864	ENSECAG00000011959	Equus_caballus
ENSDARP00000135268	ENSDARG00000075886	Danio_rerio
ENSSPUP00000017804	ENSSPUG00000013749	Sphenodon_punctatus	ENSSPUT00000018962
ENSP00000398688	ENSG00000145198	Homo_sapiens
ENSEEEP00000017158	ENSEEEG00000008499	Electrophorus_electricus
ENSCPOP00000020551	ENSCPOG00000027260	Cavia_porcellus
ENSMFAP00000043290	ENSMFAG00000033707	Macaca_fascicularis
ENSTGUP00000010494	ENSTGUG00000010174	Taeniopygia_guttata
ENSTGUP00000010490	ENSTGUG00000010172	Taeniopygia_guttata
ENSPPRP00000002177	ENSPPRG00000023611	Panthera_pardus
ENSNMEP00000000127	ENSNMEG00000000203	Numida_meleagris	ENSNMET00000000280
ENSFHEP00000018502	ENSFHEG00000020470	Fundulus_heteroclitus
ENSIPUP00000013696	ENSIPUG00000009346	Ictalurus_punctatus
ENSACAP00000008764	ENSACAG00000008895	Anolis_carolinensis	ENSACAT00000008952
ENSMAUP00000007087	ENSMAUG00000008822	Mesocricetus_auratus
ENSPPAP00000008689	ENSPPAG00000027581	Pan_paniscus
ENSOARP00000022147	ENSOARG00000020609	Ovis_aries
ENSKMAP00000006622	ENSKMAG00000004977	Kryptolebias_marmoratus
ENSMZEP00005026245	ENSMZEG00005019567	Maylandia_zebra
ENSPTEP00000026968	ENSPTEG00000026912	Piliocolobus_tephrosceles
ENSRBIP00000016094	ENSRBIG00000032106	Rhinopithecus_bieti
ENSCPGP00000021559	ENSCPGG00000015025	Calidris_pygmaea
ENSSLDP00000018937	ENSSLDG00000014871	Seriola_lalandi_dorsalis
ENSTTRP00000010661	ENSTTRG00000011244	Tursiops_truncatus
ENSOMEP00000020726	ENSOMEG00000022621	Oryzias_melastigma
ENSTTRP00000010662	ENSTTRG00000011245	Tursiops_truncatus
ENSMGAP00000009269	ENSMGAG00000008989	Meleagris_gallopavo	ENSMGAT00000010086
ENSCAFP00000018300	ENSCAFG00000012429	Canis_lupus_familiaris
ENSLAFP00000012855	ENSLAFG00000015347	Loxodonta_africana
ENSMMOP00000015301	ENSMMOG00000011668	Mola_mola
ENSORLP00000044778	ENSORLG00000015755	Oryzias_latipes_ASM223467v1
ENSCPRP00005016573	ENSCPRG00005011544	Crocodylus_porosus
ENSCPUP00000019028	ENSCPUG00000013107	Calidris_pugnax
ENSGAGP00000025742	ENSGAGG00000018785	Gopherus_agassizii
ENSHBUP00000020810	ENSHBUG00000023093	Haplochromis_burtoni
ENSSDUP00000024076	ENSSDUG00000017462	Seriola_dumerili
ENSLCRP00005010834	ENSLCRG00005004950	Larimichthys_crocea
ENSAMEP00000018184	ENSAMEG00000017211	Ailuropoda_melanoleuca
ENSTGUP00000010489	ENSTGUG00000010170	Taeniopygia_guttata	ENSTGUT00000010599
ENSPMJP00000001779	ENSPMJG00000001460	Parus_major	ENSPMJT00000002344
ENSHGLP00000023456	ENSHGLG00000016728	Heterocephalus_glaber_HetGla_female_1.0
ENSCLAP00000018735	ENSCLAG00000012845	Chinchilla_lanigera
ENSOPRP00000016102	ENSOPRG00000018450	Ochotona_princeps
ENSCAFP00020002917	ENSCAFG00020002324	Canis_lupus_dingo
ENSBTAP00000047929	ENSBTAG00000040399	Bos_taurus
ENSCGRP00015002790	ENSCGRG00015002195	Cricetulus_griseus_CriGri-PICR
ENSSPAP00000020639	ENSSPAG00000015523	Stegastes_partitus
ENSFALP00000008356	ENSFALG00000008005	Ficedula_albicollis	ENSFALT00000008394
ENSECRP00000007951	ENSECRG00000005287	Erpetoichthys_calabaricus
ENSTGEP00000029379	ENSTGEG00000023632	Theropithecus_gelada
ENSPPYP00000016046	ENSPPYG00000014348	Pongo_abelii
ENSPPYP00000016047	ENSPPYG00000014349	Pongo_abelii
ENSRROP00000023903	ENSRROG00000035763	Rhinopithecus_roxellana
ENSPTIP00000009455	ENSPTIG00000010510	Panthera_tigris_altaica
ENSLCAP00010033655	ENSLCAG00010015813	Lates_calcarifer
ENSTBEP00000013472	ENSTBEG00000015491	Tupaia_belangeri
ENSPMGP00000018021	ENSPMGG00000014727	Periophthalmus_magnuspinnatus
ENSSMRP00000030733	ENSSMRG00000023556	Salvator_merianae	ENSSMRT00000035852
