ENSMAUP00000020260	ENSMAUG00000018278	Mesocricetus_auratus
ENSPCAP00000008137	ENSPCAG00000008609	Procavia_capensis
ENSMUSP00000039648	ENSMUSG00000036622	Mus_musculus_strain_reference_(CL57BL6)
ENSFCAP00000009452	ENSFCAG00000010179	Felis_catus
ENSPPYP00000002106	ENSPPYG00000001813	Pongo_abelii
ENSTRUP00000015990	ENSTRUG00000006519	Takifugu_rubripes
ENSCSAP00000017148	ENSCSAG00000000859	Chlorocebus_sabaeus
ENSMMUP00000002156	ENSMMUG00000001610	Macaca_mulatta
ENSNLEP00000032093	ENSNLEG00000013262	Nomascus_leucogenys
ENSMVIP00005007622	ENSMVIG00005005566	Manacus_vitellinus
ENSLACP00000017948	ENSLACG00000015813	Latimeria_chalumnae
ENSGAFP00000023845	ENSGAFG00000016084	Gambusia_affinis
ENSP00000327214	ENSG00000159363	Homo_sapiens
ENSSFOP00015011235	ENSSFOG00015007222	Scleropages_formosus	ENSSFOT00015011384
ENSHGLP00000018015	ENSHGLG00000012900	Heterocephalus_glaber_HetGla_female_1.0
ENSAHAP00000027927	ENSAHAG00000019413	Apteryx_haastii
ENSSBOP00000001081	ENSSBOG00000004030	Saimiri_boliviensis_boliviensis
ENSLCRP00005015768	ENSLCRG00005006502	Larimichthys_crocea
ENSORLP00015019748	ENSORLG00015020813	Oryzias_latipes_ASM223469v1
ENSTGUP00000017007	ENSTGUG00000016681	Taeniopygia_guttata
ENSFDAP00000004252	ENSFDAG00000013537	Fukomys_damarensis
ENSONIP00000011596	ENSONIG00000009218	Oreochromis_niloticus
ENSCVAP00000020492	ENSCVAG00000001934	Cyprinodon_variegatus
ENSSARP00000000609	ENSSARG00000000660	Sorex_araneus
ENSCJAP00000056550	ENSCJAG00000007970	Callithrix_jacchus
ENSCGRP00001027280	ENSCGRG00001024321	Cricetulus_griseus_CHOK1GS_HDv1
ENSUAMP00000032028	ENSUAMG00000024347	Ursus_americanus
ENSCAFP00000023307	ENSCAFG00000015840	Canis_lupus_familiaris
ENSCATP00000028096	ENSCATG00000037300	Cercocebus_atys
ENSMODP00000046253	ENSMODG00000002793	Monodelphis_domestica
ENSCHAP00000058392	ENSCHAG00000026153	Clupea_harengus	ENSCHAT00000062907
ENSDNVP00000008571	ENSDNVG00000006092	Dromaius_novaehollandiae
MGP_PahariEiJ_P0080606	MGP_PahariEiJ_G0029060	Mus_pahari_strain_PAHARI_EIJ
ENSNSUP00000026250	ENSNSUG00000018857	Notechis_scutatus
ENSCMIP00000035885	ENSCMIG00000015177	Callorhinchus_milii
ENSZALP00000008336	ENSZALG00000007270	Zonotrichia_albicollis
ENSSPUP00000006191	ENSSPUG00000004772	Sphenodon_punctatus
ENSNBRP00000027166	ENSNBRG00000020618	Neolamprologus_brichardi
ENSLCOP00000006565	ENSLCOG00000004882	Lepidothrix_coronata
ENSLBEP00000023447	ENSLBEG00000017992	Labrus_bergylta
ENSABRP00000000788	ENSABRG00000000854	Anser_brachyrhynchus
ENSMLUP00000000030	ENSMLUG00000000031	Myotis_lucifugus
ENSCLAP00000004110	ENSCLAG00000002933	Chinchilla_lanigera
ENSPREP00000014546	ENSPREG00000009777	Poecilia_reticulata
ENSGACP00000006796	ENSGACG00000005124	Gasterosteus_aculeatus
MGP_CAROLIEiJ_P0065522	MGP_CAROLIEiJ_G0026729	Mus_caroli_strain_CAROLI_EIJ
ENSMMOP00000019994	ENSMMOG00000015179	Mola_mola
ENSSHAP00000009573	ENSSHAG00000008281	Sarcophilus_harrisii
ENSPFOP00000015964	ENSPFOG00000015841	Poecilia_formosa
ENSPNAP00000032757	ENSPNAG00000020889	Pygocentrus_nattereri
ENSNMEP00000017680	ENSNMEG00000015364	Numida_meleagris
ENSTGEP00000029983	ENSTGEG00000024055	Theropithecus_gelada
ENSDARP00000083210	ENSDARG00000061890	Danio_rerio
ENSPSMP00000008913	ENSPSMG00000006457	Prolemur_simus
ENSHGLP00100019394	ENSHGLG00100014302	Heterocephalus_glaber_HetGla_1.0
ENSMGAP00000004990	ENSMGAG00000005071	Meleagris_gallopavo
ENSEASP00005023171	ENSEASG00005015784	Equus_asinus_asinus
ENSPTRP00000081770	ENSPTRG00000000241	Pan_troglodytes
ENSCJPP00005022294	ENSCJPG00005017790	Coturnix_japonica
ENSMICP00000010851	ENSMICG00000011896	Microcebus_murinus
ENSARWP00000021460	ENSARWG00000014079	Apteryx_rowi
ENSLAFP00000026862	ENSLAFG00000018466	Loxodonta_africana
ENSGALP00000052888	ENSGALG00000003774	Gallus_gallus
ENSLOCP00000009450	ENSLOCG00000007777	Lepisosteus_oculatus
ENSOARP00000012270	ENSOARG00000011441	Ovis_aries
ENSPNYP00000019683	ENSPNYG00000014762	Pundamilia_nyererei
ENSFALP00000003575	ENSFALG00000003399	Ficedula_albicollis
ENSSTOP00000005473	ENSSTOG00000006096	Ictidomys_tridecemlineatus
ENSPCOP00000022715	ENSPCOG00000023477	Propithecus_coquereli
ENSGWIP00000010990	ENSGWIG00000003874	Gouania_willdenowi
ENSMUGP00000016707	ENSMUGG00000014244	Meriones_unguiculatus
ENSPPAP00000025567	ENSPPAG00000035775	Pan_paniscus
ENSCPUP00000007926	ENSCPUG00000005729	Calidris_pugnax
ENSKMAP00000006242	ENSKMAG00000004694	Kryptolebias_marmoratus
ENSCPRP00005025211	ENSCPRG00005017400	Crocodylus_porosus
ENSMSIP00000015529	ENSMSIG00000013281	Mus_spicilegus
ENSELUP00000015870	ENSELUG00000015796	Esox_lucius
ENSAPLP00000020903	ENSAPLG00000014670	Anas_platyrhynchos_platyrhynchos
ENSPVIP00000022222	ENSPVIG00000015887	Pogona_vitticeps
ENSNBRP00000025945	ENSNBRG00000019753	Neolamprologus_brichardi
ENSMUNP00000015554	ENSMUNG00000012004	Melopsittacus_undulatus
ENSCCEP00000013855	ENSCCEG00000013268	Cyanistes_caeruleus
ENSLCAP00010002843	ENSLCAG00010001462	Lates_calcarifer
ENSVURP00010015331	ENSVURG00010011743	Vombatus_ursinus
ENSSMRP00000008270	ENSSMRG00000006596	Salvator_merianae
ENSSMAP00000012084	ENSSMAG00000007454	Scophthalmus_maximus
ENSAMEP00000000555	ENSAMEG00000000488	Ailuropoda_melanoleuca
ENSRNOP00000010884	ENSRNOG00000008052	Rattus_norvegicus
ENSCPOP00000032250	ENSCPOG00000007688	Cavia_porcellus
ENSBTAP00000010946	ENSBTAG00000008309	Bos_taurus
ENSMLEP00000025898	ENSMLEG00000036950	Mandrillus_leucophaeus
ENSHBUP00000011365	ENSHBUG00000012998	Haplochromis_burtoni
ENSHCOP00000018795	ENSHCOG00000003709	Hippocampus_comes
ENSPMEP00000005277	ENSPMEG00000006631	Poecilia_mexicana
ENSGAGP00000006689	ENSGAGG00000004981	Gopherus_agassizii
ENSTBEP00000002013	ENSTBEG00000002258	Tupaia_belangeri
ENSCGOP00000016931	ENSCGOG00000008065	Cottoperca_gobio
ENSPSIP00000013062	ENSPSIG00000011762	Pelodiscus_sinensis
ENSNVIP00000017606	ENSNVIG00000012528	Neovison_vison
ENSCVAP00000001000	ENSCVAG00000001954	Cyprinodon_variegatus
ENSPVAP00000009226	ENSPVAG00000009790	Pteropus_vampyrus
ENSMNEP00000009780	ENSMNEG00000028973	Macaca_nemestrina
ENSOANP00000006203	ENSOANG00000003919	Ornithorhynchus_anatinus
