ENSPLAP00000015826	ENSPLAG00000019867	Poecilia_latipinna
ENSCMIP00000011234	ENSCMIG00000005837	Callorhinchus_milii
ENSPVIP00000007485	ENSPVIG00000006111	Pogona_vitticeps	ENSPVIT00000009634
ENSACAP00000018247	ENSACAG00000022510	Anolis_carolinensis	ENSACAT00000022382
ENSNSUP00000005038	ENSNSUG00000004037	Notechis_scutatus
ENSSMRP00000027623	ENSSMRG00000021300	Salvator_merianae
ENSSPUP00000013557	ENSSPUG00000010439	Sphenodon_punctatus
ENSAPLP00000005029	ENSAPLG00000005443	Anas_platyrhynchos_platyrhynchos
ENSABRP00000002871	ENSABRG00000002694	Anser_brachyrhynchus
ENSMGAP00000004467	ENSMGAG00000004635	Meleagris_gallopavo
ENSCJPP00005016975	ENSCJPG00005013906	Coturnix_japonica
ENSGALP00000012815	ENSGALG00000007904	Gallus_gallus
ENSNMEP00000002946	ENSNMEG00000003532	Numida_meleagris
ENSCPUP00000008649	ENSCPUG00000006209	Calidris_pugnax
ENSCPGP00000028277	ENSCPGG00000019448	Calidris_pygmaea
ENSMUNP00000011774	ENSMUNG00000009270	Melopsittacus_undulatus
ENSJHYP00000007460	ENSJHYG00000005949	Junco_hyemalis
ENSZALP00000011699	ENSZALG00000009864	Zonotrichia_albicollis
ENSSCAP00000010183	ENSSCAG00000007726	Serinus_canaria
ENSFALP00000006453	ENSFALG00000006186	Ficedula_albicollis
ENSLSDP00000008627	ENSLSDG00000006427	Lonchura_striata_domestica
ENSTGUP00000000318	ENSTGUG00000000308	Taeniopygia_guttata
ENSPMJP00000010953	ENSPMJG00000008562	Parus_major
ENSCCEP00000004292	ENSCCEG00000004782	Cyanistes_caeruleus
ENSLCOP00000005633	ENSLCOG00000004174	Lepidothrix_coronata
ENSMVIP00005024578	ENSMVIG00005017236	Manacus_vitellinus
ENSARWP00000004863	ENSARWG00000003514	Apteryx_rowi
ENSAOWP00000001281	ENSAOWG00000000925	Apteryx_owenii
ENSAHAP00000020601	ENSAHAG00000014481	Apteryx_haastii
ENSDNVP00000015847	ENSDNVG00000011119	Dromaius_novaehollandiae
ENSNPEP00000005010	ENSNPEG00000003516	Nothoprocta_perdicaria
ENSCPRP00005006257	ENSCPRG00005004474	Crocodylus_porosus
ENSCABP00000026271	ENSCABG00000019305	Chelonoidis_abingdonii
ENSGAGP00000009361	ENSGAGG00000007131	Gopherus_agassizii
ENSCPBP00000011899	ENSCPBG00000009013	Chrysemys_picta_bellii
ENSPSIP00000018746	ENSPSIG00000016665	Pelodiscus_sinensis
ENSVURP00010025501	ENSVURG00010019516	Vombatus_ursinus
ENSPCIP00000037512	ENSPCIG00000027645	Phascolarctos_cinereus
ENSMEUP00000002459	ENSMEUG00000002688	Notamacropus_eugenii
ENSSHAP00000015038	ENSSHAG00000012834	Sarcophilus_harrisii
ENSMODP00000043242	ENSMODG00000014415	Monodelphis_domestica
ENSETEP00000002880	ENSETEG00000003511	Echinops_telfairi
ENSDNOP00000018542	ENSDNOG00000043906	Dasypus_novemcinctus
ENSLAFP00000008109	ENSLAFG00000009668	Loxodonta_africana
ENSPCAP00000006486	ENSPCAG00000006943	Procavia_capensis
ENSETEP00000015710	ENSETEG00000019337	Echinops_telfairi
ENSOARP00000016863	ENSOARG00000015712	Ovis_aries
ENSCHIP00000023140	ENSCHIG00000020818	Capra_hircus
ENSBIXP00005017145	ENSBIXG00005020650	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000004588	ENSBIXG00000000719	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000014176	ENSBTAG00000010709	Bos_taurus
ENSBMUP00000017309	ENSBMUG00000013078	Bos_mutus
ENSBBBP00000015571	ENSBBBG00000006104	Bison_bison_bison
ENSOARP00000022634	ENSOARG00000021061	Ovis_aries
ENSCHIP00000009843	ENSCHIG00000012549	Capra_hircus
ENSTTRP00000009973	ENSTTRG00000010513	Tursiops_truncatus
ENSVPAP00000000048	ENSVPAG00000000053	Vicugna_pacos
ENSSSCP00000070907	ENSSSCG00000015030	Sus_scrofa_strain_reference
ENSECAP00000019087	ENSECAG00000021375	Equus_caballus
ENSEASP00005010067	ENSEASG00005007061	Equus_asinus_asinus
ENSUMAP00000009118	ENSUMAG00000006906	Ursus_maritimus
ENSUAMP00000023716	ENSUAMG00000018574	Ursus_americanus
ENSAMEP00000004342	ENSAMEG00000004089	Ailuropoda_melanoleuca
ENSNVIP00000001781	ENSNVIG00000001437	Neovison_vison
ENSMPUP00000003628	ENSMPUG00000003657	Mustela_putorius_furo
ENSCAFP00020007643	ENSCAFG00020006065	Canis_lupus_dingo
ENSCAFP00000020671	ENSCAFG00000014016	Canis_lupus_familiaris
ENSVVUP00000021684	ENSVVUG00000015934	Vulpes_vulpes
ENSPPRP00000019778	ENSPPRG00000011054	Panthera_pardus
ENSPTIP00000001867	ENSPTIG00000004725	Panthera_tigris_altaica
ENSFCAP00000014535	ENSFCAG00000015676	Felis_catus
ENSPVAP00000009064	ENSPVAG00000009618	Pteropus_vampyrus
ENSMLUP00000011130	ENSMLUG00000012212	Myotis_lucifugus
ENSEEUP00000011658	ENSEEUG00000012776	Erinaceus_europaeus
ENSSARP00000003758	ENSSARG00000004114	Sorex_araneus
ENSODEP00000000603	ENSODEG00000000505	Octodon_degus
ENSODEP00000012115	ENSODEG00000008992	Octodon_degus
ENSCLAP00000017500	ENSCLAG00000012017	Chinchilla_lanigera
ENSCPOP00000032206	ENSCPOG00000011723	Cavia_porcellus
ENSCAPP00000003132	ENSCAPG00000005966	Cavia_aperea
ENSHGLP00000008501	ENSHGLG00000006138	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015763	ENSHGLG00100011637	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018110	ENSFDAG00000010082	Fukomys_damarensis
ENSSTOP00000009985	ENSSTOG00000011131	Ictidomys_tridecemlineatus
ENSUPAP00010026185	ENSUPAG00010020427	Urocitellus_parryii
ENSSDAP00000000065	ENSSDAG00000000067	Spermophilus_dauricus
ENSMMMP00000026804	ENSMMMG00000023453	Marmota_marmota_marmota
ENSCCNP00000013836	ENSCCNG00000014333	Castor_canadensis
ENSCCNP00000012092	ENSCCNG00000012512	Castor_canadensis
ENSDORP00000018536	ENSDORG00000001926	Dipodomys_ordii
ENSMSIP00000007506	ENSMSIG00000006654	Mus_spicilegus
ENSMSIP00000000234	ENSMSIG00000000256	Mus_spicilegus
MGP_SPRETEiJ_P0091374	MGP_SPRETEiJ_G0033330	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034567	ENSMUSG00000000168	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0087778	MGP_CAROLIEiJ_G0032191	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023430	MGP_PahariEiJ_G0015059	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000032890	ENSRNOG00000009994	Rattus_norvegicus
ENSMUGP00000014030	ENSMUGG00000012153	Meriones_unguiculatus
ENSMOCP00000022127	ENSMOCG00000019261	Microtus_ochrogaster
ENSPEMP00000005730	ENSPEMG00000008131	Peromyscus_maniculatus_bairdii
ENSCGRP00000009858	ENSCGRG00000007219	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001001347	ENSCGRG00001001078	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015028690	ENSCGRG00015021697	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000015379	ENSMAUG00000014831	Mesocricetus_auratus
ENSNGAP00000017884	ENSNGAG00000018150	Nannospalax_galili
ENSJJAP00000004875	ENSJJAG00000009823	Jaculus_jaculus
ENSJJAP00000005265	ENSJJAG00000010214	Jaculus_jaculus
ENSOCUP00000028809	ENSOCUG00000015590	Oryctolagus_cuniculus
ENSOPRP00000011549	ENSOPRG00000012642	Ochotona_princeps
ENSMFAP00000013893	ENSMFAG00000029892	Macaca_fascicularis
ENSMMUP00000023132	ENSMMUG00000017568	Macaca_mulatta
ENSMNEP00000011086	ENSMNEG00000029907	Macaca_nemestrina
ENSMLEP00000012926	ENSMLEG00000030620	Mandrillus_leucophaeus
ENSCATP00000010174	ENSCATG00000029342	Cercocebus_atys
ENSPANP00000008636	ENSPANG00000004640	Papio_anubis
ENSTGEP00000023140	ENSTGEG00000018730	Theropithecus_gelada
ENSCSAP00000015216	ENSCSAG00000002846	Chlorocebus_sabaeus
ENSRBIP00000009404	ENSRBIG00000028596	Rhinopithecus_bieti
ENSRROP00000019373	ENSRROG00000033703	Rhinopithecus_roxellana
ENSPTEP00000027069	ENSPTEG00000026986	Piliocolobus_tephrosceles
ENSCANP00000029024	ENSCANG00000038041	Colobus_angolensis_palliatus
ENSRBIP00000023654	ENSRBIG00000035750	Rhinopithecus_bieti
ENSRROP00000018005	ENSRROG00000033085	Rhinopithecus_roxellana
ENSCANP00000021570	ENSCANG00000034219	Colobus_angolensis_palliatus
ENSMFAP00000006765	ENSMFAG00000039105	Macaca_fascicularis
ENSMMUP00000013687	ENSMMUG00000010445	Macaca_mulatta
ENSMNEP00000025488	ENSMNEG00000036221	Macaca_nemestrina
ENSCSAP00000012133	ENSCSAG00000016064	Chlorocebus_sabaeus
ENSCATP00000026994	ENSCATG00000036891	Cercocebus_atys
ENSTGEP00000018918	ENSTGEG00000015233	Theropithecus_gelada
ENSPANP00000032642	ENSPANG00000029307	Papio_anubis
ENSMLEP00000032195	ENSMLEG00000040322	Mandrillus_leucophaeus
ENSNLEP00000008892	ENSNLEG00000007289	Nomascus_leucogenys
ENSNLEP00000002569	ENSNLEG00000002143	Nomascus_leucogenys
ENSPTRP00000007349	ENSPTRG00000004279	Pan_troglodytes
ENSPPAP00000042453	ENSPPAG00000043791	Pan_paniscus
ENSP00000280346	ENSG00000150768	Homo_sapiens
ENSGGOP00000002482	ENSGGOG00000002519	Gorilla_gorilla
ENSPPYP00000004435	ENSPPYG00000003872	Pongo_abelii
ENSCCAP00000017420	ENSCCAG00000026515	Cebus_capucinus_imitator
ENSSBOP00000013476	ENSSBOG00000023494	Saimiri_boliviensis_boliviensis
ENSCJAP00000020177	ENSCJAG00000010906	Callithrix_jacchus
ENSANAP00000016785	ENSANAG00000026255	Aotus_nancymaae
ENSTSYP00000016524	ENSTSYG00000004301	Carlito_syrichta
ENSPSMP00000030307	ENSPSMG00000021014	Prolemur_simus
ENSPCOP00000006305	ENSPCOG00000014290	Propithecus_coquereli
ENSMICP00000033905	ENSMICG00000015865	Microcebus_murinus
ENSOGAP00000007668	ENSOGAG00000008559	Otolemur_garnettii
ENSTBEP00000009914	ENSTBEG00000011479	Tupaia_belangeri
ENSDNOP00000001752	ENSDNOG00000002250	Dasypus_novemcinctus
ENSCHOP00000001811	ENSCHOG00000002045	Choloepus_hoffmanni
ENSOANP00000016526	ENSOANG00000010422	Ornithorhynchus_anatinus
ENSXETP00000035901	ENSXETG00000013831	Xenopus_tropicalis
ENSLACP00000017780	ENSLACG00000015659	Latimeria_chalumnae
ENSCMIP00000028191	ENSCMIG00000012258	Callorhinchus_milii
ENSEBUP00000021808	ENSEBUG00000013449	Eptatretus_burgeri
ENSEBUP00000001079	ENSEBUG00000001026	Eptatretus_burgeri
ENSCSAVP00000006762	ENSCSAVG00000004047	Ciona_savignyi
ENSCINP00000026648	ENSCING00000009059	Ciona_intestinalis
FBpp0079072	FBgn0283658	Drosophila_melanogaster	FBtr0079444
F23B12.5.1	WBGene00009082	Caenorhabditis_elegans_strain_N2	F23B12.5.1
YNL071W_mRNA	YNL071W	Saccharomyces_cerevisiae_strain_S288C
