ENSZALP00000014758	ENSZALG00000012216	Zonotrichia_albicollis
ENSNLEP00000046785	ENSNLEG00000026640	Nomascus_leucogenys
ENSPTEP00000034078	ENSPTEG00000032389	Piliocolobus_tephrosceles
ENSCANP00000010760	ENSCANG00000028766	Colobus_angolensis_palliatus
ENSRBIP00000005258	ENSRBIG00000023636	Rhinopithecus_bieti
ENSRROP00000044573	ENSRROG00000045245	Rhinopithecus_roxellana
ENSTGEP00000025514	ENSTGEG00000020534	Theropithecus_gelada
ENSPANP00000008861	ENSPANG00000002434	Papio_anubis
ENSCATP00000009025	ENSCATG00000027362	Cercocebus_atys
ENSMLEP00000008318	ENSMLEG00000028312	Mandrillus_leucophaeus
ENSMFAP00000023225	ENSMFAG00000043284	Macaca_fascicularis
ENSMNEP00000038946	ENSMNEG00000042441	Macaca_nemestrina
ENSMMUP00000010283	ENSMMUG00000007828	Macaca_mulatta
ENSCSAP00000017206	ENSCSAG00000000800	Chlorocebus_sabaeus
ENSCCAP00000021861	ENSCCAG00000028756	Cebus_capucinus_imitator
ENSSBOP00000029200	ENSSBOG00000030921	Saimiri_boliviensis_boliviensis
ENSCJAP00000024498	ENSCJAG00000013334	Callithrix_jacchus
ENSANAP00000036206	ENSANAG00000035602	Aotus_nancymaae
ENSTSYP00000015745	ENSTSYG00000032408	Carlito_syrichta
ENSPSMP00000007022	ENSPSMG00000005165	Prolemur_simus
ENSMICP00000003073	ENSMICG00000003379	Microcebus_murinus
ENSPCOP00000010799	ENSPCOG00000016874	Propithecus_coquereli
ENSOGAP00000008700	ENSOGAG00000009728	Otolemur_garnettii
ENSDORP00000013194	ENSDORG00000014032	Dipodomys_ordii
ENSTBEP00000007313	ENSTBEG00000008430	Tupaia_belangeri
ENSPVAP00000001846	ENSPVAG00000001956	Pteropus_vampyrus
ENSMLUP00000010709	ENSMLUG00000011756	Myotis_lucifugus
ENSUMAP00000031650	ENSUMAG00000022836	Ursus_maritimus
ENSUAMP00000024536	ENSUAMG00000019160	Ursus_americanus
ENSAMEP00000010307	ENSAMEG00000009801	Ailuropoda_melanoleuca
ENSMPUP00000016297	ENSMPUG00000016401	Mustela_putorius_furo
ENSNVIP00000010634	ENSNVIG00000008306	Neovison_vison
ENSCAFP00020010497	ENSCAFG00020008529	Canis_lupus_dingo
ENSCAFP00000060565	ENSCAFG00000016558	Canis_lupus_familiaris
ENSVVUP00000039980	ENSVVUG00000028509	Vulpes_vulpes
ENSPPRP00000021395	ENSPPRG00000012233	Panthera_pardus
ENSPTIP00000018039	ENSPTIG00000016287	Panthera_tigris_altaica
ENSFCAP00000026757	ENSFCAG00000000067	Felis_catus
ENSECAP00000038098	ENSECAG00000020032	Equus_caballus
ENSEASP00005026051	ENSEASG00005017771	Equus_asinus_asinus
ENSCHIP00000031461	ENSCHIG00000025785	Capra_hircus
ENSOARP00000019832	ENSOARG00000018469	Ovis_aries
ENSBIXP00000015196	ENSBIXG00000019768	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005017412	ENSBIXG00005020985	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000070958	ENSBTAG00000020698	Bos_taurus
ENSBMUP00000016729	ENSBMUG00000012682	Bos_mutus
ENSBBBP00000026313	ENSBBBG00000022120	Bison_bison_bison
ENSSSCP00000051768	ENSSSCG00000003428	Sus_scrofa_strain_reference
ENSTTRP00000010873	ENSTTRG00000011467	Tursiops_truncatus
ENSCHOP00000009833	ENSCHOG00000011106	Choloepus_hoffmanni
ENSDNOP00000009450	ENSDNOG00000012174	Dasypus_novemcinctus
ENSLAFP00000009208	ENSLAFG00000011008	Loxodonta_africana
ENSPCAP00000011520	ENSPCAG00000012323	Procavia_capensis
ENSETEP00000012475	ENSETEG00000015389	Echinops_telfairi
ENSEEUP00000001536	ENSEEUG00000001681	Erinaceus_europaeus
ENSPCIP00000035320	ENSPCIG00000026119	Phascolarctos_cinereus
ENSVURP00010031392	ENSVURG00010024017	Vombatus_ursinus
ENSMEUP00000000642	ENSMEUG00000000696	Notamacropus_eugenii
ENSSHAP00000010421	ENSSHAG00000008997	Sarcophilus_harrisii
ENSMODP00000052157	ENSMODG00000010976	Monodelphis_domestica
ENSOANP00000004365	ENSOANG00000002743	Ornithorhynchus_anatinus
ENSXETP00000042413	ENSXETG00000010249	Xenopus_tropicalis
ENSACAP00000017166	ENSACAG00000017430	Anolis_carolinensis
ENSAMXP00005032127	ENSAMXG00005015608	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000014606	ENSAMXG00000014200	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000020595	ENSPNAG00000006779	Pygocentrus_nattereri
ENSEEEP00000006129	ENSEEEG00000003273	Electrophorus_electricus
ENSIPUP00000031334	ENSIPUG00000021093	Ictalurus_punctatus
ENSDARP00000121987	ENSDARG00000053087	Danio_rerio
ENSDCDP00000023012	ENSDCDG00000017175	Denticeps_clupeoides
ENSCVAP00000020298	ENSCVAG00000001602	Cyprinodon_variegatus
ENSFHEP00000021448	ENSFHEG00000001200	Fundulus_heteroclitus
ENSPFOP00000017905	ENSPFOG00000017784	Poecilia_formosa
ENSPLAP00000004716	ENSPLAG00000006483	Poecilia_latipinna
ENSPMEP00000033144	ENSPMEG00000021518	Poecilia_mexicana
ENSPREP00000013529	ENSPREG00000009194	Poecilia_reticulata
ENSXCOP00000003360	ENSXCOG00000002652	Xiphophorus_couchianus
ENSXMAP00000012769	ENSXMAG00000012737	Xiphophorus_maculatus
ENSGAFP00000019485	ENSGAFG00000013160	Gambusia_affinis
ENSKMAP00000017657	ENSKMAG00000013150	Kryptolebias_marmoratus
ENSGWIP00000014916	ENSGWIG00000007290	Gouania_willdenowi
ENSCSEP00000007478	ENSCSEG00000004829	Cynoglossus_semilaevis
ENSTNIP00000005861	ENSTNIG00000003278	Tetraodon_nigroviridis
ENSTRUP00000006953	ENSTRUG00000002976	Takifugu_rubripes
ENSHCOP00000011135	ENSHCOG00000013936	Hippocampus_comes
ENSMALP00000024035	ENSMALG00000016741	Monopterus_albus
ENSMAMP00000021511	ENSMAMG00000014440	Mastacembelus_armatus
ENSATEP00000031789	ENSATEG00000021897	Anabas_testudineus
ENSPRNP00000004934	ENSPRNG00000002690	Parambassis_ranga
ENSAPEP00000019164	ENSAPEG00000013663	Amphiprion_percula
ENSAOCP00000020827	ENSAOCG00000005179	Amphiprion_ocellaris
ENSAPOP00000003363	ENSAPOG00000001022	Acanthochromis_polyacanthus
ENSSPAP00000007927	ENSSPAG00000006049	Stegastes_partitus
ENSHBUP00000013787	ENSHBUG00000015628	Haplochromis_burtoni
ENSPNYP00000028309	ENSPNYG00000021294	Pundamilia_nyererei
ENSMZEP00005029553	ENSMZEG00005022039	Maylandia_zebra
ENSMZEP00005033690	ENSMZEG00005025167	Maylandia_zebra
ENSACLP00000002384	ENSACLG00000001596	Astatotilapia_calliptera
ENSNBRP00000006118	ENSNBRG00000004798	Neolamprologus_brichardi
ENSONIP00000022633	ENSONIG00000017961	Oreochromis_niloticus
ENSACIP00000010930	ENSACIG00000008546	Amphilophus_citrinellus
ENSLCRP00005040056	ENSLCRG00005015301	Larimichthys_crocea
ENSMMOP00000025793	ENSMMOG00000019558	Mola_mola
ENSLBEP00000019373	ENSLBEG00000014875	Labrus_bergylta
ENSSDUP00000002356	ENSSDUG00000001815	Seriola_dumerili
ENSSLDP00000020845	ENSSLDG00000016286	Seriola_lalandi_dorsalis
ENSLCAP00010014670	ENSLCAG00010006938	Lates_calcarifer
ENSSMAP00000006195	ENSSMAG00000003808	Scophthalmus_maximus
ENSGACP00000016704	ENSGACG00000012633	Gasterosteus_aculeatus
ENSPMGP00000029028	ENSPMGG00000023363	Periophthalmus_magnuspinnatus
ENSOMEP00000035644	ENSOMEG00000023007	Oryzias_melastigma
ENSORLP00000023652	ENSORLG00000018951	Oryzias_latipes_ASM223467v1
ENSGMOP00000001754	ENSGMOG00000001673	Gadus_morhua
ENSHHUP00000006315	ENSHHUG00000003738	Hucho_hucho
ENSHHUP00000047442	ENSHHUG00000028766	Hucho_hucho
ENSELUP00000031602	ENSELUG00000009206	Esox_lucius
ENSPKIP00000035226	ENSPKIG00000014252	Paramormyrops_kingsleyae
ENSSFOP00015015596	ENSSFOG00015010018	Scleropages_formosus
ENSLOCP00000006784	ENSLOCG00000005606	Lepisosteus_oculatus
ENSECRP00000009371	ENSECRG00000006275	Erpetoichthys_calabaricus
ENSLACP00000010131	ENSLACG00000008932	Latimeria_chalumnae
ENSCMIP00000013261	ENSCMIG00000006630	Callorhinchus_milii
ENSEBUP00000009993	ENSEBUG00000006411	Eptatretus_burgeri
ENSCSAVP00000006769	ENSCSAVG00000004048	Ciona_savignyi
ENSCINP00000013160	ENSCING00000006388	Ciona_intestinalis
C06A8.1a.2	WBGene00015512	Caenorhabditis_elegans_strain_N2
FBpp0075903	FBgn0036157	Drosophila_melanogaster
