ENSMUSP00000113685	ENSMUSG00000055436	Mus_musculus_strain_reference_(CL57BL6)
ENSHBUP00000005646	ENSHBUG00000007057	Haplochromis_burtoni
ENSBTAP00000009630	ENSBTAG00000007321	Bos_taurus
ENSPCAP00000004654	ENSPCAG00000004955	Procavia_capensis
ENSORLP00000003381	ENSORLG00000002711	Oryzias_latipes_ASM223467v1
ENSMGAP00000012694	ENSMGAG00000012072	Meleagris_gallopavo
ENSORLP00000021707	ENSORLG00000017357	Oryzias_latipes_ASM223467v1
ENSXCOP00000004088	ENSXCOG00000003208	Xiphophorus_couchianus
ENSORLP00020031281	ENSORLG00020016204	Oryzias_latipes_ASM223471v1
ENSAOWP00000017636	ENSAOWG00000012053	Apteryx_owenii
ENSKMAP00000007826	ENSKMAG00000005868	Kryptolebias_marmoratus
ENSHGLP00000001549	ENSHGLG00000001181	Heterocephalus_glaber_HetGla_female_1.0
ENSFALP00000010259	ENSFALG00000009835	Ficedula_albicollis
ENSBIXP00005041249	ENSBIXG00005007179	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMFAP00000042063	ENSMFAG00000039823	Macaca_fascicularis
ENSFHEP00000002906	ENSFHEG00000003732	Fundulus_heteroclitus
ENSNBRP00000015747	ENSNBRG00000012193	Neolamprologus_brichardi
ENSBSLP00000032593	ENSBSLG00000015945	Betta_splendens
ENSZALP00000016537	ENSZALG00000013421	Zonotrichia_albicollis	ENSZALT00000022103
ENSZALP00000016538	ENSZALG00000013422	Zonotrichia_albicollis	ENSZALT00000022104
ENSSMAP00000019249	ENSSMAG00000011808	Scophthalmus_maximus
ENSLBEP00000030409	ENSLBEG00000022954	Labrus_bergylta
ENSMVIP00005008661	ENSMVIG00005006436	Manacus_vitellinus
ENSAPOP00000020083	ENSAPOG00000023618	Acanthochromis_polyacanthus
ENSCABP00000015320	ENSCABG00000011424	Chelonoidis_abingdonii
ENSSCAP00000014844	ENSSCAG00000010891	Serinus_canaria
ENSCPGP00000010068	ENSCPGG00000007153	Calidris_pygmaea
ENSLCRP00005038816	ENSLCRG00005015043	Larimichthys_crocea
ENSMMOP00000010905	ENSMMOG00000008409	Mola_mola
ENSHHUP00000043585	ENSHHUG00000026736	Hucho_hucho
ENSGWIP00000005712	ENSGWIG00000003232	Gouania_willdenowi
ENSCPBP00000038934	ENSCPBG00000026866	Chrysemys_picta_bellii
ENSMMOP00000010903	ENSMMOG00000008407	Mola_mola
ENSANAP00000002559	ENSANAG00000018690	Aotus_nancymaae
ENSACIP00000023284	ENSACIG00000018075	Amphilophus_citrinellus
ENSMMMP00000000684	ENSMMMG00000000609	Marmota_marmota_marmota
ENSXMAP00000023504	ENSXMAG00000027782	Xiphophorus_maculatus
ENSNGAP00000016951	ENSNGAG00000017527	Nannospalax_galili
ENSCSEP00000016674	ENSCSEG00000010721	Cynoglossus_semilaevis
ENSSDAP00000021296	ENSSDAG00000019353	Spermophilus_dauricus
ENSPMGP00000021008	ENSPMGG00000017029	Periophthalmus_magnuspinnatus
ENSCANP00000032262	ENSCANG00000039796	Colobus_angolensis_palliatus
ENSRBIP00000039007	ENSRBIG00000042971	Rhinopithecus_bieti
ENSBMUP00000012313	ENSBMUG00000009427	Bos_mutus
ENSSPAP00000007422	ENSSPAG00000005684	Stegastes_partitus
ENSJJAP00000000227	ENSJJAG00000000214	Jaculus_jaculus
ENSDORP00000019391	ENSDORG00000023160	Dipodomys_ordii
ENSCANP00000013976	ENSCANG00000030421	Colobus_angolensis_palliatus
ENSMALP00000024550	ENSMALG00000017086	Monopterus_albus
ENSSPUP00000021543	ENSSPUG00000016553	Sphenodon_punctatus
ENSPLAP00000007197	ENSPLAG00000009484	Poecilia_latipinna
ENSOGAP00000014738	ENSOGAG00000016463	Otolemur_garnettii
ENSMLUP00000013473	ENSMLUG00000014801	Myotis_lucifugus
ENSCGRP00015028359	ENSCGRG00015021436	Cricetulus_griseus_CriGri-PICR
ENSUAMP00000010189	ENSUAMG00000008403	Ursus_americanus
ENSCVAP00000001425	ENSCVAG00000002404	Cyprinodon_variegatus
ENSOCUP00000025033	ENSOCUG00000025440	Oryctolagus_cuniculus
ENSMUNP00000015952	ENSMUNG00000012289	Melopsittacus_undulatus
ENSEEEP00000006389	ENSEEEG00000003391	Electrophorus_electricus
ENSEEEP00000031795	ENSEEEG00000015183	Electrophorus_electricus
ENSEEEP00000031797	ENSEEEG00000015184	Electrophorus_electricus
ENSPMJP00000016865	ENSPMJG00000012694	Parus_major
ENSOARP00000012739	ENSOARG00000011887	Ovis_aries
ENSNPEP00000001858	ENSNPEG00000001442	Nothoprocta_perdicaria
ENSTNIP00000011354	ENSTNIG00000008514	Tetraodon_nigroviridis
ENSIPUP00000017981	ENSIPUG00000012208	Ictalurus_punctatus
ENSTTRP00000009177	ENSTTRG00000009684	Tursiops_truncatus
ENSHHUP00000085286	ENSHHUG00000049414	Hucho_hucho
ENSGAFP00000031815	ENSGAFG00000021415	Gambusia_affinis
ENSAPOP00000005539	ENSAPOG00000007244	Acanthochromis_polyacanthus
ENSMMUP00000039936	ENSMMUG00000013852	Macaca_mulatta
ENSELUP00000025202	ENSELUG00000023887	Esox_lucius
ENSSTOP00000024153	ENSSTOG00000008675	Ictidomys_tridecemlineatus
ENSPANP00000008849	ENSPANG00000018677	Papio_anubis
ENSVURP00010025584	ENSVURG00010019565	Vombatus_ursinus
ENSCAFP00020024725	ENSCAFG00020019448	Canis_lupus_dingo
ENSAPEP00000005031	ENSAPEG00000003619	Amphiprion_percula
ENSCAFP00020024726	ENSCAFG00020019449	Canis_lupus_dingo
ENSMALP00000023806	ENSMALG00000016608	Monopterus_albus
ENSSHAP00000003989	ENSSHAG00000003514	Sarcophilus_harrisii
ENSSLDP00000015180	ENSSLDG00000012105	Seriola_lalandi_dorsalis
ENSMAMP00000000525	ENSMAMG00000000369	Mastacembelus_armatus
ENSCPUP00000021887	ENSCPUG00000014880	Calidris_pugnax	ENSCPUT00000025856
ENSAPEP00000003040	ENSAPEG00000002218	Amphiprion_percula
ENSNSUP00000010874	ENSNSUG00000008233	Notechis_scutatus
ENSAHAP00000009398	ENSAHAG00000006821	Apteryx_haastii
ENSP00000359988	ENSG00000116754	Homo_sapiens
MGP_PahariEiJ_P0072151	MGP_PahariEiJ_G0027217	Mus_pahari_strain_PAHARI_EIJ
ENSBBBP00000003708	ENSBBBG00000012746	Bison_bison_bison
ENSGWIP00000000250	ENSGWIG00000000161	Gouania_willdenowi
ENSHCOP00000013669	ENSHCOG00000016860	Hippocampus_comes
ENSDNOP00000006663	ENSDNOG00000008603	Dasypus_novemcinctus
ENSLCOP00000004994	ENSLCOG00000003753	Lepidothrix_coronata
ENSAPOP00000003051	ENSAPOG00000004488	Acanthochromis_polyacanthus
ENSMALP00000030120	ENSMALG00000020833	Monopterus_albus
ENSCPGP00000013058	ENSCPGG00000009267	Calidris_pygmaea
ENSOPRP00000011052	ENSOPRG00000012111	Ochotona_princeps
ENSACIP00000019327	ENSACIG00000015055	Amphilophus_citrinellus
ENSUPAP00010026383	ENSUPAG00010020848	Urocitellus_parryii
ENSOMEP00000031144	ENSOMEG00000015817	Oryzias_melastigma
ENSKMAP00000023072	ENSKMAG00000017111	Kryptolebias_marmoratus
ENSMMOP00000011534	ENSMMOG00000008877	Mola_mola
ENSANAP00000033981	ENSANAG00000034637	Aotus_nancymaae
ENSMZEP00005007476	ENSMZEG00005005719	Maylandia_zebra
ENSPKIP00000011138	ENSPKIG00000025563	Paramormyrops_kingsleyae
ENSVVUP00000007784	ENSVVUG00000005888	Vulpes_vulpes
ENSECRP00000014472	ENSECRG00000009653	Erpetoichthys_calabaricus
ENSCATP00000014967	ENSCATG00000031482	Cercocebus_atys
ENSPTIP00000006690	ENSPTIG00000008536	Panthera_tigris_altaica
ENSPTEP00000010936	ENSPTEG00000012352	Piliocolobus_tephrosceles
ENSCHOP00000004390	ENSCHOG00000004956	Choloepus_hoffmanni
ENSHCOP00000026360	ENSHCOG00000017228	Hippocampus_comes
ENSARWP00000012192	ENSARWG00000008420	Apteryx_rowi
ENSARWP00000012190	ENSARWG00000008419	Apteryx_rowi
ENSCABP00000008638	ENSCABG00000006526	Chelonoidis_abingdonii
ENSCABP00000008636	ENSCABG00000006525	Chelonoidis_abingdonii
ENSCSEP00000021809	ENSCSEG00000013925	Cynoglossus_semilaevis
ENSSHAP00000014168	ENSSHAG00000012111	Sarcophilus_harrisii
ENSMMOP00000022067	ENSMMOG00000016751	Mola_mola
ENSPREP00000029415	ENSPREG00000019912	Poecilia_reticulata
ENSCPOP00000008576	ENSCPOG00000009554	Cavia_porcellus
ENSACAP00000013529	ENSACAG00000013654	Anolis_carolinensis
ENSSTOP00000007933	ENSSTOG00000008850	Ictidomys_tridecemlineatus
ENSATEP00000010702	ENSATEG00000007534	Anabas_testudineus
ENSAPOP00000016785	ENSAPOG00000019935	Acanthochromis_polyacanthus
ENSPKIP00000004519	ENSPKIG00000021584	Paramormyrops_kingsleyae
ENSAMXP00000050300	ENSAMXG00000043877	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSVVUP00000011353	ENSVVUG00000008361	Vulpes_vulpes
ENSCAFP00020021810	ENSCAFG00020017253	Canis_lupus_dingo
ENSCAFP00020021812	ENSCAFG00020017255	Canis_lupus_dingo
ENSGAGP00000007614	ENSGAGG00000006087	Gopherus_agassizii
ENSCPOP00000008019	ENSCPOG00000008925	Cavia_porcellus
ENSACLP00000039687	ENSACLG00000026754	Astatotilapia_calliptera
ENSGGOP00000005658	ENSGGOG00000005774	Gorilla_gorilla
ENSMICP00000049735	ENSMICG00000034959	Microcebus_murinus
ENSPMEP00000020356	ENSPMEG00000023453	Poecilia_mexicana
ENSPMGP00000006001	ENSPMGG00000005045	Periophthalmus_magnuspinnatus
ENSPMGP00000006002	ENSPMGG00000005046	Periophthalmus_magnuspinnatus
ENSPLAP00000023454	ENSPLAG00000008827	Poecilia_latipinna
ENSCVAP00000001418	ENSCVAG00000002411	Cyprinodon_variegatus
ENSCAPP00000017995	ENSCAPG00000017511	Cavia_aperea
ENSNVIP00000007878	ENSNVIG00000006262	Neovison_vison
MGP_SPRETEiJ_P0063673	MGP_SPRETEiJ_G0026719	Mus_spretus_strain_SPRET/EiJ
ENSCAFP00000056755	ENSCAFG00000020423	Canis_lupus_familiaris
ENSEEUP00000003144	ENSEEUG00000003430	Erinaceus_europaeus
ENSCPGP00000021002	ENSCPGG00000014668	Calidris_pygmaea	ENSCPGT00000023007
ENSBSLP00000043218	ENSBSLG00000020611	Betta_splendens
ENSDNVP00000020501	ENSDNVG00000014353	Dromaius_novaehollandiae
ENSSDUP00000006191	ENSSDUG00000004582	Seriola_dumerili
ENSPRNP00000023939	ENSPRNG00000012229	Parambassis_ranga
ENSNMEP00000007679	ENSNMEG00000007643	Numida_meleagris
ENSLOCP00000012924	ENSLOCG00000010547	Lepisosteus_oculatus
ENSECRP00000020878	ENSECRG00000014053	Erpetoichthys_calabaricus
ENSCHAP00000054207	ENSCHAG00000024580	Clupea_harengus
ENSCPGP00000016431	ENSCPGG00000011553	Calidris_pygmaea
ENSEASP00005009605	ENSEASG00005006829	Equus_asinus_asinus
ENSEASP00005009609	ENSEASG00005006832	Equus_asinus_asinus
ENSARWP00000016532	ENSARWG00000011382	Apteryx_rowi
ENSNGAP00000012890	ENSNGAG00000014631	Nannospalax_galili
ENSAOWP00000017627	ENSAOWG00000012045	Apteryx_owenii
ENSSDAP00000008921	ENSSDAG00000008126	Spermophilus_dauricus
ENSHGLP00000012139	ENSHGLG00000008682	Heterocephalus_glaber_HetGla_female_1.0
ENSPMJP00000021690	ENSPMJG00000016116	Parus_major
ENSFALP00000001269	ENSFALG00000001217	Ficedula_albicollis
ENSHBUP00000005658	ENSHBUG00000007082	Haplochromis_burtoni
ENSODEP00000022075	ENSODEG00000016218	Octodon_degus
ENSMVIP00005022484	ENSMVIG00005015768	Manacus_vitellinus
ENSECAP00000026731	ENSECAG00000035731	Equus_caballus
ENSCPRP00005024838	ENSCPRG00005017242	Crocodylus_porosus
ENSOCUP00000001137	ENSOCUG00000001319	Oryctolagus_cuniculus
ENSEEUP00000002243	ENSEEUG00000002456	Erinaceus_europaeus
ENSNPEP00000021688	ENSNPEG00000016088	Nothoprocta_perdicaria
ENSNPEP00000021689	ENSNPEG00000016089	Nothoprocta_perdicaria
ENSCJAP00000032737	ENSCJAG00000017704	Callithrix_jacchus
ENSABRP00000020634	ENSABRG00000017568	Anser_brachyrhynchus
ENSMEUP00000011462	ENSMEUG00000012572	Notamacropus_eugenii
ENSABRP00000020737	ENSABRG00000017665	Anser_brachyrhynchus
ENSACLP00000000847	ENSACLG00000000623	Astatotilapia_calliptera
ENSSCAP00000010431	ENSSCAG00000007908	Serinus_canaria
ENSOANP00000007980	ENSOANG00000005029	Ornithorhynchus_anatinus
FBpp0079471	FBgn0024285	Drosophila_melanogaster
ENSACIP00000015915	ENSACIG00000012348	Amphilophus_citrinellus
ENSMAUP00000008708	ENSMAUG00000010066	Mesocricetus_auratus
ENSOCUP00000001728	ENSOCUG00000002001	Oryctolagus_cuniculus
ENSAMXP00000007105	ENSAMXG00000006919	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMSIP00000006410	ENSMSIG00000005693	Mus_spicilegus
ENSNBRP00000013858	ENSNBRG00000010718	Neolamprologus_brichardi
ENSHCOP00000013981	ENSHCOG00000017240	Hippocampus_comes
ENSABRP00000027652	ENSABRG00000023017	Anser_brachyrhynchus
ENSNLEP00000030130	ENSNLEG00000003827	Nomascus_leucogenys
ENSDCDP00000028813	ENSDCDG00000020642	Denticeps_clupeoides
ENSPKIP00000004497	ENSPKIG00000021576	Paramormyrops_kingsleyae
ENSPVAP00000009201	ENSPVAG00000009763	Pteropus_vampyrus
ENSPREP00000008798	ENSPREG00000006016	Poecilia_reticulata
ENSCPGP00000019331	ENSCPGG00000013537	Calidris_pygmaea
ENSECAP00000015457	ENSECAG00000017756	Equus_caballus
ENSPREP00000029428	ENSPREG00000019922	Poecilia_reticulata
ENSMLEP00000029772	ENSMLEG00000039078	Mandrillus_leucophaeus
ENSGAFP00000002556	ENSGAFG00000001751	Gambusia_affinis
ENSIPUP00000016093	ENSIPUG00000010929	Ictalurus_punctatus
ENSFHEP00000019056	ENSFHEG00000020959	Fundulus_heteroclitus
ENSSBOP00000034588	ENSSBOG00000033461	Saimiri_boliviensis_boliviensis
ENSETEP00000010530	ENSETEG00000012977	Echinops_telfairi
ENSXETP00000050988	ENSXETG00000019061	Xenopus_tropicalis
ENSCPUP00000022233	ENSCPUG00000015095	Calidris_pugnax
ENSCPUP00000022231	ENSCPUG00000015094	Calidris_pugnax
ENSPSMP00000004933	ENSPSMG00000003839	Prolemur_simus
ENSSMRP00000026020	ENSSMRG00000020090	Salvator_merianae
ENSAOCP00000019138	ENSAOCG00000024379	Amphiprion_ocellaris
ENSNSUP00000003478	ENSNSUG00000002820	Notechis_scutatus
ENSATEP00000016847	ENSATEG00000011691	Anabas_testudineus
ENSNPEP00000001862	ENSNPEG00000001447	Nothoprocta_perdicaria
ENSCAPP00000000385	ENSCAPG00000000317	Cavia_aperea
ENSPTEP00000039025	ENSPTEG00000036182	Piliocolobus_tephrosceles
ENSUMAP00000010876	ENSUMAG00000008191	Ursus_maritimus
ENSTGEP00000019222	ENSTGEG00000015456	Theropithecus_gelada
ENSMGAP00000006426	ENSMGAG00000002047	Meleagris_gallopavo
ENSGACP00000012346	ENSGACG00000009346	Gasterosteus_aculeatus
ENSMLUP00000018901	ENSMLUG00000026338	Myotis_lucifugus
ENSCPBP00000031973	ENSCPBG00000022445	Chrysemys_picta_bellii
ENSLBEP00000016075	ENSLBEG00000012466	Labrus_bergylta
ENSPLAP00000026641	ENSPLAG00000014609	Poecilia_latipinna
ENSCAFP00000039045	ENSCAFG00000007560	Canis_lupus_familiaris
ENSCVAP00000005527	ENSCVAG00000006934	Cyprinodon_variegatus
ENSSARP00000005278	ENSSARG00000005811	Sorex_araneus
ENSVURP00010025592	ENSVURG00010019585	Vombatus_ursinus
ENSORLP00015027353	ENSORLG00015009374	Oryzias_latipes_ASM223469v1
ENSPNYP00000009507	ENSPNYG00000007178	Pundamilia_nyererei
ENSDORP00000020355	ENSDORG00000023425	Dipodomys_ordii
ENSPPYP00000017335	ENSPPYG00000015515	Pongo_abelii
ENSMNEP00000010029	ENSMNEG00000029428	Macaca_nemestrina
ENSELUP00000040715	ENSELUG00000021268	Esox_lucius
ENSDCDP00000006292	ENSDCDG00000003231	Denticeps_clupeoides
ENSMPUP00000014627	ENSMPUG00000014736	Mustela_putorius_furo
ENSMZEP00005023909	ENSMZEG00005017890	Maylandia_zebra
ENSCCNP00000031979	ENSCCNG00000030394	Castor_canadensis
ENSCCNP00000031977	ENSCCNG00000030390	Castor_canadensis
ENSBBBP00000019833	ENSBBBG00000013313	Bison_bison_bison
ENSCLAP00000019404	ENSCLAG00000013309	Chinchilla_lanigera
ENSDNOP00000007999	ENSDNOG00000010327	Dasypus_novemcinctus
ENSFDAP00000009960	ENSFDAG00000017844	Fukomys_damarensis
ENSCGRP00000007670	ENSCGRG00000005588	Cricetulus_griseus_CriGri_1.0
ENSTBEP00000003813	ENSTBEG00000004406	Tupaia_belangeri
ENSAPLP00000003442	ENSAPLG00000003948	Anas_platyrhynchos_platyrhynchos
ENSCMIP00000045991	ENSCMIG00000018941	Callorhinchus_milii
ENSMFAP00000023483	ENSMFAG00000043405	Macaca_fascicularis
ENSAHAP00000015986	ENSAHAG00000011425	Apteryx_haastii
ENSHBUP00000004318	ENSHBUG00000005603	Haplochromis_burtoni
ENSRBIP00000019683	ENSRBIG00000033818	Rhinopithecus_bieti
ENSBIXP00000025503	ENSBIXG00000027588	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSORLP00000009711	ENSORLG00000007753	Oryzias_latipes_ASM223467v1
ENSCSEP00000013245	ENSCSEG00000008551	Cynoglossus_semilaevis
ENSSFOP00015025046	ENSSFOG00015016086	Scleropages_formosus
ENSAOCP00000006850	ENSAOCG00000010541	Amphiprion_ocellaris
ENSPNAP00000036954	ENSPNAG00000004328	Pygocentrus_nattereri
ENSMAMP00000004565	ENSMAMG00000003099	Mastacembelus_armatus
MGP_CAROLIEiJ_P0061221	MGP_CAROLIEiJ_G0025767	Mus_caroli_strain_CAROLI_EIJ
ENSCGOP00000046231	ENSCGOG00000020743	Cottoperca_gobio
ENSAOWP00000020380	ENSAOWG00000013788	Apteryx_owenii
ENSPRNP00000044787	ENSPRNG00000021760	Parambassis_ranga
ENSJHYP00000013077	ENSJHYG00000010156	Junco_hyemalis
ENSSPAP00000029661	ENSSPAG00000022310	Stegastes_partitus
ENSTTRP00000014270	ENSTTRG00000015054	Tursiops_truncatus
ENSLCAP00010018540	ENSLCAG00010008776	Lates_calcarifer
ENSPCOP00000027463	ENSPCOG00000026230	Propithecus_coquereli
ENSIPUP00000024903	ENSIPUG00000016851	Ictalurus_punctatus
ENSPLAP00000027191	ENSPLAG00000015578	Poecilia_latipinna
ENSMMUP00000019155	ENSMMUG00000014586	Macaca_mulatta
ENSKMAP00000013055	ENSKMAG00000009775	Kryptolebias_marmoratus
ENSPFOP00000025956	ENSPFOG00000022971	Poecilia_formosa
ENSUPAP00010018199	ENSUPAG00010014456	Urocitellus_parryii
ENSDCDP00000031330	ENSDCDG00000021808	Denticeps_clupeoides
ENSTGUP00000010621	ENSTGUG00000010284	Taeniopygia_guttata
ENSCMIP00000001611	ENSCMIG00000001018	Callorhinchus_milii
ENSTRUP00000023428	ENSTRUG00000009316	Takifugu_rubripes
ENSTNIP00000016458	ENSTNIG00000013463	Tetraodon_nigroviridis
ENSSSCP00000004101	ENSSSCG00000003791	Sus_scrofa_strain_reference
ENSMMMP00000020818	ENSMMMG00000018369	Marmota_marmota_marmota
ENSAMXP00005040867	ENSAMXG00005019149	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00000032445	ENSORLG00000030366	Oryzias_latipes_ASM223467v1
ENSAPLP00000009995	ENSAPLG00000010241	Anas_platyrhynchos_platyrhynchos
ENSCCAP00000036437	ENSCCAG00000036133	Cebus_capucinus_imitator
ENSHCOP00000027321	ENSHCOG00000019035	Hippocampus_comes
ENSMEUP00000000293	ENSMEUG00000000319	Notamacropus_eugenii
ENSVPAP00000008059	ENSVPAG00000008654	Vicugna_pacos
ENSLAFP00000013321	ENSLAFG00000015882	Loxodonta_africana
ENSPVIP00000014996	ENSPVIG00000011547	Pogona_vitticeps
ENSMICP00000005050	ENSMICG00000005537	Microcebus_murinus
ENSONIP00000012052	ENSONIG00000009591	Oreochromis_niloticus
ENSMOCP00000001973	ENSMOCG00000001536	Microtus_ochrogaster
ENSCSAP00000016643	ENSCSAG00000001375	Chlorocebus_sabaeus
ENSAOCP00000008113	ENSAOCG00000000739	Amphiprion_ocellaris
ENSHHUP00000046418	ENSHHUG00000028249	Hucho_hucho
ENSBSLP00000004372	ENSBSLG00000002262	Betta_splendens
ENSCCNP00000005274	ENSCCNG00000005617	Castor_canadensis
ENSCJAP00000029413	ENSCJAG00000015950	Callithrix_jacchus
ENSLCAP00010014658	ENSLCAG00010006952	Lates_calcarifer
ENSSBOP00000029847	ENSSBOG00000031230	Saimiri_boliviensis_boliviensis
ENSDCDP00000028239	ENSDCDG00000020417	Denticeps_clupeoides
ENSCCEP00000019199	ENSCCEG00000017456	Cyanistes_caeruleus
ENSORLP00015034472	ENSORLG00015020471	Oryzias_latipes_ASM223469v1
ENSTSYP00000008015	ENSTSYG00000008728	Carlito_syrichta
ENSDARP00000113861	ENSDARG00000009764	Danio_rerio
ENSCVAP00000008776	ENSCVAG00000010634	Cyprinodon_variegatus
ENSMLUP00000005676	ENSMLUG00000006203	Myotis_lucifugus
ENSNSUP00000008741	ENSNSUG00000006729	Notechis_scutatus
ENSXMAP00000024047	ENSXMAG00000028210	Xiphophorus_maculatus
ENSGWIP00000038090	ENSGWIG00000019517	Gouania_willdenowi
ENSORLP00020029021	ENSORLG00020012815	Oryzias_latipes_ASM223471v1
ENSONIP00000013948	ENSONIG00000011080	Oreochromis_niloticus
ENSPMEP00000005458	ENSPMEG00000006831	Poecilia_mexicana
