ENSCHOP00000006298	ENSCHOG00000007111	Choloepus_hoffmanni	ENSCHOT00000007123
ENSDNOP00000021835	ENSDNOG00000038326	Dasypus_novemcinctus	ENSDNOT00000051508
ENSSDAP00000010307	ENSSDAG00000009379	Spermophilus_dauricus	ENSSDAT00000011706
ENSSDAP00000010318	ENSSDAG00000009386	Spermophilus_dauricus	ENSSDAT00000011718
ENSMMMP00000000139	ENSMMMG00000000142	Marmota_marmota_marmota
ENSUAMP00000005542	ENSUAMG00000004909	Ursus_americanus
ENSAMEP00000020928	ENSAMEG00000019875	Ailuropoda_melanoleuca
ENSCAFP00020001840	ENSCAFG00020001574	Canis_lupus_dingo
ENSCAFP00000009105	ENSCAFG00000006063	Canis_lupus_familiaris
ENSVVUP00000033780	ENSVVUG00000024392	Vulpes_vulpes
ENSNVIP00000024548	ENSNVIG00000019032	Neovison_vison
ENSMPUP00000019005	ENSMPUG00000019128	Mustela_putorius_furo
ENSPTIP00000001169	ENSPTIG00000003054	Panthera_tigris_altaica
ENSPPRP00000026903	ENSPPRG00000017966	Panthera_pardus
ENSFCAP00000001366	ENSFCAG00000001473	Felis_catus
ENSOARP00000005010	ENSOARG00000004683	Ovis_aries
ENSCHIP00000006935	ENSCHIG00000010610	Capra_hircus
ENSBIXP00000014862	ENSBIXG00000003474	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005008316	ENSBIXG00005001601	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000014624	ENSBTAG00000011010	Bos_taurus
ENSBMUP00000006891	ENSBMUG00000005460	Bos_mutus
ENSBBBP00000025172	ENSBBBG00000006861	Bison_bison_bison
ENSTTRP00000008591	ENSTTRG00000009089	Tursiops_truncatus
ENSSSCP00000033631	ENSSSCG00000032923	Sus_scrofa_strain_reference
ENSECAP00000003295	ENSECAG00000004704	Equus_caballus
ENSEASP00005001598	ENSEASG00005001277	Equus_asinus_asinus
ENSMLUP00000011125	ENSMLUG00000012214	Myotis_lucifugus
ENSEEUP00000007250	ENSEEUG00000008002	Erinaceus_europaeus
ENSSHAP00000009068	ENSSHAG00000007855	Sarcophilus_harrisii
ENSMODP00000028800	ENSMODG00000023187	Monodelphis_domestica
ENSVURP00010015588	ENSVURG00010011929	Vombatus_ursinus
ENSPCIP00000026524	ENSPCIG00000019885	Phascolarctos_cinereus
