FBpp0071553	FBgn0261067	Drosophila_melanogaster	FBtr0071628
F40F8.9.2	WBGene00003076	Caenorhabditis_elegans_strain_N2	F40F8.9.2
ENSVPAP00000010791	ENSVPAG00000011593	Vicugna_pacos
ENSDNOP00000019373	ENSDNOG00000046620	Dasypus_novemcinctus
ENSDNOP00000019854	ENSDNOG00000032911	Dasypus_novemcinctus
ENSDNOP00000035000	ENSDNOG00000030989	Dasypus_novemcinctus
ENSDNOP00000025568	ENSDNOG00000046387	Dasypus_novemcinctus
ENSCHOP00000005322	ENSCHOG00000006030	Choloepus_hoffmanni
ENSTSYP00000020622	ENSTSYG00000010394	Carlito_syrichta
ENSBTAP00000002113	ENSBTAG00000001612	Bos_taurus
ENSBMUP00000007950	ENSBMUG00000006252	Bos_mutus
ENSBIXP00000029074	ENSBIXG00000010580	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005029528	ENSBIXG00005009477	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000014696	ENSBBBG00000022447	Bison_bison_bison
ENSOARP00000001371	ENSOARG00000001317	Ovis_aries
ENSCHIP00000010810	ENSCHIG00000013194	Capra_hircus
ENSTTRP00000004222	ENSTTRG00000004482	Tursiops_truncatus
ENSECAP00000008399	ENSECAG00000010461	Equus_caballus
ENSEASP00005024546	ENSEASG00005016677	Equus_asinus_asinus
ENSLAFP00000002946	ENSLAFG00000003534	Loxodonta_africana
ENSPCAP00000009973	ENSPCAG00000010754	Procavia_capensis
ENSVURP00010013282	ENSVURG00010010225	Vombatus_ursinus
ENSPCIP00000010978	ENSPCIG00000008880	Phascolarctos_cinereus
ENSMEUP00000012830	ENSMEUG00000014077	Notamacropus_eugenii
ENSSHAP00000020348	ENSSHAG00000017260	Sarcophilus_harrisii
ENSOANP00000005164	ENSOANG00000003256	Ornithorhynchus_anatinus
ENSXETP00000052580	ENSXETG00000019041	Xenopus_tropicalis
ENSLACP00000012427	ENSLACG00000010947	Latimeria_chalumnae
ENSSMRP00000028290	ENSSMRG00000021753	Salvator_merianae
ENSNSUP00000000877	ENSNSUG00000000840	Notechis_scutatus
ENSCPRP00005002030	ENSCPRG00005001504	Crocodylus_porosus
ENSCABP00000019907	ENSCABG00000014684	Chelonoidis_abingdonii
ENSCPBP00000008420	ENSCPBG00000006569	Chrysemys_picta_bellii
ENSPSIP00000014022	ENSPSIG00000012563	Pelodiscus_sinensis
ENSPVIP00000016352	ENSPVIG00000012662	Pogona_vitticeps
ENSGAGP00000033817	ENSGAGG00000024065	Gopherus_agassizii
ENSSPUP00000019307	ENSSPUG00000014878	Sphenodon_punctatus
ENSDCDP00000001802	ENSDCDG00000000925	Denticeps_clupeoides
ENSPKIP00000000946	ENSPKIG00000019409	Paramormyrops_kingsleyae
ENSSFOP00015030429	ENSSFOG00015019528	Scleropages_formosus
ENSPKIP00000014975	ENSPKIG00000001839	Paramormyrops_kingsleyae
ENSMMOP00000020357	ENSMMOG00000015466	Mola_mola
ENSLCRP00005032618	ENSLCRG00005012883	Larimichthys_crocea
ENSLBEP00000029524	ENSLBEG00000022352	Labrus_bergylta
ENSGACP00000015561	ENSGACG00000011763	Gasterosteus_aculeatus
ENSCGOP00000031043	ENSCGOG00000014518	Cottoperca_gobio
ENSSDUP00000030286	ENSSDUG00000021823	Seriola_dumerili
ENSSLDP00000015279	ENSSLDG00000012154	Seriola_lalandi_dorsalis
ENSSMAP00000007979	ENSSMAG00000004930	Scophthalmus_maximus
ENSLCAP00010054583	ENSLCAG00010025440	Lates_calcarifer
ENSATEP00000032323	ENSATEG00000022266	Anabas_testudineus
ENSBSLP00000049909	ENSBSLG00000023753	Betta_splendens
ENSMAMP00000011022	ENSMAMG00000007464	Mastacembelus_armatus
ENSMZEP00005013706	ENSMZEG00005010321	Maylandia_zebra
ENSACLP00000016725	ENSACLG00000011400	Astatotilapia_calliptera
ENSPNYP00000023924	ENSPNYG00000018067	Pundamilia_nyererei
ENSONIP00000013555	ENSONIG00000010782	Oreochromis_niloticus
ENSPRNP00000025117	ENSPRNG00000012756	Parambassis_ranga
ENSAOCP00000012594	ENSAOCG00000017096	Amphiprion_ocellaris
ENSAOCP00000013445	ENSAOCG00000017997	Amphiprion_ocellaris
ENSAPEP00000016343	ENSAPEG00000011669	Amphiprion_percula
ENSSPAP00000027247	ENSSPAG00000020548	Stegastes_partitus
ENSAPOP00000008657	ENSAPOG00000010833	Acanthochromis_polyacanthus
ENSAPEP00000007490	ENSAPEG00000005382	Amphiprion_percula
ENSHBUP00000009359	ENSHBUG00000010897	Haplochromis_burtoni
ENSPMEP00000020431	ENSPMEG00000023550	Poecilia_mexicana
ENSPFOP00000016084	ENSPFOG00000016029	Poecilia_formosa
ENSPREP00000014089	ENSPREG00000009574	Poecilia_reticulata
ENSPLAP00000005861	ENSPLAG00000007879	Poecilia_latipinna
ENSXCOP00000020876	ENSXCOG00000015631	Xiphophorus_couchianus
ENSXMAP00000029430	ENSXMAG00000026637	Xiphophorus_maculatus
ENSGAFP00000016835	ENSGAFG00000011355	Gambusia_affinis
ENSFHEP00000008359	ENSFHEG00000009556	Fundulus_heteroclitus
ENSCVAP00000002742	ENSCVAG00000003871	Cyprinodon_variegatus
ENSKMAP00000003958	ENSKMAG00000003016	Kryptolebias_marmoratus
ENSORLP00020003158	ENSORLG00020003941	Oryzias_latipes_ASM223471v1
ENSORLP00020005405	ENSORLG00020006213	Oryzias_latipes_ASM223471v1
ENSORLP00000045782	ENSORLG00000030288	Oryzias_latipes_ASM223467v1
ENSORLP00015033134	ENSORLG00015018350	Oryzias_latipes_ASM223469v1
ENSOMEP00000011167	ENSOMEG00000012454	Oryzias_melastigma
ENSGWIP00000009731	ENSGWIG00000005785	Gouania_willdenowi
ENSTNIP00000006666	ENSTNIG00000004055	Tetraodon_nigroviridis
ENSTRUP00000051516	ENSTRUG00000025239	Takifugu_rubripes
ENSCSEP00000016448	ENSCSEG00000010570	Cynoglossus_semilaevis
ENSCSEP00000012865	ENSCSEG00000008319	Cynoglossus_semilaevis
ENSHCOP00000013978	ENSHCOG00000017233	Hippocampus_comes
ENSGMOP00000017869	ENSGMOG00000016651	Gadus_morhua
ENSHHUP00000011335	ENSHHUG00000006919	Hucho_hucho
ENSHHUP00000072617	ENSHHUG00000042622	Hucho_hucho
ENSELUP00000026447	ENSELUG00000002322	Esox_lucius
ENSHHUP00000085130	ENSHHUG00000049341	Hucho_hucho
ENSELUP00000024621	ENSELUG00000023374	Esox_lucius
ENSCHAP00000026853	ENSCHAG00000013056	Clupea_harengus	ENSCHAT00000029198
ENSDCDP00000045182	ENSDCDG00000028545	Denticeps_clupeoides	ENSDCDT00000056488
ENSEEEP00000039849	ENSEEEG00000018895	Electrophorus_electricus	ENSEEET00000040308
ENSIPUP00000003254	ENSIPUG00000002312	Ictalurus_punctatus	ENSIPUT00000003416
ENSAMXP00005004171	ENSAMXG00005002559	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000005579	ENSAMXG00000005441	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000005579
ENSPNAP00000028106	ENSPNAG00000013707	Pygocentrus_nattereri
ENSDARP00000063391	ENSDARG00000043177	Danio_rerio
ENSLOCP00000018642	ENSLOCG00000015149	Lepisosteus_oculatus
ENSECRP00000000534	ENSECRG00000000320	Erpetoichthys_calabaricus
ENSTGUP00000004931	ENSTGUG00000004793	Taeniopygia_guttata
ENSLCOP00000011093	ENSLCOG00000008044	Lepidothrix_coronata
ENSPMJP00000024402	ENSPMJG00000017949	Parus_major
ENSCPGP00000011894	ENSCPGG00000008476	Calidris_pygmaea
ENSLSDP00000008311	ENSLSDG00000006219	Lonchura_striata_domestica
ENSMVIP00005027418	ENSMVIG00005019112	Manacus_vitellinus
ENSSCAP00000023818	ENSSCAG00000017042	Serinus_canaria
ENSZALP00000012229	ENSZALG00000010293	Zonotrichia_albicollis
ENSFALP00000007012	ENSFALG00000006723	Ficedula_albicollis
ENSCPUP00000008262	ENSCPUG00000005948	Calidris_pugnax
ENSABRP00000003070	ENSABRG00000002937	Anser_brachyrhynchus
ENSAHAP00000001659	ENSAHAG00000001400	Apteryx_haastii
ENSAOWP00000003792	ENSAOWG00000002684	Apteryx_owenii
ENSARWP00000017053	ENSARWG00000011752	Apteryx_rowi
ENSDNVP00000004306	ENSDNVG00000003047	Dromaius_novaehollandiae
ENSMGAP00000001655	ENSMGAG00000002125	Meleagris_gallopavo
ENSCJPP00005018685	ENSCJPG00005015199	Coturnix_japonica
ENSGALP00000005122	ENSGALG00000003245	Gallus_gallus
ENSNMEP00000023168	ENSNMEG00000019780	Numida_meleagris
ENSNPEP00000000306	ENSNPEG00000000281	Nothoprocta_perdicaria
ENSPMAP00000002903	ENSPMAG00000002671	Petromyzon_marinus
ENSCMIP00000022264	ENSCMIG00000010068	Callorhinchus_milii
ENSACIP00000025292	ENSACIG00000019593	Amphilophus_citrinellus
ENSNBRP00000022662	ENSNBRG00000017370	Neolamprologus_brichardi
ENSMALP00000001977	ENSMALG00000001478	Monopterus_albus
ENSPMGP00000028567	ENSPMGG00000022999	Periophthalmus_magnuspinnatus
ENSJHYP00000003602	ENSJHYG00000002971	Junco_hyemalis
ENSCINP00000024810	ENSCING00000013536	Ciona_intestinalis
YJL124C_mRNA	YJL124C	Saccharomyces_cerevisiae_strain_S288C
