ENSXMAP00000014092	ENSXMAG00000014062	Xiphophorus_maculatus
ENSZALP00000003648	ENSZALG00000003571	Zonotrichia_albicollis
ENSAMEP00000008710	ENSAMEG00000008267	Ailuropoda_melanoleuca
ENSBSLP00000037791	ENSBSLG00000018232	Betta_splendens
ENSAMXP00000020672	ENSAMXG00000020078	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFDAP00000012566	ENSFDAG00000019915	Fukomys_damarensis
ENSSSCP00000049396	ENSSSCG00000034522	Sus_scrofa_strain_reference
ENSMUNP00000010998	ENSMUNG00000008629	Melopsittacus_undulatus
ENSGALP00000064487	ENSGALG00000033834	Gallus_gallus
ENSCATP00000010560	ENSCATG00000029566	Cercocebus_atys
ENSPVIP00000020339	ENSPVIG00000015511	Pogona_vitticeps	ENSPVIT00000025274
ENSAPEP00000013247	ENSAPEG00000009408	Amphiprion_percula
ENSDCDP00000029379	ENSDCDG00000020875	Denticeps_clupeoides
ENSBTAP00000059739	ENSBTAG00000006972	Bos_taurus
ENSLCRP00005021577	ENSLCRG00005008383	Larimichthys_crocea
ENSCMIP00000048600	ENSCMIG00000019854	Callorhinchus_milii
MGP_PahariEiJ_P0026542	MGP_PahariEiJ_G0015791	Mus_pahari_strain_PAHARI_EIJ
ENSSCAP00000021869	ENSSCAG00000015717	Serinus_canaria
MGP_CAROLIEiJ_P0034876	MGP_CAROLIEiJ_G0018710	Mus_caroli_strain_CAROLI_EIJ
ENSAHAP00000012390	ENSAHAG00000008893	Apteryx_haastii
ENSORLP00020029943	ENSORLG00020014142	Oryzias_latipes_ASM223471v1
ENSCPOP00000003682	ENSCPOG00000004081	Cavia_porcellus
ENSVURP00010028423	ENSVURG00010021753	Vombatus_ursinus
ENSJJAP00000014539	ENSJJAG00000016963	Jaculus_jaculus
ENSCJAP00000077693	ENSCJAG00000003849	Callithrix_jacchus
ENSORLP00000036975	ENSORLG00000008063	Oryzias_latipes_ASM223467v1
ENSFALP00000013823	ENSFALG00000013242	Ficedula_albicollis
ENSMMMP00000018252	ENSMMMG00000016193	Marmota_marmota_marmota
ENSGWIP00000022445	ENSGWIG00000011921	Gouania_willdenowi
ENSCGRP00015012085	ENSCGRG00015009263	Cricetulus_griseus_CriGri-PICR
ENSGMOP00000018052	ENSGMOG00000016804	Gadus_morhua
ENSMAUP00000020097	ENSMAUG00000018209	Mesocricetus_auratus
ENSMEUP00000013387	ENSMEUG00000014661	Notamacropus_eugenii
ENSPNYP00000021269	ENSPNYG00000016053	Pundamilia_nyererei
ENSCANP00000006029	ENSCANG00000020389	Colobus_angolensis_palliatus
ENSCCAP00000037021	ENSCCAG00000036398	Cebus_capucinus_imitator
ENSHGLP00000013109	ENSHGLG00000009370	Heterocephalus_glaber_HetGla_female_1.0
ENSPSMP00000024477	ENSPSMG00000017265	Prolemur_simus
ENSAMXP00005015100	ENSAMXG00005007997	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTNIP00000021582	ENSTNIG00000018413	Tetraodon_nigroviridis
ENSSMAP00000032610	ENSSMAG00000019971	Scophthalmus_maximus
ENSPEMP00000004066	ENSPEMG00000006165	Peromyscus_maniculatus_bairdii
ENSLOCP00000009865	ENSLOCG00000008122	Lepisosteus_oculatus
ENSEASP00005026823	ENSEASG00005018251	Equus_asinus_asinus
ENSCAPP00000011765	ENSCAPG00000012756	Cavia_aperea
FBpp0308430	FBgn0051453	Drosophila_melanogaster
ENSPTRP00000028622	ENSPTRG00000016689	Pan_troglodytes
ENSEBUP00000008936	ENSEBUG00000005773	Eptatretus_burgeri
ENSCGRP00000017593	ENSCGRG00000012798	Cricetulus_griseus_CriGri_1.0
ENSSPAP00000009702	ENSSPAG00000007373	Stegastes_partitus
ENSMLUP00000003858	ENSMLUG00000004237	Myotis_lucifugus
ENSPSIP00000003453	ENSPSIG00000003291	Pelodiscus_sinensis
MGP_SPRETEiJ_P0036546	MGP_SPRETEiJ_G0019594	Mus_spretus_strain_SPRET/EiJ
ENSOCUP00000005327	ENSOCUG00000006144	Oryctolagus_cuniculus
ENSPLAP00000015291	ENSPLAG00000019194	Poecilia_latipinna
ENSDNOP00000011788	ENSDNOG00000015202	Dasypus_novemcinctus
ENSCLAP00000004854	ENSCLAG00000003450	Chinchilla_lanigera
ENSCVAP00000009526	ENSCVAG00000000883	Cyprinodon_variegatus
ENSOANP00000012281	ENSOANG00000007711	Ornithorhynchus_anatinus
ENSCABP00000008527	ENSCABG00000006445	Chelonoidis_abingdonii	ENSCABT00000009351
ENSSDUP00000008548	ENSSDUG00000006246	Seriola_dumerili
ENSNMEP00000001001	ENSNMEG00000001409	Numida_meleagris
ENSPTIP00000000787	ENSPTIG00000002005	Panthera_tigris_altaica
ENSSLDP00000020061	ENSSLDG00000015703	Seriola_lalandi_dorsalis
ENSPMGP00000014845	ENSPMGG00000012166	Periophthalmus_magnuspinnatus
ENSCPUP00000025714	ENSCPUG00000017362	Calidris_pugnax
ENSNBRP00000020093	ENSNBRG00000015459	Neolamprologus_brichardi
ENSCCNP00000019574	ENSCCNG00000019644	Castor_canadensis
ENSPCAP00000008065	ENSPCAG00000008639	Procavia_capensis
ENSMALP00000016751	ENSMALG00000011732	Monopterus_albus
ENSATEP00000007166	ENSATEG00000005020	Anabas_testudineus
ENSP00000166345	ENSG00000071539	Homo_sapiens
ENSCAFP00020029555	ENSCAFG00020023035	Canis_lupus_dingo
ENSMMOP00000002235	ENSMMOG00000001835	Mola_mola
ENSPREP00000031148	ENSPREG00000021092	Poecilia_reticulata
ENSTRUP00000036593	ENSTRUG00000014308	Takifugu_rubripes
ENSPCOP00000006657	ENSPCOG00000014502	Propithecus_coquereli
ENSTSYP00000011728	ENSTSYG00000012786	Carlito_syrichta
ENSRBIP00000009266	ENSRBIG00000028516	Rhinopithecus_bieti
ENSANAP00000023855	ENSANAG00000029679	Aotus_nancymaae
ENSGACP00000011324	ENSGACG00000008559	Gasterosteus_aculeatus
ENSHGLP00100005102	ENSHGLG00100003863	Heterocephalus_glaber_HetGla_1.0
ENSARWP00000016051	ENSARWG00000011068	Apteryx_rowi
ENSPPRP00000006367	ENSPPRG00000001817	Panthera_pardus
ENSONIP00000003803	ENSONIG00000003038	Oreochromis_niloticus
ENSMNEP00000002116	ENSMNEG00000009697	Macaca_nemestrina
ENSMGAP00000001344	ENSMGAG00000001806	Meleagris_gallopavo
ENSPPYP00000017102	ENSPPYG00000015309	Pongo_abelii
ENSPNAP00000000905	ENSPNAG00000007812	Pygocentrus_nattereri
ENSVPAP00000005408	ENSVPAG00000005823	Vicugna_pacos
ENSSMRP00000012800	ENSSMRG00000009986	Salvator_merianae	ENSSMRT00000014918
ENSCHOP00000006589	ENSCHOG00000007439	Choloepus_hoffmanni
ENSRNOP00000070709	ENSRNOG00000015810	Rattus_norvegicus
ENSNGAP00000015475	ENSNGAG00000016476	Nannospalax_galili
ENSDNVP00000004399	ENSDNVG00000003120	Dromaius_novaehollandiae
ENSAPOP00000029030	ENSAPOG00000014655	Acanthochromis_polyacanthus
ENSCHIP00000025708	ENSCHIG00000022332	Capra_hircus
ENSRROP00000039222	ENSRROG00000042943	Rhinopithecus_roxellana
ENSMZEP00005019445	ENSMZEG00005014596	Maylandia_zebra
