ENSCPGP00000026516	ENSCPGG00000018280	Calidris_pygmaea	ENSCPGT00000028966
ENSCPUP00000014205	ENSCPUG00000010001	Calidris_pugnax	ENSCPUT00000016919
ENSMUNP00000017481	ENSMUNG00000013434	Melopsittacus_undulatus
ENSSSCP00000062571	ENSSSCG00000011639	Sus_scrofa_strain_reference
ENSSARP00000011694	ENSSARG00000012943	Sorex_araneus
ENSETEP00000000012	ENSETEG00000000016	Echinops_telfairi
ENSPCAP00000012912	ENSPCAG00000013823	Procavia_capensis
ENSCHOP00000010413	ENSCHOG00000011792	Choloepus_hoffmanni
ENSDNOP00000032527	ENSDNOG00000032146	Dasypus_novemcinctus
ENSMODP00000023054	ENSMODG00000018493	Monodelphis_domestica
ENSMEUP00000008279	ENSMEUG00000009070	Notamacropus_eugenii
ENSDORP00000000712	ENSDORG00000000764	Dipodomys_ordii
ENSCHAP00000013628	ENSCHAG00000007295	Clupea_harengus
ENSDCDP00000000420	ENSDCDG00000000237	Denticeps_clupeoides
ENSAMXP00000002321	ENSAMXG00000002268	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005047566	ENSAMXG00005021826	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000030298	ENSPNAG00000017006	Pygocentrus_nattereri
ENSEEEP00000018056	ENSEEEG00000008892	Electrophorus_electricus
ENSIPUP00000025886	ENSIPUG00000017500	Ictalurus_punctatus
ENSDARP00000128500	ENSDARG00000013240	Danio_rerio
ENSXMAP00000015615	ENSXMAG00000015574	Xiphophorus_maculatus
ENSXCOP00000011629	ENSXCOG00000008780	Xiphophorus_couchianus
ENSGAFP00000014810	ENSGAFG00000010002	Gambusia_affinis
ENSPFOP00000018240	ENSPFOG00000018133	Poecilia_formosa
ENSPMEP00000010759	ENSPMEG00000012787	Poecilia_mexicana
ENSPLAP00000024255	ENSPLAG00000010362	Poecilia_latipinna
ENSPREP00000003224	ENSPREG00000002303	Poecilia_reticulata
ENSCVAP00000023920	ENSCVAG00000007648	Cyprinodon_variegatus
ENSFHEP00000029871	ENSFHEG00000014862	Fundulus_heteroclitus
ENSKMAP00000011127	ENSKMAG00000008278	Kryptolebias_marmoratus
ENSORLP00020009918	ENSORLG00020010806	Oryzias_latipes_ASM223471v1
ENSORLP00015006424	ENSORLG00015007264	Oryzias_latipes_ASM223469v1
ENSORLP00000024770	ENSORLG00000019946	Oryzias_latipes_ASM223467v1
ENSOMEP00000005497	ENSOMEG00000006516	Oryzias_melastigma
ENSMZEP00005021438	ENSMZEG00005016092	Maylandia_zebra
ENSACLP00000015456	ENSACLG00000010508	Astatotilapia_calliptera
ENSPNYP00000017725	ENSPNYG00000013376	Pundamilia_nyererei
ENSHBUP00000035199	ENSHBUG00000000710	Haplochromis_burtoni
ENSONIP00000005359	ENSONIG00000004257	Oreochromis_niloticus
ENSNBRP00000020655	ENSNBRG00000015865	Neolamprologus_brichardi
ENSACIP00000021809	ENSACIG00000016918	Amphilophus_citrinellus
ENSGWIP00000046167	ENSGWIG00000022818	Gouania_willdenowi
ENSCSEP00000002104	ENSCSEG00000001413	Cynoglossus_semilaevis
ENSTRUP00000038895	ENSTRUG00000015224	Takifugu_rubripes
ENSTNIP00000017751	ENSTNIG00000014717	Tetraodon_nigroviridis
ENSMMOP00000028741	ENSMMOG00000021682	Mola_mola
ENSSMAP00000034096	ENSSMAG00000020862	Scophthalmus_maximus
ENSATEP00000016078	ENSATEG00000011155	Anabas_testudineus
ENSBSLP00000006758	ENSBSLG00000003359	Betta_splendens
ENSLCRP00005065265	ENSLCRG00005023806	Larimichthys_crocea
ENSLBEP00000001560	ENSLBEG00000001183	Labrus_bergylta
ENSCGOP00000030209	ENSCGOG00000014016	Cottoperca_gobio
ENSGACP00000001940	ENSGACG00000001495	Gasterosteus_aculeatus
ENSAOCP00000006780	ENSAOCG00000010556	Amphiprion_ocellaris
ENSAPEP00000018834	ENSAPEG00000013422	Amphiprion_percula
ENSAPOP00000015511	ENSAPOG00000018651	Acanthochromis_polyacanthus
ENSSPAP00000023311	ENSSPAG00000017479	Stegastes_partitus
ENSPRNP00000046258	ENSPRNG00000022322	Parambassis_ranga
ENSSDUP00000022975	ENSSDUG00000016688	Seriola_dumerili
ENSSLDP00000032083	ENSSLDG00000024629	Seriola_lalandi_dorsalis
ENSLCAP00010020541	ENSLCAG00010009709	Lates_calcarifer
ENSMAMP00000035259	ENSMAMG00000023660	Mastacembelus_armatus
ENSMALP00000030494	ENSMALG00000021061	Monopterus_albus
ENSHCOP00000014185	ENSHCOG00000017495	Hippocampus_comes
ENSPMGP00000012344	ENSPMGG00000010188	Periophthalmus_magnuspinnatus
ENSGMOP00000001223	ENSGMOG00000001156	Gadus_morhua
ENSHHUP00000034625	ENSHHUG00000021799	Hucho_hucho
ENSELUP00000000705	ENSELUG00000002257	Esox_lucius
ENSSFOP00015029788	ENSSFOG00015019074	Scleropages_formosus
ENSPKIP00000036734	ENSPKIG00000015130	Paramormyrops_kingsleyae
ENSLOCP00000001677	ENSLOCG00000001465	Lepisosteus_oculatus
ENSORLP00000033010	ENSORLG00000025902	Oryzias_latipes_ASM223467v1
ENSECRP00000031794	ENSECRG00000021528	Erpetoichthys_calabaricus
ENSCMIP00000010362	ENSCMIG00000005450	Callorhinchus_milii
