MGP_PahariEiJ_P0085586	MGP_PahariEiJ_G0030569	Mus_pahari_strain_PAHARI_EIJ
ENSSHAP00000014026	ENSSHAG00000011994	Sarcophilus_harrisii
ENSODEP00000000693	ENSODEG00000000576	Octodon_degus
ENSUMAP00000019875	ENSUMAG00000014526	Ursus_maritimus
ENSMLEP00000023788	ENSMLEG00000036073	Mandrillus_leucophaeus
ENSPMEP00000024486	ENSPMEG00000006814	Poecilia_mexicana
ENSSARP00000002746	ENSSARG00000003028	Sorex_araneus
ENSPPYP00000006153	ENSPPYG00000005401	Pongo_abelii
ENSBBBP00000028146	ENSBBBG00000024768	Bison_bison_bison
ENSMUGP00000030553	ENSMUGG00000025384	Meriones_unguiculatus
ENSLCAP00010018633	ENSLCAG00010008812	Lates_calcarifer
ENSGGOP00000045067	ENSGGOG00000039777	Gorilla_gorilla
ENSMNEP00000000460	ENSMNEG00000002038	Macaca_nemestrina
ENSBMUP00000032154	ENSBMUG00000023974	Bos_mutus
ENSPFOP00000024918	ENSPFOG00000012450	Poecilia_formosa
ENSBSLP00000013629	ENSBSLG00000007210	Betta_splendens
ENSELUP00000025033	ENSELUG00000000994	Esox_lucius
ENSANAP00000026284	ENSANAG00000030827	Aotus_nancymaae
ENSEASP00005022842	ENSEASG00005015575	Equus_asinus_asinus
ENSAPLP00000014192	ENSAPLG00000014316	Anas_platyrhynchos_platyrhynchos
ENSMMUP00000065102	ENSMMUG00000007169	Macaca_mulatta
ENSCATP00000010517	ENSCATG00000029498	Cercocebus_atys
ENSVPAP00000010944	ENSVPAG00000011763	Vicugna_pacos
ENSUAMP00000011985	ENSUAMG00000009721	Ursus_americanus
ENSHGLP00000013521	ENSHGLG00000009668	Heterocephalus_glaber_HetGla_female_1.0
ENSFHEP00000008337	ENSFHEG00000009513	Fundulus_heteroclitus
ENSZALP00000011040	ENSZALG00000009348	Zonotrichia_albicollis
ENSGWIP00000036788	ENSGWIG00000018789	Gouania_willdenowi
ENSAHAP00000027058	ENSAHAG00000018850	Apteryx_haastii	ENSAHAT00000029824
ENSSDAP00000026566	ENSSDAG00000024083	Spermophilus_dauricus
ENSSDAP00000021962	ENSSDAG00000019982	Spermophilus_dauricus
ENSAMXP00000007043	ENSAMXG00000006847	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMALP00000021948	ENSMALG00000015327	Monopterus_albus
ENSPVIP00000001278	ENSPVIG00000001171	Pogona_vitticeps
ENSLCOP00000011424	ENSLCOG00000008297	Lepidothrix_coronata
ENSLSDP00000018410	ENSLSDG00000013142	Lonchura_striata_domestica
ENSCLAP00000003721	ENSCLAG00000002654	Chinchilla_lanigera
ENSSDAP00000015724	ENSSDAG00000014205	Spermophilus_dauricus
ENSATEP00000020962	ENSATEG00000014570	Anabas_testudineus
ENSHGLP00100003611	ENSHGLG00100002754	Heterocephalus_glaber_HetGla_1.0
ENSNGAP00000003750	ENSNGAG00000004523	Nannospalax_galili
ENSAOCP00000029281	ENSAOCG00000001410	Amphiprion_ocellaris
ENSOANP00000031123	ENSOANG00000030854	Ornithorhynchus_anatinus
ENSMVIP00005008115	ENSMVIG00005005945	Manacus_vitellinus
ENSRBIP00000014324	ENSRBIG00000031218	Rhinopithecus_bieti
ENSABRP00000012810	ENSABRG00000011474	Anser_brachyrhynchus
ENSNBRP00000024570	ENSNBRG00000018789	Neolamprologus_brichardi
ENSACLP00000033896	ENSACLG00000022962	Astatotilapia_calliptera
ENSHBUP00000005673	ENSHBUG00000007081	Haplochromis_burtoni
ENSIPUP00000018202	ENSIPUG00000012320	Ictalurus_punctatus
ENSCHIP00000021807	ENSCHIG00000020019	Capra_hircus
ENSSDAP00000022494	ENSSDAG00000020455	Spermophilus_dauricus
ENSONIP00000004060	ENSONIG00000003233	Oreochromis_niloticus
ENSPREP00000031211	ENSPREG00000021145	Poecilia_reticulata
ENSBTAP00000066670	ENSBTAG00000009308	Bos_taurus
ENSLOCP00000005587	ENSLOCG00000004652	Lepisosteus_oculatus
ENSBIXP00005021951	ENSBIXG00005025165	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000006689	ENSOARG00000006244	Ovis_aries
ENSNPEP00000008102	ENSNPEG00000006074	Nothoprocta_perdicaria
MGP_CAROLIEiJ_P0037502	MGP_CAROLIEiJ_G0019551	Mus_caroli_strain_CAROLI_EIJ
ENSSDAP00000009877	ENSSDAG00000009000	Spermophilus_dauricus
ENSGALP00000027325	ENSGALG00000016936	Gallus_gallus
ENSSDAP00000015592	ENSSDAG00000014075	Spermophilus_dauricus
ENSSDAP00000005804	ENSSDAG00000005424	Spermophilus_dauricus
ENSCSAP00000013665	ENSCSAG00000017640	Chlorocebus_sabaeus
ENSCJAP00000007064	ENSCJAG00000003853	Callithrix_jacchus
ENSXETP00000024710	ENSXETG00000004133	Xenopus_tropicalis
ENSJJAP00000024093	ENSJJAG00000023665	Jaculus_jaculus
ENSSDAP00000004069	ENSSDAG00000003842	Spermophilus_dauricus
ENSCGOP00000030844	ENSCGOG00000014292	Cottoperca_gobio
ENSGMOP00000006122	ENSGMOG00000005733	Gadus_morhua
ENSSDAP00000015661	ENSSDAG00000014145	Spermophilus_dauricus
ENSPLAP00000028697	ENSPLAG00000018296	Poecilia_latipinna
ENSNMEP00000000708	ENSNMEG00000001077	Numida_meleagris
ENSSDAP00000015797	ENSSDAG00000014277	Spermophilus_dauricus
ENSSDAP00000016995	ENSSDAG00000015386	Spermophilus_dauricus
ENSMPUP00000009554	ENSMPUG00000009630	Mustela_putorius_furo
ENSSDAP00000004656	ENSSDAG00000004385	Spermophilus_dauricus
ENSHGLP00100024153	ENSHGLG00100017738	Heterocephalus_glaber_HetGla_1.0
ENSSDAP00000020721	ENSSDAG00000018881	Spermophilus_dauricus
ENSGAGP00000003880	ENSGAGG00000003173	Gopherus_agassizii
ENSSCAP00000020867	ENSSCAG00000015022	Serinus_canaria
ENSFDAP00000001614	ENSFDAG00000011552	Fukomys_damarensis
ENSOANP00000018664	ENSOANG00000011775	Ornithorhynchus_anatinus
ENSAMXP00005040647	ENSAMXG00005018692	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCCEP00000002755	ENSCCEG00000003074	Cyanistes_caeruleus
ENSDNVP00000010220	ENSDNVG00000007218	Dromaius_novaehollandiae	ENSDNVT00000012295
ENSCHOP00000011372	ENSCHOG00000012825	Choloepus_hoffmanni
ENSORLP00000033958	ENSORLG00000004502	Oryzias_latipes_ASM223467v1
ENSCPUP00000016175	ENSCPUG00000011214	Calidris_pugnax
ENSSPAP00000006943	ENSSPAG00000005342	Stegastes_partitus
ENSMZEP00005005878	ENSMZEG00005004551	Maylandia_zebra
ENSHHUP00000007457	ENSHHUG00000004591	Hucho_hucho
ENSSDAP00000021408	ENSSDAG00000019465	Spermophilus_dauricus
ENSDCDP00000024571	ENSDCDG00000018458	Denticeps_clupeoides
ENSCANP00000021817	ENSCANG00000034303	Colobus_angolensis_palliatus
ENSSDAP00000022573	ENSSDAG00000020514	Spermophilus_dauricus
ENSECAP00000000532	ENSECAG00000000550	Equus_caballus
ENSHGLP00000019723	ENSHGLG00000014119	Heterocephalus_glaber_HetGla_female_1.0
ENSSDAP00000007856	ENSSDAG00000007190	Spermophilus_dauricus
ENSMLEP00000031083	ENSMLEG00000039737	Mandrillus_leucophaeus
ENSCAFP00000032115	ENSCAFG00000023746	Canis_lupus_familiaris
ENSFCAP00000018213	ENSFCAG00000022126	Felis_catus
ENSPPAP00000002404	ENSPPAG00000010477	Pan_paniscus
ENSHCOP00000001215	ENSHCOG00000002157	Hippocampus_comes
ENSFALP00000008267	ENSFALG00000007927	Ficedula_albicollis
ENSHGLP00000014905	ENSHGLG00000010652	Heterocephalus_glaber_HetGla_female_1.0
ENSOMEP00000031052	ENSOMEG00000015668	Oryzias_melastigma
ENSCMIP00000007643	ENSCMIG00000004176	Callorhinchus_milii
ENSSDAP00000007988	ENSSDAG00000007302	Spermophilus_dauricus
ENSCAPP00000011215	ENSCAPG00000012313	Cavia_aperea
ENSPTIP00000000990	ENSPTIG00000002537	Panthera_tigris_altaica
ENSSDAP00000011626	ENSSDAG00000010496	Spermophilus_dauricus
ENSPMGP00000018716	ENSPMGG00000015263	Periophthalmus_magnuspinnatus
ENSSDAP00000002584	ENSSDAG00000002489	Spermophilus_dauricus
ENSSDAP00000016331	ENSSDAG00000014778	Spermophilus_dauricus
ENSSLDP00000003907	ENSSLDG00000002918	Seriola_lalandi_dorsalis
ENSSDUP00000006210	ENSSDUG00000004594	Seriola_dumerili
ENSSDAP00000024378	ENSSDAG00000022211	Spermophilus_dauricus
ENSMOCP00000013048	ENSMOCG00000012962	Microtus_ochrogaster
ENSPTEP00000028951	ENSPTEG00000028450	Piliocolobus_tephrosceles
ENSSDAP00000011610	ENSSDAG00000010484	Spermophilus_dauricus
ENSSDAP00000024770	ENSSDAG00000022532	Spermophilus_dauricus
ENSCPBP00000038565	ENSCPBG00000026646	Chrysemys_picta_bellii
ENSTGUP00000012846	ENSTGUG00000012476	Taeniopygia_guttata	ENSTGUT00000012992
ENSSTOP00000020294	ENSSTOG00000028945	Ictidomys_tridecemlineatus
ENSORLP00020016221	ENSORLG00020017271	Oryzias_latipes_ASM223471v1
ENSP00000440190	ENSG00000083544	Homo_sapiens
ENSOGAP00000005273	ENSOGAG00000005898	Otolemur_garnettii
ENSCINP00000032086	ENSCING00000022501	Ciona_intestinalis
ENSMLUP00000000216	ENSMLUG00000000235	Myotis_lucifugus
ENSOCUP00000012265	ENSOCUG00000014261	Oryctolagus_cuniculus
ENSEEEP00000006447	ENSEEEG00000003397	Electrophorus_electricus
ENSMICP00000016462	ENSMICG00000009982	Microcebus_murinus
ENSHGLP00100014809	ENSHGLG00100010966	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00015003999	ENSCGRG00015002980	Cricetulus_griseus_CriGri-PICR
ENSCAFP00020019220	ENSCAFG00020015271	Canis_lupus_dingo
ENSMGAP00000015860	ENSMGAG00000014961	Meleagris_gallopavo
ENSEBUP00000018943	ENSEBUG00000011812	Eptatretus_burgeri
ENSHGLP00100021806	ENSHGLG00100016050	Heterocephalus_glaber_HetGla_1.0
ENSMUSP00000129019	ENSMUSG00000022019	Mus_musculus_strain_reference_(CL57BL6)
ENSSDAP00000000999	ENSSDAG00000001013	Spermophilus_dauricus
ENSSDAP00000016256	ENSSDAG00000014707	Spermophilus_dauricus
ENSXCOP00000002380	ENSXCOG00000001875	Xiphophorus_couchianus
ENSCHAP00000039059	ENSCHAG00000017885	Clupea_harengus
ENSSDAP00000021165	ENSSDAG00000019262	Spermophilus_dauricus
ENSPANP00000018300	ENSPANG00000019138	Papio_anubis
ENSMAMP00000005874	ENSMAMG00000003998	Mastacembelus_armatus
ENSPCIP00000014713	ENSPCIG00000011476	Phascolarctos_cinereus
ENSSDAP00000006775	ENSSDAG00000006258	Spermophilus_dauricus
ENSTNIP00000007906	ENSTNIG00000005230	Tetraodon_nigroviridis
ENSGGOP00000050740	ENSGGOG00000025560	Gorilla_gorilla
ENSDORP00000021572	ENSDORG00000008714	Dipodomys_ordii
ENSRROP00000042838	ENSRROG00000044516	Rhinopithecus_roxellana
ENSETEP00000005170	ENSETEG00000006369	Echinops_telfairi
ENSRNOP00000012440	ENSRNOG00000009034	Rattus_norvegicus
ENSGACP00000020132	ENSGACG00000015264	Gasterosteus_aculeatus
ENSTRUP00000044051	ENSTRUG00000017194	Takifugu_rubripes
ENSECRP00000026890	ENSECRG00000018178	Erpetoichthys_calabaricus
ENSPVAP00000009939	ENSPVAG00000010549	Pteropus_vampyrus
ENSKMAP00000029507	ENSKMAG00000021849	Kryptolebias_marmoratus
ENSSDAP00000013065	ENSSDAG00000011777	Spermophilus_dauricus
ENSMMOP00000023853	ENSMMOG00000018156	Mola_mola
ENSOPRP00000007207	ENSOPRG00000007868	Ochotona_princeps
ENSPNYP00000001961	ENSPNYG00000001569	Pundamilia_nyererei
ENSLCRP00005000697	ENSLCRG00005000399	Larimichthys_crocea
ENSLACP00000001582	ENSLACG00000001412	Latimeria_chalumnae
ENSCPGP00000003251	ENSCPGG00000002387	Calidris_pygmaea
ENSPMJP00000018471	ENSPMJG00000013853	Parus_major
ENSCAFP00020022894	ENSCAFG00020018076	Canis_lupus_dingo
ENSCVAP00000006422	ENSCVAG00000007973	Cyprinodon_variegatus
ENSGAFP00000017749	ENSGAFG00000012013	Gambusia_affinis
ENSDNOP00000001555	ENSDNOG00000002011	Dasypus_novemcinctus
ENSSDAP00000009073	ENSSDAG00000008273	Spermophilus_dauricus
ENSTTRP00000009552	ENSTTRG00000010071	Tursiops_truncatus
ENSPPRP00000016054	ENSPPRG00000008512	Panthera_pardus
ENSSDAP00000002319	ENSSDAG00000002230	Spermophilus_dauricus
ENSORLP00015014600	ENSORLG00015015519	Oryzias_latipes_ASM223469v1
ENSSDAP00000022610	ENSSDAG00000020557	Spermophilus_dauricus
ENSLBEP00000015109	ENSLBEG00000011777	Labrus_bergylta
