ENSCGRP00000000044	ENSCGRG00000000068	Cricetulus_griseus_CriGri_1.0
ENSVVUP00000029967	ENSVVUG00000021892	Vulpes_vulpes
ENSCVAP00000014329	ENSCVAG00000016938	Cyprinodon_variegatus
ENSHGLP00000001642	ENSHGLG00000001250	Heterocephalus_glaber_HetGla_female_1.0
ENSRBIP00000034051	ENSRBIG00000040745	Rhinopithecus_bieti
ENSGALP00000050136	ENSGALG00000005478	Gallus_gallus
ENSOPRP00000000267	ENSOPRG00000000294	Ochotona_princeps
ENSACAP00000000624	ENSACAG00000000581	Anolis_carolinensis	ENSACAT00000000644
ENSMAUP00000016569	ENSMAUG00000015642	Mesocricetus_auratus
ENSCLAP00000007479	ENSCLAG00000005256	Chinchilla_lanigera
ENSSMAP00000007490	ENSSMAG00000004631	Scophthalmus_maximus
ENSCHOP00000007182	ENSCHOG00000008131	Choloepus_hoffmanni
ENSARWP00000021920	ENSARWG00000014952	Apteryx_rowi	ENSARWT00000024843
ENSNSUP00000027914	ENSNSUG00000019911	Notechis_scutatus	ENSNSUT00000029635
ENSAPLP00000012531	ENSAPLG00000012736	Anas_platyrhynchos_platyrhynchos
ENSFDAP00000004545	ENSFDAG00000013780	Fukomys_damarensis
ENSHGLP00100013819	ENSHGLG00100010221	Heterocephalus_glaber_HetGla_1.0
ENSNMEP00000021172	ENSNMEG00000018137	Numida_meleagris
ENSPANP00000000354	ENSPANG00000013360	Papio_anubis
ENSDNOP00000006090	ENSDNOG00000007857	Dasypus_novemcinctus
ENSLAFP00000003456	ENSLAFG00000004147	Loxodonta_africana
ENSBMUP00000006052	ENSBMUG00000004732	Bos_mutus
ENSATEP00000026376	ENSATEG00000018282	Anabas_testudineus
ENSRNOP00000022947	ENSRNOG00000017077	Rattus_norvegicus
ENSSSCP00000045026	ENSSSCG00000006877	Sus_scrofa_strain_reference
ENSCCAP00000024881	ENSCCAG00000030230	Cebus_capucinus_imitator
ENSMZEP00005031224	ENSMZEG00005023283	Maylandia_zebra
ENSTGUP00000005641	ENSTGUG00000005480	Taeniopygia_guttata
ENSAMEP00000000969	ENSAMEG00000000917	Ailuropoda_melanoleuca
ENSMFAP00000013332	ENSMFAG00000028542	Macaca_fascicularis
ENSCANP00000032945	ENSCANG00000040142	Colobus_angolensis_palliatus
ENSKMAP00000000842	ENSKMAG00000000695	Kryptolebias_marmoratus
ENSVPAP00000000942	ENSVPAG00000001021	Vicugna_pacos
ENSCAFP00020014581	ENSCAFG00020011791	Canis_lupus_dingo
ENSLBEP00000002455	ENSLBEG00000001940	Labrus_bergylta
ENSPTIP00000002494	ENSPTIG00000005494	Panthera_tigris_altaica
ENSXCOP00000002774	ENSXCOG00000002203	Xiphophorus_couchianus
ENSMODP00000004914	ENSMODG00000003993	Monodelphis_domestica
ENSPANP00000038017	ENSPANG00000030842	Papio_anubis
ENSP00000304429	ENSG00000162627	Homo_sapiens
ENSTGEP00000031404	ENSTGEG00000025135	Theropithecus_gelada
ENSNLEP00000013889	ENSNLEG00000011393	Nomascus_leucogenys
ENSEEUP00000003006	ENSEEUG00000003294	Erinaceus_europaeus
ENSGAGP00000012207	ENSGAGG00000009399	Gopherus_agassizii
ENSSDAP00000025758	ENSSDAG00000023378	Spermophilus_dauricus
ENSMNEP00000013322	ENSMNEG00000030917	Macaca_nemestrina
ENSDNVP00000010104	ENSDNVG00000007136	Dromaius_novaehollandiae	ENSDNVT00000012152
ENSPTEP00000025873	ENSPTEG00000026067	Piliocolobus_tephrosceles
ENSMSIP00000007910	ENSMSIG00000006979	Mus_spicilegus
ENSTTRP00000013998	ENSTTRG00000014763	Tursiops_truncatus
ENSSFOP00015013379	ENSSFOG00015008632	Scleropages_formosus
ENSLACP00000011764	ENSLACG00000010356	Latimeria_chalumnae
ENSODEP00000007631	ENSODEG00000005689	Octodon_degus
ENSMUSP00000029639	ENSMUSG00000028007	Mus_musculus_strain_reference_(CL57BL6)
ENSOGAP00000013062	ENSOGAG00000014579	Otolemur_garnettii
ENSIPUP00000013856	ENSIPUG00000009462	Ictalurus_punctatus
ENSCPOP00000032611	ENSCPOG00000012454	Cavia_porcellus
ENSJJAP00000019186	ENSJJAG00000020217	Jaculus_jaculus
ENSPPAP00000015865	ENSPPAG00000031045	Pan_paniscus
MGP_SPRETEiJ_P0062579	MGP_SPRETEiJ_G0026529	Mus_spretus_strain_SPRET/EiJ
ENSCJAP00000046625	ENSCJAG00000018195	Callithrix_jacchus
ENSACIP00000016397	ENSACIG00000012700	Amphilophus_citrinellus
ENSBTAP00000063602	ENSBTAG00000031461	Bos_taurus
ENSDCDP00000024161	ENSDCDG00000018235	Denticeps_clupeoides
ENSCCEP00000000838	ENSCCEG00000001099	Cyanistes_caeruleus
ENSPNYP00000026726	ENSPNYG00000020150	Pundamilia_nyererei
ENSLSDP00000015068	ENSLSDG00000010858	Lonchura_striata_domestica
ENSSBOP00000033860	ENSSBOG00000033097	Saimiri_boliviensis_boliviensis
ENSCPUP00000005244	ENSCPUG00000003855	Calidris_pugnax
ENSAMXP00005027192	ENSAMXG00005013630	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTBEP00000000143	ENSTBEG00000000168	Tupaia_belangeri
ENSAPOP00000001678	ENSAPOG00000003008	Acanthochromis_polyacanthus
ENSUAMP00000012596	ENSUAMG00000010194	Ursus_americanus
ENSHHUP00000030798	ENSHHUG00000019602	Hucho_hucho
ENSSCAP00000017129	ENSSCAG00000012459	Serinus_canaria
ENSCSEP00000010855	ENSCSEG00000006952	Cynoglossus_semilaevis
ENSPVAP00000004488	ENSPVAG00000004742	Pteropus_vampyrus
ENSPCOP00000018700	ENSPCOG00000021253	Propithecus_coquereli
ENSAOWP00000007388	ENSAOWG00000005070	Apteryx_owenii	ENSAOWT00000008365
ENSOCUP00000047848	ENSOCUG00000007655	Oryctolagus_cuniculus
ENSCAFP00000029717	ENSCAFG00000020058	Canis_lupus_familiaris
ENSNBRP00000020414	ENSNBRG00000015711	Neolamprologus_brichardi
ENSGACP00000001210	ENSGACG00000000934	Gasterosteus_aculeatus
ENSACLP00000004659	ENSACLG00000003121	Astatotilapia_calliptera
ENSPVIP00000002295	ENSPVIG00000001978	Pogona_vitticeps	ENSPVIT00000002972
ENSCHIP00000017718	ENSCHIG00000017438	Capra_hircus
ENSPCIP00000046437	ENSPCIG00000033372	Phascolarctos_cinereus
ENSTNIP00000007224	ENSTNIG00000004575	Tetraodon_nigroviridis
ENSTRUP00000003086	ENSTRUG00000001341	Takifugu_rubripes
ENSONIP00000009982	ENSONIG00000007920	Oreochromis_niloticus
ENSECAP00000027770	ENSECAG00000008507	Equus_caballus
ENSPPYP00000001307	ENSPPYG00000001129	Pongo_abelii
ENSMLUP00000011172	ENSMLUG00000012263	Myotis_lucifugus
ENSCPRP00005021215	ENSCPRG00005014762	Crocodylus_porosus
ENSANAP00000023069	ENSANAG00000029255	Aotus_nancymaae
ENSMICP00000034557	ENSMICG00000012919	Microcebus_murinus
ENSLCAP00010039540	ENSLCAG00010018466	Lates_calcarifer
ENSGAFP00000001137	ENSGAFG00000000808	Gambusia_affinis
ENSPMEP00000001933	ENSPMEG00000002907	Poecilia_mexicana
ENSMGAP00000007353	ENSMGAG00000007233	Meleagris_gallopavo
ENSSHAP00000002809	ENSSHAG00000002487	Sarcophilus_harrisii
ENSOARP00000018862	ENSOARG00000017578	Ovis_aries
ENSLCAP00010044319	ENSLCAG00010020597	Lates_calcarifer
ENSFCAP00000057045	ENSFCAG00000028713	Felis_catus
ENSCHIP00000013480	ENSCHIG00000014881	Capra_hircus
ENSCGRP00001012618	ENSCGRG00001013988	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPAP00000025927	ENSPPAG00000036076	Pan_paniscus
ENSPREP00000019923	ENSPREG00000013493	Poecilia_reticulata
ENSCGOP00000043257	ENSCGOG00000019533	Cottoperca_gobio
ENSPNAP00000033330	ENSPNAG00000021914	Pygocentrus_nattereri
ENSELUP00000026671	ENSELUG00000002623	Esox_lucius
ENSPSIP00000008278	ENSPSIG00000007601	Pelodiscus_sinensis
ENSPCOP00000012870	ENSPCOG00000018027	Propithecus_coquereli
ENSABRP00000017060	ENSABRG00000014889	Anser_brachyrhynchus	ENSABRT00000024220
ENSUMAP00000011859	ENSUMAG00000008873	Ursus_maritimus
ENSNPEP00000006509	ENSNPEG00000004920	Nothoprocta_perdicaria
ENSXETP00000047533	ENSXETG00000020847	Xenopus_tropicalis
ENSUPAP00010000489	ENSUPAG00010000433	Urocitellus_parryii
ENSOMEP00000008608	ENSOMEG00000009794	Oryzias_melastigma
ENSMMMP00000027456	ENSMMMG00000023975	Marmota_marmota_marmota
ENSMAMP00000032197	ENSMAMG00000021654	Mastacembelus_armatus
ENSZALP00000008430	ENSZALG00000007343	Zonotrichia_albicollis
ENSHBUP00000023644	ENSHBUG00000004563	Haplochromis_burtoni
ENSBBBP00000000107	ENSBBBG00000009277	Bison_bison_bison
ENSCPBP00000038784	ENSCPBG00000026774	Chrysemys_picta_bellii
ENSBIXP00005003295	ENSBIXG00005009472	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNVIP00000025200	ENSNVIG00000019491	Neovison_vison
ENSMPUP00000003241	ENSMPUG00000003273	Mustela_putorius_furo
ENSXMAP00000011270	ENSXMAG00000011241	Xiphophorus_maculatus
ENSCJPP00005000190	ENSCJPG00005000263	Coturnix_japonica
ENSCAPP00000016844	ENSCAPG00000016650	Cavia_aperea
ENSPTIP00000016036	ENSPTIG00000014953	Panthera_tigris_altaica
ENSSLDP00000007970	ENSSLDG00000006289	Seriola_lalandi_dorsalis
ENSECRP00000024611	ENSECRG00000016669	Erpetoichthys_calabaricus
ENSLCAP00010054705	ENSLCAG00010025503	Lates_calcarifer
ENSTSYP00000003790	ENSTSYG00000004156	Carlito_syrichta
ENSCHAP00000019450	ENSCHAG00000009950	Clupea_harengus
MGP_CAROLIEiJ_P0060190	MGP_CAROLIEiJ_G0025579	Mus_caroli_strain_CAROLI_EIJ
ENSPPRP00000025258	ENSPPRG00000015522	Panthera_pardus
ENSORLP00000024006	ENSORLG00000019271	Oryzias_latipes_ASM223467v1
ENSHCOP00000004372	ENSHCOG00000005816	Hippocampus_comes
ENSETEP00000002850	ENSETEG00000003481	Echinops_telfairi
ENSAMXP00000000141	ENSAMXG00000000139	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000024118	ENSEEEG00000011700	Electrophorus_electricus
ENSDARP00000133335	ENSDARG00000105185	Danio_rerio
ENSCGRP00015000143	ENSCGRG00015000197	Cricetulus_griseus_CriGri-PICR
ENSPCAP00000015676	ENSPCAG00000016768	Procavia_capensis
ENSAOCP00000012542	ENSAOCG00000017031	Amphiprion_ocellaris
ENSCABP00000010621	ENSCABG00000007929	Chelonoidis_abingdonii
ENSPSMP00000037965	ENSPSMG00000026031	Prolemur_simus
ENSMMUP00000011163	ENSMMUG00000008515	Macaca_mulatta
ENSPMGP00000025002	ENSPMGG00000020199	Periophthalmus_magnuspinnatus
ENSPTRP00000001703	ENSPTRG00000000992	Pan_troglodytes
