ENSFHEP00000003730	ENSFHEG00000004738	Fundulus_heteroclitus
ENSNMEP00000001308	ENSNMEG00000001152	Numida_meleagris	ENSNMET00000002699
ENSLCAP00010007487	ENSLCAG00010003626	Lates_calcarifer
ENSCJPP00005023904	ENSCJPG00005018884	Coturnix_japonica	ENSCJPT00005032653
ENSMALP00000023265	ENSMALG00000016221	Monopterus_albus
ENSPVAP00000016823	ENSPVAG00000017833	Pteropus_vampyrus
ENSRNOP00000042082	ENSRNOG00000029662	Rattus_norvegicus
ENSMMUP00000063669	ENSMMUG00000013836	Macaca_mulatta
ENSAOCP00000012096	ENSAOCG00000016558	Amphiprion_ocellaris
ENSOANP00000030805	ENSOANG00000028909	Ornithorhynchus_anatinus
ENSPTEP00000020319	ENSPTEG00000021571	Piliocolobus_tephrosceles
ENSSSCP00000073754	ENSSSCG00000045502	Sus_scrofa_strain_reference
ENSLSDP00000023768	ENSLSDG00000016728	Lonchura_striata_domestica
ENSGMOP00000004081	ENSGMOG00000003701	Gadus_morhua
ENSSPUP00000021937	ENSSPUG00000016769	Sphenodon_punctatus
ENSPMEP00000023758	ENSPMEG00000005574	Poecilia_mexicana
ENSACIP00000029693	ENSACIG00000022986	Amphilophus_citrinellus
ENSMUGP00000014378	ENSMUGG00000012364	Meriones_unguiculatus
ENSMUSP00000057556	ENSMUSG00000051506	Mus_musculus_strain_reference_(CL57BL6)
ENSHBUP00000035001	ENSHBUG00000022923	Haplochromis_burtoni
ENSECRP00000033138	ENSECRG00000022435	Erpetoichthys_calabaricus
ENSAHAP00000022025	ENSAHAG00000015394	Apteryx_haastii
ENSGAFP00000012999	ENSGAFG00000008778	Gambusia_affinis
ENSMNEP00000000297	ENSMNEG00000001096	Macaca_nemestrina
ENSPFOP00000006320	ENSPFOG00000005136	Poecilia_formosa
ENSLBEP00000019253	ENSLBEG00000014788	Labrus_bergylta
ENSHGLP00100012605	ENSHGLG00100009338	Heterocephalus_glaber_HetGla_1.0
ENSPVIP00000017521	ENSPVIG00000013465	Pogona_vitticeps
ENSDARP00000123055	ENSDARG00000077009	Danio_rerio
ENSUMAP00000021410	ENSUMAG00000015643	Ursus_maritimus
ENSPPAP00000010757	ENSPPAG00000028579	Pan_paniscus
ENSATEP00000032550	ENSATEG00000022411	Anabas_testudineus
ENSACIP00000029659	ENSACIG00000022947	Amphilophus_citrinellus
ENSLBEP00000019432	ENSLBEG00000014868	Labrus_bergylta
ENSRBIP00000017157	ENSRBIG00000032590	Rhinopithecus_bieti
ENSPCIP00000036655	ENSPCIG00000027038	Phascolarctos_cinereus
ENSTGEP00000015913	ENSTGEG00000012834	Theropithecus_gelada
ENSMALP00000023211	ENSMALG00000016179	Monopterus_albus
ENSLCRP00005049335	ENSLCRG00005018638	Larimichthys_crocea
ENSCANP00000025318	ENSCANG00000036078	Colobus_angolensis_palliatus
ENSOANP00000024822	ENSOANG00000015750	Ornithorhynchus_anatinus
ENSCCNP00000030802	ENSCCNG00000029403	Castor_canadensis
ENSGALP00000009939	ENSGALG00000006165	Gallus_gallus	ENSGALT00000009953
ENSMZEP00005004790	ENSMZEG00005003643	Maylandia_zebra
ENSCVAP00000021526	ENSCVAG00000003671	Cyprinodon_variegatus
ENSUAMP00000001257	ENSUAMG00000001226	Ursus_americanus
ENSPNYP00000013268	ENSPNYG00000010052	Pundamilia_nyererei
ENSAMXP00000012988	ENSAMXG00000012614	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCAPP00000009882	ENSCAPG00000011272	Cavia_aperea
ENSCATP00000025208	ENSCATG00000036081	Cercocebus_atys
ENSNSUP00000011189	ENSNSUG00000008443	Notechis_scutatus
ENSRROP00000002199	ENSRROG00000008771	Rhinopithecus_roxellana
ENSMAMP00000006076	ENSMAMG00000004140	Mastacembelus_armatus
ENSPSMP00000004900	ENSPSMG00000003817	Prolemur_simus
ENSLOCP00000004835	ENSLOCG00000004037	Lepisosteus_oculatus
ENSEASP00005028539	ENSEASG00005019415	Equus_asinus_asinus
ENSPKIP00000039561	ENSPKIG00000016847	Paramormyrops_kingsleyae
ENSORLP00020021986	ENSORLG00020002050	Oryzias_latipes_ASM223471v1
ENSAPEP00000023650	ENSAPEG00000016814	Amphiprion_percula
ENSOGAP00000006165	ENSOGAG00000006884	Otolemur_garnettii
ENSAPLP00000016273	ENSAPLG00000016371	Anas_platyrhynchos_platyrhynchos
ENSARWP00000022717	ENSARWG00000015487	Apteryx_rowi
ENSMFAP00000034140	ENSMFAG00000003522	Macaca_fascicularis
ENSDNVP00000014387	ENSDNVG00000010110	Dromaius_novaehollandiae
ENSOANP00000031089	ENSOANG00000032221	Ornithorhynchus_anatinus
ENSTGUP00000008447	ENSTGUG00000008202	Taeniopygia_guttata
ENSFALP00000007862	ENSFALG00000007504	Ficedula_albicollis
ENSMOCP00000011259	ENSMOCG00000011465	Microtus_ochrogaster
ENSCGOP00000054251	ENSCGOG00000023760	Cottoperca_gobio
ENSCGRP00000021448	ENSCGRG00000015574	Cricetulus_griseus_CriGri_1.0
ENSAMXP00005050517	ENSAMXG00005022885	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPOP00000017374	ENSCPOG00000026208	Cavia_porcellus
ENSCHOP00000003122	ENSCHOG00000003497	Choloepus_hoffmanni
ENSELUP00000032233	ENSELUG00000010054	Esox_lucius
ENSHHUP00000074298	ENSHHUG00000043597	Hucho_hucho
ENSNGAP00000021257	ENSNGAG00000020449	Nannospalax_galili
ENSSHAP00000021526	ENSSHAG00000018235	Sarcophilus_harrisii
ENSNSUP00000011196	ENSNSUG00000008447	Notechis_scutatus
ENSXETP00000043293	ENSXETG00000002269	Xenopus_tropicalis
ENSMSIP00000015147	ENSMSIG00000012436	Mus_spicilegus
ENSPREP00000031469	ENSPREG00000021296	Poecilia_reticulata
ENSGAGP00000010520	ENSGAGG00000008229	Gopherus_agassizii
ENSBIXP00005046369	ENSBIXG00005031218	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMAMP00000005998	ENSMAMG00000004092	Mastacembelus_armatus
ENSORLP00015025278	ENSORLG00015006307	Oryzias_latipes_ASM223469v1
ENSODEP00000002215	ENSODEG00000001728	Octodon_degus
ENSNBRP00000013513	ENSNBRG00000010434	Neolamprologus_brichardi
ENSCAFP00020032159	ENSCAFG00020025064	Canis_lupus_dingo
ENSORLP00020001276	ENSORLG00020001988	Oryzias_latipes_ASM223471v1
ENSOANP00000029798	ENSOANG00000029636	Ornithorhynchus_anatinus
ENSCCAP00000032332	ENSCCAG00000034205	Cebus_capucinus_imitator
ENSPLAP00000029516	ENSPLAG00000019811	Poecilia_latipinna
ENSMAUP00000010269	ENSMAUG00000011079	Mesocricetus_auratus
ENSIPUP00000000318	ENSIPUG00000000257	Ictalurus_punctatus
ENSSPAP00000029724	ENSSPAG00000022327	Stegastes_partitus
ENSTSYP00000033569	ENSTSYG00000035748	Carlito_syrichta
ENSNPEP00000017696	ENSNPEG00000013145	Nothoprocta_perdicaria
ENSMVIP00005024332	ENSMVIG00005017079	Manacus_vitellinus
ENSCLAP00000000250	ENSCLAG00000000231	Chinchilla_lanigera
ENSPCAP00000011356	ENSPCAG00000011866	Procavia_capensis
ENSSLDP00000019766	ENSSLDG00000015484	Seriola_lalandi_dorsalis
ENSPANP00000020185	ENSPANG00000022623	Papio_anubis
ENSVVUP00000028685	ENSVVUG00000020921	Vulpes_vulpes
ENSSARP00000004722	ENSSARG00000005098	Sorex_araneus
ENSSMAP00000007231	ENSSMAG00000004439	Scophthalmus_maximus
ENSCSEP00000011621	ENSCSEG00000007459	Cynoglossus_semilaevis
ENSMUNP00000018328	ENSMUNG00000014025	Melopsittacus_undulatus
ENSLACP00000005464	ENSLACG00000004861	Latimeria_chalumnae
ENSAMEP00000018028	ENSAMEG00000017053	Ailuropoda_melanoleuca
ENSCAFP00000009853	ENSCAFG00000006576	Canis_lupus_familiaris
ENSORLP00000038032	ENSORLG00000028740	Oryzias_latipes_ASM223467v1
ENSSCAP00000023910	ENSSCAG00000017113	Serinus_canaria
ENSBMUP00000026689	ENSBMUG00000020032	Bos_mutus
ENSONIP00000012030	ENSONIG00000009572	Oreochromis_niloticus
ENSOANP00000032745	ENSOANG00000031476	Ornithorhynchus_anatinus
ENSOARP00000001778	ENSOARG00000001659	Ovis_aries
ENSCPBP00000017457	ENSCPBG00000012791	Chrysemys_picta_bellii
ENSXCOP00000015891	ENSXCOG00000012004	Xiphophorus_couchianus
ENSMICP00000006155	ENSMICG00000006712	Microcebus_murinus
ENSCVAP00000002586	ENSCVAG00000003699	Cyprinodon_variegatus
ENSZALP00000015786	ENSZALG00000012891	Zonotrichia_albicollis
ENSOANP00000008012	ENSOANG00000005048	Ornithorhynchus_anatinus
ENSSDAP00000027575	ENSSDAG00000024967	Spermophilus_dauricus
ENSSDAP00000027574	ENSSDAG00000024966	Spermophilus_dauricus
ENSLAFP00000010438	ENSLAFG00000012487	Loxodonta_africana
ENSLCOP00000009183	ENSLCOG00000006711	Lepidothrix_coronata
ENSPMJP00000021586	ENSPMJG00000016036	Parus_major
ENSP00000320563	ENSG00000128815	Homo_sapiens
ENSBBBP00000000830	ENSBBBG00000001684	Bison_bison_bison
ENSPSMP00000037378	ENSPSMG00000025687	Prolemur_simus
ENSCABP00000015625	ENSCABG00000011674	Chelonoidis_abingdonii
ENSJHYP00000024067	ENSJHYG00000018092	Junco_hyemalis
ENSHCOP00000027803	ENSHCOG00000019975	Hippocampus_comes
ENSOMEP00000001505	ENSOMEG00000002423	Oryzias_melastigma
ENSHCOP00000027844	ENSHCOG00000020023	Hippocampus_comes
ENSCGRP00001018969	ENSCGRG00001018528	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUNP00000018330	ENSMUNG00000014027	Melopsittacus_undulatus
ENSMVIP00005024306	ENSMVIG00005017052	Manacus_vitellinus
ENSPTIP00000015895	ENSPTIG00000014794	Panthera_tigris_altaica
ENSCHAP00000022541	ENSCHAG00000011220	Clupea_harengus
ENSKMAP00000027312	ENSKMAG00000020256	Kryptolebias_marmoratus
ENSBTAP00000031248	ENSBTAG00000023028	Bos_taurus
ENSCPUP00000012815	ENSCPUG00000009094	Calidris_pugnax
ENSAOWP00000004461	ENSAOWG00000003047	Apteryx_owenii
ENSMMOP00000014294	ENSMMOG00000010940	Mola_mola
ENSHHUP00000074407	ENSHHUG00000043601	Hucho_hucho
ENSNLEP00000019120	ENSNLEG00000015657	Nomascus_leucogenys
ENSHBUP00000035034	ENSHBUG00000023058	Haplochromis_burtoni
ENSPNAP00000023221	ENSPNAG00000007761	Pygocentrus_nattereri
ENSTGUP00000008444	ENSTGUG00000008169	Taeniopygia_guttata
ENSSDUP00000032017	ENSSDUG00000022986	Seriola_dumerili
ENSTBEP00000008218	ENSTBEG00000009468	Tupaia_belangeri
ENSAMXP00000033364	ENSAMXG00000029053	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCSAP00000006461	ENSCSAG00000010339	Chlorocebus_sabaeus
ENSEASP00005028548	ENSEASG00005019418	Equus_asinus_asinus
ENSHGLP00000001569	ENSHGLG00000001195	Heterocephalus_glaber_HetGla_female_1.0
ENSOMEP00000001494	ENSOMEG00000002389	Oryzias_melastigma
ENSCAFP00020032175	ENSCAFG00020025070	Canis_lupus_dingo
ENSCAPP00000003907	ENSCAPG00000006569	Cavia_aperea
ENSMODP00000002811	ENSMODG00000002305	Monodelphis_domestica
