C56C10.1.1	WBGene00016960	Caenorhabditis_elegans_strain_N2
ENSSDUP00000025783	ENSSDUG00000018664	Seriola_dumerili
ENSLCAP00010004046	ENSLCAG00010002030	Lates_calcarifer
ENSMALP00000014386	ENSMALG00000010110	Monopterus_albus
ENSTNIP00000021964	ENSTNIG00000018782	Tetraodon_nigroviridis
ENSATEP00000024958	ENSATEG00000017282	Anabas_testudineus
ENSBSLP00000031805	ENSBSLG00000015623	Betta_splendens
ENSSMAP00000009962	ENSSMAG00000006116	Scophthalmus_maximus
ENSLCRP00005006595	ENSLCRG00005003320	Larimichthys_crocea
ENSLCRP00005006623	ENSLCRG00005003328	Larimichthys_crocea
ENSLCRP00005006615	ENSLCRG00005003327	Larimichthys_crocea
ENSCGOP00000042815	ENSCGOG00000018984	Cottoperca_gobio
ENSTRUP00000037103	ENSTRUG00000014506	Takifugu_rubripes
ENSTNIP00000022739	ENSTNIG00000019515	Tetraodon_nigroviridis
ENSMMOP00000021537	ENSMMOG00000016366	Mola_mola
ENSLBEP00000034427	ENSLBEG00000025870	Labrus_bergylta
ENSORLP00020025355	ENSORLG00020007259	Oryzias_latipes_ASM223471v1
ENSORLP00000031457	ENSORLG00000022688	Oryzias_latipes_ASM223467v1
ENSORLP00015028056	ENSORLG00015010474	Oryzias_latipes_ASM223469v1
ENSOMEP00000032276	ENSOMEG00000017633	Oryzias_melastigma
ENSGACP00000023006	ENSGACG00000017403	Gasterosteus_aculeatus
ENSPMGP00000025393	ENSPMGG00000020480	Periophthalmus_magnuspinnatus
ENSGMOP00000003681	ENSGMOG00000003457	Gadus_morhua
ENSHHUP00000060690	ENSHHUG00000035938	Hucho_hucho
ENSHHUP00000069608	ENSHHUG00000040920	Hucho_hucho
ENSELUP00000026760	ENSELUG00000002759	Esox_lucius
ENSIPUP00000033773	ENSIPUG00000022696	Ictalurus_punctatus
ENSEEEP00000040661	ENSEEEG00000019264	Electrophorus_electricus
ENSAMXP00000041269	ENSAMXG00000040384	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005024509	ENSAMXG00005012425	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000016186	ENSPNAG00000022379	Pygocentrus_nattereri
ENSDARP00000065867	ENSDARG00000044813	Danio_rerio
ENSCHAP00000044327	ENSCHAG00000020319	Clupea_harengus
ENSSFOP00015027447	ENSSFOG00015017587	Scleropages_formosus
ENSPKIP00000039337	ENSPKIG00000016695	Paramormyrops_kingsleyae
ENSLOCP00000017422	ENSLOCG00000014138	Lepisosteus_oculatus
ENSECRP00000032113	ENSECRG00000021768	Erpetoichthys_calabaricus
ENSPVIP00000014360	ENSPVIG00000011093	Pogona_vitticeps
ENSACAP00000004071	ENSACAG00000004054	Anolis_carolinensis
ENSNSUP00000028216	ENSNSUG00000020107	Notechis_scutatus
ENSSMRP00000027955	ENSSMRG00000021324	Salvator_merianae
ENSSPUP00000005616	ENSSPUG00000004333	Sphenodon_punctatus
ENSAHAP00000003194	ENSAHAG00000002556	Apteryx_haastii	ENSAHAT00000003607
ENSAOWP00000011900	ENSAOWG00000008163	Apteryx_owenii	ENSAOWT00000013532
ENSARWP00000020471	ENSARWG00000014017	Apteryx_rowi	ENSARWT00000023230
ENSNPEP00000012997	ENSNPEG00000009706	Nothoprocta_perdicaria
ENSDNVP00000023433	ENSDNVG00000016168	Dromaius_novaehollandiae
ENSCPUP00000013350	ENSCPUG00000009472	Calidris_pugnax
ENSCPGP00000011263	ENSCPGG00000008024	Calidris_pygmaea
ENSMUNP00000000422	ENSMUNG00000000405	Melopsittacus_undulatus
ENSLSDP00000014025	ENSLSDG00000010134	Lonchura_striata_domestica
ENSSCAP00000019714	ENSSCAG00000014226	Serinus_canaria
ENSCCEP00000004518	ENSCCEG00000004974	Cyanistes_caeruleus
ENSPMJP00000015865	ENSPMJG00000012016	Parus_major
ENSFALP00000011626	ENSFALG00000011098	Ficedula_albicollis
ENSJHYP00000000049	ENSJHYG00000000070	Junco_hyemalis
ENSLCOP00000008124	ENSLCOG00000005949	Lepidothrix_coronata
ENSMVIP00005009579	ENSMVIG00005007054	Manacus_vitellinus
ENSMGAP00000011160	ENSMGAG00000010721	Meleagris_gallopavo
ENSGALP00000064338	ENSGALG00000012833	Gallus_gallus
ENSNMEP00000010385	ENSNMEG00000009863	Numida_meleagris
ENSABRP00000006161	ENSABRG00000004867	Anser_brachyrhynchus
ENSAPLP00000022255	ENSAPLG00000003869	Anas_platyrhynchos_platyrhynchos
ENSCABP00000013498	ENSCABG00000010124	Chelonoidis_abingdonii
ENSGAGP00000008451	ENSGAGG00000006717	Gopherus_agassizii
ENSCPBP00000035112	ENSCPBG00000024473	Chrysemys_picta_bellii
ENSTBEP00000012975	ENSTBEG00000014900	Tupaia_belangeri
ENSMLUP00000017940	ENSMLUG00000024556	Myotis_lucifugus
ENSPCOP00000020221	ENSPCOG00000022064	Propithecus_coquereli
ENSMICP00000021704	ENSMICG00000014841	Microcebus_murinus
ENSPSMP00000015977	ENSPSMG00000011329	Prolemur_simus
ENSOGAP00000005146	ENSOGAG00000005751	Otolemur_garnettii
ENSPPAP00000000456	ENSPPAG00000001343	Pan_paniscus
ENSPTRP00000087398	ENSPTRG00000007468	Pan_troglodytes
ENSP00000327650	ENSG00000184056	Homo_sapiens
ENSP00000494429	ENSG00000284946	Homo_sapiens
ENSGGOP00000048395	ENSGGOG00000008338	Gorilla_gorilla
ENSPPYP00000007705	ENSPPYG00000006792	Pongo_abelii
ENSNLEP00000014946	ENSNLEG00000012278	Nomascus_leucogenys
ENSTGEP00000006391	ENSTGEG00000005246	Theropithecus_gelada
ENSPANP00000013361	ENSPANG00000015142	Papio_anubis
ENSCATP00000009349	ENSCATG00000028385	Cercocebus_atys
ENSCSAP00000013129	ENSCSAG00000017088	Chlorocebus_sabaeus
ENSMLEP00000026007	ENSMLEG00000037159	Mandrillus_leucophaeus
ENSMNEP00000015644	ENSMNEG00000031779	Macaca_nemestrina
ENSMFAP00000020424	ENSMFAG00000033165	Macaca_fascicularis
ENSCANP00000020276	ENSCANG00000033473	Colobus_angolensis_palliatus
ENSRROP00000021411	ENSRROG00000034595	Rhinopithecus_roxellana
ENSRBIP00000013650	ENSRBIG00000030885	Rhinopithecus_bieti
ENSPTEP00000033214	ENSPTEG00000031741	Piliocolobus_tephrosceles
ENSCCAP00000011586	ENSCCAG00000023465	Cebus_capucinus_imitator
ENSSBOP00000003140	ENSSBOG00000015264	Saimiri_boliviensis_boliviensis
ENSCJAP00000017498	ENSCJAG00000009526	Callithrix_jacchus
ENSANAP00000018766	ENSANAG00000027189	Aotus_nancymaae
ENSMUSP00000032749	ENSMUSG00000030534	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0083667	MGP_SPRETEiJ_G0031001	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000020598	ENSMSIG00000017446	Mus_spicilegus
MGP_CAROLIEiJ_P0080318	MGP_CAROLIEiJ_G0029899	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0017170	MGP_PahariEiJ_G0013121	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017862	ENSRNOG00000013149	Rattus_norvegicus
ENSMUGP00000011662	ENSMUGG00000010211	Meriones_unguiculatus
ENSMUGP00000011585	ENSMUGG00000010134	Meriones_unguiculatus
ENSPEMP00000023402	ENSPEMG00000020450	Peromyscus_maniculatus_bairdii
ENSMOCP00000021945	ENSMOCG00000019139	Microtus_ochrogaster
ENSCGRP00001012826	ENSCGRG00001014113	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000000598	ENSCGRG00000000500	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015002656	ENSCGRG00015002124	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000010005	ENSMAUG00000010971	Mesocricetus_auratus
ENSNGAP00000015040	ENSNGAG00000016165	Nannospalax_galili
ENSJJAP00000007041	ENSJJAG00000011508	Jaculus_jaculus
ENSCCNP00000014970	ENSCCNG00000015385	Castor_canadensis
ENSSTOP00000014801	ENSSTOG00000016536	Ictidomys_tridecemlineatus
ENSUPAP00010019621	ENSUPAG00010015502	Urocitellus_parryii
ENSSDAP00000003307	ENSSDAG00000003135	Spermophilus_dauricus
ENSMMMP00000022354	ENSMMMG00000019643	Marmota_marmota_marmota
ENSLAFP00000008912	ENSLAFG00000010644	Loxodonta_africana
ENSPCAP00000013101	ENSPCAG00000013951	Procavia_capensis
ENSETEP00000006567	ENSETEG00000008078	Echinops_telfairi
ENSCHOP00000003714	ENSCHOG00000004186	Choloepus_hoffmanni
ENSDNOP00000006185	ENSDNOG00000007963	Dasypus_novemcinctus
ENSPVAP00000011134	ENSPVAG00000011811	Pteropus_vampyrus
ENSMLUP00000006623	ENSMLUG00000007243	Myotis_lucifugus
ENSUMAP00000010734	ENSUMAG00000008072	Ursus_maritimus
ENSUAMP00000026047	ENSUAMG00000019686	Ursus_americanus
ENSAMEP00000014389	ENSAMEG00000013607	Ailuropoda_melanoleuca
ENSNVIP00000021876	ENSNVIG00000017077	Neovison_vison
ENSMPUP00000015607	ENSMPUG00000015716	Mustela_putorius_furo
ENSCAFP00000062971	ENSCAFG00000012113	Canis_lupus_familiaris
ENSCAFP00020020659	ENSCAFG00020016359	Canis_lupus_dingo
ENSVVUP00000008777	ENSVVUG00000006570	Vulpes_vulpes
ENSPTIP00000023465	ENSPTIG00000019885	Panthera_tigris_altaica
ENSPPRP00000026477	ENSPPRG00000017429	Panthera_pardus
ENSFCAP00000045854	ENSFCAG00000011960	Felis_catus
ENSOARP00000013094	ENSOARG00000012205	Ovis_aries
ENSCHIP00000011314	ENSCHIG00000013457	Capra_hircus
ENSBIXP00005015678	ENSBIXG00005019505	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000008390	ENSBIXG00000014239	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000000029	ENSBTAG00000000026	Bos_taurus
ENSBMUP00000009306	ENSBMUG00000007246	Bos_mutus
ENSBBBP00000027798	ENSBBBG00000024264	Bison_bison_bison
ENSTTRP00000012026	ENSTTRG00000012665	Tursiops_truncatus
ENSSSCP00000072482	ENSSSCG00000033954	Sus_scrofa_strain_reference
ENSEASP00005009076	ENSEASG00005006502	Equus_asinus_asinus
ENSECAP00000022612	ENSECAG00000025016	Equus_caballus
ENSTSYP00000011903	ENSTSYG00000012961	Carlito_syrichta
ENSHGLP00000014268	ENSHGLG00000010198	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025503	ENSHGLG00100018705	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018887	ENSFDAG00000009521	Fukomys_damarensis
ENSCPOP00000003347	ENSCPOG00000003707	Cavia_porcellus
ENSCAPP00000018279	ENSCAPG00000017719	Cavia_aperea
ENSCLAP00000021426	ENSCLAG00000014674	Chinchilla_lanigera
ENSODEP00000020798	ENSODEG00000015342	Octodon_degus
ENSOCUP00000039458	ENSOCUG00000005468	Oryctolagus_cuniculus
ENSOPRP00000010319	ENSOPRG00000011289	Ochotona_princeps
ENSEEUP00000013188	ENSEEUG00000014408	Erinaceus_europaeus
ENSMPUP00000015605	ENSMPUG00000015714	Mustela_putorius_furo
ENSDORP00000013229	ENSDORG00000014070	Dipodomys_ordii
ENSSARP00000000140	ENSSARG00000000153	Sorex_araneus
ENSVURP00010008929	ENSVURG00010006900	Vombatus_ursinus
ENSPCIP00000007856	ENSPCIG00000006563	Phascolarctos_cinereus
ENSMEUP00000011142	ENSMEUG00000012211	Notamacropus_eugenii
ENSSHAP00000012588	ENSSHAG00000010775	Sarcophilus_harrisii
ENSMODP00000024327	ENSMODG00000019498	Monodelphis_domestica
ENSXETP00000042780	ENSXETG00000017692	Xenopus_tropicalis
ENSLACP00000018500	ENSLACG00000016287	Latimeria_chalumnae
ENSAPLP00000000317	ENSAPLG00000000907	Anas_platyrhynchos_platyrhynchos
ENSCMIP00000020138	ENSCMIG00000009287	Callorhinchus_milii
ENSCSAVP00000018326	ENSCSAVG00000010762	Ciona_savignyi
ENSCINP00000014583	ENSCING00000012212	Ciona_intestinalis
ENSPTEP00000009072	ENSPTEG00000010304	Piliocolobus_tephrosceles
ENSPTEP00000017573	ENSPTEG00000019108	Piliocolobus_tephrosceles
YLR396C_mRNA	YLR396C	Saccharomyces_cerevisiae_strain_S288C
