ENSPCIP00000009601	ENSPCIG00000007829	Phascolarctos_cinereus	ENSPCIT00000012052
ENSVURP00010024428	ENSVURG00010018716	Vombatus_ursinus	ENSVURT00010027804
ENSMEUP00000006780	ENSMEUG00000007416	Notamacropus_eugenii	ENSMEUT00000007442
ENSSHAP00000014538	ENSSHAG00000012411	Sarcophilus_harrisii	ENSSHAT00000014660
ENSMODP00000038647	ENSMODG00000025790	Monodelphis_domestica	ENSMODT00000040247
ENSDNOP00000035189	ENSDNOG00000047867	Dasypus_novemcinctus
ENSMFAP00000003016	ENSMFAG00000033646	Macaca_fascicularis
ENSMMUP00000073581	ENSMMUG00000020082	Macaca_mulatta
ENSMNEP00000033406	ENSMNEG00000039962	Macaca_nemestrina
ENSTGEP00000017480	ENSTGEG00000014134	Theropithecus_gelada
ENSPANP00000038787	ENSPANG00000020784	Papio_anubis
ENSCATP00000015575	ENSCATG00000031760	Cercocebus_atys
ENSMLEP00000008039	ENSMLEG00000028154	Mandrillus_leucophaeus
ENSCSAP00000011389	ENSCSAG00000015313	Chlorocebus_sabaeus
ENSCCAP00000030500	ENSCCAG00000033293	Cebus_capucinus_imitator
ENSSBOP00000022462	ENSSBOG00000027776	Saimiri_boliviensis_boliviensis
ENSCJAP00000049422	ENSCJAG00000000622	Callithrix_jacchus
ENSANAP00000002815	ENSANAG00000019184	Aotus_nancymaae
ENSTSYP00000004810	ENSTSYG00000005262	Carlito_syrichta
ENSPCOP00000019981	ENSPCOG00000021951	Propithecus_coquereli
ENSPSMP00000029748	ENSPSMG00000020657	Prolemur_simus
ENSMICP00000004228	ENSMICG00000004635	Microcebus_murinus
ENSOGAP00000000853	ENSOGAG00000000952	Otolemur_garnettii
ENSTBEP00000010173	ENSTBEG00000011761	Tupaia_belangeri
ENSDORP00000002185	ENSDORG00000002327	Dipodomys_ordii
ENSCCNP00000019567	ENSCCNG00000019641	Castor_canadensis
MGP_SPRETEiJ_P0058595	MGP_SPRETEiJ_G0025647	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000013667	ENSMUSG00000013523	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0056418	MGP_CAROLIEiJ_G0024727	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000025431	ENSMSIG00000021493	Mus_spicilegus
ENSMSIP00000025384	ENSMSIG00000021444	Mus_spicilegus
ENSMSIP00000025404	ENSMSIG00000021458	Mus_spicilegus
ENSMSIP00000025424	ENSMSIG00000021478	Mus_spicilegus
MGP_PahariEiJ_P0067398	MGP_PahariEiJ_G0026168	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000051984	ENSRNOG00000012906	Rattus_norvegicus
ENSMUGP00000013331	ENSMUGG00000011516	Meriones_unguiculatus
ENSPEMP00000000502	ENSPEMG00000000354	Peromyscus_maniculatus_bairdii
ENSMOCP00000004933	ENSMOCG00000004294	Microtus_ochrogaster
ENSCGRP00015023002	ENSCGRG00015017333	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005446	ENSCGRG00001007157	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016027	ENSMAUG00000015308	Mesocricetus_auratus
ENSNGAP00000014353	ENSNGAG00000015655	Nannospalax_galili
ENSJJAP00000010876	ENSJJAG00000014333	Jaculus_jaculus
ENSCPOP00000008255	ENSCPOG00000009194	Cavia_porcellus
ENSCAPP00000006883	ENSCAPG00000008947	Cavia_aperea
ENSCLAP00000009018	ENSCLAG00000006299	Chinchilla_lanigera
ENSHGLP00000021194	ENSHGLG00000015145	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012317	ENSHGLG00100009125	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021390	ENSFDAG00000007744	Fukomys_damarensis
ENSSTOP00000019135	ENSSTOG00000028914	Ictidomys_tridecemlineatus
ENSMMMP00000009375	ENSMMMG00000008267	Marmota_marmota_marmota
ENSUPAP00010001237	ENSUPAG00010000967	Urocitellus_parryii
ENSSDAP00000009277	ENSSDAG00000008394	Spermophilus_dauricus
ENSOCUP00000046682	ENSOCUG00000004927	Oryctolagus_cuniculus
ENSOPRP00000004873	ENSOPRG00000005305	Ochotona_princeps
ENSOANP00000004979	ENSOANG00000003140	Ornithorhynchus_anatinus
ENSAOWP00000001627	ENSAOWG00000001169	Apteryx_owenii
ENSAHAP00000017373	ENSAHAG00000012361	Apteryx_haastii
ENSARWP00000013646	ENSARWG00000009430	Apteryx_rowi
ENSNPEP00000014594	ENSNPEG00000010911	Nothoprocta_perdicaria
ENSDNVP00000004746	ENSDNVG00000003385	Dromaius_novaehollandiae
ENSMUNP00000014539	ENSMUNG00000011303	Melopsittacus_undulatus
ENSABRP00000026298	ENSABRG00000021981	Anser_brachyrhynchus
ENSAPLP00000005631	ENSAPLG00000006033	Anas_platyrhynchos_platyrhynchos
ENSGALP00000054334	ENSGALG00000007796	Gallus_gallus
ENSCJPP00005008048	ENSCJPG00005007275	Coturnix_japonica
ENSMGAP00000009578	ENSMGAG00000009281	Meleagris_gallopavo
ENSNMEP00000000556	ENSNMEG00000000843	Numida_meleagris
ENSMVIP00005004945	ENSMVIG00005003801	Manacus_vitellinus
ENSLCOP00000010253	ENSLCOG00000007448	Lepidothrix_coronata
ENSTGUP00000008803	ENSTGUG00000008550	Taeniopygia_guttata
ENSLSDP00000003548	ENSLSDG00000002710	Lonchura_striata_domestica
ENSSCAP00000021485	ENSSCAG00000015447	Serinus_canaria
ENSJHYP00000011286	ENSJHYG00000008840	Junco_hyemalis
ENSFALP00000013756	ENSFALG00000013180	Ficedula_albicollis
ENSPMJP00000011794	ENSPMJG00000009107	Parus_major
ENSCCEP00000023889	ENSCCEG00000021291	Cyanistes_caeruleus
ENSCPGP00000008878	ENSCPGG00000006315	Calidris_pygmaea
ENSCPUP00000007481	ENSCPUG00000005411	Calidris_pugnax
ENSCPRP00005006634	ENSCPRG00005004725	Crocodylus_porosus
ENSGAGP00000002923	ENSGAGG00000002337	Gopherus_agassizii
ENSCABP00000021878	ENSCABG00000016120	Chelonoidis_abingdonii
ENSCPBP00000020899	ENSCPBG00000015016	Chrysemys_picta_bellii
ENSPSIP00000007782	ENSPSIG00000007149	Pelodiscus_sinensis
ENSACAP00000012411	ENSACAG00000012671	Anolis_carolinensis
ENSPVIP00000033543	ENSPVIG00000024534	Pogona_vitticeps
ENSNSUP00000019584	ENSNSUG00000014308	Notechis_scutatus
ENSSMRP00000007171	ENSSMRG00000005775	Salvator_merianae
ENSECRP00000017011	ENSECRG00000011313	Erpetoichthys_calabaricus
