ENSFDAP00000021299	ENSFDAG00000007810	Fukomys_damarensis	ENSFDAT00000011116
ENSSHAP00000020129	ENSSHAG00000017077	Sarcophilus_harrisii	ENSSHAT00000020289
ENSCMIP00000027414	ENSCMIG00000011937	Callorhinchus_milii
ENSMUGP00000010024	ENSMUGG00000008888	Meriones_unguiculatus
ENSNGAP00000010996	ENSNGAG00000013266	Nannospalax_galili
ENSJJAP00000011205	ENSJJAG00000014594	Jaculus_jaculus
ENSCLAP00000004639	ENSCLAG00000003302	Chinchilla_lanigera
ENSODEP00000000872	ENSODEG00000000705	Octodon_degus
ENSCPOP00000024185	ENSCPOG00000020741	Cavia_porcellus
ENSCAPP00000007670	ENSCAPG00000009533	Cavia_aperea
ENSHGLP00000012344	ENSHGLG00000008821	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008309	ENSHGLG00100006181	Heterocephalus_glaber_HetGla_1.0
ENSSDAP00000011217	ENSSDAG00000010127	Spermophilus_dauricus
ENSCGRP00000017786	ENSCGRG00000012929	Cricetulus_griseus_CriGri_1.0
ENSOPRP00000001483	ENSOPRG00000001605	Ochotona_princeps
ENSUMAP00000015201	ENSUMAG00000010934	Ursus_maritimus
ENSBMUP00000014259	ENSBMUG00000010846	Bos_mutus
ENSETEP00000005114	ENSETEG00000006305	Echinops_telfairi
ENSPTIP00000007038	ENSPTIG00000008781	Panthera_tigris_altaica
ENSVURP00010015122	ENSVURG00010011561	Vombatus_ursinus
ENSPCIP00000031247	ENSPCIG00000023018	Phascolarctos_cinereus
ENSMEUP00000002694	ENSMEUG00000002952	Notamacropus_eugenii
ENSMODP00000005004	ENSMODG00000004066	Monodelphis_domestica
ENSNPEP00000015620	ENSNPEG00000011658	Nothoprocta_perdicaria
ENSAOWP00000007380	ENSAOWG00000004965	Apteryx_owenii
ENSPSIP00000003573	ENSPSIG00000003403	Pelodiscus_sinensis
ENSNSUP00000020700	ENSNSUG00000015058	Notechis_scutatus
ENSXETP00000035316	ENSXETG00000013914	Xenopus_tropicalis
ENSLACP00000011071	ENSLACG00000009742	Latimeria_chalumnae
ENSSHAP00000010578	ENSSHAG00000009131	Sarcophilus_harrisii
ENSOARP00000021740	ENSOARG00000020245	Ovis_aries	ENSOART00000022043
ENSDCDP00000038068	ENSDCDG00000025444	Denticeps_clupeoides
ENSCHAP00000045780	ENSCHAG00000021156	Clupea_harengus
ENSAMXP00005016436	ENSAMXG00005008488	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000009708	ENSAMXG00000009447	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000020495	ENSPNAG00000027459	Pygocentrus_nattereri
ENSEEEP00000022601	ENSEEEG00000010907	Electrophorus_electricus
ENSIPUP00000013281	ENSIPUG00000009046	Ictalurus_punctatus
ENSDARP00000121075	ENSDARG00000019842	Danio_rerio
ENSHHUP00000043968	ENSHHUG00000026946	Hucho_hucho
ENSHHUP00000066166	ENSHHUG00000038982	Hucho_hucho
ENSELUP00000023384	ENSELUG00000000953	Esox_lucius
ENSCSEP00000026694	ENSCSEG00000016892	Cynoglossus_semilaevis
ENSPMGP00000027967	ENSPMGG00000022539	Periophthalmus_magnuspinnatus
ENSGWIP00000013175	ENSGWIG00000006032	Gouania_willdenowi
ENSGWIP00000009011	ENSGWIG00000003477	Gouania_willdenowi
ENSLBEP00000023958	ENSLBEG00000018278	Labrus_bergylta
ENSXMAP00000014214	ENSXMAG00000014176	Xiphophorus_maculatus
ENSXCOP00000025406	ENSXCOG00000018976	Xiphophorus_couchianus
ENSGAFP00000005129	ENSGAFG00000003459	Gambusia_affinis
ENSPLAP00000025990	ENSPLAG00000013457	Poecilia_latipinna
ENSPFOP00000007283	ENSPFOG00000007168	Poecilia_formosa
ENSPMEP00000008367	ENSPMEG00000010184	Poecilia_mexicana
ENSPREP00000000964	ENSPREG00000000662	Poecilia_reticulata
ENSPREP00000000983	ENSPREG00000000766	Poecilia_reticulata
ENSCVAP00000032246	ENSCVAG00000022122	Cyprinodon_variegatus
ENSFHEP00000000940	ENSFHEG00000001696	Fundulus_heteroclitus
ENSKMAP00000025261	ENSKMAG00000018723	Kryptolebias_marmoratus
ENSORLP00020024404	ENSORLG00020005779	Oryzias_latipes_ASM223471v1
ENSORLP00015017980	ENSORLG00015019021	Oryzias_latipes_ASM223469v1
ENSORLP00000041268	ENSORLG00000005982	Oryzias_latipes_ASM223467v1
ENSOMEP00000030927	ENSOMEG00000015557	Oryzias_melastigma
ENSGACP00000012403	ENSGACG00000009395	Gasterosteus_aculeatus
ENSNBRP00000004286	ENSNBRG00000003336	Neolamprologus_brichardi
ENSACIP00000004675	ENSACIG00000003652	Amphilophus_citrinellus
ENSAPOP00000012224	ENSAPOG00000015002	Acanthochromis_polyacanthus
ENSMALP00000006944	ENSMALG00000004936	Monopterus_albus
ENSMMOP00000017179	ENSMMOG00000013086	Mola_mola
ENSPRNP00000021040	ENSPRNG00000010468	Parambassis_ranga
ENSAPEP00000003918	ENSAPEG00000002640	Amphiprion_percula
ENSAOCP00000013737	ENSAOCG00000018385	Amphiprion_ocellaris
ENSSPAP00000001851	ENSSPAG00000001429	Stegastes_partitus
ENSPRNP00000021248	ENSPRNG00000010979	Parambassis_ranga
ENSMZEP00005003168	ENSMZEG00005002466	Maylandia_zebra
ENSACLP00000024530	ENSACLG00000016702	Astatotilapia_calliptera
ENSHBUP00000017608	ENSHBUG00000019699	Haplochromis_burtoni
ENSPNYP00000004591	ENSPNYG00000003358	Pundamilia_nyererei
ENSONIP00000008897	ENSONIG00000007047	Oreochromis_niloticus
ENSSDUP00000004598	ENSSDUG00000003428	Seriola_dumerili
ENSSLDP00000018270	ENSSLDG00000014376	Seriola_lalandi_dorsalis
ENSLCAP00010052563	ENSLCAG00010024472	Lates_calcarifer
ENSMAMP00000028764	ENSMAMG00000019357	Mastacembelus_armatus
ENSATEP00000022739	ENSATEG00000015777	Anabas_testudineus
ENSTRUP00000017869	ENSTRUG00000007248	Takifugu_rubripes
ENSTNIP00000008370	ENSTNIG00000005663	Tetraodon_nigroviridis
ENSLCRP00005065666	ENSLCRG00005023919	Larimichthys_crocea
ENSCGOP00000022912	ENSCGOG00000010909	Cottoperca_gobio
ENSSMAP00000026237	ENSSMAG00000016031	Scophthalmus_maximus
ENSBSLP00000038412	ENSBSLG00000017243	Betta_splendens
ENSSFOP00015000265	ENSSFOG00015000248	Scleropages_formosus
ENSPKIP00000031134	ENSPKIG00000011733	Paramormyrops_kingsleyae
ENSSFOP00015029896	ENSSFOG00015019203	Scleropages_formosus
ENSPKIP00000038192	ENSPKIG00000015967	Paramormyrops_kingsleyae
ENSCHAP00000025710	ENSCHAG00000012532	Clupea_harengus
ENSDCDP00000002065	ENSDCDG00000001051	Denticeps_clupeoides
ENSAMXP00000012718	ENSAMXG00000012359	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005033811	ENSAMXG00005016266	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000011921	ENSPNAG00000017679	Pygocentrus_nattereri
ENSEEEP00000051130	ENSEEEG00000024007	Electrophorus_electricus
ENSIPUP00000000202	ENSIPUG00000000167	Ictalurus_punctatus
ENSDARP00000092876	ENSDARG00000007135	Danio_rerio
ENSHHUP00000077942	ENSHHUG00000045497	Hucho_hucho
ENSHHUP00000047821	ENSHHUG00000029044	Hucho_hucho
ENSELUP00000014735	ENSELUG00000014743	Esox_lucius
ENSAPEP00000009239	ENSAPEG00000006624	Amphiprion_percula
ENSAOCP00000018597	ENSAOCG00000023769	Amphiprion_ocellaris
ENSAPOP00000012760	ENSAPOG00000015499	Acanthochromis_polyacanthus
ENSHCOP00000028342	ENSHCOG00000020968	Hippocampus_comes
ENSPMGP00000014698	ENSPMGG00000012037	Periophthalmus_magnuspinnatus
ENSLBEP00000022581	ENSLBEG00000017296	Labrus_bergylta
ENSMAMP00000028837	ENSMAMG00000019397	Mastacembelus_armatus
ENSMALP00000013023	ENSMALG00000009204	Monopterus_albus
ENSATEP00000032999	ENSATEG00000022737	Anabas_testudineus
ENSBSLP00000038860	ENSBSLG00000018815	Betta_splendens
ENSSDUP00000011325	ENSSDUG00000008181	Seriola_dumerili
ENSSLDP00000018738	ENSSLDG00000014733	Seriola_lalandi_dorsalis
ENSSMAP00000021600	ENSSMAG00000013235	Scophthalmus_maximus
ENSLCAP00010049499	ENSLCAG00010023011	Lates_calcarifer
ENSCSEP00000005513	ENSCSEG00000003574	Cynoglossus_semilaevis
ENSACLP00000031170	ENSACLG00000021136	Astatotilapia_calliptera
ENSMZEP00005021749	ENSMZEG00005016304	Maylandia_zebra
ENSHBUP00000024084	ENSHBUG00000005275	Haplochromis_burtoni
ENSPNYP00000002897	ENSPNYG00000002282	Pundamilia_nyererei
ENSNBRP00000002978	ENSNBRG00000002401	Neolamprologus_brichardi
ENSONIP00000008286	ENSONIG00000006568	Oreochromis_niloticus
ENSACIP00000008605	ENSACIG00000006635	Amphilophus_citrinellus
ENSORLP00020007119	ENSORLG00020008009	Oryzias_latipes_ASM223471v1
ENSORLP00000034768	ENSORLG00000011174	Oryzias_latipes_ASM223467v1
ENSORLP00015030177	ENSORLG00015013729	Oryzias_latipes_ASM223469v1
ENSOMEP00000027661	ENSOMEG00000010309	Oryzias_melastigma
ENSPRNP00000023525	ENSPRNG00000011963	Parambassis_ranga
ENSLCRP00005033529	ENSLCRG00005013171	Larimichthys_crocea
ENSMMOP00000021643	ENSMMOG00000016446	Mola_mola
ENSCGOP00000039413	ENSCGOG00000017752	Cottoperca_gobio
ENSXMAP00000012302	ENSXMAG00000012273	Xiphophorus_maculatus
ENSXCOP00000026058	ENSXCOG00000019460	Xiphophorus_couchianus
ENSGAFP00000019384	ENSGAFG00000013094	Gambusia_affinis
ENSPFOP00000008744	ENSPFOG00000008693	Poecilia_formosa
ENSPMEP00000030944	ENSPMEG00000017718	Poecilia_mexicana
ENSPLAP00000025943	ENSPLAG00000013324	Poecilia_latipinna
ENSPREP00000011259	ENSPREG00000007592	Poecilia_reticulata
ENSFHEP00000034972	ENSFHEG00000023166	Fundulus_heteroclitus
ENSCVAP00000006599	ENSCVAG00000008168	Cyprinodon_variegatus
ENSSPAP00000005007	ENSSPAG00000003858	Stegastes_partitus
ENSKMAP00000006460	ENSKMAG00000004863	Kryptolebias_marmoratus
ENSGWIP00000003475	ENSGWIG00000001902	Gouania_willdenowi
ENSGACP00000015206	ENSGACG00000011489	Gasterosteus_aculeatus
ENSGMOP00000005720	ENSGMOG00000005365	Gadus_morhua
ENSTRUP00000040211	ENSTRUG00000015732	Takifugu_rubripes
ENSTNIP00000010907	ENSTNIG00000008082	Tetraodon_nigroviridis
ENSLOCP00000000005	ENSLOCG00000000005	Lepisosteus_oculatus
ENSECRP00000029779	ENSECRG00000016602	Erpetoichthys_calabaricus
ENSCINP00000000537	ENSCING00000000293	Ciona_intestinalis
FBpp0304299	FBgn0033029	Drosophila_melanogaster	FBtr0331970
Y56A3A.1a.1	WBGene00003826	Caenorhabditis_elegans_strain_N2	Y56A3A.1a.1
YPR072W_mRNA	YPR072W	Saccharomyces_cerevisiae_strain_S288C
