ENSNBRP00000029099	ENSNBRG00000022169	Neolamprologus_brichardi	ENSNBRT00000029855
ENSNBRP00000029117	ENSNBRG00000022189	Neolamprologus_brichardi
ENSEASP00005004815	ENSEASG00005003198	Equus_asinus_asinus
ENSCPOP00000006128	ENSCPOG00000006799	Cavia_porcellus
ENSCAPP00000002685	ENSCAPG00000005589	Cavia_aperea
ENSODEP00000024636	ENSODEG00000018034	Octodon_degus
ENSCLAP00000021587	ENSCLAG00000014772	Chinchilla_lanigera
ENSHGLP00000017968	ENSHGLG00000012875	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001797	ENSHGLG00100001397	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006859	ENSFDAG00000015549	Fukomys_damarensis
ENSUPAP00010010356	ENSUPAG00010008363	Urocitellus_parryii
ENSSTOP00000004348	ENSSTOG00000004794	Ictidomys_tridecemlineatus
ENSSDAP00000007614	ENSSDAG00000006920	Spermophilus_dauricus
ENSMMMP00000008299	ENSMMMG00000007405	Marmota_marmota_marmota
ENSCCNP00000006304	ENSCCNG00000006578	Castor_canadensis
ENSDORP00000015099	ENSDORG00000016054	Dipodomys_ordii
ENSMSIP00000031227	ENSMSIG00000026083	Mus_spicilegus
ENSMUSP00000068896	ENSMUSG00000020914	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0031158	MGP_SPRETEiJ_G0017949	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0029740	MGP_CAROLIEiJ_G0017105	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036465	MGP_PahariEiJ_G0018234	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069963	ENSRNOG00000053047	Rattus_norvegicus
ENSMUGP00000002961	ENSMUGG00000000248	Meriones_unguiculatus
ENSMOCP00000013372	ENSMOCG00000013182	Microtus_ochrogaster
ENSPEMP00000017563	ENSPEMG00000016393	Peromyscus_maniculatus_bairdii
ENSCGRP00001022396	ENSCGRG00001020913	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004123	ENSCGRG00000003033	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015019007	ENSCGRG00015014316	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008805	ENSMAUG00000010103	Mesocricetus_auratus
ENSNGAP00000006303	ENSNGAG00000009092	Nannospalax_galili
ENSJJAP00000003696	ENSJJAG00000007045	Jaculus_jaculus
ENSOCUP00000002448	ENSOCUG00000002814	Oryctolagus_cuniculus
ENSOPRP00000000867	ENSOPRG00000000919	Ochotona_princeps
ENSTBEP00000004632	ENSTBEG00000005319	Tupaia_belangeri
ENSPPAP00000042140	ENSPPAG00000043649	Pan_paniscus
ENSPTRP00000015554	ENSPTRG00000009122	Pan_troglodytes
ENSP00000411532	ENSG00000131747	Homo_sapiens
ENSGGOP00000022760	ENSGGOG00000012704	Gorilla_gorilla
ENSPPYP00000009508	ENSPPYG00000008460	Pongo_abelii
ENSNLEP00000002285	ENSNLEG00000001840	Nomascus_leucogenys
ENSPANP00000020594	ENSPANG00000021661	Papio_anubis
ENSCATP00000011868	ENSCATG00000030085	Cercocebus_atys
ENSMLEP00000033432	ENSMLEG00000040900	Mandrillus_leucophaeus
ENSTGEP00000007458	ENSTGEG00000006088	Theropithecus_gelada
ENSMMUP00000011731	ENSMMUG00000008941	Macaca_mulatta
ENSMFAP00000005235	ENSMFAG00000002270	Macaca_fascicularis
ENSMNEP00000012921	ENSMNEG00000030734	Macaca_nemestrina
ENSCSAP00000015255	ENSCSAG00000002790	Chlorocebus_sabaeus
ENSCANP00000013944	ENSCANG00000030407	Colobus_angolensis_palliatus
ENSPTEP00000012577	ENSPTEG00000014112	Piliocolobus_tephrosceles
ENSRROP00000021886	ENSRROG00000034836	Rhinopithecus_roxellana
ENSRBIP00000008037	ENSRBIG00000027893	Rhinopithecus_bieti
ENSSBOP00000003621	ENSSBOG00000016584	Saimiri_boliviensis_boliviensis
ENSCCAP00000016303	ENSCCAG00000025939	Cebus_capucinus_imitator
ENSCJAP00000024876	ENSCJAG00000013478	Callithrix_jacchus
ENSANAP00000014591	ENSANAG00000025180	Aotus_nancymaae
ENSTSYP00000003329	ENSTSYG00000003623	Carlito_syrichta
ENSPSMP00000016043	ENSPSMG00000011404	Prolemur_simus
ENSPCOP00000026164	ENSPCOG00000025407	Propithecus_coquereli
ENSMICP00000030972	ENSMICG00000009772	Microcebus_murinus
ENSOGAP00000001463	ENSOGAG00000001638	Otolemur_garnettii
ENSOANP00000004836	ENSOANG00000003053	Ornithorhynchus_anatinus
ENSNSUP00000001947	ENSNSUG00000001655	Notechis_scutatus
ENSXETP00000003148	ENSXETG00000004685	Xenopus_tropicalis
ENSTGUP00000015560	ENSTGUG00000015221	Taeniopygia_guttata
ENSLACP00000010500	ENSLACG00000009250	Latimeria_chalumnae
ENSCMIP00000018976	ENSCMIG00000008898	Callorhinchus_milii
ENSCMIP00000009704	ENSCMIG00000004973	Callorhinchus_milii
ENSMAMP00000002501	ENSMAMG00000001653	Mastacembelus_armatus
ENSPMAP00000007861	ENSPMAG00000007135	Petromyzon_marinus
ENSPMAP00000007727	ENSPMAG00000007010	Petromyzon_marinus
ENSEBUP00000014974	ENSEBUG00000009439	Eptatretus_burgeri
