ENSTBEP00000004510	ENSTBEG00000005234	Tupaia_belangeri
ENSCGRP00015031734	ENSCGRG00015023942	Cricetulus_griseus_CriGri-PICR
ENSNSUP00000005673	ENSNSUG00000004577	Notechis_scutatus
ENSONIP00000018736	ENSONIG00000014885	Oreochromis_niloticus
ENSGMOP00000020338	ENSGMOG00000018928	Gadus_morhua
ENSOANP00000023229	ENSOANG00000014746	Ornithorhynchus_anatinus
ENSMUNP00000012147	ENSMUNG00000009557	Melopsittacus_undulatus
ENSCPOP00000015727	ENSCPOG00000026899	Cavia_porcellus
MGP_PahariEiJ_P0042857	MGP_PahariEiJ_G0020181	Mus_pahari_strain_PAHARI_EIJ
ENSLOCP00000020726	ENSLOCG00000016767	Lepisosteus_oculatus
ENSCHAP00000017148	ENSCHAG00000008855	Clupea_harengus
ENSMMMP00000005603	ENSMMMG00000005054	Marmota_marmota_marmota
ENSAOCP00000022548	ENSAOCG00000008069	Amphiprion_ocellaris
ENSAPOP00000020175	ENSAPOG00000023708	Acanthochromis_polyacanthus
ENSCJAP00000034142	ENSCJAG00000018414	Callithrix_jacchus
ENSMMOP00000011217	ENSMMOG00000008654	Mola_mola
ENSAPEP00000004411	ENSAPEG00000003164	Amphiprion_percula
ENSSPAP00000015263	ENSSPAG00000011505	Stegastes_partitus
ENSCSAVP00000010252	ENSCSAVG00000006042	Ciona_savignyi
ENSAMEP00000003371	ENSAMEG00000003173	Ailuropoda_melanoleuca
ENSSSCP00000041172	ENSSSCG00000034843	Sus_scrofa_strain_reference
ENSTNIP00000021113	ENSTNIG00000017951	Tetraodon_nigroviridis
ENSMAUP00000009944	ENSMAUG00000010955	Mesocricetus_auratus
ENSGGOP00000025229	ENSGGOG00000022075	Gorilla_gorilla
ENSHCOP00000012700	ENSHCOG00000015770	Hippocampus_comes
ENSCHIP00000022194	ENSCHIG00000020259	Capra_hircus
ENSMALP00000008364	ENSMALG00000005944	Monopterus_albus
ENSP00000387229	ENSG00000144134	Homo_sapiens
ENSGACP00000016504	ENSGACG00000012474	Gasterosteus_aculeatus
ENSUPAP00010030347	ENSUPAG00010023826	Urocitellus_parryii
ENSRNOP00000040188	ENSRNOG00000013947	Rattus_norvegicus
ENSAPLP00000021462	ENSAPLG00000026647	Anas_platyrhynchos_platyrhynchos
ENSPMAP00000007270	ENSPMAG00000006579	Petromyzon_marinus
ENSGWIP00000000877	ENSGWIG00000000547	Gouania_willdenowi
ENSECRP00000007405	ENSECRG00000004943	Erpetoichthys_calabaricus
ENSFCAP00000029688	ENSFCAG00000033642	Felis_catus
ENSHHUP00000034097	ENSHHUG00000021462	Hucho_hucho
ENSTGEP00000000361	ENSTGEG00000000399	Theropithecus_gelada
ENSPVIP00000015137	ENSPVIG00000011686	Pogona_vitticeps	ENSPVIT00000018947
ENSCGRP00000023530	ENSCGRG00000017034	Cricetulus_griseus_CriGri_1.0
ENSJJAP00000006007	ENSJJAG00000010792	Jaculus_jaculus
ENSSBOP00000034240	ENSSBOG00000033266	Saimiri_boliviensis_boliviensis
ENSUAMP00000019957	ENSUAMG00000015761	Ursus_americanus
ENSPRNP00000020137	ENSPRNG00000010550	Parambassis_ranga
ENSSMAP00000007465	ENSSMAG00000004606	Scophthalmus_maximus
ENSNBRP00000000750	ENSNBRG00000000489	Neolamprologus_brichardi
ENSCVAP00000026117	ENSCVAG00000011432	Cyprinodon_variegatus
ENSVVUP00000035824	ENSVVUG00000025761	Vulpes_vulpes
