ENSAPEP00000011120	ENSAPEG00000007839	Amphiprion_percula
ENSDCDP00000001159	ENSDCDG00000000656	Denticeps_clupeoides
ENSCHAP00000028371	ENSCHAG00000013655	Clupea_harengus
ENSPKIP00000019818	ENSPKIG00000004844	Paramormyrops_kingsleyae
ENSSFOP00015004034	ENSSFOG00015002633	Scleropages_formosus
ENSLOCP00000005335	ENSLOCG00000004438	Lepisosteus_oculatus
ENSECRP00000023787	ENSECRG00000015833	Erpetoichthys_calabaricus
ENSLACP00000021099	ENSLACG00000018536	Latimeria_chalumnae
ENSACAP00000008757	ENSACAG00000008840	Anolis_carolinensis
ENSPVIP00000007529	ENSPVIG00000006148	Pogona_vitticeps
ENSSMRP00000027729	ENSSMRG00000021378	Salvator_merianae
ENSDNVP00000008068	ENSDNVG00000005742	Dromaius_novaehollandiae
ENSPPAP00000031609	ENSPPAG00000038681	Pan_paniscus
ENSPTRP00000066415	ENSPTRG00000049624	Pan_troglodytes
ENSP00000299882	ENSG00000166682	Homo_sapiens
ENSGGOP00000018220	ENSGGOG00000026807	Gorilla_gorilla
ENSPPYP00000004453	ENSPPYG00000003886	Pongo_abelii
ENSNLEP00000008919	ENSNLEG00000007310	Nomascus_leucogenys
ENSMFAP00000025297	ENSMFAG00000044108	Macaca_fascicularis
ENSMMUP00000036694	ENSMMUG00000030906	Macaca_mulatta
ENSMNEP00000019832	ENSMNEG00000033735	Macaca_nemestrina
ENSCATP00000032126	ENSCATG00000039143	Cercocebus_atys
ENSMLEP00000022891	ENSMLEG00000035644	Mandrillus_leucophaeus
ENSPANP00000039501	ENSPANG00000007319	Papio_anubis
ENSTGEP00000024880	ENSTGEG00000020036	Theropithecus_gelada
ENSCSAP00000015248	ENSCSAG00000002803	Chlorocebus_sabaeus
ENSPTEP00000024990	ENSPTEG00000025348	Piliocolobus_tephrosceles
ENSCANP00000036182	ENSCANG00000041798	Colobus_angolensis_palliatus
ENSRROP00000032325	ENSRROG00000039822	Rhinopithecus_roxellana
ENSRBIP00000014480	ENSRBIG00000031311	Rhinopithecus_bieti
ENSCCAP00000007479	ENSCCAG00000021473	Cebus_capucinus_imitator
ENSCJAP00000022437	ENSCJAG00000012228	Callithrix_jacchus
ENSSBOP00000010075	ENSSBOG00000021869	Saimiri_boliviensis_boliviensis
ENSANAP00000009123	ENSANAG00000022545	Aotus_nancymaae
ENSTSYP00000028508	ENSTSYG00000037490	Carlito_syrichta
ENSPCOP00000002161	ENSPCOG00000006628	Propithecus_coquereli
ENSMICP00000027034	ENSMICG00000017530	Microcebus_murinus
ENSPSMP00000032702	ENSPSMG00000022572	Prolemur_simus
ENSOGAP00000019815	ENSOGAG00000026392	Otolemur_garnettii
ENSTBEP00000014534	ENSTBEG00000016708	Tupaia_belangeri
ENSCCNP00000014922	ENSCCNG00000015361	Castor_canadensis
ENSDORP00000010725	ENSDORG00000011412	Dipodomys_ordii
ENSMUSP00000064527	ENSMUSG00000032268	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0091333	MGP_SPRETEiJ_G0033314	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000015690	ENSMSIG00000013179	Mus_spicilegus
MGP_CAROLIEiJ_P0087743	MGP_CAROLIEiJ_G0032175	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023396	MGP_PahariEiJ_G0015043	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011107	ENSRNOG00000008058	Rattus_norvegicus
ENSMUGP00000027220	ENSMUGG00000022611	Meriones_unguiculatus
ENSCGRP00001025584	ENSCGRG00001023126	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015028023	ENSCGRG00015021138	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000115	ENSCGRG00000000132	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000025481	ENSMAUG00000022000	Mesocricetus_auratus
ENSPEMP00000023661	ENSPEMG00000020635	Peromyscus_maniculatus_bairdii
ENSMOCP00000022842	ENSMOCG00000019745	Microtus_ochrogaster
ENSNGAP00000005515	ENSNGAG00000007781	Nannospalax_galili
ENSJJAP00000017549	ENSJJAG00000019055	Jaculus_jaculus
ENSSDAP00000025417	ENSSDAG00000023049	Spermophilus_dauricus
ENSUPAP00010026522	ENSUPAG00010020923	Urocitellus_parryii
ENSSTOP00000007867	ENSSTOG00000008775	Ictidomys_tridecemlineatus
ENSMMMP00000026707	ENSMMMG00000023341	Marmota_marmota_marmota
ENSCLAP00000023709	ENSCLAG00000016268	Chinchilla_lanigera
ENSODEP00000000597	ENSODEG00000000500	Octodon_degus
ENSCAPP00000015551	ENSCAPG00000015648	Cavia_aperea
ENSCPOP00000008848	ENSCPOG00000009863	Cavia_porcellus
ENSHGLP00000026492	ENSHGLG00000018841	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006181	ENSHGLG00100004646	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012921	ENSFDAG00000020265	Fukomys_damarensis
ENSOPRP00000002531	ENSOPRG00000002741	Ochotona_princeps
ENSOCUP00000020044	ENSOCUG00000027156	Oryctolagus_cuniculus
ENSEASP00005009428	ENSEASG00005006720	Equus_asinus_asinus
ENSECAP00000020687	ENSECAG00000023128	Equus_caballus
ENSPVAP00000010283	ENSPVAG00000010911	Pteropus_vampyrus
ENSBIXP00005039878	ENSBIXG00005022423	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000004401	ENSBIXG00000007718	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000018691	ENSBMUG00000014087	Bos_mutus
ENSBBBP00000018296	ENSBBBG00000011175	Bison_bison_bison
ENSCHIP00000018391	ENSCHIG00000017835	Capra_hircus
ENSOARP00000019356	ENSOARG00000018028	Ovis_aries
ENSTTRP00000002046	ENSTTRG00000002183	Tursiops_truncatus
ENSSSCP00000063644	ENSSSCG00000015049	Sus_scrofa_strain_reference
ENSUMAP00000004834	ENSUMAG00000003853	Ursus_maritimus
ENSUAMP00000023022	ENSUAMG00000018038	Ursus_americanus
ENSAMEP00000006461	ENSAMEG00000006115	Ailuropoda_melanoleuca
ENSNVIP00000008800	ENSNVIG00000006912	Neovison_vison
ENSMPUP00000003855	ENSMPUG00000003885	Mustela_putorius_furo
ENSCAFP00000056431	ENSCAFG00000013730	Canis_lupus_familiaris
ENSCAFP00020006543	ENSCAFG00020005248	Canis_lupus_dingo
ENSPPRP00000017854	ENSPPRG00000009733	Panthera_pardus
ENSPTIP00000007652	ENSPTIG00000009227	Panthera_tigris_altaica
ENSETEP00000005674	ENSETEG00000006998	Echinops_telfairi
ENSLAFP00000029288	ENSLAFG00000025586	Loxodonta_africana
ENSPCAP00000001107	ENSPCAG00000001177	Procavia_capensis
ENSCHOP00000003786	ENSCHOG00000004275	Choloepus_hoffmanni
ENSDNOP00000015233	ENSDNOG00000019650	Dasypus_novemcinctus
ENSSARP00000009121	ENSSARG00000010047	Sorex_araneus
ENSSHAP00000015702	ENSSHAG00000013381	Sarcophilus_harrisii
ENSMODP00000017744	ENSMODG00000014192	Monodelphis_domestica
ENSPCIP00000014326	ENSPCIG00000011083	Phascolarctos_cinereus
ENSVURP00010024788	ENSVURG00010018956	Vombatus_ursinus
ENSMEUP00000001066	ENSMEUG00000001161	Notamacropus_eugenii
ENSBTAP00000068578	ENSBTAG00000051043	Bos_taurus
ENSOANP00000028608	ENSOANG00000022418	Ornithorhynchus_anatinus
ENSPMJP00000010925	ENSPMJG00000008539	Parus_major	ENSPMJT00000014460
ENSCCEP00000003889	ENSCCEG00000004287	Cyanistes_caeruleus	ENSCCET00000006493
ENSFALP00000006267	ENSFALG00000006001	Ficedula_albicollis	ENSFALT00000006296
ENSMVIP00005024757	ENSMVIG00005017344	Manacus_vitellinus	ENSMVIT00005027880
ENSLCOP00000005548	ENSLCOG00000004113	Lepidothrix_coronata	ENSLCOT00000005923
ENSCPUP00000000819	ENSCPUG00000000158	Calidris_pugnax
ENSCPGP00000014967	ENSCPGG00000010566	Calidris_pygmaea
ENSABRP00000015213	ENSABRG00000013412	Anser_brachyrhynchus
ENSAPLP00000025590	ENSAPLG00000019752	Anas_platyrhynchos_platyrhynchos
ENSGALP00000068094	ENSGALG00000054900	Gallus_gallus
ENSMGAP00000003399	ENSMGAG00000016729	Meleagris_gallopavo
ENSCJPP00005013986	ENSCJPG00005011727	Coturnix_japonica
ENSNMEP00000002567	ENSNMEG00000003218	Numida_meleagris
ENSAOWP00000014259	ENSAOWG00000009700	Apteryx_owenii
ENSARWP00000002053	ENSARWG00000001535	Apteryx_rowi
ENSAHAP00000002205	ENSAHAG00000001612	Apteryx_haastii
ENSNPEP00000002877	ENSNPEG00000002218	Nothoprocta_perdicaria
ENSCPRP00005015988	ENSCPRG00005011136	Crocodylus_porosus
ENSGAGP00000003987	ENSGAGG00000002931	Gopherus_agassizii
ENSCABP00000022001	ENSCABG00000016170	Chelonoidis_abingdonii
ENSCPBP00000024271	ENSCPBG00000017325	Chrysemys_picta_bellii
ENSPSIP00000011624	ENSPSIG00000010415	Pelodiscus_sinensis
ENSCMIP00000015351	ENSCMIG00000007497	Callorhinchus_milii
ENSLOCP00000008164	ENSLOCG00000006753	Lepisosteus_oculatus
ENSPKIP00000010581	ENSPKIG00000025247	Paramormyrops_kingsleyae
ENSMICP00000002234	ENSMICG00000002447	Microcebus_murinus
ENSSMAP00000007910	ENSSMAG00000004899	Scophthalmus_maximus
ENSHHUP00000054341	ENSHHUG00000032605	Hucho_hucho
ENSGMOP00000009299	ENSGMOG00000008695	Gadus_morhua
ENSDCDP00000058614	ENSDCDG00000034005	Denticeps_clupeoides
ENSLACP00000009343	ENSLACG00000008243	Latimeria_chalumnae
ENSXETP00000013591	ENSXETG00000000995	Xenopus_tropicalis
ENSLOCP00000006877	ENSLOCG00000005698	Lepisosteus_oculatus
ENSECRP00000029658	ENSECRG00000020078	Erpetoichthys_calabaricus
ENSCMIP00000040673	ENSCMIG00000016946	Callorhinchus_milii
