ENSTNIP00000017913	ENSTNIG00000014871	Tetraodon_nigroviridis
ENSCGRP00015028788	ENSCGRG00015021786	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025815	ENSCGRG00000018827	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000002523	ENSMAUG00000002146	Mesocricetus_auratus
ENSMOCP00000027135	ENSMOCG00000022722	Microtus_ochrogaster
ENSPEMP00000002608	ENSPEMG00000003079	Peromyscus_maniculatus_bairdii
ENSNGAP00000006695	ENSNGAG00000009990	Nannospalax_galili
ENSJJAP00000011537	ENSJJAG00000014844	Jaculus_jaculus
ENSHGLP00100027228	ENSHGLG00100020274	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028284	ENSHGLG00000020514	Heterocephalus_glaber_HetGla_female_1.0
ENSCLAP00000025727	ENSCLAG00000017849	Chinchilla_lanigera
ENSCCNP00000021417	ENSCCNG00000021216	Castor_canadensis
ENSUPAP00010024325	ENSUPAG00010019298	Urocitellus_parryii
ENSMMMP00000015200	ENSMMMG00000013552	Marmota_marmota_marmota
ENSSTOP00000017323	ENSSTOG00000025260	Ictidomys_tridecemlineatus
ENSOCUP00000001459	ENSOCUG00000001704	Oryctolagus_cuniculus
ENSOPRP00000002561	ENSOPRG00000002801	Ochotona_princeps
ENSLAFP00000021312	ENSLAFG00000029684	Loxodonta_africana
ENSPCAP00000004848	ENSPCAG00000005245	Procavia_capensis
ENSVURP00010017185	ENSVURG00010013130	Vombatus_ursinus
ENSVURP00010029410	ENSVURG00010022493	Vombatus_ursinus
ENSPCIP00000009308	ENSPCIG00000007623	Phascolarctos_cinereus
ENSSHAP00000013735	ENSSHAG00000011744	Sarcophilus_harrisii
ENSAOWP00000001732	ENSAOWG00000001234	Apteryx_owenii
ENSAHAP00000000488	ENSAHAG00000000449	Apteryx_haastii
ENSARWP00000006321	ENSARWG00000004481	Apteryx_rowi
ENSTGUP00000010273	ENSTGUG00000009958	Taeniopygia_guttata
ENSLSDP00000016364	ENSLSDG00000011790	Lonchura_striata_domestica
ENSSCAP00000012558	ENSSCAG00000009384	Serinus_canaria
ENSPMJP00000019575	ENSPMJG00000014646	Parus_major
ENSCCEP00000014513	ENSCCEG00000013838	Cyanistes_caeruleus
ENSZALP00000021987	ENSZALG00000017146	Zonotrichia_albicollis
ENSJHYP00000002361	ENSJHYG00000001998	Junco_hyemalis
ENSFALP00000014809	ENSFALG00000014193	Ficedula_albicollis
ENSLCOP00000022536	ENSLCOG00000015860	Lepidothrix_coronata
ENSCPGP00000021742	ENSCPGG00000015160	Calidris_pygmaea
ENSMGAP00000016765	ENSMGAG00000015823	Meleagris_gallopavo
ENSSPUP00000004004	ENSSPUG00000003097	Sphenodon_punctatus
ENSCMIP00000036037	ENSCMIG00000015235	Callorhinchus_milii
FBpp0072202	FBgn0035008	Drosophila_melanogaster
ENSMODP00000013304	ENSMODG00000010621	Monodelphis_domestica
ENSPCIP00000049521	ENSPCIG00000035720	Phascolarctos_cinereus
ENSCPRP00005014349	ENSCPRG00005010113	Crocodylus_porosus
ENSGAGP00000018900	ENSGAGG00000013994	Gopherus_agassizii
ENSSDUP00000013610	ENSSDUG00000009886	Seriola_dumerili
ENSGACP00000006669	ENSGACG00000005052	Gasterosteus_aculeatus
ENSPLAP00000028414	ENSPLAG00000000411	Poecilia_latipinna
ENSPFOP00000011374	ENSPFOG00000011364	Poecilia_formosa
ENSPMEP00000005778	ENSPMEG00000007208	Poecilia_mexicana
ENSGMOP00000003061	ENSGMOG00000002904	Gadus_morhua
ENSXCOP00000007242	ENSXCOG00000005595	Xiphophorus_couchianus
ENSORLP00020007100	ENSORLG00020008025	Oryzias_latipes_ASM223471v1
ENSPMEP00000012982	ENSPMEG00000015224	Poecilia_mexicana
ENSPMEP00000008409	ENSPMEG00000010162	Poecilia_mexicana
ENSPFOP00000020022	ENSPFOG00000019895	Poecilia_formosa
ENSGWIP00000039361	ENSGWIG00000019998	Gouania_willdenowi
ENSACLP00000005960	ENSACLG00000004012	Astatotilapia_calliptera
ENSPNYP00000028625	ENSPNYG00000021563	Pundamilia_nyererei
ENSHBUP00000005352	ENSHBUG00000006755	Haplochromis_burtoni
ENSMZEP00005023101	ENSMZEG00005017302	Maylandia_zebra
ENSNBRP00000029446	ENSNBRG00000022433	Neolamprologus_brichardi
ENSACIP00000026823	ENSACIG00000020764	Amphilophus_citrinellus
ENSXMAP00000019322	ENSXMAG00000019278	Xiphophorus_maculatus
ENSGAFP00000032444	ENSGAFG00000021851	Gambusia_affinis
ENSPFOP00000020258	ENSPFOG00000020132	Poecilia_formosa
ENSPREP00000030693	ENSPREG00000020784	Poecilia_reticulata
ENSPLAP00000021903	ENSPLAG00000006030	Poecilia_latipinna
ENSBSLP00000016673	ENSBSLG00000008773	Betta_splendens
ENSGMOP00000021846	ENSGMOG00000020359	Gadus_morhua
ENSCHAP00000046769	ENSCHAG00000021585	Clupea_harengus
ENSOCUP00000014788	ENSOCUG00000017216	Oryctolagus_cuniculus
ENSMOCP00000008126	ENSMOCG00000008051	Microtus_ochrogaster
ENSETEP00000003229	ENSETEG00000003938	Echinops_telfairi
ENSCMIP00000047657	ENSCMIG00000019512	Callorhinchus_milii
ENSAMXP00000013227	ENSAMXG00000012867	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005009422	ENSAMXG00005005361	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMAP00000009458	ENSPMAG00000008592	Petromyzon_marinus
ENSMVIP00005016508	ENSMVIG00005011858	Manacus_vitellinus
ENSMGAP00000015907	ENSMGAG00000014999	Meleagris_gallopavo
ENSCINP00000025080	ENSCING00000013723	Ciona_intestinalis
FBpp0306593	FBgn0028487	Drosophila_melanogaster
FBpp0307805	FBgn0032749	Drosophila_melanogaster
ENSCINP00000024795	ENSCING00000004971	Ciona_intestinalis
YJL005W_mRNA	YJL005W	Saccharomyces_cerevisiae_strain_S288C
