ENSTGEP00000006162	ENSTGEG00000005044	Theropithecus_gelada
ENSCPGP00000009185	ENSCPGG00000006528	Calidris_pygmaea
ENSMMOP00000021769	ENSMMOG00000016549	Mola_mola
ENSEEEP00000026554	ENSEEEG00000012845	Electrophorus_electricus
ENSMODP00000005813	ENSMODG00000004717	Monodelphis_domestica
ENSECAP00000025792	ENSECAG00000021007	Equus_caballus
ENSHHUP00000047494	ENSHHUG00000028850	Hucho_hucho
ENSPMAP00000006951	ENSPMAG00000006317	Petromyzon_marinus
ENSCATP00000033341	ENSCATG00000039672	Cercocebus_atys
ENSAMXP00000043816	ENSAMXG00000036084	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTGUP00000007636	ENSTGUG00000007415	Taeniopygia_guttata
ENSPVAP00000002703	ENSPVAG00000002862	Pteropus_vampyrus
ENSHBUP00000029221	ENSHBUG00000013516	Haplochromis_burtoni
ENSRROP00000018837	ENSRROG00000033450	Rhinopithecus_roxellana
ENSNPEP00000019790	ENSNPEG00000014630	Nothoprocta_perdicaria	ENSNPET00000020295
ENSXCOP00000026022	ENSXCOG00000019445	Xiphophorus_couchianus
ENSCGRP00015023416	ENSCGRG00015017833	Cricetulus_griseus_CriGri-PICR
ENSACAP00000001383	ENSACAG00000001439	Anolis_carolinensis
ENSMICP00000008575	ENSMICG00000009422	Microcebus_murinus
ENSCINP00000003434	ENSCING00000001702	Ciona_intestinalis
ENSHGLP00100014172	ENSHGLG00100010478	Heterocephalus_glaber_HetGla_1.0
ENSCAPP00000015960	ENSCAPG00000015949	Cavia_aperea
ENSSBOP00000023744	ENSSBOG00000028379	Saimiri_boliviensis_boliviensis
ENSUAMP00000006566	ENSUAMG00000005748	Ursus_americanus
ENSPCIP00000000690	ENSPCIG00000000572	Phascolarctos_cinereus
ENSAOCP00000008381	ENSAOCG00000012408	Amphiprion_ocellaris
ENSCGRP00000008179	ENSCGRG00000005964	Cricetulus_griseus_CriGri_1.0
ENSFHEP00000030845	ENSFHEG00000016415	Fundulus_heteroclitus
ENSRNOP00000004412	ENSRNOG00000003302	Rattus_norvegicus
ENSBSLP00000035772	ENSBSLG00000017348	Betta_splendens
ENSMMMP00000009304	ENSMMMG00000008317	Marmota_marmota_marmota
ENSCCNP00000004161	ENSCCNG00000004405	Castor_canadensis
ENSGACP00000014208	ENSGACG00000010736	Gasterosteus_aculeatus
ENSGALP00000047085	ENSGALG00000004816	Gallus_gallus
ENSSTOP00000011141	ENSSTOG00000012424	Ictidomys_tridecemlineatus
ENSLACP00000010737	ENSLACG00000009454	Latimeria_chalumnae
ENSORLP00000014181	ENSORLG00000011322	Oryzias_latipes_ASM223467v1
ENSDNVP00000018259	ENSDNVG00000012773	Dromaius_novaehollandiae	ENSDNVT00000021988
ENSRBIP00000015855	ENSRBIG00000032014	Rhinopithecus_bieti
ENSMUGP00000010843	ENSMUGG00000009518	Meriones_unguiculatus
ENSMMUP00000075815	ENSMMUG00000013345	Macaca_mulatta
ENSUMAP00000006370	ENSUMAG00000005002	Ursus_maritimus
ENSATEP00000032816	ENSATEG00000022585	Anabas_testudineus
ENSMGAP00000004167	ENSMGAG00000004370	Meleagris_gallopavo
ENSSMRP00000011219	ENSSMRG00000008825	Salvator_merianae
FBpp0076545	FBgn0261111	Drosophila_melanogaster
ENSPKIP00000031938	ENSPKIG00000012236	Paramormyrops_kingsleyae
ENSAPEP00000011795	ENSAPEG00000008391	Amphiprion_percula
ENSMAUP00000019175	ENSMAUG00000017523	Mesocricetus_auratus
ENSPMJP00000023605	ENSPMJG00000017423	Parus_major
