ENSCSEP00000031154	ENSCSEG00000019932	Cynoglossus_semilaevis
ENSPANP00000011308	ENSPANG00000011296	Papio_anubis
ENSTGEP00000010264	ENSTGEG00000008424	Theropithecus_gelada
ENSRROP00000002239	ENSRROG00000008888	Rhinopithecus_roxellana
ENSRBIP00000016171	ENSRBIG00000032143	Rhinopithecus_bieti
ENSPTEP00000011223	ENSPTEG00000012643	Piliocolobus_tephrosceles
ENSCANP00000039172	ENSCANG00000043253	Colobus_angolensis_palliatus
ENSCCAP00000021522	ENSCCAG00000028595	Cebus_capucinus_imitator
ENSSBOP00000001350	ENSSBOG00000006447	Saimiri_boliviensis_boliviensis
ENSCJAP00000035196	ENSCJAG00000018932	Callithrix_jacchus
ENSANAP00000021037	ENSANAG00000028302	Aotus_nancymaae
ENSTSYP00000005831	ENSTSYG00000006366	Carlito_syrichta
ENSPSMP00000008520	ENSPSMG00000006256	Prolemur_simus
ENSMICP00000000921	ENSMICG00000001011	Microcebus_murinus
ENSPCOP00000006912	ENSPCOG00000014653	Propithecus_coquereli
ENSOGAP00000005628	ENSOGAG00000006295	Otolemur_garnettii
ENSCCNP00000021903	ENSCCNG00000021620	Castor_canadensis
ENSDORP00000013006	ENSDORG00000013834	Dipodomys_ordii
ENSRNOP00000008184	ENSRNOG00000042980	Rattus_norvegicus
ENSMUGP00000019791	ENSMUGG00000016729	Meriones_unguiculatus
ENSCGRP00001023244	ENSCGRG00001021524	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015030919	ENSCGRG00015023306	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000002018	ENSCGRG00000001505	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000002134	ENSMAUG00000001628	Mesocricetus_auratus
ENSMOCP00000013185	ENSMOCG00000013055	Microtus_ochrogaster
ENSNGAP00000019170	ENSNGAG00000019068	Nannospalax_galili
ENSJJAP00000007968	ENSJJAG00000012218	Jaculus_jaculus
ENSCLAP00000018440	ENSCLAG00000012647	Chinchilla_lanigera
ENSODEP00000013251	ENSODEG00000009808	Octodon_degus
ENSCPOP00000006956	ENSCPOG00000007717	Cavia_porcellus
ENSCAPP00000017889	ENSCAPG00000017443	Cavia_aperea
ENSHGLP00000021782	ENSHGLG00000015559	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015654	ENSHGLG00100011558	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005525	ENSFDAG00000014638	Fukomys_damarensis
ENSOCUP00000044196	ENSOCUG00000001235	Oryctolagus_cuniculus
ENSOPRP00000002965	ENSOPRG00000003215	Ochotona_princeps
ENSMUGP00000019136	ENSMUGG00000016201	Meriones_unguiculatus
ENSTBEP00000006648	ENSTBEG00000007656	Tupaia_belangeri
ENSBIXP00000043375	ENSBIXG00000005767	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005021419	ENSBIXG00005004170	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000005003	ENSBTAG00000003836	Bos_taurus
ENSBMUP00000019946	ENSBMUG00000015040	Bos_mutus
ENSBBBP00000026740	ENSBBBG00000022757	Bison_bison_bison
ENSOARP00000013258	ENSOARG00000012373	Ovis_aries
ENSCHIP00000002393	ENSCHIG00000005265	Capra_hircus
ENSTTRP00000012449	ENSTTRG00000013117	Tursiops_truncatus
ENSSSCP00000018065	ENSSSCG00000017052	Sus_scrofa_strain_reference
ENSVPAP00000007291	ENSVPAG00000007837	Vicugna_pacos
ENSUAMP00000016809	ENSUAMG00000013348	Ursus_americanus
ENSUMAP00000001105	ENSUMAG00000000795	Ursus_maritimus
ENSAMEP00000006663	ENSAMEG00000006282	Ailuropoda_melanoleuca
ENSNVIP00000006029	ENSNVIG00000004808	Neovison_vison
ENSMPUP00000013365	ENSMPUG00000013467	Mustela_putorius_furo
ENSCAFP00020032914	ENSCAFG00020025536	Canis_lupus_dingo
ENSCAFP00000050847	ENSCAFG00000017357	Canis_lupus_familiaris
ENSVVUP00000005440	ENSVVUG00000004275	Vulpes_vulpes
ENSPTIP00000003807	ENSPTIG00000006421	Panthera_tigris_altaica
ENSPPRP00000019378	ENSPPRG00000010823	Panthera_pardus
ENSFCAP00000009241	ENSFCAG00000009956	Felis_catus
ENSECAP00000015701	ENSECAG00000017922	Equus_caballus
ENSEASP00005000882	ENSEASG00005000769	Equus_asinus_asinus
ENSPVAP00000009661	ENSPVAG00000010247	Pteropus_vampyrus
ENSMLUP00000014477	ENSMLUG00000015885	Myotis_lucifugus
ENSEEUP00000013516	ENSEEUG00000014777	Erinaceus_europaeus
ENSCHOP00000004335	ENSCHOG00000004887	Choloepus_hoffmanni
ENSDNOP00000001718	ENSDNOG00000002208	Dasypus_novemcinctus
ENSLAFP00000019641	ENSLAFG00000028268	Loxodonta_africana
ENSPCAP00000007348	ENSPCAG00000007791	Procavia_capensis
ENSETEP00000000854	ENSETEG00000001054	Echinops_telfairi
ENSVURP00010006041	ENSVURG00010004686	Vombatus_ursinus
ENSMEUP00000005791	ENSMEUG00000006345	Notamacropus_eugenii
ENSSHAP00000019362	ENSSHAG00000016446	Sarcophilus_harrisii
ENSMODP00000047561	ENSMODG00000008386	Monodelphis_domestica
ENSOANP00000008055	ENSOANG00000005077	Ornithorhynchus_anatinus
ENSXETP00000028563	ENSXETG00000007886	Xenopus_tropicalis
ENSLACP00000017267	ENSLACG00000015210	Latimeria_chalumnae
ENSCMIP00000048313	ENSCMIG00000019754	Callorhinchus_milii
ENSEBUP00000019672	ENSEBUG00000012214	Eptatretus_burgeri
ENSCSAVP00000010658	ENSCSAVG00000006270	Ciona_savignyi
