ENSPREP00000015915	ENSPREG00000010733	Poecilia_reticulata
ENSACIP00000010755	ENSACIG00000008410	Amphilophus_citrinellus
ENSOMEP00000004757	ENSOMEG00000005746	Oryzias_melastigma
ENSORLP00015000877	ENSORLG00015001463	Oryzias_latipes_ASM223469v1
ENSMLUP00000003705	ENSMLUG00000004072	Myotis_lucifugus
ENSPCAP00000013003	ENSPCAG00000013952	Procavia_capensis
ENSMFAP00000028356	ENSMFAG00000045541	Macaca_fascicularis
MGP_PahariEiJ_P0036746	MGP_PahariEiJ_G0018338	Mus_pahari_strain_PAHARI_EIJ
ENSCCNP00000027973	ENSCCNG00000027007	Castor_canadensis
ENSPMGP00000026478	ENSPMGG00000021358	Periophthalmus_magnuspinnatus
ENSCHOP00000009108	ENSCHOG00000010294	Choloepus_hoffmanni
ENSNLEP00000014370	ENSNLEG00000011824	Nomascus_leucogenys
ENSSDUP00000017219	ENSSDUG00000012575	Seriola_dumerili
ENSRROP00000035263	ENSRROG00000041141	Rhinopithecus_roxellana
ENSPLAP00000027862	ENSPLAG00000016810	Poecilia_latipinna
ENSJHYP00000011786	ENSJHYG00000009220	Junco_hyemalis
ENSPCIP00000028799	ENSPCIG00000021499	Phascolarctos_cinereus
ENSTGEP00000012364	ENSTGEG00000010080	Theropithecus_gelada
ENSSFOP00015014524	ENSSFOG00015009349	Scleropages_formosus
ENSRBIP00000021774	ENSRBIG00000034839	Rhinopithecus_bieti
ENSPPRP00000015133	ENSPPRG00000007814	Panthera_pardus
ENSVURP00010028286	ENSVURG00010021656	Vombatus_ursinus
ENSCABP00000000286	ENSCABG00000000274	Chelonoidis_abingdonii
ENSBTAP00000026525	ENSBTAG00000019911	Bos_taurus
ENSCANP00000004991	ENSCANG00000017156	Colobus_angolensis_palliatus
ENSP00000354762	ENSG00000183978	Homo_sapiens
ENSSTOP00000017236	ENSSTOG00000020760	Ictidomys_tridecemlineatus
ENSDORP00000000894	ENSDORG00000000953	Dipodomys_ordii
ENSXETP00000032506	ENSXETG00000010876	Xenopus_tropicalis
ENSCLAP00000022743	ENSCLAG00000015591	Chinchilla_lanigera
ENSPANP00000001201	ENSPANG00000015871	Papio_anubis
ENSPPAP00000033794	ENSPPAG00000039760	Pan_paniscus
ENSCSEP00000012384	ENSCSEG00000008001	Cynoglossus_semilaevis
ENSCATP00000012582	ENSCATG00000030459	Cercocebus_atys
ENSFALP00000007108	ENSFALG00000006818	Ficedula_albicollis
ENSAHAP00000013017	ENSAHAG00000009384	Apteryx_haastii
ENSTTRP00000011102	ENSTTRG00000011706	Tursiops_truncatus
ENSBIXP00000011029	ENSBIXG00000016391	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSDNOP00000020734	ENSDNOG00000046588	Dasypus_novemcinctus
ENSHHUP00000050491	ENSHHUG00000030466	Hucho_hucho
ENSGAFP00000017700	ENSGAFG00000011979	Gambusia_affinis
ENSPPYP00000009417	ENSPPYG00000008375	Pongo_abelii
ENSDCDP00000056685	ENSDCDG00000033271	Denticeps_clupeoides
ENSAPOP00000024744	ENSAPOG00000007392	Acanthochromis_polyacanthus
ENSCATP00000012166	ENSCATG00000030262	Cercocebus_atys
ENSCGRP00001027650	ENSCGRG00001024599	Cricetulus_griseus_CHOK1GS_HDv1
ENSPMEP00000027984	ENSPMEG00000012752	Poecilia_mexicana
ENSGGOP00000015666	ENSGGOG00000016061	Gorilla_gorilla
ENSCVAP00000024253	ENSCVAG00000008203	Cyprinodon_variegatus
ENSCAFP00000021769	ENSCAFG00000014765	Canis_lupus_familiaris
ENSCCAP00000029343	ENSCCAG00000032729	Cebus_capucinus_imitator
ENSCSAP00000017977	ENSCSAG00000018435	Chlorocebus_sabaeus
ENSKMAP00000009488	ENSKMAG00000007122	Kryptolebias_marmoratus
ENSLACP00000022849	ENSLACG00000022554	Latimeria_chalumnae
ENSMALP00000010754	ENSMALG00000007670	Monopterus_albus
ENSANAP00000016440	ENSANAG00000026099	Aotus_nancymaae
MGP_CAROLIEiJ_P0030022	MGP_CAROLIEiJ_G0017208	Mus_caroli_strain_CAROLI_EIJ
ENSPNAP00000019805	ENSPNAG00000004062	Pygocentrus_nattereri
ENSBMUP00000020335	ENSBMUG00000015325	Bos_mutus
ENSMNEP00000042253	ENSMNEG00000043888	Macaca_nemestrina
ENSMAMP00000006873	ENSMAMG00000004688	Mastacembelus_armatus
ENSPMJP00000002408	ENSPMJG00000001992	Parus_major
ENSMICP00000043141	ENSMICG00000045288	Microcebus_murinus
ENSEEEP00000008161	ENSEEEG00000004253	Electrophorus_electricus	ENSEEET00000008267
ENSMMUP00000037308	ENSMMUG00000031107	Macaca_mulatta
ENSCANP00000034573	ENSCANG00000040971	Colobus_angolensis_palliatus
ENSUMAP00000034803	ENSUMAG00000025059	Ursus_maritimus
MGP_SPRETEiJ_P0031448	MGP_SPRETEiJ_G0018051	Mus_spretus_strain_SPRET/EiJ
ENSLCAP00010017636	ENSLCAG00010008376	Lates_calcarifer
ENSSDAP00000011330	ENSSDAG00000010230	Spermophilus_dauricus
ENSMAUP00000004035	ENSMAUG00000004848	Mesocricetus_auratus
ENSTRUP00000050323	ENSTRUG00000023110	Takifugu_rubripes
ENSCHIP00000017652	ENSCHIG00000017406	Capra_hircus
ENSHGLP00000023601	ENSHGLG00000016832	Heterocephalus_glaber_HetGla_female_1.0
ENSPFOP00000016416	ENSPFOG00000016362	Poecilia_formosa
ENSHGLP00100018552	ENSHGLG00100013679	Heterocephalus_glaber_HetGla_1.0
ENSEEUP00000009126	ENSEEUG00000010040	Erinaceus_europaeus
ENSPTRP00000015700	ENSPTRG00000009222	Pan_troglodytes
ENSHBUP00000005620	ENSHBUG00000007018	Haplochromis_burtoni
ENSSDAP00000011345	ENSSDAG00000010243	Spermophilus_dauricus
ENSCAFP00020028482	ENSCAFG00020022311	Canis_lupus_dingo
ENSCJAP00000055937	ENSCJAG00000041927	Callithrix_jacchus
ENSMLEP00000024352	ENSMLEG00000036336	Mandrillus_leucophaeus
ENSOPRP00000011512	ENSOPRG00000012613	Ochotona_princeps
ENSSARP00000001470	ENSSARG00000001626	Sorex_araneus
ENSCSAP00000017764	ENSCSAG00000000232	Chlorocebus_sabaeus
ENSLBEP00000037578	ENSLBEG00000028049	Labrus_bergylta
ENSIPUP00000021200	ENSIPUG00000014387	Ictalurus_punctatus	ENSIPUT00000022117
ENSRROP00000001031	ENSRROG00000003882	Rhinopithecus_roxellana
ENSPRNP00000029522	ENSPRNG00000014731	Parambassis_ranga
ENSBIXP00005044531	ENSBIXG00005006632	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHAP00000015770	ENSCHAG00000008436	Clupea_harengus
ENSFDAP00000022328	ENSFDAG00000007055	Fukomys_damarensis
ENSPSMP00000009095	ENSPSMG00000006655	Prolemur_simus
ENSMOCP00000025624	ENSMOCG00000021678	Microtus_ochrogaster
ENSELUP00000015309	ENSELUG00000015285	Esox_lucius
ENSCGRP00000012411	ENSCGRG00000009055	Cricetulus_griseus_CriGri_1.0
ENSCSAP00000017496	ENSCSAG00000000508	Chlorocebus_sabaeus
ENSMMUP00000063665	ENSMMUG00000059988	Macaca_mulatta
ENSCGRP00015000499	ENSCGRG00015000503	Cricetulus_griseus_CriGri-PICR
ENSFHEP00000017752	ENSFHEG00000019499	Fundulus_heteroclitus
ENSDARP00000140676	ENSDARG00000100585	Danio_rerio
ENSVPAP00000010567	ENSVPAG00000011350	Vicugna_pacos
ENSAMEP00000007229	ENSAMEG00000006865	Ailuropoda_melanoleuca
ENSDNVP00000027011	ENSDNVG00000018767	Dromaius_novaehollandiae
ENSAMXP00000032904	ENSAMXG00000031104	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSBOP00000021832	ENSSBOG00000027470	Saimiri_boliviensis_boliviensis
ENSTGEP00000003421	ENSTGEG00000002905	Theropithecus_gelada
ENSETEP00000011850	ENSETEG00000014618	Echinops_telfairi
ENSAOWP00000010389	ENSAOWG00000007152	Apteryx_owenii
ENSUPAP00010012493	ENSUPAG00010010147	Urocitellus_parryii
ENSCAFP00000014873	ENSCAFG00000010126	Canis_lupus_familiaris
ENSNBRP00000007746	ENSNBRG00000006030	Neolamprologus_brichardi
ENSCPBP00000023089	ENSCPBG00000016496	Chrysemys_picta_bellii
ENSECRP00000018146	ENSECRG00000012132	Erpetoichthys_calabaricus
ENSSLDP00000009122	ENSSLDG00000007243	Seriola_lalandi_dorsalis
ENSTGUP00000002857	ENSTGUG00000002780	Taeniopygia_guttata
ENSMUSP00000017332	ENSMUSG00000017188	Mus_musculus_strain_reference_(CL57BL6)
ENSCPOP00000015719	ENSCPOG00000022659	Cavia_porcellus
ENSTSYP00000015155	ENSTSYG00000037336	Carlito_syrichta
ENSMOCP00000003969	ENSMOCG00000003175	Microtus_ochrogaster
ENSNGAP00000008075	ENSNGAG00000011157	Nannospalax_galili
ENSGMOP00000020770	ENSGMOG00000019316	Gadus_morhua
ENSMMMP00000005597	ENSMMMG00000005055	Marmota_marmota_marmota
ENSNPEP00000003248	ENSNPEG00000002483	Nothoprocta_perdicaria
ENSPVAP00000008311	ENSPVAG00000008803	Pteropus_vampyrus
ENSEASP00005014437	ENSEASG00005010046	Equus_asinus_asinus
ENSPANP00000034867	ENSPANG00000030691	Papio_anubis
ENSMODP00000018822	ENSMODG00000015055	Monodelphis_domestica
ENSARWP00000020856	ENSARWG00000014244	Apteryx_rowi
ENSMMOP00000027592	ENSMMOG00000020866	Mola_mola
