ENSPTEP00000000171	ENSPTEG00000000230	Piliocolobus_tephrosceles
ENSGMOP00000005932	ENSGMOG00000005594	Gadus_morhua
ENSPCAP00000003664	ENSPCAG00000003960	Procavia_capensis
ENSCABP00000013661	ENSCABG00000010228	Chelonoidis_abingdonii	ENSCABT00000014988
ENSORLP00000041175	ENSORLG00000024706	Oryzias_latipes_ASM223467v1
ENSXMAP00000009245	ENSXMAG00000009224	Xiphophorus_maculatus
ENSOPRP00000013232	ENSOPRG00000014509	Ochotona_princeps
ENSCMIP00000003805	ENSCMIG00000002275	Callorhinchus_milii
ENSPCOP00000018584	ENSPCOG00000021192	Propithecus_coquereli
ENSCCNP00000030211	ENSCCNG00000028934	Castor_canadensis
ENSCAFP00000001308	ENSCAFG00000000919	Canis_lupus_familiaris
ENSCPOP00000017707	ENSCPOG00000022324	Cavia_porcellus
ENSCHIP00000017796	ENSCHIG00000017488	Capra_hircus
ENSRNOP00000065074	ENSRNOG00000048174	Rattus_norvegicus
ENSUMAP00000024833	ENSUMAG00000018082	Ursus_maritimus
ENSPSMP00000034131	ENSPSMG00000023529	Prolemur_simus
ENSXETP00000021443	ENSXETG00000006508	Xenopus_tropicalis
ENSPTRP00000079731	ENSPTRG00000049854	Pan_troglodytes
ENSODEP00000025579	ENSODEG00000018856	Octodon_degus
ENSLSDP00000005578	ENSLSDG00000004335	Lonchura_striata_domestica
FBpp0291671	FBgn0036728	Drosophila_melanogaster
ENSLOCP00000013013	ENSLOCG00000010627	Lepisosteus_oculatus
ENSLAFP00000008831	ENSLAFG00000010551	Loxodonta_africana
ENSACLP00000010103	ENSACLG00000006909	Astatotilapia_calliptera
MGP_SPRETEiJ_P0027984	MGP_SPRETEiJ_G0017177	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0033384	MGP_PahariEiJ_G0017468	Mus_pahari_strain_PAHARI_EIJ
ENSPANP00000003256	ENSPANG00000006351	Papio_anubis
ENSPANP00000029332	ENSPANG00000032662	Papio_anubis
ENSLCAP00010033133	ENSLCAG00010015576	Lates_calcarifer
ENSSLDP00000017421	ENSSLDG00000013761	Seriola_lalandi_dorsalis
ENSMSIP00000022305	ENSMSIG00000018932	Mus_spicilegus
ENSJJAP00000007579	ENSJJAG00000011956	Jaculus_jaculus
ENSCCAP00000032915	ENSCCAG00000034496	Cebus_capucinus_imitator
ENSNMEP00000024116	ENSNMEG00000020507	Numida_meleagris
ENSCVAP00000030256	ENSCVAG00000018664	Cyprinodon_variegatus
ENSEEUP00000010177	ENSEEUG00000011184	Erinaceus_europaeus
ENSSDUP00000008257	ENSSDUG00000006065	Seriola_dumerili
ENSSPAP00000016293	ENSSPAG00000012281	Stegastes_partitus
ENSGWIP00000041665	ENSGWIG00000020973	Gouania_willdenowi
ENSGALP00000063643	ENSGALG00000028302	Gallus_gallus
ENSPPAP00000009654	ENSPPAG00000028056	Pan_paniscus
ENSNPEP00000003777	ENSNPEG00000002892	Nothoprocta_perdicaria
ENSPKIP00000009151	ENSPKIG00000024365	Paramormyrops_kingsleyae
ENSBIXP00005003667	ENSBIXG00005000603	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSUAMP00000034111	ENSUAMG00000025986	Ursus_americanus
ENSBTAP00000040860	ENSBTAG00000009479	Bos_taurus
ENSPVIP00000027292	ENSPVIG00000020290	Pogona_vitticeps	ENSPVIT00000033561
ENSMLEP00000030169	ENSMLEG00000039284	Mandrillus_leucophaeus
ENSMZEP00005015753	ENSMZEG00005011831	Maylandia_zebra
ENSPTIP00000023060	ENSPTIG00000019667	Panthera_tigris_altaica
ENSATEP00000007804	ENSATEG00000005468	Anabas_testudineus
ENSLACP00000009668	ENSLACG00000008524	Latimeria_chalumnae
ENSTTRP00000013965	ENSTTRG00000014727	Tursiops_truncatus
ENSPFOP00000010733	ENSPFOG00000010765	Poecilia_formosa
ENSHGLP00000008393	ENSHGLG00000006067	Heterocephalus_glaber_HetGla_female_1.0
ENSMODP00000017317	ENSMODG00000013849	Monodelphis_domestica
ENSSCAP00000001889	ENSSCAG00000001631	Serinus_canaria
ENSMOCP00000022656	ENSMOCG00000019628	Microtus_ochrogaster
ENSNGAP00000015320	ENSNGAG00000016376	Nannospalax_galili
ENSGGOP00000032472	ENSGGOG00000039037	Gorilla_gorilla
ENSNBRP00000016434	ENSNBRG00000012700	Neolamprologus_brichardi
ENSCPBP00000023119	ENSCPBG00000016516	Chrysemys_picta_bellii
ENSMPUP00000010367	ENSMPUG00000010443	Mustela_putorius_furo
ENSBBBP00000024096	ENSBBBG00000004808	Bison_bison_bison
ENSPNYP00000000354	ENSPNYG00000000272	Pundamilia_nyererei
ENSDORP00000019669	ENSDORG00000023927	Dipodomys_ordii
ENSPMEP00000008370	ENSPMEG00000010117	Poecilia_mexicana
ENSSHAP00000015173	ENSSHAG00000012944	Sarcophilus_harrisii
ENSCGOP00000016533	ENSCGOG00000007938	Cottoperca_gobio
ENSSDAP00000022007	ENSSDAG00000020018	Spermophilus_dauricus
ENSNSUP00000010570	ENSNSUG00000008023	Notechis_scutatus	ENSNSUT00000011281
ENSAMXP00000049874	ENSAMXG00000033448	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTGEP00000011996	ENSTGEG00000009780	Theropithecus_gelada
ENSZALP00000017350	ENSZALG00000014028	Zonotrichia_albicollis
ENSSBOP00000029184	ENSSBOG00000030933	Saimiri_boliviensis_boliviensis
ENSMFAP00000013880	ENSMFAG00000029980	Macaca_fascicularis
ENSPTRP00000076713	ENSPTRG00000047175	Pan_troglodytes
ENSHGLP00100025710	ENSHGLG00100018858	Heterocephalus_glaber_HetGla_1.0
ENSPREP00000007500	ENSPREG00000005153	Poecilia_reticulata
ENSCGRP00015033259	ENSCGRG00015025075	Cricetulus_griseus_CriGri-PICR
ENSDNOP00000021342	ENSDNOG00000049433	Dasypus_novemcinctus
ENSSFOP00015029159	ENSSFOG00015018732	Scleropages_formosus
ENSCSAP00000009852	ENSCSAG00000013694	Chlorocebus_sabaeus
ENSRBIP00000031845	ENSRBIG00000039737	Rhinopithecus_bieti
ENSMAMP00000012963	ENSMAMG00000008800	Mastacembelus_armatus
ENSCANP00000012264	ENSCANG00000029528	Colobus_angolensis_palliatus
ENSPTRP00000086358	ENSPTRG00000050900	Pan_troglodytes
ENSCGRP00001017487	ENSCGRG00001017522	Cricetulus_griseus_CHOK1GS_HDv1
ENSPCIP00000000347	ENSPCIG00000000300	Phascolarctos_cinereus
ENSOGAP00000008447	ENSOGAG00000009436	Otolemur_garnettii
ENSHHUP00000030704	ENSHHUG00000019549	Hucho_hucho
ENSSMAP00000007832	ENSSMAG00000004844	Scophthalmus_maximus
ENSAHAP00000010385	ENSAHAG00000007522	Apteryx_haastii
ENSCLAP00000022396	ENSCLAG00000015359	Chinchilla_lanigera
ENSOANP00000033012	ENSOANG00000029067	Ornithorhynchus_anatinus
ENSMVIP00005025084	ENSMVIG00005017566	Manacus_vitellinus
ENSCAFP00020000994	ENSCAFG00020000932	Canis_lupus_dingo
ENSXCOP00000011350	ENSXCOG00000008576	Xiphophorus_couchianus
ENSANAP00000029990	ENSANAG00000032767	Aotus_nancymaae
ENSMNEP00000036993	ENSMNEG00000041577	Macaca_nemestrina
ENSODEP00000026988	ENSODEG00000020500	Octodon_degus
ENSGAGP00000027830	ENSGAGG00000020225	Gopherus_agassizii	ENSGAGT00000031615
ENSMMMP00000018457	ENSMMMG00000016345	Marmota_marmota_marmota
ENSSSCP00000015200	ENSSSCG00000014289	Sus_scrofa_strain_reference
ENSMUNP00000004716	ENSMUNG00000003907	Melopsittacus_undulatus
ENSFALP00000009294	ENSFALG00000008909	Ficedula_albicollis
ENSMSIP00000008585	ENSMSIG00000007637	Mus_spicilegus
ENSAOCP00000011964	ENSAOCG00000016340	Amphiprion_ocellaris
ENSJHYP00000008790	ENSJHYG00000006967	Junco_hyemalis
ENSEASP00005026931	ENSEASG00005018355	Equus_asinus_asinus
ENSDARP00000039787	ENSDARG00000029064	Danio_rerio
R07E4.3.1	WBGene00019937	Caenorhabditis_elegans_strain_N2
ENSPNAP00000012030	ENSPNAG00000017747	Pygocentrus_nattereri
ENSODEP00000011332	ENSODEG00000008424	Octodon_degus
ENSECRP00000011774	ENSECRG00000007848	Erpetoichthys_calabaricus
ENSMLUP00000007013	ENSMLUG00000007686	Myotis_lucifugus
ENSPCOP00000029462	ENSPCOG00000027435	Propithecus_coquereli
ENSACIP00000007814	ENSACIG00000006127	Amphilophus_citrinellus
ENSACAP00000003562	ENSACAG00000003677	Anolis_carolinensis	ENSACAT00000003650
ENSGACP00000024035	ENSGACG00000018187	Gasterosteus_aculeatus
ENSOMEP00000005758	ENSOMEG00000006769	Oryzias_melastigma
ENSFCAP00000019967	ENSFCAG00000024071	Felis_catus
ENSPLAP00000029661	ENSPLAG00000020074	Poecilia_latipinna
ENSMAUP00000024285	ENSMAUG00000021198	Mesocricetus_auratus
ENSAPOP00000010115	ENSAPOG00000012529	Acanthochromis_polyacanthus
ENSKMAP00000008249	ENSKMAG00000006213	Kryptolebias_marmoratus
ENSOARP00000014181	ENSOARG00000013236	Ovis_aries
ENSMGAP00000009405	ENSMGAG00000009135	Meleagris_gallopavo
ENSVURP00010007229	ENSVURG00010005598	Vombatus_ursinus
ENSHHUP00000007928	ENSHHUG00000004865	Hucho_hucho
ENSCJAP00000024417	ENSCJAG00000013303	Callithrix_jacchus
ENSP00000367939	ENSG00000164405	Homo_sapiens
ENSMEUP00000003144	ENSMEUG00000003448	Notamacropus_eugenii
ENSEEEP00000031142	ENSEEEG00000014916	Electrophorus_electricus
YJL166W_mRNA	YJL166W	Saccharomyces_cerevisiae_strain_S288C
ENSPMGP00000021647	ENSPMGG00000017522	Periophthalmus_magnuspinnatus
ENSHBUP00000000855	ENSHBUG00000000023	Haplochromis_burtoni
ENSLCOP00000015546	ENSLCOG00000011089	Lepidothrix_coronata
ENSSPUP00000015777	ENSSPUG00000012191	Sphenodon_punctatus	ENSSPUT00000016821
ENSNVIP00000008876	ENSNVIG00000007040	Neovison_vison
ENSMMUP00000076548	ENSMMUG00000051941	Macaca_mulatta
ENSBIXP00000041488	ENSBIXG00000001997	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCSAVP00000011555	ENSCSAVG00000006772	Ciona_savignyi	ENSCSAVT00000011689
ENSCCEP00000021106	ENSCCEG00000019150	Cyanistes_caeruleus
ENSTGEP00000024453	ENSTGEG00000019763	Theropithecus_gelada
ENSSMRP00000014428	ENSSMRG00000011238	Salvator_merianae	ENSSMRT00000016808
ENSTGUP00000000194	ENSTGUG00000000193	Taeniopygia_guttata
ENSODEP00000026451	ENSODEG00000019882	Octodon_degus
ENSCPUP00000009031	ENSCPUG00000006431	Calidris_pugnax
ENSCPRP00005011887	ENSCPRG00005008482	Crocodylus_porosus
