ENSCATP00000034607	ENSCATG00000040182	Cercocebus_atys
ENSUMAP00000023792	ENSUMAG00000017295	Ursus_maritimus
ENSCPRP00005017951	ENSCPRG00005012515	Crocodylus_porosus
ENSSPAP00000015445	ENSSPAG00000011625	Stegastes_partitus
MGP_SPRETEiJ_P0078127	MGP_SPRETEiJ_G0029687	Mus_spretus_strain_SPRET/EiJ
ENSNSUP00000007950	ENSNSUG00000006199	Notechis_scutatus
ENSORLP00015015021	ENSORLG00015015945	Oryzias_latipes_ASM223469v1
ENSDNOP00000004949	ENSDNOG00000006388	Dasypus_novemcinctus
ENSCMIP00000049261	ENSCMIG00000020070	Callorhinchus_milii
ENSCVAP00000010221	ENSCVAG00000012369	Cyprinodon_variegatus
ENSMNEP00000011732	ENSMNEG00000030133	Macaca_nemestrina
ENSTGEP00000016990	ENSTGEG00000013720	Theropithecus_gelada
ENSFDAP00000001811	ENSFDAG00000011686	Fukomys_damarensis
ENSXMAP00000015931	ENSXMAG00000015890	Xiphophorus_maculatus
ENSSMAP00000019520	ENSSMAG00000011972	Scophthalmus_maximus
ENSBIXP00000002803	ENSBIXG00000009260	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOANP00000017249	ENSOANG00000010886	Ornithorhynchus_anatinus
ENSGACP00000003869	ENSGACG00000002941	Gasterosteus_aculeatus
ENSDORP00000006597	ENSDORG00000007038	Dipodomys_ordii
ENSOGAP00000012570	ENSOGAG00000014038	Otolemur_garnettii
ENSPFOP00000011847	ENSPFOG00000011747	Poecilia_formosa
ENSLCOP00000019729	ENSLCOG00000013973	Lepidothrix_coronata
ENSMLEP00000040046	ENSMLEG00000044042	Mandrillus_leucophaeus
ENSSSCP00000074292	ENSSSCG00000011594	Sus_scrofa_strain_reference
ENSPTIP00000020054	ENSPTIG00000017630	Panthera_tigris_altaica
ENSPSIP00000009815	ENSPSIG00000008928	Pelodiscus_sinensis
ENSNPEP00000008510	ENSNPEG00000006386	Nothoprocta_perdicaria
ENSPCAP00000010308	ENSPCAG00000011043	Procavia_capensis
ENSLBEP00000010399	ENSLBEG00000008028	Labrus_bergylta
ENSPTEP00000009297	ENSPTEG00000010497	Piliocolobus_tephrosceles
ENSVURP00010019443	ENSVURG00010014575	Vombatus_ursinus
ENSJHYP00000024443	ENSJHYG00000018360	Junco_hyemalis
ENSSDUP00000017914	ENSSDUG00000013049	Seriola_dumerili
ENSECRP00000028816	ENSECRG00000019474	Erpetoichthys_calabaricus
ENSCGRP00001007152	ENSCGRG00001009601	Cricetulus_griseus_CHOK1GS_HDv1
ENSACIP00000009981	ENSACIG00000007808	Amphilophus_citrinellus
ENSTSYP00000017856	ENSTSYG00000014206	Carlito_syrichta
ENSAPEP00000023380	ENSAPEG00000016591	Amphiprion_percula
ENSTRUP00000029266	ENSTRUG00000011580	Takifugu_rubripes
ENSBBBP00000002070	ENSBBBG00000011226	Bison_bison_bison
ENSAMEP00000004577	ENSAMEG00000004318	Ailuropoda_melanoleuca
ENSCSEP00000033340	ENSCSEG00000021393	Cynoglossus_semilaevis
ENSODEP00000002431	ENSODEG00000001892	Octodon_degus
ENSDNVP00000005230	ENSDNVG00000003758	Dromaius_novaehollandiae
ENSLCAP00010020989	ENSLCAG00010009877	Lates_calcarifer
ENSHCOP00000006231	ENSHCOG00000008017	Hippocampus_comes
ENSMMOP00000028019	ENSMMOG00000021171	Mola_mola
ENSCPBP00000020287	ENSCPBG00000014597	Chrysemys_picta_bellii
ENSPANP00000017321	ENSPANG00000005929	Papio_anubis
ENSCCEP00000003683	ENSCCEG00000004088	Cyanistes_caeruleus
ENSXETP00000010024	ENSXETG00000010744	Xenopus_tropicalis
ENSGMOP00000018317	ENSGMOG00000017040	Gadus_morhua
ENSXCOP00000001559	ENSXCOG00000001260	Xiphophorus_couchianus
ENSCHAP00000053308	ENSCHAG00000024228	Clupea_harengus
ENSCGRP00015018660	ENSCGRG00015014361	Cricetulus_griseus_CriGri-PICR
ENSDARP00000107308	ENSDARG00000042477	Danio_rerio
ENSLACP00000009413	ENSLACG00000008303	Latimeria_chalumnae
ENSANAP00000041119	ENSANAG00000037853	Aotus_nancymaae
ENSNBRP00000025586	ENSNBRG00000019536	Neolamprologus_brichardi
ENSAPLP00000024325	ENSAPLG00000007538	Anas_platyrhynchos_platyrhynchos
ENSMALP00000030959	ENSMALG00000021392	Monopterus_albus
ENSGGOP00000035175	ENSGGOG00000044014	Gorilla_gorilla
ENSLAFP00000008567	ENSLAFG00000010224	Loxodonta_africana
ENSBTAP00000066416	ENSBTAG00000013716	Bos_taurus
ENSSCAP00000022645	ENSSCAG00000016251	Serinus_canaria
ENSNLEP00000006303	ENSNLEG00000005193	Nomascus_leucogenys
ENSPVAP00000016256	ENSPVAG00000017233	Pteropus_vampyrus
ENSTBEP00000002100	ENSTBEG00000002424	Tupaia_belangeri
ENSCAFP00000006818	ENSCAFG00000004535	Canis_lupus_familiaris
ENSATEP00000012995	ENSATEG00000009047	Anabas_testudineus
ENSGWIP00000000423	ENSGWIG00000000287	Gouania_willdenowi
ENSPNAP00000000256	ENSPNAG00000007395	Pygocentrus_nattereri
ENSRBIP00000009231	ENSRBIG00000028465	Rhinopithecus_bieti
ENSETEP00000004138	ENSETEG00000005089	Echinops_telfairi
ENSBMUP00000023441	ENSBMUG00000017570	Bos_mutus
ENSPPRP00000023540	ENSPPRG00000013873	Panthera_pardus
ENSEASP00005022584	ENSEASG00005015422	Equus_asinus_asinus
ENSCSAP00000005460	ENSCSAG00000009209	Chlorocebus_sabaeus
ENSCJAP00000005152	ENSCJAG00000017131	Callithrix_jacchus
ENSSPUP00000022384	ENSSPUG00000017164	Sphenodon_punctatus
ENSMVIP00005017192	ENSMVIG00005012281	Manacus_vitellinus
ENSABRP00000005762	ENSABRG00000004647	Anser_brachyrhynchus
ENSOARP00000018690	ENSOARG00000017406	Ovis_aries
ENSAMXP00000020502	ENSAMXG00000019916	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAHAP00000010041	ENSAHAG00000007285	Apteryx_haastii
ENSPNYP00000013864	ENSPNYG00000010516	Pundamilia_nyererei
ENSOCUP00000048892	ENSOCUG00000006975	Oryctolagus_cuniculus
ENSPKIP00000031139	ENSPKIG00000011741	Paramormyrops_kingsleyae
ENSMSIP00000011283	ENSMSIG00000009847	Mus_spicilegus
ENSMICP00000033083	ENSMICG00000032381	Microcebus_murinus
ENSARWP00000021304	ENSARWG00000014567	Apteryx_rowi
ENSCAFP00020007836	ENSCAFG00020006182	Canis_lupus_dingo
ENSACAP00000012023	ENSACAG00000012082	Anolis_carolinensis
ENSGAFP00000031284	ENSGAFG00000021078	Gambusia_affinis
ENSMGAP00000010782	ENSMGAG00000010372	Meleagris_gallopavo
ENSCGOP00000010711	ENSCGOG00000005378	Cottoperca_gobio
ENSSHAP00000018940	ENSSHAG00000016078	Sarcophilus_harrisii
ENSFHEP00000002672	ENSFHEG00000003489	Fundulus_heteroclitus
ENSCLAP00000016100	ENSCLAG00000011082	Chinchilla_lanigera
ENSCPUP00000027729	ENSCPUG00000018665	Calidris_pugnax
ENSZALP00000003185	ENSZALG00000003234	Zonotrichia_albicollis
ENSCHOP00000002403	ENSCHOG00000002709	Choloepus_hoffmanni
ENSMUSP00000109090	ENSMUSG00000005893	Mus_musculus_strain_reference_(CL57BL6)
ENSSBOP00000014748	ENSSBOG00000024072	Saimiri_boliviensis_boliviensis
ENSPVIP00000028484	ENSPVIG00000021097	Pogona_vitticeps
ENSPMJP00000007316	ENSPMJG00000006052	Parus_major
ENSAOCP00000027814	ENSAOCG00000017082	Amphiprion_ocellaris
ENSOPRP00000008555	ENSOPRG00000009351	Ochotona_princeps
ENSSARP00000004088	ENSSARG00000004504	Sorex_araneus
ENSPCOP00000001297	ENSPCOG00000004106	Propithecus_coquereli
ENSNMEP00000010097	ENSNMEG00000009647	Numida_meleagris
ENSEEUP00000010370	ENSEEUG00000011354	Erinaceus_europaeus
ENSMUNP00000017682	ENSMUNG00000013565	Melopsittacus_undulatus
ENSPTRP00000086297	ENSPTRG00000014657	Pan_troglodytes
ENSPPAP00000005672	ENSPPAG00000023138	Pan_paniscus
ENSCANP00000019185	ENSCANG00000032916	Colobus_angolensis_palliatus
ENSONIP00000021743	ENSONIG00000017240	Oreochromis_niloticus
ENSAMXP00005007757	ENSAMXG00005004411	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTTRP00000009367	ENSTTRG00000009876	Tursiops_truncatus
ENSHGLP00000010922	ENSHGLG00000007834	Heterocephalus_glaber_HetGla_female_1.0
ENSSLDP00000006224	ENSSLDG00000004935	Seriola_lalandi_dorsalis
ENSPMAP00000003227	ENSPMAG00000002959	Petromyzon_marinus
ENSNVIP00000012379	ENSNVIG00000009821	Neovison_vison
ENSMZEP00005000138	ENSMZEG00005000121	Maylandia_zebra
ENSORLP00000013643	ENSORLG00000010877	Oryzias_latipes_ASM223467v1
ENSPRNP00000011137	ENSPRNG00000006209	Parambassis_ranga
ENSMOCP00000006392	ENSMOCG00000006010	Microtus_ochrogaster
ENSLSDP00000023357	ENSLSDG00000016426	Lonchura_striata_domestica
ENSIPUP00000033386	ENSIPUG00000022437	Ictalurus_punctatus
ENSUPAP00010000724	ENSUPAG00010000576	Urocitellus_parryii
ENSAPOP00000033450	ENSAPOG00000022068	Acanthochromis_polyacanthus
ENSCCNP00000004349	ENSCCNG00000004565	Castor_canadensis
ENSBIXP00005024117	ENSBIXG00005026766	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00000019205	ENSCGRG00000013982	Cricetulus_griseus_CriGri_1.0
ENSPMGP00000024191	ENSPMGG00000019558	Periophthalmus_magnuspinnatus
ENSRROP00000036228	ENSRROG00000041550	Rhinopithecus_roxellana
ENSEEEP00000001140	ENSEEEG00000000716	Electrophorus_electricus
ENSTGUP00000010933	ENSTGUG00000010590	Taeniopygia_guttata
ENSP00000483059	ENSG00000177463	Homo_sapiens
ENSTNIP00000021080	ENSTNIG00000017919	Tetraodon_nigroviridis
ENSPMAP00000006773	ENSPMAG00000006138	Petromyzon_marinus
ENSFCAP00000003265	ENSFCAG00000003537	Felis_catus
ENSAOWP00000026989	ENSAOWG00000018194	Apteryx_owenii
ENSOMEP00000008236	ENSOMEG00000009402	Oryzias_melastigma
ENSCAPP00000011584	ENSCAPG00000012617	Cavia_aperea
ENSMPUP00000017141	ENSMPUG00000017249	Mustela_putorius_furo
ENSMEUP00000010764	ENSMEUG00000011813	Notamacropus_eugenii
ENSMUGP00000019348	ENSMUGG00000016377	Meriones_unguiculatus
ENSBSLP00000032058	ENSBSLG00000015728	Betta_splendens
ENSCHIP00000004535	ENSCHIG00000008676	Capra_hircus
ENSMMUP00000039019	ENSMMUG00000005156	Macaca_mulatta
ENSHHUP00000041882	ENSHHUG00000025856	Hucho_hucho
ENSSTOP00000004713	ENSSTOG00000005250	Ictidomys_tridecemlineatus
ENSPLAP00000026126	ENSPLAG00000013675	Poecilia_latipinna
ENSPREP00000024735	ENSPREG00000016689	Poecilia_reticulata
ENSVVUP00000018800	ENSVVUG00000013819	Vulpes_vulpes
ENSCPOP00000001367	ENSCPOG00000001512	Cavia_porcellus
ENSMMMP00000012831	ENSMMMG00000011464	Marmota_marmota_marmota
ENSSFOP00015024867	ENSSFOG00015015971	Scleropages_formosus
ENSHBUP00000020567	ENSHBUG00000022856	Haplochromis_burtoni
ENSMAUP00000018189	ENSMAUG00000016840	Mesocricetus_auratus
ENSKMAP00000020753	ENSKMAG00000015414	Kryptolebias_marmoratus
ENSELUP00000042419	ENSELUG00000023672	Esox_lucius
MGP_PahariEiJ_P0051267	MGP_PahariEiJ_G0022408	Mus_pahari_strain_PAHARI_EIJ
ENSMAMP00000019433	ENSMAMG00000013058	Mastacembelus_armatus
ENSDCDP00000027610	ENSDCDG00000020122	Denticeps_clupeoides
