ENSTBEP00000001293	ENSTBEG00000001472	Tupaia_belangeri
ENSHGLP00000005055	ENSHGLG00000003707	Heterocephalus_glaber_HetGla_female_1.0
ENSSARP00000006692	ENSSARG00000007354	Sorex_araneus
ENSBTAP00000021495	ENSBTAG00000016149	Bos_taurus
ENSBMUP00000019106	ENSBMUG00000014474	Bos_mutus
ENSPFOP00000010737	ENSPFOG00000010618	Poecilia_formosa
ENSXMAP00000005317	ENSXMAG00000005297	Xiphophorus_maculatus
ENSFALP00000002101	ENSFALG00000002022	Ficedula_albicollis
ENSCJAP00000013905	ENSCJAG00000007477	Callithrix_jacchus
ENSMLUP00000004964	ENSMLUG00000005440	Myotis_lucifugus
ENSMAMP00000003002	ENSMAMG00000002066	Mastacembelus_armatus
ENSJJAP00000001069	ENSJJAG00000000928	Jaculus_jaculus
ENSETEP00000002341	ENSETEG00000002860	Echinops_telfairi
ENSLSDP00000012762	ENSLSDG00000009313	Lonchura_striata_domestica
ENSMMOP00000009588	ENSMMOG00000007403	Mola_mola
ENSLACP00000022478	ENSLACG00000012497	Latimeria_chalumnae
ENSUPAP00010020700	ENSUPAG00010016395	Urocitellus_parryii
ENSPVIP00000014194	ENSPVIG00000010926	Pogona_vitticeps
ENSBIXP00005002810	ENSBIXG00005009100	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSBOP00000021717	ENSSBOG00000027417	Saimiri_boliviensis_boliviensis
ENSCAFP00020015223	ENSCAFG00020012230	Canis_lupus_dingo
ENSMUNP00000018118	ENSMUNG00000013866	Melopsittacus_undulatus
ENSCPUP00000008186	ENSCPUG00000005896	Calidris_pugnax
ENSPNAP00000016994	ENSPNAG00000023200	Pygocentrus_nattereri
ENSOCUP00000010939	ENSOCUG00000012708	Oryctolagus_cuniculus
ENSEEUP00000014440	ENSEEUG00000015811	Erinaceus_europaeus
ENSCGRP00000022450	ENSCGRG00000016266	Cricetulus_griseus_CriGri_1.0
ENSANAP00000038046	ENSANAG00000036485	Aotus_nancymaae
ENSHHUP00000040062	ENSHHUG00000024808	Hucho_hucho
ENSPCAP00000013011	ENSPCAG00000013910	Procavia_capensis
ENSCPBP00000009452	ENSCPBG00000007304	Chrysemys_picta_bellii
ENSUMAP00000010107	ENSUMAG00000007604	Ursus_maritimus
ENSDNOP00000009986	ENSDNOG00000012875	Dasypus_novemcinctus
ENSGAGP00000030828	ENSGAGG00000022159	Gopherus_agassizii
ENSMNEP00000026490	ENSMNEG00000036689	Macaca_nemestrina
ENSBIXP00000033092	ENSBIXG00000015784	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSIPUP00000009850	ENSIPUG00000006737	Ictalurus_punctatus
ENSPTRP00000028833	ENSPTRG00000016816	Pan_troglodytes
ENSLBEP00000021913	ENSLBEG00000016836	Labrus_bergylta
ENSORLP00000003701	ENSORLG00000002961	Oryzias_latipes_ASM223467v1
ENSCPRP00005022865	ENSCPRG00005015929	Crocodylus_porosus
ENSNPEP00000002077	ENSNPEG00000001402	Nothoprocta_perdicaria
ENSRBIP00000021022	ENSRBIG00000034496	Rhinopithecus_bieti
ENSCHAP00000046920	ENSCHAG00000021678	Clupea_harengus	ENSCHAT00000050686
ENSTNIP00000016441	ENSTNIG00000013446	Tetraodon_nigroviridis
ENSMVIP00005012257	ENSMVIG00005008947	Manacus_vitellinus
ENSP00000263408	ENSG00000113600	Homo_sapiens
ENSPREP00000030247	ENSPREG00000020482	Poecilia_reticulata
ENSVURP00010002204	ENSVURG00010001837	Vombatus_ursinus
ENSSMRP00000024342	ENSSMRG00000018869	Salvator_merianae
ENSPNYP00000001072	ENSPNYG00000000896	Pundamilia_nyererei
ENSTGEP00000011457	ENSTGEG00000009344	Theropithecus_gelada
ENSACLP00000040053	ENSACLG00000026996	Astatotilapia_calliptera
MGP_PahariEiJ_P0027280	MGP_PahariEiJ_G0016021	Mus_pahari_strain_PAHARI_EIJ
ENSGMOP00000008674	ENSGMOG00000008102	Gadus_morhua
ENSBBBP00000028176	ENSBBBG00000024759	Bison_bison_bison
ENSRROP00000022427	ENSRROG00000035079	Rhinopithecus_roxellana
ENSCHOP00000009446	ENSCHOG00000010671	Choloepus_hoffmanni
ENSHBUP00000025513	ENSHBUG00000007545	Haplochromis_burtoni
ENSPMJP00000021331	ENSPMJG00000015833	Parus_major
ENSSDAP00000005375	ENSSDAG00000004955	Spermophilus_dauricus
ENSHGLP00100011777	ENSHGLG00100008746	Heterocephalus_glaber_HetGla_1.0
ENSPKIP00000017440	ENSPKIG00000003353	Paramormyrops_kingsleyae	ENSPKIT00000041952
ENSCGRP00001023484	ENSCGRG00001021695	Cricetulus_griseus_CHOK1GS_HDv1
ENSECAP00000006188	ENSECAG00000007865	Equus_caballus
ENSOANP00000016184	ENSOANG00000010206	Ornithorhynchus_anatinus
ENSLCOP00000015892	ENSLCOG00000011348	Lepidothrix_coronata
ENSACIP00000005167	ENSACIG00000004070	Amphilophus_citrinellus
ENSPCIP00000032201	ENSPCIG00000023900	Phascolarctos_cinereus
ENSFCAP00000012169	ENSFCAG00000013123	Felis_catus
ENSCHIP00000013312	ENSCHIG00000014791	Capra_hircus
ENSCSEP00000021210	ENSCSEG00000013544	Cynoglossus_semilaevis
ENSAOWP00000012458	ENSAOWG00000008522	Apteryx_owenii
ENSGAFP00000001701	ENSGAFG00000001198	Gambusia_affinis
ENSXCOP00000023836	ENSXCOG00000017807	Xiphophorus_couchianus
ENSCCNP00000027989	ENSCCNG00000027020	Castor_canadensis
ENSSFOP00015030937	ENSSFOG00015019837	Scleropages_formosus	ENSSFOT00015031286
ENSSLDP00000020290	ENSSLDG00000015864	Seriola_lalandi_dorsalis
ENSMICP00000006127	ENSMICG00000006710	Microcebus_murinus
ENSPANP00000007210	ENSPANG00000006998	Papio_anubis
ENSNVIP00000000958	ENSNVIG00000000781	Neovison_vison
ENSSDUP00000003118	ENSSDUG00000002372	Seriola_dumerili
ENSPRNP00000013111	ENSPRNG00000007207	Parambassis_ranga
ENSCCEP00000017068	ENSCCEG00000015866	Cyanistes_caeruleus
ENSECRP00000008445	ENSECRG00000005656	Erpetoichthys_calabaricus
ENSCABP00000009489	ENSCABG00000007098	Chelonoidis_abingdonii
ENSVVUP00000003066	ENSVVUG00000002400	Vulpes_vulpes
ENSPPRP00000018204	ENSPPRG00000009952	Panthera_pardus
