ENSLBEP00000033472	ENSLBEG00000025205	Labrus_bergylta	ENSLBET00000034943
ENSCJAP00000052182	ENSCJAG00000000002	Callithrix_jacchus
ENSSDAP00000025125	ENSSDAG00000022809	Spermophilus_dauricus
ENSUAMP00000007116	ENSUAMG00000006190	Ursus_americanus
ENSPTEP00000020385	ENSPTEG00000021632	Piliocolobus_tephrosceles
ENSCPBP00000037740	ENSCPBG00000026149	Chrysemys_picta_bellii
ENSGAGP00000025315	ENSGAGG00000018520	Gopherus_agassizii
ENSMLUP00000014988	ENSMLUG00000016444	Myotis_lucifugus
ENSPSIP00000006392	ENSPSIG00000005878	Pelodiscus_sinensis
ENSMLEP00000004480	ENSMLEG00000020268	Mandrillus_leucophaeus
ENSPTRP00000080159	ENSPTRG00000046211	Pan_troglodytes
ENSBMUP00000014983	ENSBMUG00000011388	Bos_mutus
ENSPSIP00000018403	ENSPSIG00000016354	Pelodiscus_sinensis
ENSVURP00010017865	ENSVURG00010013637	Vombatus_ursinus
ENSMFAP00000031003	ENSMFAG00000042679	Macaca_fascicularis
ENSCLAP00000006411	ENSCLAG00000004529	Chinchilla_lanigera
ENSMNEP00000005201	ENSMNEG00000023718	Macaca_nemestrina
ENSDNVP00000022245	ENSDNVG00000015486	Dromaius_novaehollandiae
ENSMUSP00000152628	ENSMUSG00000087642	Mus_musculus_strain_reference_(CL57BL6)
ENSSDAP00000025052	ENSSDAG00000022778	Spermophilus_dauricus
ENSAMXP00005028697	ENSAMXG00005014291	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPTEP00000020454	ENSPTEG00000021687	Piliocolobus_tephrosceles
ENSGGOP00000037842	ENSGGOG00000042939	Gorilla_gorilla
ENSCPUP00000009347	ENSCPUG00000006645	Calidris_pugnax
ENSP00000492979	ENSG00000211891	Homo_sapiens
ENSCSAP00000005570	ENSCSAG00000009315	Chlorocebus_sabaeus
ENSMODP00000018273	ENSMODG00000014626	Monodelphis_domestica
ENSARWP00000000209	ENSARWG00000000221	Apteryx_rowi
ENSPPYP00000007057	ENSPPYG00000006213	Pongo_abelii
ENSCATP00000019513	ENSCATG00000033562	Cercocebus_atys
ENSPVIP00000000463	ENSPVIG00000000435	Pogona_vitticeps
ENSGGOP00000038103	ENSGGOG00000037620	Gorilla_gorilla
ENSBTAP00000056315	ENSBTAG00000047632	Bos_taurus
ENSCAFP00020009216	ENSCAFG00020007433	Canis_lupus_dingo
MGP_PahariEiJ_P0000009	MGP_PahariEiJ_G0000007	Mus_pahari_strain_PAHARI_EIJ
ENSGGOP00000035058	ENSGGOG00000037900	Gorilla_gorilla
ENSOANP00000015710	ENSOANG00000009910	Ornithorhynchus_anatinus
ENSDNVP00000022224	ENSDNVG00000015480	Dromaius_novaehollandiae
ENSPTRP00000068232	ENSPTRG00000046078	Pan_troglodytes
ENSOARP00000009655	ENSOARG00000008994	Ovis_aries
ENSCCAP00000000671	ENSCCAG00000004163	Cebus_capucinus_imitator
ENSPPAP00000017608	ENSPPAG00000031894	Pan_paniscus
ENSDNOP00000025938	ENSDNOG00000039274	Dasypus_novemcinctus
ENSAOWP00000006008	ENSAOWG00000004129	Apteryx_owenii
ENSCCNP00000019668	ENSCCNG00000019740	Castor_canadensis
ENSTGEP00000015980	ENSTGEG00000012915	Theropithecus_gelada
ENSNVIP00000006176	ENSNVIG00000004918	Neovison_vison
ENSRBIP00000013921	ENSRBIG00000031060	Rhinopithecus_bieti
ENSARWP00000005684	ENSARWG00000004051	Apteryx_rowi
ENSCAFP00000027238	ENSCAFG00000018448	Canis_lupus_familiaris
ENSPSMP00000029259	ENSPSMG00000020326	Prolemur_simus
ENSAHAP00000025129	ENSAHAG00000017528	Apteryx_haastii
ENSUPAP00010023626	ENSUPAG00010018696	Urocitellus_parryii
ENSECAP00000007494	ENSECAG00000009575	Equus_caballus
ENSRROP00000001672	ENSRROG00000006753	Rhinopithecus_roxellana
ENSBIXP00005006042	ENSBIXG00005001138	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMUGP00000013123	ENSMUGG00000011387	Meriones_unguiculatus
ENSMICP00000042347	ENSMICG00000030058	Microcebus_murinus
ENSAHAP00000003955	ENSAHAG00000003118	Apteryx_haastii
ENSOCUP00000003180	ENSOCUG00000003669	Oryctolagus_cuniculus
ENSCABP00000016608	ENSCABG00000012347	Chelonoidis_abingdonii
ENSANAP00000002012	ENSANAG00000016620	Aotus_nancymaae
ENSCPBP00000020243	ENSCPBG00000014566	Chrysemys_picta_bellii
ENSEASP00005006315	ENSEASG00005004678	Equus_asinus_asinus
ENSPANP00000047319	ENSPANG00000031685	Papio_anubis
