ENSMUSP00000031914	ENSMUSG00000029875	Mus_musculus_strain_reference_(CL57BL6)
ENSVVUP00000026580	ENSVVUG00000019524	Vulpes_vulpes
ENSMPUP00000018825	ENSMPUG00000018945	Mustela_putorius_furo
ENSNVIP00000005156	ENSNVIG00000004152	Neovison_vison
ENSUMAP00000008336	ENSUMAG00000006363	Ursus_maritimus
ENSPTIP00000000086	ENSPTIG00000000266	Panthera_tigris_altaica
ENSPPRP00000028968	ENSPPRG00000021325	Panthera_pardus
ENSFCAP00000022975	ENSFCAG00000024252	Felis_catus
ENSPVAP00000004004	ENSPVAG00000004229	Pteropus_vampyrus
ENSSSCP00000057501	ENSSSCG00000039340	Sus_scrofa_strain_reference
ENSTTRP00000014679	ENSTTRG00000015506	Tursiops_truncatus
ENSBIXP00005017915	ENSBIXG00005021363	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000037951	ENSBIXG00000021666	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000003098	ENSBTAG00000002390	Bos_taurus
ENSBMUP00000002779	ENSBMUG00000002197	Bos_mutus
ENSBBBP00000006050	ENSBBBG00000014636	Bison_bison_bison
ENSOARP00000019004	ENSOARG00000017714	Ovis_aries
ENSECAP00000025003	ENSECAG00000036797	Equus_caballus
ENSEASP00005034468	ENSEASG00005023521	Equus_asinus_asinus
ENSOCUP00000035194	ENSOCUG00000031603	Oryctolagus_cuniculus
ENSPCAP00000003244	ENSPCAG00000003510	Procavia_capensis
ENSETEP00000008438	ENSETEG00000010387	Echinops_telfairi
ENSDNOP00000006165	ENSDNOG00000007955	Dasypus_novemcinctus
ENSPCIP00000021744	ENSPCIG00000016483	Phascolarctos_cinereus
ENSMEUP00000005309	ENSMEUG00000005820	Notamacropus_eugenii
ENSMODP00000060245	ENSMODG00000047381	Monodelphis_domestica
