ENSPMGP00000015321	ENSPMGG00000012555	Periophthalmus_magnuspinnatus
ENSLACP00000013711	ENSLACG00000012066	Latimeria_chalumnae
ENSLAFP00000020213	ENSLAFG00000028172	Loxodonta_africana
MGP_PahariEiJ_P0027388	MGP_PahariEiJ_G0016053	Mus_pahari_strain_PAHARI_EIJ
ENSSDAP00000001577	ENSSDAG00000001527	Spermophilus_dauricus
ENSP00000422554	ENSG00000151388	Homo_sapiens
ENSCAFP00020021288	ENSCAFG00020016825	Canis_lupus_dingo
ENSMAMP00000018344	ENSMAMG00000012219	Mastacembelus_armatus
ENSPKIP00000037664	ENSPKIG00000015751	Paramormyrops_kingsleyae
ENSONIP00000017965	ENSONIG00000014291	Oreochromis_niloticus
ENSCVAP00000031012	ENSCVAG00000019965	Cyprinodon_variegatus
ENSPFOP00000015171	ENSPFOG00000014967	Poecilia_formosa
ENSCHOP00000003301	ENSCHOG00000003721	Choloepus_hoffmanni
ENSGGOP00000009479	ENSGGOG00000009696	Gorilla_gorilla
ENSPEMP00000018916	ENSPEMG00000017344	Peromyscus_maniculatus_bairdii
ENSSSCP00000026540	ENSSSCG00000016816	Sus_scrofa_strain_reference
ENSSFOP00015030386	ENSSFOG00015019448	Scleropages_formosus
ENSKMAP00000006743	ENSKMAG00000005092	Kryptolebias_marmoratus
MGP_CAROLIEiJ_P0037886	MGP_CAROLIEiJ_G0019673	Mus_caroli_strain_CAROLI_EIJ
ENSHHUP00000009099	ENSHHUG00000005505	Hucho_hucho
ENSCGRP00000001898	ENSCGRG00000001414	Cricetulus_griseus_CriGri_1.0
ENSETEP00000014699	ENSETEG00000018085	Echinops_telfairi
ENSHCOP00000005027	ENSHCOG00000006628	Hippocampus_comes
ENSCGRP00015021055	ENSCGRG00015016042	Cricetulus_griseus_CriGri-PICR
ENSBBBP00000026592	ENSBBBG00000022566	Bison_bison_bison
ENSARWP00000018628	ENSARWG00000012804	Apteryx_rowi
ENSMGAP00000016354	ENSMGAG00000015413	Meleagris_gallopavo
ENSDNOP00000001081	ENSDNOG00000001401	Dasypus_novemcinctus
ENSMODP00000025523	ENSMODG00000020404	Monodelphis_domestica
ENSPCAP00000012092	ENSPCAG00000012875	Procavia_capensis
ENSHBUP00000010837	ENSHBUG00000012400	Haplochromis_burtoni
ENSOGAP00000020530	ENSOGAG00000026508	Otolemur_garnettii
ENSMSIP00000016358	ENSMSIG00000014029	Mus_spicilegus
ENSPVIP00000003377	ENSPVIG00000002838	Pogona_vitticeps
ENSCPRP00005022431	ENSCPRG00005015643	Crocodylus_porosus
ENSLOCP00000015186	ENSLOCG00000012331	Lepisosteus_oculatus
ENSAHAP00000021991	ENSAHAG00000015451	Apteryx_haastii
ENSPMEP00000002145	ENSPMEG00000003169	Poecilia_mexicana
ENSPANP00000002545	ENSPANG00000007314	Papio_anubis
ENSFALP00000002213	ENSFALG00000002128	Ficedula_albicollis
ENSCABP00000009792	ENSCABG00000007353	Chelonoidis_abingdonii
ENSSMRP00000020936	ENSSMRG00000016301	Salvator_merianae
ENSLBEP00000031471	ENSLBEG00000023752	Labrus_bergylta
ENSPPYP00000017182	ENSPPYG00000015383	Pongo_abelii
ENSPCOP00000014607	ENSPCOG00000018999	Propithecus_coquereli
ENSPMAP00000004979	ENSPMAG00000004543	Petromyzon_marinus
ENSCHIP00000022600	ENSCHIG00000020502	Capra_hircus
ENSOANP00000022736	ENSOANG00000014431	Ornithorhynchus_anatinus
ENSHHUP00000009579	ENSHHUG00000005844	Hucho_hucho
ENSUPAP00010002720	ENSUPAG00010002255	Urocitellus_parryii
ENSMALP00000031420	ENSMALG00000021689	Monopterus_albus
ENSFDAP00000021447	ENSFDAG00000007700	Fukomys_damarensis
ENSHGLP00000005760	ENSHGLG00000004212	Heterocephalus_glaber_HetGla_female_1.0
ENSPPRP00000021945	ENSPPRG00000012677	Panthera_pardus
ENSHHUP00000015704	ENSHHUG00000009793	Hucho_hucho
ENSZALP00000009541	ENSZALG00000007625	Zonotrichia_albicollis
ENSTRUP00000049810	ENSTRUG00000025448	Takifugu_rubripes
ENSCCAP00000030358	ENSCCAG00000033232	Cebus_capucinus_imitator
ENSCATP00000008536	ENSCATG00000025386	Cercocebus_atys
ENSANAP00000016135	ENSANAG00000025930	Aotus_nancymaae
ENSCCAP00000033044	ENSCCAG00000034538	Cebus_capucinus_imitator
ENSCLAP00000009744	ENSCLAG00000006753	Chinchilla_lanigera
ENSORLP00020025244	ENSORLG00020000870	Oryzias_latipes_ASM223471v1
ENSCAFP00000042462	ENSCAFG00000018844	Canis_lupus_familiaris
ENSMODP00000052741	ENSMODG00000048668	Monodelphis_domestica
ENSMGAP00000017955	ENSMGAG00000017250	Meleagris_gallopavo
ENSUAMP00000036944	ENSUAMG00000027968	Ursus_americanus
ENSORLP00000002436	ENSORLG00000001958	Oryzias_latipes_ASM223467v1
ENSPNYP00000008196	ENSPNYG00000006147	Pundamilia_nyererei
ENSMICP00000005123	ENSMICG00000005612	Microcebus_murinus
ENSMNEP00000014080	ENSMNEG00000031196	Macaca_nemestrina
ENSAOCP00000003393	ENSAOCG00000006810	Amphiprion_ocellaris
ENSNPEP00000003157	ENSNPEG00000002380	Nothoprocta_perdicaria
