ENSCINP00000017765	ENSCING00000008705	Ciona_intestinalis	ENSCINT00000017765
ENSCSAVP00000007560	ENSCSAVG00000004515	Ciona_savignyi	ENSCSAVT00000007659
C34G6.5.1	WBGene00016421	Caenorhabditis_elegans_strain_N2	C34G6.5.1
ENSPMAP00000009418	ENSPMAG00000008543	Petromyzon_marinus	ENSPMAT00000009458
ENSEBUP00000021003	ENSEBUG00000012983	Eptatretus_burgeri	ENSEBUT00000021579
ENSDNOP00000018537	ENSDNOG00000039583	Dasypus_novemcinctus
ENSSPUP00000004359	ENSSPUG00000003291	Sphenodon_punctatus
ENSXETP00000051913	ENSXETG00000020695	Xenopus_tropicalis
ENSLACP00000011234	ENSLACG00000009884	Latimeria_chalumnae
ENSCMIP00000016413	ENSCMIG00000007878	Callorhinchus_milii
ENSSFOP00015031493	ENSSFOG00015020185	Scleropages_formosus
ENSPKIP00000018352	ENSPKIG00000003934	Paramormyrops_kingsleyae
ENSAMXP00000006799	ENSAMXG00000006619	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005044008	ENSAMXG00005020430	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000021163	ENSPNAG00000028164	Pygocentrus_nattereri
ENSIPUP00000019612	ENSIPUG00000013306	Ictalurus_punctatus
ENSEEEP00000023593	ENSEEEG00000011427	Electrophorus_electricus
ENSDARP00000091380	ENSDARG00000023584	Danio_rerio
ENSCHAP00000039775	ENSCHAG00000018418	Clupea_harengus
ENSDCDP00000027028	ENSDCDG00000019849	Denticeps_clupeoides
ENSPLAP00000003846	ENSPLAG00000005408	Poecilia_latipinna
ENSPMEP00000016687	ENSPMEG00000000419	Poecilia_mexicana
ENSPFOP00000017291	ENSPFOG00000017217	Poecilia_formosa
ENSPREP00000011666	ENSPREG00000007945	Poecilia_reticulata
ENSXMAP00000004176	ENSXMAG00000004158	Xiphophorus_maculatus
ENSXCOP00000009602	ENSXCOG00000007313	Xiphophorus_couchianus
ENSGAFP00000026754	ENSGAFG00000018081	Gambusia_affinis
ENSCVAP00000003760	ENSCVAG00000004980	Cyprinodon_variegatus
ENSFHEP00000029520	ENSFHEG00000014279	Fundulus_heteroclitus
ENSORLP00015005403	ENSORLG00015006193	Oryzias_latipes_ASM223469v1
ENSORLP00020002127	ENSORLG00020002873	Oryzias_latipes_ASM223471v1
ENSORLP00000006246	ENSORLG00000004956	Oryzias_latipes_ASM223467v1
ENSOMEP00000015066	ENSOMEG00000016606	Oryzias_melastigma
ENSGWIP00000017355	ENSGWIG00000009661	Gouania_willdenowi
ENSCSEP00000027672	ENSCSEG00000017683	Cynoglossus_semilaevis
ENSTRUP00000007900	ENSTRUG00000003376	Takifugu_rubripes
ENSTNIP00000001515	ENSTNIG00000006963	Tetraodon_nigroviridis
ENSMMOP00000007921	ENSMMOG00000006155	Mola_mola
ENSMZEP00005005990	ENSMZEG00005004637	Maylandia_zebra
ENSHBUP00000025380	ENSHBUG00000007322	Haplochromis_burtoni
ENSACLP00000012723	ENSACLG00000008684	Astatotilapia_calliptera
ENSPNYP00000002588	ENSPNYG00000001971	Pundamilia_nyererei
ENSONIP00000013311	ENSONIG00000010587	Oreochromis_niloticus
ENSNBRP00000003597	ENSNBRG00000002849	Neolamprologus_brichardi
ENSACIP00000027787	ENSACIG00000021505	Amphilophus_citrinellus
ENSSDUP00000015766	ENSSDUG00000011476	Seriola_dumerili
ENSCGOP00000033063	ENSCGOG00000015358	Cottoperca_gobio
ENSBSLP00000034677	ENSBSLG00000016866	Betta_splendens
ENSATEP00000027653	ENSATEG00000019104	Anabas_testudineus
ENSMAMP00000007077	ENSMAMG00000004827	Mastacembelus_armatus
ENSLCAP00010048952	ENSLCAG00010022772	Lates_calcarifer
ENSSLDP00000021018	ENSSLDG00000016432	Seriola_lalandi_dorsalis
ENSLBEP00000008664	ENSLBEG00000006694	Labrus_bergylta
ENSLCRP00005010576	ENSLCRG00005004852	Larimichthys_crocea
ENSAPEP00000020268	ENSAPEG00000014481	Amphiprion_percula
ENSAOCP00000017745	ENSAOCG00000022868	Amphiprion_ocellaris
ENSAPOP00000003627	ENSAPOG00000005122	Acanthochromis_polyacanthus
ENSSPAP00000001293	ENSSPAG00000000999	Stegastes_partitus
ENSPRNP00000043655	ENSPRNG00000021285	Parambassis_ranga
ENSKMAP00000002940	ENSKMAG00000002260	Kryptolebias_marmoratus
ENSSMAP00000011150	ENSSMAG00000006857	Scophthalmus_maximus
ENSMALP00000003185	ENSMALG00000002319	Monopterus_albus
ENSGACP00000020698	ENSGACG00000015684	Gasterosteus_aculeatus
ENSHCOP00000027627	ENSHCOG00000019594	Hippocampus_comes
ENSPMGP00000013444	ENSPMGG00000011050	Periophthalmus_magnuspinnatus
ENSGMOP00000018718	ENSGMOG00000017403	Gadus_morhua
ENSHHUP00000090876	ENSHHUG00000052451	Hucho_hucho
ENSELUP00000019666	ENSELUG00000018969	Esox_lucius
ENSLOCP00000005892	ENSLOCG00000004901	Lepisosteus_oculatus
ENSECRP00000027195	ENSECRG00000018400	Erpetoichthys_calabaricus
FBpp0311683	FBgn0032677	Drosophila_melanogaster
FBpp0070911	FBgn0028360	Drosophila_melanogaster
YDL017W_mRNA	YDL017W	Saccharomyces_cerevisiae_strain_S288C
