ENSSTOP00000001232	ENSSTOG00000001364	Ictidomys_tridecemlineatus
ENSEASP00005007799	ENSEASG00005005687	Equus_asinus_asinus
ENSECAP00000011221	ENSECAG00000013118	Equus_caballus
ENSCAFP00000061418	ENSCAFG00000005725	Canis_lupus_familiaris
ENSCAFP00020011025	ENSCAFG00020008919	Canis_lupus_dingo
ENSVVUP00000025794	ENSVVUG00000018930	Vulpes_vulpes
ENSNVIP00000020178	ENSNVIG00000015824	Neovison_vison
ENSMPUP00000011591	ENSMPUG00000011685	Mustela_putorius_furo
ENSUAMP00000020326	ENSUAMG00000016029	Ursus_americanus
ENSUMAP00000021187	ENSUMAG00000015428	Ursus_maritimus
ENSAMEP00000016281	ENSAMEG00000015434	Ailuropoda_melanoleuca
ENSPPRP00000022701	ENSPPRG00000013156	Panthera_pardus
ENSPTIP00000010542	ENSPTIG00000011271	Panthera_tigris_altaica
ENSFCAP00000048271	ENSFCAG00000007576	Felis_catus
ENSLAFP00000017183	ENSLAFG00000021889	Loxodonta_africana
ENSPCAP00000000768	ENSPCAG00000000803	Procavia_capensis
ENSETEP00000011480	ENSETEG00000014140	Echinops_telfairi
ENSDNOP00000015444	ENSDNOG00000019912	Dasypus_novemcinctus
ENSVURP00010011985	ENSVURG00010009273	Vombatus_ursinus
ENSPCIP00000040481	ENSPCIG00000029633	Phascolarctos_cinereus
ENSMEUP00000010920	ENSMEUG00000011974	Notamacropus_eugenii
ENSSHAP00000018688	ENSSHAG00000015864	Sarcophilus_harrisii
ENSMODP00000003192	ENSMODG00000002629	Monodelphis_domestica
ENSOANP00000009544	ENSOANG00000005997	Ornithorhynchus_anatinus
ENSARWP00000018881	ENSARWG00000012983	Apteryx_rowi
ENSAHAP00000012817	ENSAHAG00000009245	Apteryx_haastii
ENSAOWP00000020975	ENSAOWG00000014190	Apteryx_owenii
ENSDNVP00000002456	ENSDNVG00000001756	Dromaius_novaehollandiae
ENSNPEP00000013952	ENSNPEG00000010424	Nothoprocta_perdicaria
ENSCJPP00005027387	ENSCJPG00005021240	Coturnix_japonica
ENSMGAP00000009925	ENSMGAG00000009583	Meleagris_gallopavo
ENSGALP00000066673	ENSGALG00000006880	Gallus_gallus
ENSNMEP00000002531	ENSNMEG00000003198	Numida_meleagris
ENSAPLP00000004752	ENSAPLG00000005199	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004307	ENSABRG00000003985	Anser_brachyrhynchus
ENSLCOP00000015211	ENSLCOG00000010865	Lepidothrix_coronata
ENSMVIP00005018038	ENSMVIG00005012825	Manacus_vitellinus
ENSLSDP00000004749	ENSLSDG00000003715	Lonchura_striata_domestica
ENSTGUP00000003053	ENSTGUG00000002960	Taeniopygia_guttata
ENSJHYP00000002725	ENSJHYG00000002277	Junco_hyemalis
ENSZALP00000010411	ENSZALG00000008785	Zonotrichia_albicollis
ENSSCAP00000017831	ENSSCAG00000012932	Serinus_canaria
ENSFALP00000013155	ENSFALG00000012607	Ficedula_albicollis
ENSPMJP00000023038	ENSPMJG00000017034	Parus_major
ENSCCEP00000019741	ENSCCEG00000017830	Cyanistes_caeruleus
ENSMUNP00000004084	ENSMUNG00000003409	Melopsittacus_undulatus
ENSCPGP00000028461	ENSCPGG00000019564	Calidris_pygmaea
ENSCPUP00000015390	ENSCPUG00000010637	Calidris_pugnax
ENSCPRP00005026464	ENSCPRG00005018357	Crocodylus_porosus
ENSGAGP00000001443	ENSGAGG00000001158	Gopherus_agassizii
ENSCABP00000017507	ENSCABG00000013002	Chelonoidis_abingdonii
ENSCPBP00000014000	ENSCPBG00000010435	Chrysemys_picta_bellii
ENSPSIP00000018692	ENSPSIG00000016533	Pelodiscus_sinensis
ENSPVIP00000010404	ENSPVIG00000008246	Pogona_vitticeps
ENSACAP00000015058	ENSACAG00000015300	Anolis_carolinensis
ENSNSUP00000012983	ENSNSUG00000009606	Notechis_scutatus
ENSSMRP00000005617	ENSSMRG00000004545	Salvator_merianae
ENSSPUP00000018343	ENSSPUG00000014138	Sphenodon_punctatus
ENSXETP00000017741	ENSXETG00000001985	Xenopus_tropicalis
ENSLACP00000013281	ENSLACG00000011693	Latimeria_chalumnae
ENSCHAP00000045753	ENSCHAG00000021219	Clupea_harengus
ENSECRP00000023783	ENSECRG00000016093	Erpetoichthys_calabaricus
ENSAMXP00000016680	ENSAMXG00000016164	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005036415	ENSAMXG00005017332	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000036131	ENSPNAG00000006264	Pygocentrus_nattereri
ENSEEEP00000011687	ENSEEEG00000005883	Electrophorus_electricus
ENSIPUP00000022039	ENSIPUG00000014938	Ictalurus_punctatus
ENSDARP00000105002	ENSDARG00000077081	Danio_rerio
ENSHHUP00000012148	ENSHHUG00000007428	Hucho_hucho
ENSHHUP00000067598	ENSHHUG00000039816	Hucho_hucho
ENSELUP00000017746	ENSELUG00000017409	Esox_lucius
ENSDCDP00000001969	ENSDCDG00000001011	Denticeps_clupeoides
ENSLOCP00000015757	ENSLOCG00000012804	Lepisosteus_oculatus
ENSGACP00000012801	ENSGACG00000009704	Gasterosteus_aculeatus
ENSHCOP00000011063	ENSHCOG00000013825	Hippocampus_comes
ENSHBUP00000034457	ENSHBUG00000022007	Haplochromis_burtoni
ENSMZEP00005012183	ENSMZEG00005009133	Maylandia_zebra
ENSACLP00000021195	ENSACLG00000014386	Astatotilapia_calliptera
ENSPNYP00000025744	ENSPNYG00000019430	Pundamilia_nyererei
ENSNBRP00000027998	ENSNBRG00000021319	Neolamprologus_brichardi
ENSONIP00000025006	ENSONIG00000019863	Oreochromis_niloticus
ENSACIP00000002407	ENSACIG00000001941	Amphilophus_citrinellus
ENSTNIP00000015842	ENSTNIG00000012867	Tetraodon_nigroviridis
ENSTRUP00000042799	ENSTRUG00000016720	Takifugu_rubripes
ENSMMOP00000003407	ENSMMOG00000002729	Mola_mola
ENSCGOP00000034841	ENSCGOG00000016084	Cottoperca_gobio
ENSSLDP00000003218	ENSSLDG00000002503	Seriola_lalandi_dorsalis
ENSCSEP00000000584	ENSCSEG00000000412	Cynoglossus_semilaevis
ENSAOCP00000001524	ENSAOCG00000004547	Amphiprion_ocellaris
ENSAPEP00000001334	ENSAPEG00000000964	Amphiprion_percula
ENSXCOP00000000230	ENSXCOG00000000223	Xiphophorus_couchianus
ENSPRNP00000049322	ENSPRNG00000023526	Parambassis_ranga
ENSBSLP00000012805	ENSBSLG00000006551	Betta_splendens
ENSFHEP00000024967	ENSFHEG00000006872	Fundulus_heteroclitus
ENSFHEP00000005867	ENSFHEG00000006860	Fundulus_heteroclitus
ENSCVAP00000017541	ENSCVAG00000020674	Cyprinodon_variegatus
ENSPMEP00000034018	ENSPMEG00000022893	Poecilia_mexicana
ENSPREP00000029244	ENSPREG00000019801	Poecilia_reticulata
ENSPFOP00000015012	ENSPFOG00000014982	Poecilia_formosa
ENSPLAP00000018276	ENSPLAG00000022887	Poecilia_latipinna
ENSXMAP00000026665	ENSXMAG00000016444	Xiphophorus_maculatus
ENSGAFP00000017980	ENSGAFG00000012160	Gambusia_affinis
ENSLCAP00010025852	ENSLCAG00010012082	Lates_calcarifer
ENSATEP00000019873	ENSATEG00000013791	Anabas_testudineus
ENSORLP00020020818	ENSORLG00020021828	Oryzias_latipes_ASM223471v1
ENSORLP00000041989	ENSORLG00000003692	Oryzias_latipes_ASM223467v1
ENSORLP00015019014	ENSORLG00015020110	Oryzias_latipes_ASM223469v1
ENSOMEP00000024956	ENSOMEG00000005920	Oryzias_melastigma
ENSGWIP00000024142	ENSGWIG00000012830	Gouania_willdenowi
ENSKMAP00000012095	ENSKMAG00000009099	Kryptolebias_marmoratus
ENSAPOP00000001745	ENSAPOG00000003075	Acanthochromis_polyacanthus
ENSSPAP00000024382	ENSSPAG00000018440	Stegastes_partitus
ENSMAMP00000011165	ENSMAMG00000007565	Mastacembelus_armatus
ENSMALP00000006460	ENSMALG00000004590	Monopterus_albus
ENSSDUP00000005818	ENSSDUG00000004297	Seriola_dumerili
ENSSMAP00000017401	ENSSMAG00000010625	Scophthalmus_maximus
ENSLBEP00000011870	ENSLBEG00000009144	Labrus_bergylta
ENSLCRP00005053862	ENSLCRG00005020161	Larimichthys_crocea
ENSPMGP00000004917	ENSPMGG00000004148	Periophthalmus_magnuspinnatus
ENSGMOP00000013983	ENSGMOG00000013068	Gadus_morhua
ENSSFOP00015006414	ENSSFOG00015004222	Scleropages_formosus
ENSPKIP00000034174	ENSPKIG00000013606	Paramormyrops_kingsleyae
ENSCMIP00000045455	ENSCMIG00000018741	Callorhinchus_milii
ENSLACP00000001636	ENSLACG00000001462	Latimeria_chalumnae
ENSCMIP00000042601	ENSCMIG00000017715	Callorhinchus_milii
ENSEBUP00000026578	ENSEBUG00000016361	Eptatretus_burgeri
ENSCSAVP00000019100	ENSCSAVG00000011214	Ciona_savignyi
FBpp0071540	FBgn0050394	Drosophila_melanogaster
Y51F10.4a.1	WBGene00021765	Caenorhabditis_elegans_strain_N2
