ENSSBOP00000032210	ENSSBOG00000032284	Saimiri_boliviensis_boliviensis
ENSCGRP00000018832	ENSCGRG00000013712	Cricetulus_griseus_CriGri_1.0
ENSHGLP00100005593	ENSHGLG00100004240	Heterocephalus_glaber_HetGla_1.0
ENSUAMP00000034617	ENSUAMG00000026311	Ursus_americanus
ENSPTEP00000040324	ENSPTEG00000037156	Piliocolobus_tephrosceles
ENSMUGP00000010869	ENSMUGG00000009545	Meriones_unguiculatus
ENSCATP00000015655	ENSCATG00000031803	Cercocebus_atys
ENSCAFP00020032277	ENSCAFG00020025137	Canis_lupus_dingo
ENSCAFP00000043638	ENSCAFG00000049156	Canis_lupus_familiaris
ENSBIXP00000032817	ENSBIXG00000015501	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSZALP00000009260	ENSZALG00000007984	Zonotrichia_albicollis
ENSPEMP00000013656	ENSPEMG00000013672	Peromyscus_maniculatus_bairdii
ENSMLEP00000037862	ENSMLEG00000043000	Mandrillus_leucophaeus
ENSPPAP00000002695	ENSPPAG00000011766	Pan_paniscus
ENSMUNP00000012744	ENSMUNG00000009974	Melopsittacus_undulatus
ENSSDAP00000012476	ENSSDAG00000011239	Spermophilus_dauricus
ENSPPRP00000025563	ENSPPRG00000015831	Panthera_pardus
ENSMFAP00000011026	ENSMFAG00000012545	Macaca_fascicularis
MGP_PahariEiJ_P0060358	MGP_PahariEiJ_G0024582	Mus_pahari_strain_PAHARI_EIJ
ENSMFAP00000001014	ENSMFAG00000036062	Macaca_fascicularis
ENSUPAP00010000210	ENSUPAG00010000214	Urocitellus_parryii
MGP_CAROLIEiJ_P0072147	MGP_CAROLIEiJ_G0028013	Mus_caroli_strain_CAROLI_EIJ
ENSBIXP00005009519	ENSBIXG00005014397	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCJPP00005001314	ENSCJPG00005001357	Coturnix_japonica
ENSOCUP00000041337	ENSOCUG00000015693	Oryctolagus_cuniculus
ENSNLEP00000029739	ENSNLEG00000011101	Nomascus_leucogenys
ENSMNEP00000001741	ENSMNEG00000007834	Macaca_nemestrina
ENSGGOP00000036408	ENSGGOG00000042752	Gorilla_gorilla
ENSSDAP00000013170	ENSSDAG00000011898	Spermophilus_dauricus
ENSCAFP00000054620	ENSCAFG00000048459	Canis_lupus_familiaris
ENSPTEP00000013137	ENSPTEG00000014750	Piliocolobus_tephrosceles
ENSCJAP00000078963	ENSCJAG00000053093	Callithrix_jacchus
ENSTBEP00000010671	ENSTBEG00000012332	Tupaia_belangeri
ENSPCOP00000029222	ENSPCOG00000027298	Propithecus_coquereli
ENSANAP00000007132	ENSANAG00000021638	Aotus_nancymaae
ENSDNOP00000027915	ENSDNOG00000044139	Dasypus_novemcinctus
ENSCLAP00000006578	ENSCLAG00000004636	Chinchilla_lanigera
ENSAMEP00000020164	ENSAMEG00000019114	Ailuropoda_melanoleuca
ENSCAFP00020017405	ENSCAFG00020013933	Canis_lupus_dingo
ENSBIXP00000026449	ENSBIXG00000030007	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPTEP00000026585	ENSPTEG00000026615	Piliocolobus_tephrosceles
ENSSSCP00000008142	ENSSSCG00000034019	Sus_scrofa_strain_reference
ENSCAFP00020031216	ENSCAFG00020024350	Canis_lupus_dingo
ENSOANP00000012317	ENSOANG00000007730	Ornithorhynchus_anatinus
ENSANAP00000016370	ENSANAG00000026055	Aotus_nancymaae
ENSMUSP00000125504	ENSMUSG00000038690	Mus_musculus_strain_reference_(CL57BL6)
ENSANAP00000025862	ENSANAG00000030652	Aotus_nancymaae
ENSMODP00000038281	ENSMODG00000025496	Monodelphis_domestica
ENSFCAP00000046610	ENSFCAG00000032030	Felis_catus
ENSPTRP00000074374	ENSPTRG00000049603	Pan_troglodytes
ENSPPAP00000024630	ENSPPAG00000035454	Pan_paniscus
ENSCGRP00015021066	ENSCGRG00015016069	Cricetulus_griseus_CriGri-PICR
ENSMNEP00000028196	ENSMNEG00000037531	Macaca_nemestrina
ENSVVUP00000041130	ENSVVUG00000029275	Vulpes_vulpes
ENSNMEP00000009923	ENSNMEG00000009486	Numida_meleagris
ENSPPAP00000027820	ENSPPAG00000036976	Pan_paniscus
ENSMNEP00000005061	ENSMNEG00000023156	Macaca_nemestrina
ENSBMUP00000002944	ENSBMUG00000002337	Bos_mutus
ENSPCAP00000001784	ENSPCAG00000001942	Procavia_capensis
ENSBMUP00000031100	ENSBMUG00000023216	Bos_mutus
ENSUPAP00010009871	ENSUPAG00010007996	Urocitellus_parryii
ENSPTIP00000018395	ENSPTIG00000016534	Panthera_tigris_altaica
ENSBBBP00000005443	ENSBBBG00000014149	Bison_bison_bison
ENSBIXP00000036410	ENSBIXG00000003568	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000030057	ENSBIXG00000011870	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSODEP00000026144	ENSODEG00000019524	Octodon_degus
ENSCSAP00000017829	ENSCSAG00000000163	Chlorocebus_sabaeus
ENSCANP00000035391	ENSCANG00000041377	Colobus_angolensis_palliatus
ENSMICP00000046137	ENSMICG00000044867	Microcebus_murinus
ENSSDAP00000026133	ENSSDAG00000023689	Spermophilus_dauricus
ENSAPLP00000006632	ENSAPLG00000007021	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000008837	ENSCPGG00000006283	Calidris_pygmaea
ENSPMJP00000023585	ENSPMJG00000017412	Parus_major
ENSPTIP00000000331	ENSPTIG00000000865	Panthera_tigris_altaica
ENSRBIP00000001456	ENSRBIG00000007436	Rhinopithecus_bieti
ENSMFAP00000015228	ENSMFAG00000030837	Macaca_fascicularis
ENSHGLP00000008394	ENSHGLG00000006068	Heterocephalus_glaber_HetGla_female_1.0
ENSMSIP00000034681	ENSMSIG00000028928	Mus_spicilegus
ENSTGEP00000016654	ENSTGEG00000013475	Theropithecus_gelada
ENSDORP00000000693	ENSDORG00000000743	Dipodomys_ordii
ENSPANP00000031794	ENSPANG00000030778	Papio_anubis
ENSPPRP00000013527	ENSPPRG00000006703	Panthera_pardus
ENSPTIP00000004666	ENSPTIG00000007127	Panthera_tigris_altaica
ENSMODP00000049251	ENSMODG00000039686	Monodelphis_domestica
ENSPVAP00000007110	ENSPVAG00000007533	Pteropus_vampyrus
ENSMFAP00000011838	ENSMFAG00000019118	Macaca_fascicularis
ENSPSMP00000015291	ENSPSMG00000010913	Prolemur_simus
ENSCAFP00020027147	ENSCAFG00020021315	Canis_lupus_dingo
ENSBIXP00000023312	ENSBIXG00000005297	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNVIP00000010191	ENSNVIG00000008040	Neovison_vison
ENSAHAP00000020681	ENSAHAG00000014537	Apteryx_haastii
ENSCAFP00000043108	ENSCAFG00000024413	Canis_lupus_familiaris
ENSANAP00000023009	ENSANAG00000029259	Aotus_nancymaae
ENSMOCP00000004489	ENSMOCG00000003743	Microtus_ochrogaster
ENSNGAP00000014873	ENSNGAG00000016074	Nannospalax_galili
ENSBMUP00000031082	ENSBMUG00000023199	Bos_mutus
ENSPEMP00000005275	ENSPEMG00000007736	Peromyscus_maniculatus_bairdii
ENSCAFP00000042131	ENSCAFG00000028543	Canis_lupus_familiaris
ENSCCAP00000003000	ENSCCAG00000017059	Cebus_capucinus_imitator
ENSBTAP00000071919	ENSBTAG00000053636	Bos_taurus
ENSHGLP00000018786	ENSHGLG00000013457	Heterocephalus_glaber_HetGla_female_1.0
ENSPSMP00000006264	ENSPSMG00000004717	Prolemur_simus
ENSECAP00000051440	ENSECAG00000002088	Equus_caballus
ENSCHIP00000024587	ENSCHIG00000021711	Capra_hircus
ENSPTRP00000065713	ENSPTRG00000044099	Pan_troglodytes
ENSMFAP00000001662	ENSMFAG00000035327	Macaca_fascicularis
ENSOCUP00000020416	ENSOCUG00000022022	Oryctolagus_cuniculus
ENSCJAP00000062045	ENSCJAG00000045628	Callithrix_jacchus
ENSMAUP00000020380	ENSMAUG00000018419	Mesocricetus_auratus
ENSTGEP00000012019	ENSTGEG00000009802	Theropithecus_gelada
ENSCHIP00000008686	ENSCHIG00000011792	Capra_hircus
ENSGGOP00000017318	ENSGGOG00000028258	Gorilla_gorilla
ENSPTEP00000017443	ENSPTEG00000018953	Piliocolobus_tephrosceles
ENSPTRP00000091391	ENSPTRG00000045969	Pan_troglodytes
ENSNGAP00000017229	ENSNGAG00000017721	Nannospalax_galili
ENSUAMP00000000532	ENSUAMG00000000553	Ursus_americanus
ENSMNEP00000001444	ENSMNEG00000006468	Macaca_nemestrina
ENSMMMP00000002821	ENSMMMG00000002583	Marmota_marmota_marmota
ENSPTEP00000008257	ENSPTEG00000009407	Piliocolobus_tephrosceles
ENSGAGP00000027591	ENSGAGG00000020050	Gopherus_agassizii
ENSEASP00005011613	ENSEASG00005008165	Equus_asinus_asinus
ENSCPBP00000029613	ENSCPBG00000020871	Chrysemys_picta_bellii
ENSPPYP00000021630	ENSPPYG00000019308	Pongo_abelii
ENSTSYP00000033406	ENSTSYG00000026376	Carlito_syrichta
ENSETEP00000006612	ENSETEG00000008134	Echinops_telfairi
ENSTTRP00000002822	ENSTTRG00000003008	Tursiops_truncatus
ENSVURP00010023570	ENSVURG00010018064	Vombatus_ursinus
ENSRROP00000001147	ENSRROG00000004463	Rhinopithecus_roxellana
ENSTBEP00000004952	ENSTBEG00000005774	Tupaia_belangeri
ENSCANP00000000070	ENSCANG00000000251	Colobus_angolensis_palliatus
ENSHGLP00100015286	ENSHGLG00100011299	Heterocephalus_glaber_HetGla_1.0
ENSMNEP00000008166	ENSMNEG00000028615	Macaca_nemestrina
ENSBIXP00005031425	ENSBIXG00005001162	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSVURP00010029919	ENSVURG00010022858	Vombatus_ursinus
ENSEEUP00000001967	ENSEEUG00000002166	Erinaceus_europaeus
ENSCAFP00020019434	ENSCAFG00020015458	Canis_lupus_dingo
ENSMMMP00000025004	ENSMMMG00000021908	Marmota_marmota_marmota
ENSNLEP00000043839	ENSNLEG00000035786	Nomascus_leucogenys
ENSPTIP00000001674	ENSPTIG00000004326	Panthera_tigris_altaica
ENSFCAP00000045020	ENSFCAG00000041179	Felis_catus
ENSCCAP00000017820	ENSCCAG00000026729	Cebus_capucinus_imitator
ENSCAFP00020018067	ENSCAFG00020014459	Canis_lupus_dingo
ENSOPRP00000012470	ENSOPRG00000013680	Ochotona_princeps
ENSMVIP00005021609	ENSMVIG00005015195	Manacus_vitellinus
ENSVVUP00000041268	ENSVVUG00000029380	Vulpes_vulpes
ENSBTAP00000064698	ENSBTAG00000053489	Bos_taurus
ENSNGAP00000018932	ENSNGAG00000018916	Nannospalax_galili
ENSPCIP00000033383	ENSPCIG00000024775	Phascolarctos_cinereus
ENSBTAP00000070013	ENSBTAG00000002094	Bos_taurus
ENSGALP00000046535	ENSGALG00000033001	Gallus_gallus
ENSPTEP00000017892	ENSPTEG00000019399	Piliocolobus_tephrosceles
ENSABRP00000001520	ENSABRG00000001534	Anser_brachyrhynchus
ENSTGEP00000015457	ENSTGEG00000012501	Theropithecus_gelada
ENSVURP00010005321	ENSVURG00010004180	Vombatus_ursinus
ENSCHIP00000024679	ENSCHIG00000021771	Capra_hircus	ENSCHIT00000032540
ENSMSIP00000033939	ENSMSIG00000028357	Mus_spicilegus
ENSCANP00000008607	ENSCANG00000027721	Colobus_angolensis_palliatus
ENSMFAP00000011853	ENSMFAG00000019292	Macaca_fascicularis
ENSMMMP00000005874	ENSMMMG00000005266	Marmota_marmota_marmota
ENSUMAP00000013233	ENSUMAG00000009782	Ursus_maritimus
ENSPANP00000007452	ENSPANG00000014154	Papio_anubis
ENSEBUP00000016579	ENSEBUG00000010398	Eptatretus_burgeri
ENSPCIP00000007101	ENSPCIG00000006039	Phascolarctos_cinereus
ENSCATP00000007493	ENSCATG00000022368	Cercocebus_atys
ENSGGOP00000014774	ENSGGOG00000037236	Gorilla_gorilla
ENSCPRP00005023083	ENSCPRG00005016051	Crocodylus_porosus
ENSMMUP00000068113	ENSMMUG00000049334	Macaca_mulatta
ENSCCNP00000011014	ENSCCNG00000011423	Castor_canadensis
ENSPTRP00000079662	ENSPTRG00000049700	Pan_troglodytes
ENSMLEP00000001095	ENSMLEG00000004379	Mandrillus_leucophaeus
ENSRBIP00000033743	ENSRBIG00000040611	Rhinopithecus_bieti
ENSBTAP00000069746	ENSBTAG00000006294	Bos_taurus
ENSFALP00000014401	ENSFALG00000013801	Ficedula_albicollis
ENSCHOP00000006580	ENSCHOG00000007445	Choloepus_hoffmanni
ENSJHYP00000006746	ENSJHYG00000005411	Junco_hyemalis
ENSEASP00005003224	ENSEASG00005002500	Equus_asinus_asinus
ENSPTEP00000018557	ENSPTEG00000019963	Piliocolobus_tephrosceles
ENSCJAP00000076922	ENSCJAG00000051517	Callithrix_jacchus
ENSCATP00000005965	ENSCATG00000018912	Cercocebus_atys
ENSMNEP00000006137	ENSMNEG00000027013	Macaca_nemestrina
ENSDNOP00000004917	ENSDNOG00000006351	Dasypus_novemcinctus
ENSBIXP00005018552	ENSBIXG00005003696	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGGOP00000020702	ENSGGOG00000024963	Gorilla_gorilla
ENSPPYP00000019473	ENSPPYG00000017379	Pongo_abelii
ENSLCOP00000018079	ENSLCOG00000012782	Lepidothrix_coronata
ENSUPAP00010008200	ENSUPAG00010006598	Urocitellus_parryii
ENSVPAP00000003988	ENSVPAG00000004290	Vicugna_pacos
ENSMOCP00000004524	ENSMOCG00000003786	Microtus_ochrogaster
ENSBMUP00000012086	ENSBMUG00000009263	Bos_mutus
ENSCAFP00020030919	ENSCAFG00020024139	Canis_lupus_dingo
ENSCAFP00020026927	ENSCAFG00020021130	Canis_lupus_dingo
ENSCCEP00000025564	ENSCCEG00000022550	Cyanistes_caeruleus
ENSTGEP00000029927	ENSTGEG00000024036	Theropithecus_gelada
ENSCHIP00000014384	ENSCHIG00000015443	Capra_hircus
ENSCPUP00000015159	ENSCPUG00000010562	Calidris_pugnax
ENSPTRP00000068202	ENSPTRG00000043332	Pan_troglodytes
ENSCANP00000025297	ENSCANG00000036075	Colobus_angolensis_palliatus
ENSMFAP00000012164	ENSMFAG00000022213	Macaca_fascicularis
ENSCATP00000016107	ENSCATG00000031993	Cercocebus_atys
ENSCATP00000035584	ENSCATG00000040640	Cercocebus_atys
ENSPPAP00000019695	ENSPPAG00000033063	Pan_paniscus
ENSVURP00010010788	ENSVURG00010008330	Vombatus_ursinus
ENSPSIP00000012484	ENSPSIG00000011253	Pelodiscus_sinensis
ENSOARP00000019943	ENSOARG00000018577	Ovis_aries
ENSCAFP00000033727	ENSCAFG00000008062	Canis_lupus_familiaris
ENSRROP00000023513	ENSRROG00000035599	Rhinopithecus_roxellana
ENSLSDP00000009469	ENSLSDG00000007038	Lonchura_striata_domestica
MGP_SPRETEiJ_P0074966	MGP_SPRETEiJ_G0029014	Mus_spretus_strain_SPRET/EiJ
ENSCGRP00001015463	ENSCGRG00001016065	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPRP00000019751	ENSPPRG00000011025	Panthera_pardus
ENSUAMP00000004574	ENSUAMG00000004190	Ursus_americanus
ENSBBBP00000020115	ENSBBBG00000001536	Bison_bison_bison
ENSFCAP00000036426	ENSFCAG00000037096	Felis_catus
ENSJJAP00000016487	ENSJJAG00000018319	Jaculus_jaculus
