ENSPCIP00000026082	ENSPCIG00000019582	Phascolarctos_cinereus	ENSPCIT00000032122
ENSVURP00010020765	ENSVURG00010015873	Vombatus_ursinus	ENSVURT00010023644
ENSMEUP00000002180	ENSMEUG00000002383	Notamacropus_eugenii	ENSMEUT00000002394
ENSSHAP00000017269	ENSSHAG00000014681	Sarcophilus_harrisii	ENSSHAT00000017413
ENSMODP00000002495	ENSMODG00000002047	Monodelphis_domestica	ENSMODT00000002547
ENSSARP00000004170	ENSSARG00000004572	Sorex_araneus
ENSMSIP00000016071	ENSMSIG00000013816	Mus_spicilegus
MGP_CAROLIEiJ_P0036212	MGP_CAROLIEiJ_G0019112	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0084318	MGP_PahariEiJ_G0030129	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069969	ENSRNOG00000060949	Rattus_norvegicus
ENSMUGP00000016025	ENSMUGG00000013747	Meriones_unguiculatus
ENSJJAP00000009064	ENSJJAG00000013050	Jaculus_jaculus
ENSCCNP00000033464	ENSCCNG00000031664	Castor_canadensis
ENSDORP00000018785	ENSDORG00000029296	Dipodomys_ordii
ENSDNOP00000026804	ENSDNOG00000045634	Dasypus_novemcinctus
ENSOANP00000016920	ENSOANG00000010667	Ornithorhynchus_anatinus
ENSCCEP00000019029	ENSCCEG00000017312	Cyanistes_caeruleus
ENSPMJP00000021573	ENSPMJG00000016025	Parus_major
ENSFALP00000007737	ENSFALG00000007413	Ficedula_albicollis
ENSTGUP00000008248	ENSTGUG00000007926	Taeniopygia_guttata
ENSTGUP00000017355	ENSTGUG00000017066	Taeniopygia_guttata
ENSSCAP00000023958	ENSSCAG00000017149	Serinus_canaria
ENSZALP00000015802	ENSZALG00000012901	Zonotrichia_albicollis
ENSMVIP00005024202	ENSMVIG00005016970	Manacus_vitellinus
ENSLCOP00000009605	ENSLCOG00000006725	Lepidothrix_coronata
ENSJHYP00000024005	ENSJHYG00000018045	Junco_hyemalis
ENSLSDP00000023739	ENSLSDG00000016714	Lonchura_striata_domestica
ENSMUNP00000018314	ENSMUNG00000014013	Melopsittacus_undulatus
ENSCPUP00000012869	ENSCPUG00000009142	Calidris_pugnax
ENSCPGP00000026357	ENSCPGG00000018172	Calidris_pygmaea
ENSABRP00000014658	ENSABRG00000012940	Anser_brachyrhynchus
ENSAPLP00000017484	ENSAPLG00000018995	Anas_platyrhynchos_platyrhynchos
ENSGALP00000009563	ENSGALG00000005956	Gallus_gallus
ENSCJPP00005023884	ENSCJPG00005018871	Coturnix_japonica
ENSMGAP00000008014	ENSMGAG00000007826	Meleagris_gallopavo
ENSNMEP00000001917	ENSNMEG00000002456	Numida_meleagris
ENSDNVP00000015403	ENSDNVG00000010855	Dromaius_novaehollandiae
ENSNPEP00000017341	ENSNPEG00000012742	Nothoprocta_perdicaria
ENSAHAP00000022908	ENSAHAG00000016008	Apteryx_haastii
ENSARWP00000009689	ENSARWG00000006671	Apteryx_rowi
ENSAOWP00000004639	ENSAOWG00000003218	Apteryx_owenii
ENSCPRP00005000542	ENSCPRG00005000442	Crocodylus_porosus
ENSGAGP00000013886	ENSGAGG00000010579	Gopherus_agassizii
ENSCABP00000019803	ENSCABG00000014508	Chelonoidis_abingdonii
ENSCPBP00000003482	ENSCPBG00000002788	Chrysemys_picta_bellii
ENSPSIP00000018675	ENSPSIG00000016517	Pelodiscus_sinensis
ENSSPUP00000012914	ENSSPUG00000009923	Sphenodon_punctatus
