ENSNMEP00000004019	ENSNMEG00000004490	Numida_meleagris
ENSRNOP00000072343	ENSRNOG00000008600	Rattus_norvegicus
ENSMUGP00000024572	ENSMUGG00000020516	Meriones_unguiculatus
ENSPEMP00000010746	ENSPEMG00000011614	Peromyscus_maniculatus_bairdii
ENSMOCP00000006846	ENSMOCG00000006535	Microtus_ochrogaster
ENSCGRP00000009528	ENSCGRG00000006969	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001012658	ENSCGRG00001013995	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015021394	ENSCGRG00015016293	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019843	ENSMAUG00000018014	Mesocricetus_auratus
ENSNGAP00000013161	ENSNGAG00000014815	Nannospalax_galili
ENSJJAP00000006798	ENSJJAG00000011352	Jaculus_jaculus
ENSODEP00000004886	ENSODEG00000003707	Octodon_degus
ENSCLAP00000017118	ENSCLAG00000011750	Chinchilla_lanigera
ENSCPOP00000011116	ENSCPOG00000012354	Cavia_porcellus
ENSCAPP00000014791	ENSCAPG00000015085	Cavia_aperea
ENSHGLP00000016612	ENSHGLG00000011880	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020389	ENSHGLG00100015032	Heterocephalus_glaber_HetGla_1.0
ENSUPAP00010026758	ENSUPAG00010021146	Urocitellus_parryii
ENSMMMP00000015249	ENSMMMG00000013574	Marmota_marmota_marmota
ENSSTOP00000012761	ENSSTOG00000014242	Ictidomys_tridecemlineatus
ENSEEUP00000014150	ENSEEUG00000015492	Erinaceus_europaeus
ENSPTIP00000015487	ENSPTIG00000014534	Panthera_tigris_altaica
ENSMLUP00000001645	ENSMLUG00000001802	Myotis_lucifugus
ENSSDAP00000021619	ENSSDAG00000019653	Spermophilus_dauricus
ENSOPRP00000002013	ENSOPRG00000002184	Ochotona_princeps
ENSSARP00000010265	ENSSARG00000011326	Sorex_araneus
ENSCAFP00000063870	ENSCAFG00000012169	Canis_lupus_familiaris
ENSMLEP00000040453	ENSMLEG00000044240	Mandrillus_leucophaeus
ENSVURP00010009156	ENSVURG00010007100	Vombatus_ursinus
ENSPCIP00000033485	ENSPCIG00000024846	Phascolarctos_cinereus
ENSMEUP00000009465	ENSMEUG00000010367	Notamacropus_eugenii
ENSXETP00000029323	ENSXETG00000007711	Xenopus_tropicalis
ENSLACP00000017127	ENSLACG00000015092	Latimeria_chalumnae
ENSHHUP00000041466	ENSHHUG00000025616	Hucho_hucho
ENSHHUP00000047146	ENSHHUG00000028649	Hucho_hucho
ENSAMXP00000033869	ENSAMXG00000029394	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPMGP00000007023	ENSPMGG00000005861	Periophthalmus_magnuspinnatus
ENSHCOP00000014778	ENSHCOG00000018229	Hippocampus_comes
ENSTRUP00000031417	ENSTRUG00000012408	Takifugu_rubripes
ENSTNIP00000020112	ENSTNIG00000016989	Tetraodon_nigroviridis
ENSMMOP00000026154	ENSMMOG00000019830	Mola_mola
ENSLCRP00005018897	ENSLCRG00005007769	Larimichthys_crocea
ENSCSEP00000024909	ENSCSEG00000015907	Cynoglossus_semilaevis
ENSSLDP00000011787	ENSSLDG00000009367	Seriola_lalandi_dorsalis
ENSSDUP00000012069	ENSSDUG00000008733	Seriola_dumerili
ENSLCAP00010016771	ENSLCAG00010007948	Lates_calcarifer
ENSLBEP00000017702	ENSLBEG00000013649	Labrus_bergylta
ENSLBEP00000002862	ENSLBEG00000001503	Labrus_bergylta
ENSSMAP00000018404	ENSSMAG00000011273	Scophthalmus_maximus
ENSBSLP00000037543	ENSBSLG00000018316	Betta_splendens
ENSMAMP00000016925	ENSMAMG00000011450	Mastacembelus_armatus
ENSMALP00000023822	ENSMALG00000016594	Monopterus_albus
ENSGACP00000007648	ENSGACG00000005790	Gasterosteus_aculeatus
ENSXMAP00000002888	ENSXMAG00000002876	Xiphophorus_maculatus
ENSXCOP00000026987	ENSXCOG00000020160	Xiphophorus_couchianus
ENSGAFP00000023249	ENSGAFG00000015701	Gambusia_affinis
ENSPFOP00000006701	ENSPFOG00000006726	Poecilia_formosa
ENSPLAP00000016624	ENSPLAG00000020822	Poecilia_latipinna
ENSPMEP00000013447	ENSPMEG00000015750	Poecilia_mexicana
ENSPREP00000007158	ENSPREG00000004917	Poecilia_reticulata
ENSCVAP00000023507	ENSCVAG00000006868	Cyprinodon_variegatus
ENSORLP00000039270	ENSORLG00000011030	Oryzias_latipes_ASM223467v1
ENSORLP00020018168	ENSORLG00020000795	Oryzias_latipes_ASM223471v1
ENSORLP00015010170	ENSORLG00015010997	Oryzias_latipes_ASM223469v1
ENSPNYP00000012281	ENSPNYG00000009297	Pundamilia_nyererei
ENSACIP00000027678	ENSACIG00000021196	Amphilophus_citrinellus
ENSAPOP00000018012	ENSAPOG00000021310	Acanthochromis_polyacanthus
ENSAOCP00000005084	ENSAOCG00000008564	Amphiprion_ocellaris
ENSSPAP00000021800	ENSSPAG00000016473	Stegastes_partitus
ENSGWIP00000039084	ENSGWIG00000019890	Gouania_willdenowi
ENSGMOP00000007279	ENSGMOG00000006844	Gadus_morhua
ENSHHUP00000047178	ENSHHUG00000028683	Hucho_hucho
ENSHHUP00000030950	ENSHHUG00000019694	Hucho_hucho
ENSCHAP00000039148	ENSCHAG00000018364	Clupea_harengus
ENSDCDP00000053312	ENSDCDG00000032003	Denticeps_clupeoides
ENSAMXP00005035287	ENSAMXG00005016941	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000032151	ENSAMXG00000031491	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000020891	ENSPNAG00000027953	Pygocentrus_nattereri
ENSEEEP00000029257	ENSEEEG00000014023	Electrophorus_electricus
ENSIPUP00000031372	ENSIPUG00000021122	Ictalurus_punctatus
ENSDARP00000093359	ENSDARG00000070094	Danio_rerio
ENSSFOP00015033899	ENSSFOG00015021628	Scleropages_formosus
ENSPKIP00000005434	ENSPKIG00000022115	Paramormyrops_kingsleyae
ENSLOCP00000005734	ENSLOCG00000004774	Lepisosteus_oculatus
ENSECRP00000025535	ENSECRG00000017263	Erpetoichthys_calabaricus
ENSCMIP00000045653	ENSCMIG00000018815	Callorhinchus_milii
