ENSCAFP00000040112	ENSCAFG00000031195	Canis_lupus_familiaris
ENSHGLP00000007071	ENSHGLG00000005163	Heterocephalus_glaber_HetGla_female_1.0
ENSUMAP00000033933	ENSUMAG00000024453	Ursus_maritimus
ENSTBEP00000007569	ENSTBEG00000008732	Tupaia_belangeri	ENSTBET00000008735
ENSFCAP00000056368	ENSFCAG00000026629	Felis_catus
ENSBBBP00000001722	ENSBBBG00000008727	Bison_bison_bison
ENSCSAP00000011175	ENSCSAG00000015097	Chlorocebus_sabaeus	ENSCSAT00000013166
ENSCGRP00000018181	ENSCGRG00000013228	Cricetulus_griseus_CriGri_1.0
ENSPCIP00000046432	ENSPCIG00000008453	Phascolarctos_cinereus
ENSPSMP00000018011	ENSPSMG00000012778	Prolemur_simus
ENSANAP00000019594	ENSANAG00000027579	Aotus_nancymaae
ENSTGEP00000019086	ENSTGEG00000015358	Theropithecus_gelada
ENSRROP00000035526	ENSRROG00000041253	Rhinopithecus_roxellana
ENSPKIP00000018151	ENSPKIG00000003822	Paramormyrops_kingsleyae
ENSMLUP00000019614	ENSMLUG00000022209	Myotis_lucifugus	ENSMLUT00000022576
ENSJJAP00000001928	ENSJJAG00000002964	Jaculus_jaculus
ENSCLAP00000008047	ENSCLAG00000005635	Chinchilla_lanigera
ENSEASP00005034100	ENSEASG00005023319	Equus_asinus_asinus
ENSLAFP00000006219	ENSLAFG00000007392	Loxodonta_africana
ENSCAPP00000018170	ENSCAPG00000017640	Cavia_aperea
ENSMAUP00000018352	ENSMAUG00000016961	Mesocricetus_auratus
ENSDNOP00000018904	ENSDNOG00000036975	Dasypus_novemcinctus
MGP_CAROLIEiJ_P0056340	MGP_CAROLIEiJ_G0024711	Mus_caroli_strain_CAROLI_EIJ
ENSPVAP00000003346	ENSPVAG00000003539	Pteropus_vampyrus
ENSOPRP00000009884	ENSOPRG00000010822	Ochotona_princeps
ENSPEMP00000003991	ENSPEMG00000006010	Peromyscus_maniculatus_bairdii
ENSPTEP00000012367	ENSPTEG00000013879	Piliocolobus_tephrosceles	ENSPTET00000018615
ENSMOCP00000010073	ENSMOCG00000010275	Microtus_ochrogaster
ENSNLEP00000026386	ENSNLEG00000029433	Nomascus_leucogenys
ENSCHOP00000002717	ENSCHOG00000003065	Choloepus_hoffmanni
ENSBIXP00000014908	ENSBIXG00000019515	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMMUP00000064426	ENSMMUG00000012228	Macaca_mulatta
ENSPPYP00000012429	ENSPPYG00000011123	Pongo_abelii
ENSTTRP00000003750	ENSTTRG00000003983	Tursiops_truncatus
ENSCANP00000017802	ENSCANG00000032333	Colobus_angolensis_palliatus
