ENSPMAP00000000365	ENSPMAG00000000320	Petromyzon_marinus	ENSPMAT00000000365
ENSEBUP00000004547	ENSEBUG00000003103	Eptatretus_burgeri	ENSEBUT00000004986
ENSXETP00000013597	ENSXETG00000000820	Xenopus_tropicalis
ENSNGAP00000013952	ENSNGAG00000015382	Nannospalax_galili
ENSJJAP00000007562	ENSJJAG00000011918	Jaculus_jaculus
ENSHGLP00000025333	ENSHGLG00000018050	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001268	ENSHGLG00100001006	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010516	ENSFDAG00000006618	Fukomys_damarensis
ENSCLAP00000012110	ENSCLAG00000008350	Chinchilla_lanigera
ENSODEP00000016547	ENSODEG00000012188	Octodon_degus
ENSCPOP00000006389	ENSCPOG00000007085	Cavia_porcellus
ENSCAPP00000011897	ENSCAPG00000012869	Cavia_aperea
ENSUPAP00010016550	ENSUPAG00010013189	Urocitellus_parryii
ENSSDAP00000015654	ENSSDAG00000014095	Spermophilus_dauricus
ENSSTOP00000002477	ENSSTOG00000002757	Ictidomys_tridecemlineatus
ENSMMMP00000021992	ENSMMMG00000019338	Marmota_marmota_marmota
ENSOCUP00000037874	ENSOCUG00000005776	Oryctolagus_cuniculus
ENSOPRP00000012701	ENSOPRG00000013909	Ochotona_princeps
ENSBIXP00000019540	ENSBIXG00000004553	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005041076	ENSBIXG00005007078	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000003502	ENSBTAG00000002704	Bos_taurus
ENSBMUP00000001573	ENSBMUG00000001281	Bos_mutus
ENSBBBP00000013359	ENSBBBG00000021033	Bison_bison_bison
ENSCHIP00000024572	ENSCHIG00000021693	Capra_hircus
ENSOARP00000002533	ENSOARG00000002382	Ovis_aries
ENSTTRP00000011548	ENSTTRG00000012173	Tursiops_truncatus
ENSSSCP00000002598	ENSSSCG00000002397	Sus_scrofa_strain_reference
ENSVPAP00000001634	ENSVPAG00000001770	Vicugna_pacos
ENSECAP00000016525	ENSECAG00000018660	Equus_caballus
ENSEASP00005029508	ENSEASG00005020051	Equus_asinus_asinus
ENSUAMP00000014646	ENSUAMG00000011754	Ursus_americanus
ENSUMAP00000009870	ENSUMAG00000007338	Ursus_maritimus
ENSAMEP00000003987	ENSAMEG00000003754	Ailuropoda_melanoleuca
ENSMPUP00000008782	ENSMPUG00000008852	Mustela_putorius_furo
ENSNVIP00000018527	ENSNVIG00000014507	Neovison_vison
ENSCAFP00020001530	ENSCAFG00020001373	Canis_lupus_dingo
ENSCAFP00000025298	ENSCAFG00000017178	Canis_lupus_familiaris
ENSVVUP00000004170	ENSVVUG00000003287	Vulpes_vulpes
ENSPPRP00000019844	ENSPPRG00000011077	Panthera_pardus
ENSPTIP00000015905	ENSPTIG00000014855	Panthera_tigris_altaica
ENSFCAP00000054275	ENSFCAG00000011727	Felis_catus
ENSPVAP00000004599	ENSPVAG00000004854	Pteropus_vampyrus
ENSMLUP00000004686	ENSMLUG00000005125	Myotis_lucifugus
ENSSARP00000012650	ENSSARG00000013969	Sorex_araneus
ENSCHOP00000005962	ENSCHOG00000006731	Choloepus_hoffmanni
ENSDNOP00000027973	ENSDNOG00000046403	Dasypus_novemcinctus
ENSLAFP00000006856	ENSLAFG00000008172	Loxodonta_africana
ENSPCAP00000003255	ENSPCAG00000003403	Procavia_capensis
ENSETEP00000012504	ENSETEG00000015424	Echinops_telfairi
ENSEEUP00000000555	ENSEEUG00000000632	Erinaceus_europaeus
ENSMEUP00000011489	ENSMEUG00000012595	Notamacropus_eugenii
ENSPCIP00000036443	ENSPCIG00000026881	Phascolarctos_cinereus
ENSVURP00010021067	ENSVURG00010015807	Vombatus_ursinus
ENSMODP00000006753	ENSMODG00000005462	Monodelphis_domestica
ENSSHAP00000008172	ENSSHAG00000007082	Sarcophilus_harrisii
ENSOANP00000016791	ENSOANG00000010598	Ornithorhynchus_anatinus
ENSCHAP00000040153	ENSCHAG00000017895	Clupea_harengus
ENSDCDP00000049760	ENSDCDG00000030492	Denticeps_clupeoides
ENSIPUP00000030585	ENSIPUG00000020640	Ictalurus_punctatus
ENSEEEP00000035951	ENSEEEG00000017099	Electrophorus_electricus
ENSAMXP00005038461	ENSAMXG00005017763	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000045963	ENSAMXG00000011669	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000015878	ENSPNAG00000022035	Pygocentrus_nattereri
ENSDARP00000111637	ENSDARG00000055027	Danio_rerio
ENSMALP00000022431	ENSMALG00000015661	Monopterus_albus
ENSMAMP00000009589	ENSMAMG00000006414	Mastacembelus_armatus
ENSATEP00000003492	ENSATEG00000002391	Anabas_testudineus
ENSLCAP00010041784	ENSLCAG00010019551	Lates_calcarifer
ENSSMAP00000008639	ENSSMAG00000005328	Scophthalmus_maximus
ENSSLDP00000027990	ENSSLDG00000021674	Seriola_lalandi_dorsalis
ENSSDUP00000005641	ENSSDUG00000004165	Seriola_dumerili
ENSLCRP00005047481	ENSLCRG00005017660	Larimichthys_crocea
ENSLBEP00000000066	ENSLBEG00000000054	Labrus_bergylta
ENSCGOP00000036578	ENSCGOG00000016600	Cottoperca_gobio
ENSGACP00000007728	ENSGACG00000005826	Gasterosteus_aculeatus
ENSMMOP00000001824	ENSMMOG00000001525	Mola_mola
ENSTRUP00000039160	ENSTRUG00000015326	Takifugu_rubripes
ENSAOCP00000000908	ENSAOCG00000003815	Amphiprion_ocellaris
ENSAPEP00000015984	ENSAPEG00000011391	Amphiprion_percula
ENSAPOP00000008684	ENSAPOG00000010850	Acanthochromis_polyacanthus
ENSSPAP00000011784	ENSSPAG00000008910	Stegastes_partitus
ENSPRNP00000020653	ENSPRNG00000010746	Parambassis_ranga
ENSPFOP00000013993	ENSPFOG00000013840	Poecilia_formosa
ENSPLAP00000011118	ENSPLAG00000014176	Poecilia_latipinna
ENSPMEP00000010058	ENSPMEG00000011949	Poecilia_mexicana
ENSPREP00000028604	ENSPREG00000019362	Poecilia_reticulata
ENSXMAP00000014563	ENSXMAG00000014515	Xiphophorus_maculatus
ENSXCOP00000014319	ENSXCOG00000010857	Xiphophorus_couchianus
ENSGAFP00000025361	ENSGAFG00000017120	Gambusia_affinis
ENSFHEP00000016476	ENSFHEG00000018178	Fundulus_heteroclitus
ENSCVAP00000011174	ENSCVAG00000013401	Cyprinodon_variegatus
ENSKMAP00000002410	ENSKMAG00000001785	Kryptolebias_marmoratus
ENSORLP00020004794	ENSORLG00020005587	Oryzias_latipes_ASM223471v1
ENSORLP00000036698	ENSORLG00000027928	Oryzias_latipes_ASM223467v1
ENSORLP00015004309	ENSORLG00015000656	Oryzias_latipes_ASM223469v1
ENSOMEP00000018322	ENSOMEG00000020029	Oryzias_melastigma
ENSGWIP00000012007	ENSGWIG00000007018	Gouania_willdenowi
ENSMZEP00005012115	ENSMZEG00005009066	Maylandia_zebra
ENSHBUP00000032014	ENSHBUG00000018055	Haplochromis_burtoni
ENSACLP00000001723	ENSACLG00000001122	Astatotilapia_calliptera
ENSPNYP00000029056	ENSPNYG00000021894	Pundamilia_nyererei
ENSONIP00000015146	ENSONIG00000012033	Oreochromis_niloticus
ENSNBRP00000004315	ENSNBRG00000003366	Neolamprologus_brichardi
ENSACIP00000011354	ENSACIG00000008827	Amphilophus_citrinellus
ENSCSEP00000001213	ENSCSEG00000000842	Cynoglossus_semilaevis
ENSHCOP00000012157	ENSHCOG00000015150	Hippocampus_comes
ENSPMGP00000023659	ENSPMGG00000019120	Periophthalmus_magnuspinnatus
ENSGMOP00000016992	ENSGMOG00000015818	Gadus_morhua
ENSHHUP00000073575	ENSHHUG00000043151	Hucho_hucho
ENSELUP00000029529	ENSELUG00000006497	Esox_lucius
ENSSFOP00015037513	ENSSFOG00015023871	Scleropages_formosus
ENSPKIP00000017935	ENSPKIG00000003634	Paramormyrops_kingsleyae
ENSLOCP00000013197	ENSLOCG00000010763	Lepisosteus_oculatus
ENSECRP00000022256	ENSECRG00000015052	Erpetoichthys_calabaricus
ENSLACP00000015271	ENSLACG00000013442	Latimeria_chalumnae
ENSCMIP00000028705	ENSCMIG00000012445	Callorhinchus_milii
FBpp0307386	FBgn0086368	Drosophila_melanogaster
ENSCINP00000026045	ENSCING00000014390	Ciona_intestinalis
ENSCINP00000026044	ENSCING00000014389	Ciona_intestinalis
ENSCSAVP00000015810	ENSCSAVG00000009293	Ciona_savignyi
YAL023C_mRNA	YAL023C	Saccharomyces_cerevisiae_strain_S288C
YOR321W_mRNA	YOR321W	Saccharomyces_cerevisiae_strain_S288C
