ENSVURP00010001668	ENSVURG00010001229	Vombatus_ursinus	ENSVURT00010001906
ENSPCIP00000017819	ENSPCIG00000013595	Phascolarctos_cinereus	ENSPCIT00000021964
ENSMEUP00000013385	ENSMEUG00000014651	Notamacropus_eugenii	ENSMEUT00000014703
ENSSHAP00000014566	ENSSHAG00000012435	Sarcophilus_harrisii	ENSSHAT00000014688
ENSMODP00000008018	ENSMODG00000006464	Monodelphis_domestica	ENSMODT00000008181
ENSPCAP00000014797	ENSPCAG00000015794	Procavia_capensis	ENSPCAT00000015819
ENSETEP00000003791	ENSETEG00000004637	Echinops_telfairi	ENSETET00000004638
ENSLAFP00000005429	ENSLAFG00000006465	Loxodonta_africana	ENSLAFT00000006467
ENSNLEP00000029626	ENSNLEG00000000338	Nomascus_leucogenys
ENSMUSP00000075721	ENSMUSG00000020271	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0027456	MGP_SPRETEiJ_G0017030	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000028041	ENSMSIG00000023614	Mus_spicilegus
MGP_CAROLIEiJ_P0026107	MGP_CAROLIEiJ_G0016189	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0032878	MGP_PahariEiJ_G0017325	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069447	ENSRNOG00000004395	Rattus_norvegicus
ENSMUGP00000007571	ENSMUGG00000006798	Meriones_unguiculatus
ENSCGRP00001015427	ENSCGRG00001016029	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025203	ENSCGRG00000018249	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015027387	ENSCGRG00015020670	Cricetulus_griseus_CriGri-PICR
ENSCGRP00015019329	ENSCGRG00015014855	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003020	ENSMAUG00000003046	Mesocricetus_auratus
ENSMOCP00000005626	ENSMOCG00000005139	Microtus_ochrogaster
ENSPEMP00000014960	ENSPEMG00000014614	Peromyscus_maniculatus_bairdii
ENSNGAP00000004968	ENSNGAG00000006880	Nannospalax_galili
ENSJJAP00000020343	ENSJJAG00000021043	Jaculus_jaculus
ENSJJAP00000014180	ENSJJAG00000016712	Jaculus_jaculus
ENSJJAP00000021435	ENSJJAG00000021804	Jaculus_jaculus
ENSDORP00000009185	ENSDORG00000009769	Dipodomys_ordii
ENSCPOP00000031139	ENSCPOG00000009582	Cavia_porcellus
ENSCAPP00000016235	ENSCAPG00000016168	Cavia_aperea
ENSODEP00000002249	ENSODEG00000001754	Octodon_degus
ENSCLAP00000019975	ENSCLAG00000013691	Chinchilla_lanigera
ENSHGLP00100015980	ENSHGLG00100011791	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000015185	ENSHGLG00000010874	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005496	ENSHGLG00100004170	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017555	ENSHGLG00000012558	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000001834	ENSFDAG00000011716	Fukomys_damarensis
ENSUPAP00010028094	ENSUPAG00010022184	Urocitellus_parryii
ENSUPAP00010020840	ENSUPAG00010016534	Urocitellus_parryii
ENSSDAP00000015384	ENSSDAG00000013743	Spermophilus_dauricus
ENSMMMP00000011599	ENSMMMG00000010309	Marmota_marmota_marmota
ENSSTOP00000022482	ENSSTOG00000023506	Ictidomys_tridecemlineatus
ENSCCNP00000006155	ENSCCNG00000006410	Castor_canadensis
ENSEEUP00000003494	ENSEEUG00000003838	Erinaceus_europaeus
ENSBIXP00000009538	ENSBIXG00000007340	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005037566	ENSBIXG00005006031	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000066952	ENSBTAG00000015376	Bos_taurus
ENSBMUP00000023621	ENSBMUG00000017679	Bos_mutus
ENSBBBP00000002724	ENSBBBG00000011859	Bison_bison_bison
ENSOARP00000003880	ENSOARG00000003635	Ovis_aries
ENSCHIP00000015006	ENSCHIG00000015807	Capra_hircus
ENSTTRP00000011549	ENSTTRG00000012176	Tursiops_truncatus
ENSSSCP00000047891	ENSSSCG00000023307	Sus_scrofa_strain_reference
ENSVPAP00000002428	ENSVPAG00000002626	Vicugna_pacos
ENSEASP00005017202	ENSEASG00005011915	Equus_asinus_asinus
ENSECAP00000054903	ENSECAG00000011756	Equus_caballus
ENSUAMP00000032203	ENSUAMG00000024505	Ursus_americanus
ENSUMAP00000034252	ENSUMAG00000024650	Ursus_maritimus
ENSAMEP00000011713	ENSAMEG00000011107	Ailuropoda_melanoleuca
ENSCAFP00000043770	ENSCAFG00000016890	Canis_lupus_familiaris
ENSCAFP00020011148	ENSCAFG00020008756	Canis_lupus_dingo
ENSVVUP00000003303	ENSVVUG00000002484	Vulpes_vulpes
ENSNVIP00000028737	ENSNVIG00000022157	Neovison_vison
ENSMPUP00000012674	ENSMPUG00000012769	Mustela_putorius_furo
ENSPPRP00000022078	ENSPPRG00000012730	Panthera_pardus
ENSPTIP00000025874	ENSPTIG00000021490	Panthera_tigris_altaica
ENSFCAP00000049129	ENSFCAG00000027834	Felis_catus
ENSPVAP00000002237	ENSPVAG00000002369	Pteropus_vampyrus
ENSMLUP00000005761	ENSMLUG00000006302	Myotis_lucifugus
ENSTBEP00000008070	ENSTBEG00000009311	Tupaia_belangeri
ENSCHOP00000003994	ENSCHOG00000004514	Choloepus_hoffmanni
ENSDNOP00000006494	ENSDNOG00000008383	Dasypus_novemcinctus
ENSOANP00000012408	ENSOANG00000007791	Ornithorhynchus_anatinus
ENSPVIP00000025290	ENSPVIG00000018950	Pogona_vitticeps
ENSACAP00000015533	ENSACAG00000015716	Anolis_carolinensis
ENSNSUP00000001138	ENSNSUG00000000968	Notechis_scutatus
ENSSMRP00000029571	ENSSMRG00000022723	Salvator_merianae
ENSSPUP00000000221	ENSSPUG00000000231	Sphenodon_punctatus
ENSMVIP00005000853	ENSMVIG00005000701	Manacus_vitellinus
ENSLCOP00000007287	ENSLCOG00000005361	Lepidothrix_coronata
ENSSCAP00000023212	ENSSCAG00000016643	Serinus_canaria
ENSTGUP00000015514	ENSTGUG00000015153	Taeniopygia_guttata
ENSZALP00000019989	ENSZALG00000015774	Zonotrichia_albicollis
ENSJHYP00000002366	ENSJHYG00000002000	Junco_hyemalis
ENSLSDP00000011213	ENSLSDG00000008230	Lonchura_striata_domestica
ENSTGUP00000015093	ENSTGUG00000014711	Taeniopygia_guttata
ENSFALP00000003432	ENSFALG00000003280	Ficedula_albicollis
ENSPMJP00000003209	ENSPMJG00000002817	Parus_major
ENSCCEP00000014078	ENSCCEG00000013465	Cyanistes_caeruleus
ENSCPGP00000021675	ENSCPGG00000015124	Calidris_pygmaea
ENSCPUP00000009640	ENSCPUG00000006854	Calidris_pugnax
ENSMUNP00000012055	ENSMUNG00000009502	Melopsittacus_undulatus
ENSGALP00000045042	ENSGALG00000002229	Gallus_gallus
ENSCJPP00005013477	ENSCJPG00005011372	Coturnix_japonica
ENSMGAP00000001034	ENSMGAG00000001511	Meleagris_gallopavo
ENSNMEP00000015636	ENSNMEG00000013895	Numida_meleagris
ENSABRP00000025538	ENSABRG00000021404	Anser_brachyrhynchus
ENSAPLP00000009703	ENSAPLG00000009963	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000013885	ENSAHAG00000009987	Apteryx_haastii
ENSAOWP00000028412	ENSAOWG00000019131	Apteryx_owenii
ENSARWP00000006770	ENSARWG00000004763	Apteryx_rowi
ENSNPEP00000004662	ENSNPEG00000003549	Nothoprocta_perdicaria
ENSDNVP00000003434	ENSDNVG00000002431	Dromaius_novaehollandiae
ENSCPRP00005004225	ENSCPRG00005003113	Crocodylus_porosus
ENSGAGP00000031040	ENSGAGG00000022295	Gopherus_agassizii
ENSCABP00000007433	ENSCABG00000005626	Chelonoidis_abingdonii
ENSCPBP00000030151	ENSCPBG00000021234	Chrysemys_picta_bellii
ENSPSIP00000013393	ENSPSIG00000011975	Pelodiscus_sinensis
ENSLACP00000005569	ENSLACG00000004950	Latimeria_chalumnae
ENSLOCP00000011844	ENSLOCG00000009701	Lepisosteus_oculatus
ENSLOCP00000011853	ENSLOCG00000009708	Lepisosteus_oculatus
ENSPKIP00000039600	ENSPKIG00000016883	Paramormyrops_kingsleyae
ENSSFOP00015006468	ENSSFOG00015004257	Scleropages_formosus
ENSPKIP00000018245	ENSPKIG00000003867	Paramormyrops_kingsleyae
ENSSFOP00015010606	ENSSFOG00015006862	Scleropages_formosus
ENSPREP00000002506	ENSPREG00000001563	Poecilia_reticulata
ENSPFOP00000000817	ENSPFOG00000000705	Poecilia_formosa
ENSXMAP00000031000	ENSXMAG00000028721	Xiphophorus_maculatus
ENSKMAP00000012468	ENSKMAG00000009338	Kryptolebias_marmoratus
ENSORLP00000005346	ENSORLG00000004271	Oryzias_latipes_ASM223467v1
ENSORLP00020030120	ENSORLG00020014432	Oryzias_latipes_ASM223471v1
ENSORLP00015020347	ENSORLG00015021502	Oryzias_latipes_ASM223469v1
ENSOMEP00000003037	ENSOMEG00000003951	Oryzias_melastigma
ENSHBUP00000026439	ENSHBUG00000009136	Haplochromis_burtoni
ENSPNYP00000002295	ENSPNYG00000001815	Pundamilia_nyererei
ENSONIP00000006230	ENSONIG00000004953	Oreochromis_niloticus
ENSBSLP00000046500	ENSBSLG00000021925	Betta_splendens
ENSMALP00000001962	ENSMALG00000001474	Monopterus_albus
ENSSMAP00000002624	ENSSMAG00000001650	Scophthalmus_maximus
ENSLBEP00000001765	ENSLBEG00000001402	Labrus_bergylta
ENSAOCP00000011347	ENSAOCG00000015654	Amphiprion_ocellaris
ENSAPOP00000023072	ENSAPOG00000004674	Acanthochromis_polyacanthus
ENSPRNP00000031870	ENSPRNG00000015978	Parambassis_ranga
ENSCSEP00000010020	ENSCSEG00000006420	Cynoglossus_semilaevis
ENSLCRP00005000177	ENSLCRG00005000112	Larimichthys_crocea
ENSMMOP00000003531	ENSMMOG00000002761	Mola_mola
ENSGACP00000023680	ENSGACG00000017925	Gasterosteus_aculeatus
ENSGMOP00000007297	ENSGMOG00000006866	Gadus_morhua
ENSHHUP00000088426	ENSHHUG00000051036	Hucho_hucho
ENSHHUP00000071494	ENSHHUG00000041663	Hucho_hucho
ENSELUP00000038565	ENSELUG00000018591	Esox_lucius
ENSAMXP00005001205	ENSAMXG00005000550	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000016233	ENSAMXG00000015774	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000026137	ENSPNAG00000011390	Pygocentrus_nattereri
ENSIPUP00000012960	ENSIPUG00000008770	Ictalurus_punctatus
ENSEEEP00000030466	ENSEEEG00000014090	Electrophorus_electricus
ENSDARP00000151798	ENSDARG00000104806	Danio_rerio
ENSDCDP00000050886	ENSDCDG00000030924	Denticeps_clupeoides
ENSCHAP00000002283	ENSCHAG00000001156	Clupea_harengus
ENSCHAP00000007122	ENSCHAG00000002113	Clupea_harengus
ENSDCDP00000062421	ENSDCDG00000035344	Denticeps_clupeoides
ENSAMXP00000032477	ENSAMXG00000018813	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005025489	ENSAMXG00005011278	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000033545	ENSPNAG00000022250	Pygocentrus_nattereri
ENSEEEP00000007709	ENSEEEG00000003398	Electrophorus_electricus
ENSIPUP00000029877	ENSIPUG00000020175	Ictalurus_punctatus
ENSDARP00000017497	ENSDARG00000017230	Danio_rerio
ENSHHUP00000074790	ENSHHUG00000043624	Hucho_hucho
ENSHHUP00000050434	ENSHHUG00000029956	Hucho_hucho
ENSELUP00000012988	ENSELUG00000013168	Esox_lucius
ENSMAMP00000009118	ENSMAMG00000006137	Mastacembelus_armatus
ENSATEP00000013889	ENSATEG00000009654	Anabas_testudineus
ENSHCOP00000011653	ENSHCOG00000014517	Hippocampus_comes
ENSACLP00000015270	ENSACLG00000010388	Astatotilapia_calliptera
ENSMZEP00005000532	ENSMZEG00005000515	Maylandia_zebra
ENSNBRP00000011401	ENSNBRG00000008857	Neolamprologus_brichardi
ENSFHEP00000001356	ENSFHEG00000002112	Fundulus_heteroclitus
ENSCVAP00000026079	ENSCVAG00000011394	Cyprinodon_variegatus
ENSPMEP00000023763	ENSPMEG00000005605	Poecilia_mexicana
ENSPLAP00000025587	ENSPLAG00000012751	Poecilia_latipinna
ENSGAFP00000022868	ENSGAFG00000015455	Gambusia_affinis
ENSSPAP00000022222	ENSSPAG00000016771	Stegastes_partitus
ENSAPEP00000021120	ENSAPEG00000015067	Amphiprion_percula
ENSSDUP00000031999	ENSSDUG00000022979	Seriola_dumerili
ENSSLDP00000002207	ENSSLDG00000001771	Seriola_lalandi_dorsalis
ENSTRUP00000002612	ENSTRUG00000001126	Takifugu_rubripes
ENSTNIP00000006019	ENSTNIG00000003432	Tetraodon_nigroviridis
ENSLCAP00010005320	ENSLCAG00010002586	Lates_calcarifer
ENSACIP00000019059	ENSACIG00000014780	Amphilophus_citrinellus
ENSCGOP00000003516	ENSCGOG00000001467	Cottoperca_gobio
ENSGWIP00000009576	ENSGWIG00000005695	Gouania_willdenowi
ENSPMGP00000026953	ENSPMGG00000021761	Periophthalmus_magnuspinnatus
ENSECRP00000024912	ENSECRG00000016867	Erpetoichthys_calabaricus
ENSCMIP00000048580	ENSCMIG00000019851	Callorhinchus_milii
K10B2.1b.2	WBGene00003009	Caenorhabditis_elegans_strain_N2
