ENSAPEP00000031886	ENSAPEG00000022650	Amphiprion_percula
ENSCPOP00000007305	ENSCPOG00000008124	Cavia_porcellus
ENSDNOP00000022645	ENSDNOG00000039694	Dasypus_novemcinctus
ENSETEP00000007215	ENSETEG00000008876	Echinops_telfairi
ENSPCAP00000001254	ENSPCAG00000001364	Procavia_capensis
ENSPCIP00000035753	ENSPCIG00000026420	Phascolarctos_cinereus
ENSVURP00010030804	ENSVURG00010023562	Vombatus_ursinus
ENSMODP00000048712	ENSMODG00000037992	Monodelphis_domestica
ENSSHAP00000016757	ENSSHAG00000014257	Sarcophilus_harrisii
ENSLACP00000008772	ENSLACG00000007752	Latimeria_chalumnae
ENSCMIP00000016362	ENSCMIG00000007887	Callorhinchus_milii
