ENSMMOP00000027343	ENSMMOG00000020682	Mola_mola
MGP_SPRETEiJ_P0082677	MGP_SPRETEiJ_G0030771	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0079344	MGP_CAROLIEiJ_G0029673	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0016216	MGP_PahariEiJ_G0012898	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031891	ENSRNOG00000026572	Rattus_norvegicus
ENSMUGP00000009894	ENSMUGG00000008774	Meriones_unguiculatus
ENSMUGP00000011333	ENSMUGG00000009908	Meriones_unguiculatus
ENSCGRP00001006701	ENSCGRG00001009105	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025839	ENSCGRG00015019624	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000023838	ENSCGRG00000017272	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000019095	ENSMAUG00000017471	Mesocricetus_auratus
ENSJJAP00000008859	ENSJJAG00000012913	Jaculus_jaculus
ENSCCNP00000031072	ENSCCNG00000029634	Castor_canadensis
ENSHGLP00100025822	ENSHGLG00100018939	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000022883	ENSHGLG00000016322	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003226	ENSFDAG00000012732	Fukomys_damarensis
ENSCLAP00000011980	ENSCLAG00000008267	Chinchilla_lanigera
ENSCPOP00000031954	ENSCPOG00000007696	Cavia_porcellus
ENSSDAP00000013674	ENSSDAG00000012367	Spermophilus_dauricus
ENSSTOP00000025761	ENSSTOG00000029566	Ictidomys_tridecemlineatus
ENSUPAP00010018341	ENSUPAG00010014576	Urocitellus_parryii
ENSMMMP00000009098	ENSMMMG00000008136	Marmota_marmota_marmota
ENSOPRP00000000444	ENSOPRG00000000480	Ochotona_princeps
ENSDNOP00000024108	ENSDNOG00000049625	Dasypus_novemcinctus
ENSCHOP00000005131	ENSCHOG00000005801	Choloepus_hoffmanni
ENSETEP00000004927	ENSETEG00000006071	Echinops_telfairi
