ENSOMEP00000018746	ENSOMEG00000020515	Oryzias_melastigma
ENSMUNP00000006143	ENSMUNG00000004961	Melopsittacus_undulatus
ENSCGOP00000006969	ENSCGOG00000003392	Cottoperca_gobio
ENSMLUP00000010168	ENSMLUG00000011107	Myotis_lucifugus
ENSPTIP00000004021	ENSPTIG00000006630	Panthera_tigris_altaica
ENSGMOP00000020781	ENSGMOG00000019315	Gadus_morhua
ENSPLAP00000006114	ENSPLAG00000008276	Poecilia_latipinna
ENSCGRP00015008870	ENSCGRG00015006865	Cricetulus_griseus_CriGri-PICR
ENSSMRP00000026622	ENSSMRG00000020567	Salvator_merianae	ENSSMRT00000031110
ENSMSIP00000011767	ENSMSIG00000010265	Mus_spicilegus
ENSSPAP00000030833	ENSSPAG00000023126	Stegastes_partitus
ENSANAP00000006391	ENSANAG00000021226	Aotus_nancymaae
ENSPCIP00000002516	ENSPCIG00000002034	Phascolarctos_cinereus
ENSUPAP00010024175	ENSUPAG00010019170	Urocitellus_parryii
ENSFDAP00000021423	ENSFDAG00000007712	Fukomys_damarensis
ENSBTAP00000061697	ENSBTAG00000017610	Bos_taurus
ENSXETP00000046105	ENSXETG00000019668	Xenopus_tropicalis
ENSHBUP00000023788	ENSHBUG00000004775	Haplochromis_burtoni
ENSTBEP00000005255	ENSTBEG00000006050	Tupaia_belangeri
MGP_CAROLIEiJ_P0087132	MGP_CAROLIEiJ_G0031939	Mus_caroli_strain_CAROLI_EIJ
ENSONIP00000006304	ENSONIG00000005012	Oreochromis_niloticus
ENSOANP00000000909	ENSOANG00000000576	Ornithorhynchus_anatinus
ENSMUGP00000021930	ENSMUGG00000018434	Meriones_unguiculatus
ENSSTOP00000024517	ENSSTOG00000001991	Ictidomys_tridecemlineatus
ENSLBEP00000005880	ENSLBEG00000004532	Labrus_bergylta
ENSMOCP00000022497	ENSMOCG00000019510	Microtus_ochrogaster
ENSAPEP00000034250	ENSAPEG00000024317	Amphiprion_percula
ENSCHAP00000001736	ENSCHAG00000001116	Clupea_harengus
ENSSPUP00000001622	ENSSPUG00000001270	Sphenodon_punctatus	ENSSPUT00000001711
ENSRBIP00000008128	ENSRBIG00000027930	Rhinopithecus_bieti
ENSLCAP00010017883	ENSLCAG00010008508	Lates_calcarifer
ENSLOCP00000001321	ENSLOCG00000001152	Lepisosteus_oculatus
ENSCHOP00000007869	ENSCHOG00000008881	Choloepus_hoffmanni
ENSIPUP00000036923	ENSIPUG00000024727	Ictalurus_punctatus
ENSEASP00005033505	ENSEASG00005022949	Equus_asinus_asinus
ENSAPLP00000004799	ENSAPLG00000005222	Anas_platyrhynchos_platyrhynchos
ENSJJAP00000019921	ENSJJAG00000020737	Jaculus_jaculus
ENSCCNP00000010041	ENSCCNG00000010529	Castor_canadensis
ENSSDUP00000007578	ENSSDUG00000005511	Seriola_dumerili
FBpp0311967	FBgn0027503	Drosophila_melanogaster
ENSCGRP00000005273	ENSCGRG00000003857	Cricetulus_griseus_CriGri_1.0
ENSVVUP00000027084	ENSVVUG00000019898	Vulpes_vulpes
ENSCPRP00005001880	ENSCPRG00005001390	Crocodylus_porosus
ENSMEUP00000013300	ENSMEUG00000014545	Notamacropus_eugenii
ENSAOWP00000024018	ENSAOWG00000016203	Apteryx_owenii
ENSAPOP00000006275	ENSAPOG00000008071	Acanthochromis_polyacanthus
ENSEEUP00000012232	ENSEEUG00000013371	Erinaceus_europaeus
ENSACLP00000028277	ENSACLG00000019188	Astatotilapia_calliptera
ENSMFAP00000043112	ENSMFAG00000033711	Macaca_fascicularis
ENSGALP00000070098	ENSGALG00000001306	Gallus_gallus
ENSPEMP00000001859	ENSPEMG00000001755	Peromyscus_maniculatus_bairdii
ENSSSCP00000071517	ENSSSCG00000015242	Sus_scrofa_strain_reference
ENSDCDP00000013842	ENSDCDG00000009898	Denticeps_clupeoides
ENSHGLP00000001446	ENSHGLG00000001116	Heterocephalus_glaber_HetGla_female_1.0
ENSMMUP00000055004	ENSMMUG00000017547	Macaca_mulatta
ENSBMUP00000034457	ENSBMUG00000025645	Bos_mutus
ENSMALP00000020835	ENSMALG00000014539	Monopterus_albus
ENSSCAP00000024189	ENSSCAG00000017310	Serinus_canaria
ENSOGAP00000009594	ENSOGAG00000010718	Otolemur_garnettii
ENSCAFP00020012820	ENSCAFG00020010326	Canis_lupus_dingo
ENSLACP00000020568	ENSLACG00000018076	Latimeria_chalumnae
ENSCJAP00000053690	ENSCJAG00000009163	Callithrix_jacchus
ENSMVIP00005023019	ENSMVIG00005016153	Manacus_vitellinus
ENSPPRP00000015174	ENSPPRG00000007858	Panthera_pardus
ENSCHIP00000023113	ENSCHIG00000020816	Capra_hircus
ENSARWP00000024811	ENSARWG00000016892	Apteryx_rowi
ENSSFOP00015010212	ENSSFOG00015006568	Scleropages_formosus
ENSHCOP00000027847	ENSHCOG00000020060	Hippocampus_comes
ENSLAFP00000023055	ENSLAFG00000012588	Loxodonta_africana
ENSPPAP00000015118	ENSPPAG00000030699	Pan_paniscus
ENSNLEP00000009109	ENSNLEG00000007487	Nomascus_leucogenys
ENSXMAP00000028107	ENSXMAG00000011179	Xiphophorus_maculatus
ENSTGUP00000000538	ENSTGUG00000000523	Taeniopygia_guttata
ENSTSYP00000003947	ENSTSYG00000004306	Carlito_syrichta
ENSCAFP00000014990	ENSCAFG00000010199	Canis_lupus_familiaris
ENSCLAP00000022381	ENSCLAG00000015352	Chinchilla_lanigera
ENSPSMP00000010370	ENSPSMG00000007510	Prolemur_simus
ENSCVAP00000011693	ENSCVAG00000013990	Cyprinodon_variegatus
ENSCPGP00000007897	ENSCPGG00000005497	Calidris_pygmaea
ENSNPEP00000013619	ENSNPEG00000010184	Nothoprocta_perdicaria
ENSCABP00000007295	ENSCABG00000005338	Chelonoidis_abingdonii
ENSSHAP00000003809	ENSSHAG00000003352	Sarcophilus_harrisii
ENSRNOP00000071517	ENSRNOG00000008278	Rattus_norvegicus
ENSPNYP00000018596	ENSPNYG00000014015	Pundamilia_nyererei
ENSCSAP00000015829	ENSCSAG00000002206	Chlorocebus_sabaeus
ENSSBOP00000028662	ENSSBOG00000030676	Saimiri_boliviensis_boliviensis
ENSLCOP00000007467	ENSLCOG00000005500	Lepidothrix_coronata
ENSATEP00000028480	ENSATEG00000019611	Anabas_testudineus
