FBpp0070457	FBgn0024996	Drosophila_melanogaster	FBtr0070479
Y47H9C.7.1	WBGene00012950	Caenorhabditis_elegans_strain_N2	Y47H9C.7.1
ENSCCEP00000021120	ENSCCEG00000019158	Cyanistes_caeruleus
ENSSHAP00000021327	ENSSHAG00000018075	Sarcophilus_harrisii
ENSMODP00000007514	ENSMODG00000006061	Monodelphis_domestica
ENSMODP00000018193	ENSMODG00000014565	Monodelphis_domestica
ENSXETP00000000692	ENSXETG00000002848	Xenopus_tropicalis
ENSLACP00000020876	ENSLACG00000018341	Latimeria_chalumnae
ENSCHAP00000021901	ENSCHAG00000010922	Clupea_harengus
ENSDCDP00000005773	ENSDCDG00000002807	Denticeps_clupeoides
ENSAMXP00000014135	ENSAMXG00000013730	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005034594	ENSAMXG00005016670	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000015238	ENSPNAG00000021288	Pygocentrus_nattereri
ENSEEEP00000017353	ENSEEEG00000008568	Electrophorus_electricus
ENSIPUP00000023709	ENSIPUG00000016004	Ictalurus_punctatus
ENSDARP00000060688	ENSDARG00000041397	Danio_rerio
ENSCGOP00000027796	ENSCGOG00000013036	Cottoperca_gobio
ENSGACP00000013807	ENSGACG00000010441	Gasterosteus_aculeatus
ENSTRUP00000050639	ENSTRUG00000010849	Takifugu_rubripes
ENSTNIP00000019456	ENSTNIG00000016359	Tetraodon_nigroviridis
ENSLCRP00005033638	ENSLCRG00005013207	Larimichthys_crocea
ENSSMAP00000019626	ENSSMAG00000012038	Scophthalmus_maximus
ENSCSEP00000030771	ENSCSEG00000019706	Cynoglossus_semilaevis
ENSMALP00000003633	ENSMALG00000002631	Monopterus_albus
ENSAPEP00000001846	ENSAPEG00000001351	Amphiprion_percula
ENSAOCP00000003186	ENSAOCG00000006456	Amphiprion_ocellaris
ENSAPOP00000016393	ENSAPOG00000000548	Acanthochromis_polyacanthus
ENSSPAP00000028007	ENSSPAG00000021096	Stegastes_partitus
ENSBSLP00000015834	ENSBSLG00000008254	Betta_splendens
ENSLBEP00000036973	ENSLBEG00000027621	Labrus_bergylta
ENSSLDP00000001577	ENSSLDG00000001301	Seriola_lalandi_dorsalis
ENSSDUP00000020468	ENSSDUG00000014892	Seriola_dumerili
ENSPRNP00000038616	ENSPRNG00000019136	Parambassis_ranga
ENSGWIP00000006865	ENSGWIG00000004021	Gouania_willdenowi
ENSACLP00000019546	ENSACLG00000013294	Astatotilapia_calliptera
ENSMZEP00005021965	ENSMZEG00005016450	Maylandia_zebra
ENSPNYP00000010709	ENSPNYG00000008123	Pundamilia_nyererei
ENSHBUP00000010536	ENSHBUG00000012113	Haplochromis_burtoni
ENSNBRP00000024600	ENSNBRG00000018798	Neolamprologus_brichardi
ENSONIP00000019193	ENSONIG00000015252	Oreochromis_niloticus
ENSACIP00000005640	ENSACIG00000004446	Amphilophus_citrinellus
ENSFHEP00000021563	ENSFHEG00000001385	Fundulus_heteroclitus
ENSCVAP00000032674	ENSCVAG00000022891	Cyprinodon_variegatus
ENSXMAP00000004045	ENSXMAG00000004027	Xiphophorus_maculatus
ENSXCOP00000006670	ENSXCOG00000005161	Xiphophorus_couchianus
ENSGAFP00000014132	ENSGAFG00000009564	Gambusia_affinis
ENSPFOP00000008120	ENSPFOG00000008104	Poecilia_formosa
ENSPLAP00000004819	ENSPLAG00000006595	Poecilia_latipinna
ENSPMEP00000031307	ENSPMEG00000018375	Poecilia_mexicana
ENSPREP00000028769	ENSPREG00000019462	Poecilia_reticulata
ENSKMAP00000018959	ENSKMAG00000014088	Kryptolebias_marmoratus
ENSORLP00020000580	ENSORLG00020001281	Oryzias_latipes_ASM223471v1
ENSORLP00000033057	ENSORLG00000017494	Oryzias_latipes_ASM223467v1
ENSORLP00015016897	ENSORLG00015017894	Oryzias_latipes_ASM223469v1
ENSOMEP00000034892	ENSOMEG00000021791	Oryzias_melastigma
ENSLCAP00010017903	ENSLCAG00010008491	Lates_calcarifer
ENSMAMP00000026520	ENSMAMG00000017801	Mastacembelus_armatus
ENSATEP00000010112	ENSATEG00000007102	Anabas_testudineus
ENSMMOP00000020658	ENSMMOG00000015719	Mola_mola
ENSHCOP00000021248	ENSHCOG00000007914	Hippocampus_comes
ENSPMGP00000021210	ENSPMGG00000017185	Periophthalmus_magnuspinnatus
ENSGMOP00000011803	ENSGMOG00000011032	Gadus_morhua
ENSHHUP00000086349	ENSHHUG00000049987	Hucho_hucho
ENSHHUP00000080214	ENSHHUG00000046634	Hucho_hucho
ENSELUP00000003737	ENSELUG00000004938	Esox_lucius
ENSPKIP00000016551	ENSPKIG00000002826	Paramormyrops_kingsleyae
ENSSFOP00015037669	ENSSFOG00015023976	Scleropages_formosus
ENSLOCP00000012856	ENSLOCG00000010473	Lepisosteus_oculatus
ENSECRP00000019045	ENSECRG00000012733	Erpetoichthys_calabaricus
ENSCMIP00000028830	ENSCMIG00000012495	Callorhinchus_milii
ENSPMAP00000003194	ENSPMAG00000002926	Petromyzon_marinus
ENSEBUP00000019641	ENSEBUG00000012191	Eptatretus_burgeri
ENSCINP00000027323	ENSCING00000004197	Ciona_intestinalis
ENSCSAVP00000012541	ENSCSAVG00000007363	Ciona_savignyi
YLR291C_mRNA	YLR291C	Saccharomyces_cerevisiae_strain_S288C
