ENSPCIP00000010756	ENSPCIG00000008733	Phascolarctos_cinereus	ENSPCIT00000013458
ENSPCIP00000018047	ENSPCIG00000013807	Phascolarctos_cinereus	ENSPCIT00000022291
ENSVURP00010031579	ENSVURG00010024133	Vombatus_ursinus	ENSVURT00010035963
ENSSHAP00000005912	ENSSHAG00000005156	Sarcophilus_harrisii	ENSSHAT00000005966
ENSOANP00000021370	ENSOANG00000013550	Ornithorhynchus_anatinus
ENSMUSP00000047968	ENSMUSG00000033208	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0023491	MGP_CAROLIEiJ_G0015464	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0086650	MGP_PahariEiJ_G0030878	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001743	ENSRNOG00000001295	Rattus_norvegicus
ENSMUGP00000027889	ENSMUGG00000023182	Meriones_unguiculatus
ENSMUGP00000025770	ENSMUGG00000021506	Meriones_unguiculatus
ENSCGRP00000003317	ENSCGRG00000002440	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015024257	ENSCGRG00015018453	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000016726	ENSMAUG00000015774	Mesocricetus_auratus
ENSPEMP00000036191	ENSPEMG00000024584	Peromyscus_maniculatus_bairdii
ENSMOCP00000023645	ENSMOCG00000020304	Microtus_ochrogaster
ENSNGAP00000016328	ENSNGAG00000017093	Nannospalax_galili
ENSJJAP00000008157	ENSJJAG00000012400	Jaculus_jaculus
ENSHGLP00000018311	ENSHGLG00000013120	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005868	ENSHGLG00100004432	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000002478	ENSFDAG00000012173	Fukomys_damarensis
ENSCAPP00000013314	ENSCAPG00000013963	Cavia_aperea
ENSCPOP00000026644	ENSCPOG00000037925	Cavia_porcellus
ENSCLAP00000013088	ENSCLAG00000009038	Chinchilla_lanigera
ENSNVIP00000011818	ENSNVIG00000009347	Neovison_vison	ENSNVIT00000013847
ENSMPUP00000001325	ENSMPUG00000001336	Mustela_putorius_furo
ENSCAFP00020026309	ENSCAFG00020020683	Canis_lupus_dingo
ENSCAFP00000018025	ENSCAFG00000012228	Canis_lupus_familiaris
ENSVVUP00000027985	ENSVVUG00000020498	Vulpes_vulpes
ENSSSCP00000033357	ENSSSCG00000035756	Sus_scrofa_strain_reference
ENSECAP00000010116	ENSECAG00000012395	Equus_caballus
ENSEASP00005003442	ENSEASG00005002667	Equus_asinus_asinus
ENSMLUP00000022765	ENSMLUG00000022882	Myotis_lucifugus
ENSMLUP00000021757	ENSMLUG00000029005	Myotis_lucifugus
ENSOARP00000014399	ENSOARG00000013432	Ovis_aries
ENSCHIP00000024202	ENSCHIG00000021487	Capra_hircus
ENSBIXP00000043616	ENSBIXG00000007845	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013616	ENSBIXG00005017738	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000022980	ENSBMUG00000017272	Bos_mutus
ENSBTAP00000063447	ENSBTAG00000004777	Bos_taurus
ENSBBBP00000022387	ENSBBBG00000016247	Bison_bison_bison
ENSUAMP00000022746	ENSUAMG00000017862	Ursus_americanus
ENSAMEP00000001181	ENSAMEG00000001133	Ailuropoda_melanoleuca
ENSPPRP00000022288	ENSPPRG00000012850	Panthera_pardus
ENSPTIP00000012917	ENSPTIG00000012836	Panthera_tigris_altaica
ENSFCAP00000036720	ENSFCAG00000037747	Felis_catus
ENSOCUP00000001267	ENSOCUG00000001473	Oryctolagus_cuniculus
ENSDNOP00000026010	ENSDNOG00000045806	Dasypus_novemcinctus
ENSETEP00000009706	ENSETEG00000011962	Echinops_telfairi
ENSSARP00000010431	ENSSARG00000011560	Sorex_araneus
ENSLAFP00000012505	ENSLAFG00000014935	Loxodonta_africana
ENSGAGP00000015092	ENSGAGG00000011396	Gopherus_agassizii
ENSLACP00000006063	ENSLACG00000005382	Latimeria_chalumnae
ENSDCDP00000039999	ENSDCDG00000026423	Denticeps_clupeoides
ENSCHAP00000041676	ENSCHAG00000019461	Clupea_harengus
ENSAMXP00000036204	ENSAMXG00000032191	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005008090	ENSAMXG00005004751	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000000666	ENSPNAG00000000378	Pygocentrus_nattereri
ENSEEEP00000010764	ENSEEEG00000005447	Electrophorus_electricus
ENSIPUP00000009287	ENSIPUG00000006356	Ictalurus_punctatus
ENSDARP00000074756	ENSDARG00000057598	Danio_rerio
ENSHHUP00000078141	ENSHHUG00000045613	Hucho_hucho
ENSHHUP00000055841	ENSHHUG00000033385	Hucho_hucho
ENSELUP00000015844	ENSELUG00000015744	Esox_lucius
ENSLCRP00005036804	ENSLCRG00005014342	Larimichthys_crocea
ENSCGOP00000011895	ENSCGOG00000005909	Cottoperca_gobio
ENSLBEP00000013357	ENSLBEG00000010247	Labrus_bergylta
ENSMAMP00000033483	ENSMAMG00000022511	Mastacembelus_armatus
ENSATEP00000018623	ENSATEG00000012971	Anabas_testudineus
ENSSLDP00000015295	ENSSLDG00000012175	Seriola_lalandi_dorsalis
ENSSDUP00000021280	ENSSDUG00000015497	Seriola_dumerili
ENSLCAP00010029808	ENSLCAG00010014012	Lates_calcarifer
ENSAPEP00000005674	ENSAPEG00000004079	Amphiprion_percula
ENSAOCP00000017272	ENSAOCG00000002277	Amphiprion_ocellaris
ENSSPAP00000028834	ENSSPAG00000021703	Stegastes_partitus
ENSAPOP00000031324	ENSAPOG00000018559	Acanthochromis_polyacanthus
ENSACLP00000020649	ENSACLG00000014052	Astatotilapia_calliptera
ENSMZEP00005020895	ENSMZEG00005015684	Maylandia_zebra
ENSPNYP00000028695	ENSPNYG00000021618	Pundamilia_nyererei
ENSHBUP00000008111	ENSHBUG00000009598	Haplochromis_burtoni
ENSONIP00000015389	ENSONIG00000012218	Oreochromis_niloticus
ENSNBRP00000019776	ENSNBRG00000015237	Neolamprologus_brichardi
ENSACIP00000019305	ENSACIG00000014996	Amphilophus_citrinellus
ENSMALP00000009501	ENSMALG00000006756	Monopterus_albus
ENSBSLP00000020594	ENSBSLG00000010525	Betta_splendens
ENSPRNP00000031633	ENSPRNG00000015865	Parambassis_ranga
ENSCSEP00000008433	ENSCSEG00000005398	Cynoglossus_semilaevis
ENSMMOP00000013278	ENSMMOG00000010078	Mola_mola
ENSGACP00000020607	ENSGACG00000015622	Gasterosteus_aculeatus
ENSGAFP00000000411	ENSGAFG00000000329	Gambusia_affinis
ENSXMAP00000010456	ENSXMAG00000010438	Xiphophorus_maculatus
ENSPFOP00000006937	ENSPFOG00000007041	Poecilia_formosa
ENSPMEP00000009448	ENSPMEG00000011287	Poecilia_mexicana
ENSPLAP00000001523	ENSPLAG00000002615	Poecilia_latipinna
ENSPREP00000031998	ENSPREG00000021673	Poecilia_reticulata
ENSCVAP00000032826	ENSCVAG00000023198	Cyprinodon_variegatus
ENSFHEP00000028679	ENSFHEG00000000289	Fundulus_heteroclitus
ENSKMAP00000012469	ENSKMAG00000009342	Kryptolebias_marmoratus
ENSORLP00020028281	ENSORLG00020011664	Oryzias_latipes_ASM223471v1
ENSORLP00015030344	ENSORLG00015013974	Oryzias_latipes_ASM223469v1
ENSORLP00000033880	ENSORLG00000028907	Oryzias_latipes_ASM223467v1
ENSOMEP00000018073	ENSOMEG00000019763	Oryzias_melastigma
ENSOMEP00000029781	ENSOMEG00000013641	Oryzias_melastigma
ENSSMAP00000021278	ENSSMAG00000013046	Scophthalmus_maximus
ENSPMGP00000011214	ENSPMGG00000009296	Periophthalmus_magnuspinnatus
ENSPKIP00000025691	ENSPKIG00000008465	Paramormyrops_kingsleyae
ENSSFOP00015011051	ENSSFOG00015007156	Scleropages_formosus
ENSLOCP00000012786	ENSLOCG00000010431	Lepisosteus_oculatus
ENSECRP00000020075	ENSECRG00000013489	Erpetoichthys_calabaricus
ENSXETP00000016803	ENSXETG00000002970	Xenopus_tropicalis
ENSLACP00000018965	ENSLACG00000016685	Latimeria_chalumnae
ENSPMGP00000007215	ENSPMGG00000005737	Periophthalmus_magnuspinnatus
ENSMMOP00000004898	ENSMMOG00000003906	Mola_mola
ENSCHAP00000039313	ENSCHAG00000018431	Clupea_harengus
ENSIPUP00000008915	ENSIPUG00000006097	Ictalurus_punctatus
ENSTNIP00000009888	ENSTNIG00000007087	Tetraodon_nigroviridis
ENSTRUP00000030899	ENSTRUG00000012201	Takifugu_rubripes
ENSCSEP00000006019	ENSCSEG00000003871	Cynoglossus_semilaevis
ENSCGOP00000000857	ENSCGOG00000000503	Cottoperca_gobio
ENSGACP00000000565	ENSGACG00000000441	Gasterosteus_aculeatus
ENSSDUP00000004421	ENSSDUG00000003304	Seriola_dumerili
ENSSLDP00000006760	ENSSLDG00000005375	Seriola_lalandi_dorsalis
ENSSMAP00000008571	ENSSMAG00000005282	Scophthalmus_maximus
ENSLCAP00010055007	ENSLCAG00010025663	Lates_calcarifer
ENSMAMP00000009187	ENSMAMG00000006175	Mastacembelus_armatus
ENSMALP00000026899	ENSMALG00000018670	Monopterus_albus
ENSATEP00000035565	ENSATEG00000024437	Anabas_testudineus
ENSAOCP00000028594	ENSAOCG00000018318	Amphiprion_ocellaris
ENSAPEP00000011463	ENSAPEG00000008005	Amphiprion_percula
ENSAPOP00000007392	ENSAPOG00000009349	Acanthochromis_polyacanthus
ENSSPAP00000002109	ENSSPAG00000001620	Stegastes_partitus
ENSPRNP00000034612	ENSPRNG00000017376	Parambassis_ranga
ENSGWIP00000027175	ENSGWIG00000014230	Gouania_willdenowi
ENSXMAP00000003608	ENSXMAG00000003602	Xiphophorus_maculatus
ENSXCOP00000014011	ENSXCOG00000010250	Xiphophorus_couchianus
ENSPREP00000019714	ENSPREG00000013323	Poecilia_reticulata
ENSPMEP00000002021	ENSPMEG00000003020	Poecilia_mexicana
ENSPFOP00000016303	ENSPFOG00000016249	Poecilia_formosa
ENSPLAP00000021895	ENSPLAG00000006006	Poecilia_latipinna
ENSGAFP00000006133	ENSGAFG00000004003	Gambusia_affinis
ENSCVAP00000003609	ENSCVAG00000004806	Cyprinodon_variegatus
ENSKMAP00000020878	ENSKMAG00000015519	Kryptolebias_marmoratus
ENSORLP00015010584	ENSORLG00015011384	Oryzias_latipes_ASM223469v1
ENSORLP00000037576	ENSORLG00000026818	Oryzias_latipes_ASM223467v1
ENSORLP00020015084	ENSORLG00020016089	Oryzias_latipes_ASM223471v1
ENSOMEP00000034101	ENSOMEG00000020503	Oryzias_melastigma
ENSMZEP00005030785	ENSMZEG00005022934	Maylandia_zebra
ENSACLP00000007113	ENSACLG00000004804	Astatotilapia_calliptera
ENSPNYP00000025571	ENSPNYG00000019209	Pundamilia_nyererei
ENSHBUP00000024184	ENSHBUG00000005433	Haplochromis_burtoni
ENSNBRP00000015200	ENSNBRG00000011736	Neolamprologus_brichardi
ENSACIP00000029464	ENSACIG00000022715	Amphilophus_citrinellus
ENSLCRP00005064091	ENSLCRG00005023462	Larimichthys_crocea
ENSGMOP00000016208	ENSGMOG00000015150	Gadus_morhua
ENSELUP00000023542	ENSELUG00000022410	Esox_lucius
ENSHHUP00000053669	ENSHHUG00000032229	Hucho_hucho
ENSLOCP00000005111	ENSLOCG00000004277	Lepisosteus_oculatus
ENSECRP00000019693	ENSECRG00000013176	Erpetoichthys_calabaricus
ENSCMIP00000030328	ENSCMIG00000013054	Callorhinchus_milii
ENSPMAP00000001913	ENSPMAG00000001741	Petromyzon_marinus
