ENSCAFP00000029402	ENSCAFG00000019848	Canis_lupus_familiaris
ENSPPAP00000040496	ENSPPAG00000042886	Pan_paniscus
ENSNLEP00000044084	ENSNLEG00000035181	Nomascus_leucogenys
ENSTGEP00000012342	ENSTGEG00000010052	Theropithecus_gelada
ENSMNEP00000042558	ENSMNEG00000044005	Macaca_nemestrina
ENSSBOP00000001058	ENSSBOG00000003601	Saimiri_boliviensis_boliviensis
ENSCCAP00000034427	ENSCCAG00000035174	Cebus_capucinus_imitator
ENSCJAP00000018955	ENSCJAG00000010197	Callithrix_jacchus
ENSANAP00000005349	ENSANAG00000020746	Aotus_nancymaae
ENSTSYP00000024527	ENSTSYG00000010915	Carlito_syrichta
ENSMICP00000000411	ENSMICG00000000447	Microcebus_murinus
ENSPCOP00000021389	ENSPCOG00000022711	Propithecus_coquereli
ENSPSMP00000025458	ENSPSMG00000017852	Prolemur_simus
ENSOGAP00000019085	ENSOGAG00000024645	Otolemur_garnettii
ENSUPAP00010010518	ENSUPAG00010008510	Urocitellus_parryii
ENSSTOP00000018359	ENSSTOG00000023663	Ictidomys_tridecemlineatus
ENSCLAP00000009536	ENSCLAG00000006614	Chinchilla_lanigera
ENSODEP00000021780	ENSODEG00000016018	Octodon_degus
ENSCPOP00000017669	ENSCPOG00000023391	Cavia_porcellus
ENSCAPP00000013234	ENSCAPG00000013819	Cavia_aperea
ENSHGLP00000018011	ENSHGLG00000012898	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014328	ENSHGLG00100010592	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022309	ENSFDAG00000007073	Fukomys_damarensis
ENSCCNP00000014138	ENSCCNG00000014568	Castor_canadensis
ENSDORP00000006422	ENSDORG00000006853	Dipodomys_ordii
ENSMSIP00000023720	ENSMSIG00000019992	Mus_spicilegus
ENSMUSP00000028280	ENSMUSG00000026837	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0052559	MGP_SPRETEiJ_G0024262	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0050531	MGP_CAROLIEiJ_G0023345	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0061552	MGP_PahariEiJ_G0024802	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012334	ENSRNOG00000008749	Rattus_norvegicus
ENSMUGP00000005724	ENSMUGG00000005147	Meriones_unguiculatus
ENSPEMP00000001116	ENSPEMG00000000663	Peromyscus_maniculatus_bairdii
ENSMOCP00000016100	ENSMOCG00000015096	Microtus_ochrogaster
ENSCGRP00001006369	ENSCGRG00001008534	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015015725	ENSCGRG00015012082	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000511	ENSCGRG00000000444	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010205	ENSMAUG00000011031	Mesocricetus_auratus
ENSNGAP00000016650	ENSNGAG00000017290	Nannospalax_galili
ENSJJAP00000020530	ENSJJAG00000021138	Jaculus_jaculus
ENSOPRP00000009604	ENSOPRG00000010433	Ochotona_princeps
ENSOCUP00000031386	ENSOCUG00000025148	Oryctolagus_cuniculus	ENSOCUT00000046691
ENSLAFP00000008323	ENSLAFG00000009931	Loxodonta_africana
ENSPCAP00000006000	ENSPCAG00000006052	Procavia_capensis
ENSDNOP00000021664	ENSDNOG00000033051	Dasypus_novemcinctus
ENSECAP00000051142	ENSECAG00000042356	Equus_caballus
ENSPVAP00000016034	ENSPVAG00000016996	Pteropus_vampyrus
ENSAMEP00000011689	ENSAMEG00000010741	Ailuropoda_melanoleuca
ENSUMAP00000032823	ENSUMAG00000023640	Ursus_maritimus
ENSNVIP00000023752	ENSNVIG00000017863	Neovison_vison
ENSMPUP00000012061	ENSMPUG00000012157	Mustela_putorius_furo
ENSVVUP00000038613	ENSVVUG00000027529	Vulpes_vulpes
ENSCAFP00020031862	ENSCAFG00020024835	Canis_lupus_dingo
ENSFCAP00000045804	ENSFCAG00000040298	Felis_catus
ENSPPRP00000005793	ENSPPRG00000001612	Panthera_pardus
ENSBIXP00000003333	ENSBIXG00000000422	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000372	ENSBIXG00005030246	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000054985	ENSBTAG00000047998	Bos_taurus
ENSBMUP00000001377	ENSBMUG00000001071	Bos_mutus
ENSOARP00000002264	ENSOARG00000002129	Ovis_aries
ENSTTRP00000008672	ENSTTRG00000009041	Tursiops_truncatus
ENSSSCP00000006161	ENSSSCG00000005751	Sus_scrofa_strain_reference
ENSCMIP00000005936	ENSCMIG00000003417	Callorhinchus_milii
ENSHHUP00000041460	ENSHHUG00000025612	Hucho_hucho
ENSPTIP00000010259	ENSPTIG00000010989	Panthera_tigris_altaica
ENSMEUP00000011545	ENSMEUG00000012592	Notamacropus_eugenii
ENSPCIP00000053773	ENSPCIG00000018809	Phascolarctos_cinereus
ENSMODP00000016529	ENSMODG00000013206	Monodelphis_domestica
ENSSHAP00000020027	ENSSHAG00000016990	Sarcophilus_harrisii
ENSOANP00000006184	ENSOANG00000003903	Ornithorhynchus_anatinus
ENSCABP00000006045	ENSCABG00000004552	Chelonoidis_abingdonii
ENSCABP00000006049	ENSCABG00000004557	Chelonoidis_abingdonii
ENSGAGP00000012199	ENSGAGG00000009388	Gopherus_agassizii
ENSGAGP00000012151	ENSGAGG00000009353	Gopherus_agassizii
ENSCPBP00000029901	ENSCPBG00000020923	Chrysemys_picta_bellii
ENSPSIP00000018407	ENSPSIG00000015224	Pelodiscus_sinensis
ENSCPRP00005010845	ENSCPRG00005007720	Crocodylus_porosus
ENSABRP00000025889	ENSABRG00000021693	Anser_brachyrhynchus
ENSAPLP00000028322	ENSAPLG00000031220	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000007457	ENSMGAG00000006984	Meleagris_gallopavo
ENSCJPP00005009211	ENSCJPG00005008126	Coturnix_japonica
ENSGALP00000051075	ENSGALG00000002546	Gallus_gallus
ENSNMEP00000009770	ENSNMEG00000009380	Numida_meleagris
ENSCCEP00000006014	ENSCCEG00000006518	Cyanistes_caeruleus
ENSSCAP00000004143	ENSSCAG00000003403	Serinus_canaria
ENSPMJP00000007797	ENSPMJG00000006414	Parus_major
ENSLSDP00000003958	ENSLSDG00000003072	Lonchura_striata_domestica
ENSZALP00000001833	ENSZALG00000002212	Zonotrichia_albicollis
ENSJHYP00000007300	ENSJHYG00000005844	Junco_hyemalis
ENSMVIP00005016546	ENSMVIG00005011878	Manacus_vitellinus
ENSLCOP00000019977	ENSLCOG00000014157	Lepidothrix_coronata
ENSCPGP00000010131	ENSCPGG00000007202	Calidris_pygmaea
ENSMUNP00000000304	ENSMUNG00000000316	Melopsittacus_undulatus
ENSFALP00000001733	ENSFALG00000001664	Ficedula_albicollis
ENSTGUP00000006159	ENSTGUG00000005847	Taeniopygia_guttata
ENSAOWP00000007173	ENSAOWG00000004933	Apteryx_owenii
ENSAOWP00000007186	ENSAOWG00000004940	Apteryx_owenii
ENSARWP00000012197	ENSARWG00000008427	Apteryx_rowi
ENSAHAP00000011563	ENSAHAG00000008348	Apteryx_haastii
ENSDNVP00000017599	ENSDNVG00000012302	Dromaius_novaehollandiae
ENSNPEP00000018115	ENSNPEG00000013492	Nothoprocta_perdicaria
ENSACAP00000007585	ENSACAG00000007221	Anolis_carolinensis
ENSPVIP00000006247	ENSPVIG00000005190	Pogona_vitticeps
ENSSMRP00000025828	ENSSMRG00000019945	Salvator_merianae
ENSLACP00000021164	ENSLACG00000018593	Latimeria_chalumnae
ENSXETP00000033654	ENSXETG00000015274	Xenopus_tropicalis
ENSCMIP00000001767	ENSCMIG00000001103	Callorhinchus_milii
ENSPVIP00000032045	ENSPVIG00000023522	Pogona_vitticeps	ENSPVIT00000039247
ENSCAPP00000002456	ENSCAPG00000005382	Cavia_aperea	ENSCAPT00000005987
ENSCMIP00000021558	ENSCMIG00000009812	Callorhinchus_milii
ENSHHUP00000028973	ENSHHUG00000018477	Hucho_hucho
ENSHHUP00000020774	ENSHHUG00000013013	Hucho_hucho
ENSHHUP00000026998	ENSHHUG00000017090	Hucho_hucho
ENSACLP00000013435	ENSACLG00000009117	Astatotilapia_calliptera
ENSMZEP00005032692	ENSMZEG00005024351	Maylandia_zebra
ENSPMAP00000003199	ENSPMAG00000002925	Petromyzon_marinus
ENSSFOP00015017181	ENSSFOG00015011054	Scleropages_formosus
ENSPKIP00000012498	ENSPKIG00000000270	Paramormyrops_kingsleyae
ENSPKIP00000019035	ENSPKIG00000004349	Paramormyrops_kingsleyae
ENSSFOP00015031563	ENSSFOG00015020222	Scleropages_formosus
ENSDCDP00000029897	ENSDCDG00000019262	Denticeps_clupeoides
ENSHCOP00000005794	ENSHCOG00000007659	Hippocampus_comes
ENSHCOP00000005963	ENSHCOG00000007683	Hippocampus_comes
ENSPFOP00000014871	ENSPFOG00000012917	Poecilia_formosa
ENSPMEP00000005306	ENSPMEG00000006689	Poecilia_mexicana
ENSPREP00000031571	ENSPREG00000021379	Poecilia_reticulata
ENSPLAP00000023644	ENSPLAG00000009333	Poecilia_latipinna
ENSXMAP00000021938	ENSXMAG00000023352	Xiphophorus_maculatus
ENSXMAP00000018151	ENSXMAG00000017898	Xiphophorus_maculatus
ENSXCOP00000000867	ENSXCOG00000000698	Xiphophorus_couchianus
ENSGAFP00000021091	ENSGAFG00000014181	Gambusia_affinis
ENSFHEP00000021823	ENSFHEG00000001880	Fundulus_heteroclitus
ENSKMAP00000016990	ENSKMAG00000012663	Kryptolebias_marmoratus
ENSOMEP00000011956	ENSOMEG00000013314	Oryzias_melastigma
ENSOMEP00000011987	ENSOMEG00000013349	Oryzias_melastigma
ENSORLP00015032603	ENSORLG00015017514	Oryzias_latipes_ASM223469v1
ENSORLP00015016523	ENSORLG00015017501	Oryzias_latipes_ASM223469v1
ENSORLP00020027468	ENSORLG00020010579	Oryzias_latipes_ASM223471v1
ENSORLP00020009718	ENSORLG00020010605	Oryzias_latipes_ASM223471v1
ENSORLP00000004477	ENSORLG00000003591	Oryzias_latipes_ASM223467v1
ENSTNIP00000003924	ENSTNIG00000013443	Tetraodon_nigroviridis
ENSTRUP00000047467	ENSTRUG00000018538	Takifugu_rubripes
ENSMMOP00000006007	ENSMMOG00000004716	Mola_mola
ENSMMOP00000006015	ENSMMOG00000004721	Mola_mola
ENSGACP00000020995	ENSGACG00000015903	Gasterosteus_aculeatus
ENSCGOP00000017505	ENSCGOG00000008390	Cottoperca_gobio
ENSBSLP00000027868	ENSBSLG00000013355	Betta_splendens
ENSSDUP00000010618	ENSSDUG00000007761	Seriola_dumerili
ENSSDUP00000010580	ENSSDUG00000007557	Seriola_dumerili
ENSSLDP00000019614	ENSSLDG00000015379	Seriola_lalandi_dorsalis
ENSLCAP00010043620	ENSLCAG00010020278	Lates_calcarifer
ENSLCRP00005011008	ENSLCRG00005004998	Larimichthys_crocea
ENSSPAP00000006588	ENSSPAG00000005061	Stegastes_partitus
ENSSPAP00000006643	ENSSPAG00000005104	Stegastes_partitus
ENSNBRP00000011560	ENSNBRG00000009001	Neolamprologus_brichardi
ENSNBRP00000011526	ENSNBRG00000008750	Neolamprologus_brichardi
ENSMZEP00005005550	ENSMZEG00005004297	Maylandia_zebra
ENSMZEP00005005525	ENSMZEG00005004152	Maylandia_zebra
ENSPNYP00000002857	ENSPNYG00000002231	Pundamilia_nyererei
ENSPNYP00000003257	ENSPNYG00000002267	Pundamilia_nyererei
ENSACLP00000040879	ENSACLG00000027526	Astatotilapia_calliptera
ENSACLP00000040965	ENSACLG00000027546	Astatotilapia_calliptera
ENSHBUP00000008754	ENSHBUG00000010535	Haplochromis_burtoni
ENSONIP00000014107	ENSONIG00000011209	Oreochromis_niloticus
ENSATEP00000016436	ENSATEG00000011444	Anabas_testudineus
ENSATEP00000016396	ENSATEG00000011084	Anabas_testudineus
ENSMALP00000015133	ENSMALG00000010512	Monopterus_albus
ENSMALP00000015175	ENSMALG00000010667	Monopterus_albus
ENSMAMP00000028242	ENSMAMG00000018992	Mastacembelus_armatus
ENSMAMP00000028507	ENSMAMG00000019021	Mastacembelus_armatus
ENSAPOP00000003697	ENSAPOG00000005584	Acanthochromis_polyacanthus
ENSAPOP00000023658	ENSAPOG00000005629	Acanthochromis_polyacanthus
ENSAOCP00000010929	ENSAOCG00000015159	Amphiprion_ocellaris
ENSAOCP00000010739	ENSAOCG00000001051	Amphiprion_ocellaris
ENSAPEP00000033058	ENSAPEG00000023373	Amphiprion_percula
ENSSMAP00000018140	ENSSMAG00000011101	Scophthalmus_maximus
ENSSMAP00000018099	ENSSMAG00000010961	Scophthalmus_maximus
ENSCSEP00000023129	ENSCSEG00000014675	Cynoglossus_semilaevis
ENSLBEP00000033949	ENSLBEG00000025409	Labrus_bergylta
ENSPMGP00000020667	ENSPMGG00000016740	Periophthalmus_magnuspinnatus
ENSGMOP00000011861	ENSGMOG00000011051	Gadus_morhua
ENSHHUP00000073638	ENSHHUG00000043211	Hucho_hucho
ENSHHUP00000073616	ENSHHUG00000043199	Hucho_hucho
ENSHHUP00000073679	ENSHHUG00000043214	Hucho_hucho
ENSHHUP00000078148	ENSHHUG00000045604	Hucho_hucho
ENSEEEP00000010905	ENSEEEG00000005519	Electrophorus_electricus
ENSEEEP00000010910	ENSEEEG00000005524	Electrophorus_electricus
ENSAMXP00005012971	ENSAMXG00005006799	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000007185	ENSAMXG00000006785	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000015987	ENSPNAG00000022172	Pygocentrus_nattereri
ENSIPUP00000031477	ENSIPUG00000021157	Ictalurus_punctatus
ENSDARP00000120854	ENSDARG00000012593	Danio_rerio
ENSLOCP00000005613	ENSLOCG00000004625	Lepisosteus_oculatus
ENSEEUP00000012640	ENSEEUG00000013722	Erinaceus_europaeus
ENSSFOP00015017202	ENSSFOG00015011075	Scleropages_formosus
ENSPKIP00000026148	ENSPKIG00000008736	Paramormyrops_kingsleyae
ENSPLAP00000014719	ENSPLAG00000018475	Poecilia_latipinna
ENSPMEP00000003631	ENSPMEG00000004843	Poecilia_mexicana
ENSORLP00020002294	ENSORLG00020003044	Oryzias_latipes_ASM223471v1
ENSNBRP00000017485	ENSNBRG00000013499	Neolamprologus_brichardi
ENSSDAP00000010216	ENSSDAG00000009300	Spermophilus_dauricus
ENSMMMP00000014445	ENSMMMG00000012865	Marmota_marmota_marmota
ENSBBBP00000009844	ENSBBBG00000008562	Bison_bison_bison
ENSCAFP00020031866	ENSCAFG00020024839	Canis_lupus_dingo
ENSLAFP00000019299	ENSLAFG00000030773	Loxodonta_africana
ENSCHOP00000005698	ENSCHOG00000006387	Choloepus_hoffmanni
ENSCCEP00000006007	ENSCCEG00000006516	Cyanistes_caeruleus
ENSPMJP00000007800	ENSPMJG00000006420	Parus_major
ENSLCOP00000019976	ENSLCOG00000014155	Lepidothrix_coronata
ENSCPGP00000010004	ENSCPGG00000007129	Calidris_pygmaea
ENSZALP00000001832	ENSZALG00000002210	Zonotrichia_albicollis
ENSAPLP00000020214	ENSAPLG00000030433	Anas_platyrhynchos_platyrhynchos
ENSPVIP00000032046	ENSPVIG00000023524	Pogona_vitticeps	ENSPVIT00000039249
ENSSMRP00000022368	ENSSMRG00000017378	Salvator_merianae
ENSPVIP00000006249	ENSPVIG00000005193	Pogona_vitticeps
ENSMUNP00000004174	ENSMUNG00000003480	Melopsittacus_undulatus
ENSPMAP00000009999	ENSPMAG00000009086	Petromyzon_marinus
ENSEBUP00000007657	ENSEBUG00000004990	Eptatretus_burgeri
ENSAHAP00000011544	ENSAHAG00000008333	Apteryx_haastii
ENSARWP00000012196	ENSARWG00000008426	Apteryx_rowi
ENSNPEP00000018118	ENSNPEG00000013493	Nothoprocta_perdicaria
ENSMVIP00005016560	ENSMVIG00005011892	Manacus_vitellinus
ENSGAFP00000030841	ENSGAFG00000020789	Gambusia_affinis
ENSXCOP00000000810	ENSXCOG00000000692	Xiphophorus_couchianus
ENSHBUP00000027393	ENSHBUG00000010575	Haplochromis_burtoni
ENSSFOP00015012480	ENSSFOG00015008041	Scleropages_formosus
ENSEBUP00000004847	ENSEBUG00000003328	Eptatretus_burgeri
ENSPKIP00000018937	ENSPKIG00000004297	Paramormyrops_kingsleyae
ENSORLP00000044274	ENSORLG00000025318	Oryzias_latipes_ASM223467v1
