ENSNLEP00000000272	ENSNLEG00000000217	Nomascus_leucogenys
ENSAOWP00000012252	ENSAOWG00000008271	Apteryx_owenii
ENSUAMP00000033941	ENSUAMG00000025867	Ursus_americanus
ENSFDAP00000000323	ENSFDAG00000010619	Fukomys_damarensis
ENSLCRP00005056083	ENSLCRG00005020896	Larimichthys_crocea
ENSAPLP00000031711	ENSAPLG00000008995	Anas_platyrhynchos_platyrhynchos
ENSSDUP00000003383	ENSSDUG00000002588	Seriola_dumerili
ENSCCAP00000022533	ENSCCAG00000029040	Cebus_capucinus_imitator
ENSPMEP00000001288	ENSPMEG00000002181	Poecilia_mexicana
ENSPSMP00000021300	ENSPSMG00000015048	Prolemur_simus
ENSAMXP00000006603	ENSAMXG00000006425	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPREP00000009425	ENSPREG00000006383	Poecilia_reticulata
ENSTNIP00000017813	ENSTNIG00000014775	Tetraodon_nigroviridis
ENSKMAP00000026586	ENSKMAG00000019692	Kryptolebias_marmoratus
ENSSFOP00015015333	ENSSFOG00015009883	Scleropages_formosus
ENSPEMP00000032047	ENSPEMG00000017157	Peromyscus_maniculatus_bairdii
ENSPMJP00000017770	ENSPMJG00000013343	Parus_major
ENSELUP00000013092	ENSELUG00000013366	Esox_lucius
ENSCPBP00000030455	ENSCPBG00000021426	Chrysemys_picta_bellii
ENSMUGP00000002330	ENSMUGG00000002126	Meriones_unguiculatus
ENSNVIP00000004921	ENSNVIG00000003858	Neovison_vison
ENSDNVP00000025576	ENSDNVG00000017781	Dromaius_novaehollandiae
ENSGAGP00000004829	ENSGAGG00000003963	Gopherus_agassizii
ENSPNYP00000027786	ENSPNYG00000020880	Pundamilia_nyererei
ENSORLP00000027389	ENSORLG00000016877	Oryzias_latipes_ASM223467v1
ENSORLP00020034126	ENSORLG00020020505	Oryzias_latipes_ASM223471v1
ENSPTEP00000017858	ENSPTEG00000019355	Piliocolobus_tephrosceles
ENSSDUP00000001504	ENSSDUG00000001153	Seriola_dumerili
ENSACAP00000011775	ENSACAG00000011901	Anolis_carolinensis
ENSHHUP00000047822	ENSHHUG00000028844	Hucho_hucho
ENSPRNP00000009392	ENSPRNG00000005503	Parambassis_ranga
ENSACIP00000009579	ENSACIG00000007477	Amphilophus_citrinellus
ENSBIXP00005010539	ENSBIXG00005015219	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMAUP00000009457	ENSMAUG00000010595	Mesocricetus_auratus
ENSSMRP00000011468	ENSSMRG00000009016	Salvator_merianae
ENSMZEP00005029668	ENSMZEG00005022121	Maylandia_zebra
ENSPCAP00000000831	ENSPCAG00000000831	Procavia_capensis
ENSCPUP00000008168	ENSCPUG00000005885	Calidris_pugnax
ENSPMAP00000002736	ENSPMAG00000002499	Petromyzon_marinus
ENSHHUP00000024680	ENSHHUG00000015457	Hucho_hucho
ENSPFOP00000014917	ENSPFOG00000014796	Poecilia_formosa
ENSSSCP00000041967	ENSSSCG00000029744	Sus_scrofa_strain_reference
ENSMNEP00000032044	ENSMNEG00000039376	Macaca_nemestrina
ENSAPEP00000016248	ENSAPEG00000011519	Amphiprion_percula
ENSVURP00010030984	ENSVURG00010023684	Vombatus_ursinus
ENSARWP00000009933	ENSARWG00000006868	Apteryx_rowi
ENSCHAP00000028419	ENSCHAG00000013468	Clupea_harengus
ENSBSLP00000024059	ENSBSLG00000011981	Betta_splendens
ENSTGUP00000003017	ENSTGUG00000002915	Taeniopygia_guttata
ENSELUP00000042048	ENSELUG00000023113	Esox_lucius
ENSNBRP00000005584	ENSNBRG00000004374	Neolamprologus_brichardi
ENSGWIP00000023957	ENSGWIG00000012704	Gouania_willdenowi
ENSSBOP00000019020	ENSSBOG00000026081	Saimiri_boliviensis_boliviensis
ENSXETP00000035818	ENSXETG00000013864	Xenopus_tropicalis
ENSMGAP00000001713	ENSMGAG00000002149	Meleagris_gallopavo
ENSSTOP00000015226	ENSSTOG00000026564	Ictidomys_tridecemlineatus
ENSORLP00000004916	ENSORLG00000003935	Oryzias_latipes_ASM223467v1
ENSCGRP00015018247	ENSCGRG00015013479	Cricetulus_griseus_CriGri-PICR
ENSAPOP00000018308	ENSAPOG00000021691	Acanthochromis_polyacanthus
ENSMOCP00000017393	ENSMOCG00000016001	Microtus_ochrogaster
ENSUPAP00010005327	ENSUPAG00010004271	Urocitellus_parryii
ENSPVIP00000027996	ENSPVIG00000020802	Pogona_vitticeps
ENSSLDP00000022465	ENSSLDG00000017482	Seriola_lalandi_dorsalis
ENSHBUP00000030823	ENSHBUG00000016118	Haplochromis_burtoni
ENSPREP00000007422	ENSPREG00000005099	Poecilia_reticulata
ENSCLAP00000021120	ENSCLAG00000014474	Chinchilla_lanigera
ENSLCRP00005048483	ENSLCRG00005018214	Larimichthys_crocea
ENSCCNP00000003309	ENSCCNG00000003473	Castor_canadensis
ENSDARP00000073784	ENSDARG00000056805	Danio_rerio
ENSMLEP00000039900	ENSMLEG00000043970	Mandrillus_leucophaeus
ENSHCOP00000016850	ENSHCOG00000020722	Hippocampus_comes
ENSPANP00000015459	ENSPANG00000019039	Papio_anubis
ENSPPAP00000019238	ENSPPAG00000032779	Pan_paniscus
ENSPFOP00000000579	ENSPFOG00000000513	Poecilia_formosa
ENSMAMP00000023549	ENSMAMG00000015715	Mastacembelus_armatus
ENSPTRP00000000093	ENSPTRG00000000051	Pan_troglodytes
ENSLOCP00000006845	ENSLOCG00000005648	Lepisosteus_oculatus
ENSLAFP00000023538	ENSLAFG00000031674	Loxodonta_africana
ENSAPOP00000034431	ENSAPOG00000023712	Acanthochromis_polyacanthus
ENSTNIP00000000709	ENSTNIG00000003477	Tetraodon_nigroviridis
ENSHBUP00000022507	ENSHBUG00000003062	Haplochromis_burtoni
ENSPCIP00000042854	ENSPCIG00000034484	Phascolarctos_cinereus	ENSPCIT00000068390
ENSSPUP00000020937	ENSSPUG00000015751	Sphenodon_punctatus
ENSOARP00000019673	ENSOARG00000018329	Ovis_aries
ENSCANP00000003638	ENSCANG00000012729	Colobus_angolensis_palliatus
ENSATEP00000036264	ENSATEG00000024916	Anabas_testudineus
ENSOGAP00000009375	ENSOGAG00000010474	Otolemur_garnettii
ENSGAFP00000023144	ENSGAFG00000015620	Gambusia_affinis
ENSMFAP00000042665	ENSMFAG00000040083	Macaca_fascicularis
ENSMEUP00000000595	ENSMEUG00000000636	Notamacropus_eugenii
ENSHGLP00100018958	ENSHGLG00100013990	Heterocephalus_glaber_HetGla_1.0
ENSSHAP00000016166	ENSSHAG00000013759	Sarcophilus_harrisii
ENSCSAP00000017294	ENSCSAG00000000713	Chlorocebus_sabaeus
ENSLBEP00000021416	ENSLBEG00000016344	Labrus_bergylta
ENSOPRP00000007927	ENSOPRG00000008631	Ochotona_princeps
ENSDCDP00000022285	ENSDCDG00000017158	Denticeps_clupeoides
ENSAMEP00000014107	ENSAMEG00000013357	Ailuropoda_melanoleuca
ENSCAFP00000028689	ENSCAFG00000019405	Canis_lupus_familiaris
ENSCPGP00000018085	ENSCPGG00000012655	Calidris_pygmaea
ENSBSLP00000045073	ENSBSLG00000021475	Betta_splendens
ENSFHEP00000014237	ENSFHEG00000016005	Fundulus_heteroclitus
ENSGALP00000001828	ENSGALG00000001207	Gallus_gallus	ENSGALT00000001830
ENSPMEP00000031768	ENSPMEG00000019106	Poecilia_mexicana
ENSMPUP00000007610	ENSMPUG00000007665	Mustela_putorius_furo
ENSMICP00000000916	ENSMICG00000001008	Microcebus_murinus
ENSPRNP00000054158	ENSPRNG00000025476	Parambassis_ranga
ENSCGRP00001013617	ENSCGRG00001014670	Cricetulus_griseus_CHOK1GS_HDv1
ENSDCDP00000027433	ENSDCDG00000019820	Denticeps_clupeoides
MGP_SPRETEiJ_P0068809	MGP_SPRETEiJ_G0027874	Mus_spretus_strain_SPRET/EiJ
ENSMUNP00000020853	ENSMUNG00000015829	Melopsittacus_undulatus
ENSNPEP00000008366	ENSNPEG00000006032	Nothoprocta_perdicaria
ENSMMMP00000021570	ENSMMMG00000018967	Marmota_marmota_marmota
ENSBTAP00000066832	ENSBTAG00000002464	Bos_taurus
ENSXMAP00000017063	ENSXMAG00000017010	Xiphophorus_maculatus
ENSDORP00000002602	ENSDORG00000002772	Dipodomys_ordii
ENSMSIP00000019621	ENSMSIG00000016342	Mus_spicilegus
ENSFCAP00000061883	ENSFCAG00000009520	Felis_catus
ENSMODP00000031756	ENSMODG00000008162	Monodelphis_domestica	ENSMODT00000033330
ENSODEP00000012581	ENSODEG00000009322	Octodon_degus
ENSFHEP00000032324	ENSFHEG00000018800	Fundulus_heteroclitus
ENSTBEP00000010259	ENSTBEG00000011808	Tupaia_belangeri
ENSCAPP00000012325	ENSCAPG00000013152	Cavia_aperea
ENSNMEP00000005977	ENSNMEG00000005827	Numida_meleagris	ENSNMET00000010115
ENSCPOP00000026473	ENSCPOG00000019364	Cavia_porcellus
ENSABRP00000007237	ENSABRG00000006472	Anser_brachyrhynchus
ENSAOCP00000027896	ENSAOCG00000017471	Amphiprion_ocellaris
ENSPPYP00000002292	ENSPPYG00000001978	Pongo_abelii
ENSECAP00000032180	ENSECAG00000031378	Equus_caballus
ENSCVAP00000005222	ENSCVAG00000006737	Cyprinodon_variegatus
ENSHHUP00000085856	ENSHHUG00000049702	Hucho_hucho
ENSAMXP00005032283	ENSAMXG00005015730	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGGOP00000010001	ENSGGOG00000010243	Gorilla_gorilla
ENSZALP00000003078	ENSZALG00000003136	Zonotrichia_albicollis
ENSORLP00015015440	ENSORLG00015016353	Oryzias_latipes_ASM223469v1
ENSMUSP00000101256	ENSMUSG00000029055	Mus_musculus_strain_reference_(CL57BL6)
ENSHCOP00000024740	ENSHCOG00000014342	Hippocampus_comes
ENSSPAP00000010654	ENSSPAG00000008063	Stegastes_partitus
ENSCSEP00000006592	ENSCSEG00000004211	Cynoglossus_semilaevis
ENSBMUP00000031335	ENSBMUG00000023353	Bos_mutus
ENSVVUP00000038089	ENSVVUG00000027173	Vulpes_vulpes
ENSPTRP00000085242	ENSPTRG00000042736	Pan_troglodytes
ENSCVAP00000018139	ENSCVAG00000021409	Cyprinodon_variegatus
ENSBBBP00000023260	ENSBBBG00000017824	Bison_bison_bison
ENSOANP00000020218	ENSOANG00000012775	Ornithorhynchus_anatinus
ENSLCOP00000003299	ENSLCOG00000002470	Lepidothrix_coronata
ENSNGAP00000020710	ENSNGAG00000020057	Nannospalax_galili
ENSLCAP00010010650	ENSLCAG00010005076	Lates_calcarifer
ENSCPRP00005018340	ENSCPRG00005012713	Crocodylus_porosus
ENSCATP00000002791	ENSCATG00000011583	Cercocebus_atys
ENSFALP00000009937	ENSFALG00000009519	Ficedula_albicollis
ENSCJAP00000004575	ENSCJAG00000002498	Callithrix_jacchus
ENSPNAP00000012728	ENSPNAG00000018519	Pygocentrus_nattereri
ENSOMEP00000011074	ENSOMEG00000012519	Oryzias_melastigma
ENSRROP00000000283	ENSRROG00000000754	Rhinopithecus_roxellana
ENSNSUP00000000430	ENSNSUG00000000150	Notechis_scutatus
ENSEASP00005021015	ENSEASG00005014320	Equus_asinus_asinus
ENSCHIP00000001199	ENSCHIG00000002050	Capra_hircus
ENSRBIP00000014260	ENSRBIG00000031208	Rhinopithecus_bieti
ENSHGLP00000023911	ENSHGLG00000017046	Heterocephalus_glaber_HetGla_female_1.0
