ENSMAUP00000022712	ENSMAUG00000020068	Mesocricetus_auratus
ENSHGLP00000025693	ENSHGLG00000018289	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017943	ENSFDAG00000010205	Fukomys_damarensis
ENSCLAP00000024810	ENSCLAG00000017033	Chinchilla_lanigera
ENSCPOP00000019774	ENSCPOG00000022191	Cavia_porcellus
ENSOCUP00000019376	ENSOCUG00000021320	Oryctolagus_cuniculus
ENSOPRP00000000912	ENSOPRG00000000979	Ochotona_princeps
ENSTBEP00000008326	ENSTBEG00000009613	Tupaia_belangeri
ENSPVAP00000000392	ENSPVAG00000000422	Pteropus_vampyrus
ENSMLUP00000011111	ENSMLUG00000012180	Myotis_lucifugus
ENSEASP00005002502	ENSEASG00005001933	Equus_asinus_asinus
ENSECAP00000012903	ENSECAG00000014760	Equus_caballus
ENSBIXP00000013646	ENSBIXG00000018569	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005003028	ENSBIXG00005009648	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000053740	ENSBTAG00000015438	Bos_taurus
ENSBMUP00000006194	ENSBMUG00000004843	Bos_mutus
ENSBBBP00000000901	ENSBBBG00000010157	Bison_bison_bison
ENSCHIP00000026394	ENSCHIG00000022721	Capra_hircus
ENSOARP00000019035	ENSOARG00000017736	Ovis_aries
ENSTTRP00000006901	ENSTTRG00000007292	Tursiops_truncatus
ENSSSCP00000058015	ENSSSCG00000024692	Sus_scrofa_strain_reference
ENSUAMP00000018768	ENSUAMG00000013963	Ursus_americanus
ENSUMAP00000034595	ENSUMAG00000024888	Ursus_maritimus
ENSAMEP00000005665	ENSAMEG00000005309	Ailuropoda_melanoleuca
ENSMPUP00000001294	ENSMPUG00000001305	Mustela_putorius_furo
ENSNVIP00000018710	ENSNVIG00000014503	Neovison_vison
ENSCAFP00020035533	ENSCAFG00020027513	Canis_lupus_dingo
ENSCAFP00000034278	ENSCAFG00000005479	Canis_lupus_familiaris
ENSVVUP00000019067	ENSVVUG00000013194	Vulpes_vulpes
ENSPPRP00000009219	ENSPPRG00000003892	Panthera_pardus
ENSPTIP00000002748	ENSPTIG00000005432	Panthera_tigris_altaica
ENSFCAP00000010299	ENSFCAG00000011082	Felis_catus
ENSSARP00000005410	ENSSARG00000005889	Sorex_araneus
ENSEEUP00000010895	ENSEEUG00000011906	Erinaceus_europaeus
ENSPCAP00000012709	ENSPCAG00000013547	Procavia_capensis
ENSETEP00000005225	ENSETEG00000006432	Echinops_telfairi
ENSLAFP00000013153	ENSLAFG00000015681	Loxodonta_africana
ENSDNOP00000033877	ENSDNOG00000047811	Dasypus_novemcinctus
ENSVURP00010009076	ENSVURG00010006612	Vombatus_ursinus
ENSPCIP00000000789	ENSPCIG00000000650	Phascolarctos_cinereus
ENSMEUP00000005294	ENSMEUG00000005787	Notamacropus_eugenii
ENSOANP00000001985	ENSOANG00000001247	Ornithorhynchus_anatinus
ENSAMXP00000003580	ENSAMXG00000003499	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000011274	ENSPNAG00000016922	Pygocentrus_nattereri
ENSDARP00000118039	ENSDARG00000013763	Danio_rerio
ENSCHAP00000040801	ENSCHAG00000019098	Clupea_harengus
ENSMAMP00000029160	ENSMAMG00000019649	Mastacembelus_armatus
ENSMALP00000004905	ENSMALG00000003542	Monopterus_albus
ENSATEP00000024547	ENSATEG00000017047	Anabas_testudineus
ENSBSLP00000024434	ENSBSLG00000012429	Betta_splendens
ENSSDUP00000002170	ENSSDUG00000001688	Seriola_dumerili
ENSSLDP00000002584	ENSSLDG00000002088	Seriola_lalandi_dorsalis
ENSLCAP00010005079	ENSLCAG00010002575	Lates_calcarifer
ENSSMAP00000015473	ENSSMAG00000009485	Scophthalmus_maximus
ENSTNIP00000019737	ENSTNIG00000016631	Tetraodon_nigroviridis
ENSTRUP00000017549	ENSTRUG00000007143	Takifugu_rubripes
ENSMMOP00000003602	ENSMMOG00000002469	Mola_mola
ENSLCRP00005019432	ENSLCRG00005007950	Larimichthys_crocea
ENSCGOP00000042271	ENSCGOG00000019113	Cottoperca_gobio
ENSGACP00000006254	ENSGACG00000004737	Gasterosteus_aculeatus
ENSAOCP00000000551	ENSAOCG00000003400	Amphiprion_ocellaris
ENSAPEP00000032287	ENSAPEG00000022935	Amphiprion_percula
ENSAPOP00000000092	ENSAPOG00000001247	Acanthochromis_polyacanthus
ENSSPAP00000014682	ENSSPAG00000011084	Stegastes_partitus
ENSPRNP00000048098	ENSPRNG00000023053	Parambassis_ranga
ENSPNYP00000024431	ENSPNYG00000018464	Pundamilia_nyererei
ENSHBUP00000019248	ENSHBUG00000021403	Haplochromis_burtoni
ENSMZEP00005011882	ENSMZEG00005008901	Maylandia_zebra
ENSACLP00000037732	ENSACLG00000025482	Astatotilapia_calliptera
ENSNBRP00000016831	ENSNBRG00000013000	Neolamprologus_brichardi
ENSONIP00000012590	ENSONIG00000010011	Oreochromis_niloticus
ENSACIP00000010297	ENSACIG00000008006	Amphilophus_citrinellus
ENSPFOP00000017203	ENSPFOG00000017093	Poecilia_formosa
ENSPMEP00000027638	ENSPMEG00000012177	Poecilia_mexicana
ENSPLAP00000004012	ENSPLAG00000005613	Poecilia_latipinna
ENSPREP00000009595	ENSPREG00000006512	Poecilia_reticulata
ENSXMAP00000006173	ENSXMAG00000006142	Xiphophorus_maculatus
ENSXCOP00000012954	ENSXCOG00000009060	Xiphophorus_couchianus
ENSGAFP00000009088	ENSGAFG00000006174	Gambusia_affinis
ENSCVAP00000029454	ENSCVAG00000017232	Cyprinodon_variegatus
ENSFHEP00000023148	ENSFHEG00000003972	Fundulus_heteroclitus
ENSKMAP00000020103	ENSKMAG00000014934	Kryptolebias_marmoratus
ENSCSEP00000016722	ENSCSEG00000010758	Cynoglossus_semilaevis
ENSGWIP00000054003	ENSGWIG00000025889	Gouania_willdenowi
ENSHCOP00000023343	ENSHCOG00000011763	Hippocampus_comes
ENSORLP00015000479	ENSORLG00015001083	Oryzias_latipes_ASM223469v1
ENSORLP00020014974	ENSORLG00020015983	Oryzias_latipes_ASM223471v1
ENSORLP00000014882	ENSORLG00000011879	Oryzias_latipes_ASM223467v1
ENSOMEP00000034605	ENSOMEG00000021333	Oryzias_melastigma
ENSLBEP00000011308	ENSLBEG00000008721	Labrus_bergylta
ENSTRUP00000048802	ENSTRUG00000023209	Takifugu_rubripes
ENSPRNP00000048100	ENSPRNG00000023055	Parambassis_ranga
ENSPNAP00000036462	ENSPNAG00000004208	Pygocentrus_nattereri
ENSLBEP00000004426	ENSLBEG00000003401	Labrus_bergylta
ENSPMGP00000025839	ENSPMGG00000020841	Periophthalmus_magnuspinnatus
ENSGMOP00000019725	ENSGMOG00000018313	Gadus_morhua
ENSHHUP00000000608	ENSHHUG00000000420	Hucho_hucho
ENSHHUP00000073070	ENSHHUG00000042906	Hucho_hucho
ENSELUP00000012207	ENSELUG00000012506	Esox_lucius
ENSPKIP00000003350	ENSPKIG00000020891	Paramormyrops_kingsleyae
ENSSFOP00015008095	ENSSFOG00015005314	Scleropages_formosus
ENSHHUP00000056916	ENSHHUG00000033961	Hucho_hucho
ENSHHUP00000030015	ENSHHUG00000019118	Hucho_hucho
ENSELUP00000002387	ENSELUG00000003798	Esox_lucius
ENSCGOP00000029222	ENSCGOG00000013666	Cottoperca_gobio
ENSLBEP00000030773	ENSLBEG00000023247	Labrus_bergylta
ENSLCAP00010030537	ENSLCAG00010014371	Lates_calcarifer
ENSSLDP00000015892	ENSSLDG00000012621	Seriola_lalandi_dorsalis
ENSGMOP00000009837	ENSGMOG00000009195	Gadus_morhua
ENSAMXP00000004879	ENSAMXG00000004762	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005025249	ENSAMXG00005012801	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000020458	ENSPNAG00000005309	Pygocentrus_nattereri
ENSEEEP00000051917	ENSEEEG00000024361	Electrophorus_electricus
ENSDARP00000061116	ENSDARG00000041703	Danio_rerio
ENSCHAP00000003420	ENSCHAG00000002179	Clupea_harengus
ENSDCDP00000004270	ENSDCDG00000002144	Denticeps_clupeoides
ENSLOCP00000019307	ENSLOCG00000015682	Lepisosteus_oculatus
ENSECRP00000027250	ENSECRG00000018450	Erpetoichthys_calabaricus
ENSCMIP00000014951	ENSCMIG00000007336	Callorhinchus_milii
ENSLACP00000014415	ENSLACG00000012685	Latimeria_chalumnae
ENSXETP00000015932	ENSXETG00000019568	Xenopus_tropicalis
ENSAOWP00000015577	ENSAOWG00000010600	Apteryx_owenii
ENSAHAP00000007491	ENSAHAG00000005584	Apteryx_haastii
ENSARWP00000018422	ENSARWG00000012673	Apteryx_rowi
ENSDNVP00000001585	ENSDNVG00000001154	Dromaius_novaehollandiae
ENSNPEP00000004008	ENSNPEG00000003044	Nothoprocta_perdicaria
ENSAPLP00000000419	ENSAPLG00000000581	Anas_platyrhynchos_platyrhynchos
ENSABRP00000022359	ENSABRG00000018934	Anser_brachyrhynchus
ENSGALP00000069067	ENSGALG00000008676	Gallus_gallus
ENSMGAP00000006899	ENSMGAG00000006816	Meleagris_gallopavo
ENSCJPP00005004134	ENSCJPG00005004133	Coturnix_japonica
ENSNMEP00000011080	ENSNMEG00000010073	Numida_meleagris
ENSLSDP00000019709	ENSLSDG00000014002	Lonchura_striata_domestica
ENSTGUP00000006157	ENSTGUG00000005958	Taeniopygia_guttata
ENSSCAP00000016767	ENSSCAG00000012207	Serinus_canaria
ENSZALP00000007266	ENSZALG00000006479	Zonotrichia_albicollis
ENSJHYP00000018378	ENSJHYG00000013944	Junco_hyemalis
ENSFALP00000007904	ENSFALG00000007560	Ficedula_albicollis
ENSPMJP00000004819	ENSPMJG00000004155	Parus_major
ENSCCEP00000020945	ENSCCEG00000019003	Cyanistes_caeruleus
ENSMVIP00005019690	ENSMVIG00005013934	Manacus_vitellinus
ENSLCOP00000020877	ENSLCOG00000014779	Lepidothrix_coronata
ENSMUNP00000015751	ENSMUNG00000012138	Melopsittacus_undulatus
ENSCPGP00000028298	ENSCPGG00000019459	Calidris_pygmaea
ENSCPUP00000003683	ENSCPUG00000002821	Calidris_pugnax
ENSCPRP00005014323	ENSCPRG00005010096	Crocodylus_porosus
ENSGAGP00000027989	ENSGAGG00000020328	Gopherus_agassizii
ENSCABP00000010562	ENSCABG00000007897	Chelonoidis_abingdonii
ENSCPBP00000033517	ENSCPBG00000023436	Chrysemys_picta_bellii
ENSPVIP00000011531	ENSPVIG00000009049	Pogona_vitticeps
ENSACAP00000019760	ENSACAG00000013887	Anolis_carolinensis
ENSSMRP00000030674	ENSSMRG00000023501	Salvator_merianae
ENSSPUP00000012524	ENSSPUG00000009614	Sphenodon_punctatus
ENSPMAP00000008518	ENSPMAG00000007725	Petromyzon_marinus
ENSCPRP00005004826	ENSCPRG00005003475	Crocodylus_porosus
ENSEBUP00000024758	ENSEBUG00000015287	Eptatretus_burgeri
ENSMODP00000041976	ENSMODG00000038106	Monodelphis_domestica
FBpp0307033	FBgn0038535	Drosophila_melanogaster
