ENSSMAP00000011992	ENSSMAG00000007396	Scophthalmus_maximus
ENSSSCP00000049031	ENSSSCG00000033340	Sus_scrofa_strain_reference
ENSPSMP00000024801	ENSPSMG00000017476	Prolemur_simus
ENSMICP00000015569	ENSMICG00000017092	Microcebus_murinus
ENSPCOP00000028767	ENSPCOG00000027052	Propithecus_coquereli
ENSOGAP00000009948	ENSOGAG00000011115	Otolemur_garnettii
ENSHGLP00100006328	ENSHGLG00100004742	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012385	ENSHGLG00000008849	Heterocephalus_glaber_HetGla_female_1.0
ENSUAMP00000002981	ENSUAMG00000002737	Ursus_americanus
ENSUMAP00000005268	ENSUMAG00000004160	Ursus_maritimus	ENSUMAT00000006356
ENSFCAP00000034926	ENSFCAG00000035951	Felis_catus
ENSMODP00000057897	ENSMODG00000027879	Monodelphis_domestica
ENSMODP00000009389	ENSMODG00000007565	Monodelphis_domestica
ENSSHAP00000001983	ENSSHAG00000001765	Sarcophilus_harrisii
ENSMODP00000053075	ENSMODG00000048118	Monodelphis_domestica
ENSMODP00000048191	ENSMODG00000027792	Monodelphis_domestica
ENSMODP00000008125	ENSMODG00000006548	Monodelphis_domestica
ENSMODP00000030586	ENSMODG00000007406	Monodelphis_domestica
ENSPCIP00000010329	ENSPCIG00000008406	Phascolarctos_cinereus
ENSSHAP00000005206	ENSSHAG00000004555	Sarcophilus_harrisii
ENSMODP00000052309	ENSMODG00000042092	Monodelphis_domestica
ENSMODP00000042587	ENSMODG00000040346	Monodelphis_domestica
ENSMODP00000029843	ENSMODG00000007375	Monodelphis_domestica
ENSPCIP00000033823	ENSPCIG00000025076	Phascolarctos_cinereus
ENSSHAP00000002545	ENSSHAG00000002255	Sarcophilus_harrisii
ENSMODP00000056316	ENSMODG00000023665	Monodelphis_domestica
ENSVURP00010017852	ENSVURG00010013641	Vombatus_ursinus
ENSMODP00000051332	ENSMODG00000047511	Monodelphis_domestica
ENSPCIP00000023606	ENSPCIG00000017894	Phascolarctos_cinereus
ENSSHAP00000008366	ENSSHAG00000007248	Sarcophilus_harrisii
ENSMODP00000038252	ENSMODG00000025474	Monodelphis_domestica
ENSMEUP00000006539	ENSMEUG00000007157	Notamacropus_eugenii
ENSVURP00010017515	ENSVURG00010013360	Vombatus_ursinus
ENSSHAP00000007162	ENSSHAG00000006222	Sarcophilus_harrisii
ENSMODP00000052887	ENSMODG00000039251	Monodelphis_domestica
ENSSHAP00000000853	ENSSHAG00000000763	Sarcophilus_harrisii
ENSTTRP00000004060	ENSTTRG00000004316	Tursiops_truncatus
ENSOARP00000003922	ENSOARG00000003678	Ovis_aries
ENSNGAP00000007435	ENSNGAG00000010703	Nannospalax_galili
ENSMUGP00000030298	ENSMUGG00000025161	Meriones_unguiculatus
ENSVURP00010017539	ENSVURG00010013377	Vombatus_ursinus
ENSAMEP00000008778	ENSAMEG00000008342	Ailuropoda_melanoleuca
ENSECRP00000021425	ENSECRG00000014449	Erpetoichthys_calabaricus
ENSNSUP00000010197	ENSNSUG00000007765	Notechis_scutatus
ENSNSUP00000021298	ENSNSUG00000015474	Notechis_scutatus
ENSPVIP00000004447	ENSPVIG00000003615	Pogona_vitticeps
ENSSMRP00000013797	ENSSMRG00000010712	Salvator_merianae
ENSPSIP00000004137	ENSPSIG00000003902	Pelodiscus_sinensis
ENSPSIP00000000075	ENSPSIG00000000075	Pelodiscus_sinensis
ENSAMXP00005018466	ENSAMXG00005009618	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000013663	ENSAMXG00000013274	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000029991	ENSPNAG00000016459	Pygocentrus_nattereri
ENSPNAP00000024017	ENSPNAG00000008480	Pygocentrus_nattereri
ENSPNAP00000031806	ENSPNAG00000019413	Pygocentrus_nattereri
ENSAMXP00000035092	ENSAMXG00000029960	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000004481	ENSAMXG00000042593	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005031926	ENSAMXG00005015605	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000017371	ENSPNAG00000023624	Pygocentrus_nattereri
ENSAMXP00000020409	ENSAMXG00000039432	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000037048	ENSAMXG00000031794	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005039441	ENSAMXG00005018614	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00005006769	ENSAMXG00005004049	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000044568	ENSAMXG00000039977	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000006490	ENSPNAG00000002272	Pygocentrus_nattereri
ENSAMXP00005002748	ENSAMXG00005001660	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000048505	ENSAMXG00000042633	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000003215	ENSAMXG00000039700	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005009635	ENSAMXG00005005453	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00005053608	ENSAMXG00005024008	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000026862	ENSPNAG00000012215	Pygocentrus_nattereri
ENSIPUP00000022312	ENSIPUG00000015121	Ictalurus_punctatus
ENSAMXP00005012815	ENSAMXG00005006912	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSELUP00000031883	ENSELUG00000009575	Esox_lucius
ENSELUP00000033757	ENSELUG00000012093	Esox_lucius
ENSMZEP00005027589	ENSMZEG00005020574	Maylandia_zebra
ENSECRP00000029796	ENSECRG00000020229	Erpetoichthys_calabaricus
ENSECRP00000029128	ENSECRG00000019736	Erpetoichthys_calabaricus
ENSECRP00000031156	ENSECRG00000021126	Erpetoichthys_calabaricus
ENSECRP00000004547	ENSECRG00000003095	Erpetoichthys_calabaricus
ENSECRP00000001409	ENSECRG00000000975	Erpetoichthys_calabaricus
ENSECRP00000004151	ENSECRG00000002823	Erpetoichthys_calabaricus
ENSECRP00000028433	ENSECRG00000019255	Erpetoichthys_calabaricus
ENSECRP00000006652	ENSECRG00000004439	Erpetoichthys_calabaricus
ENSECRP00000001394	ENSECRG00000000972	Erpetoichthys_calabaricus
ENSECRP00000001610	ENSECRG00000001133	Erpetoichthys_calabaricus
ENSECRP00000000844	ENSECRG00000000562	Erpetoichthys_calabaricus
ENSECRP00000028794	ENSECRG00000019503	Erpetoichthys_calabaricus
ENSECRP00000003996	ENSECRG00000002727	Erpetoichthys_calabaricus
ENSECRP00000000926	ENSECRG00000000632	Erpetoichthys_calabaricus
ENSECRP00000026385	ENSECRG00000017832	Erpetoichthys_calabaricus
ENSECRP00000006688	ENSECRG00000004459	Erpetoichthys_calabaricus
ENSECRP00000003970	ENSECRG00000002716	Erpetoichthys_calabaricus
ENSECRP00000001925	ENSECRG00000001346	Erpetoichthys_calabaricus
ENSECRP00000021376	ENSECRG00000014418	Erpetoichthys_calabaricus
ENSKMAP00000000800	ENSKMAG00000000543	Kryptolebias_marmoratus	ENSKMAT00000000830
ENSCGOP00000010846	ENSCGOG00000005434	Cottoperca_gobio	ENSCGOT00000011747
ENSEBUP00000025487	ENSEBUG00000015711	Eptatretus_burgeri
