ENSNGAP00000022079	ENSNGAG00000021062	Nannospalax_galili
ENSAMXP00000022456	ENSAMXG00000021803	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBMUP00000010523	ENSBMUG00000008129	Bos_mutus
ENSGGOP00000004611	ENSGGOG00000004700	Gorilla_gorilla
ENSHBUP00000020410	ENSHBUG00000022678	Haplochromis_burtoni
ENSGMOP00000014480	ENSGMOG00000013546	Gadus_morhua
ENSXMAP00000001382	ENSXMAG00000001325	Xiphophorus_maculatus
ENSCHAP00000026216	ENSCHAG00000012683	Clupea_harengus
ENSPFOP00000003183	ENSPFOG00000002876	Poecilia_formosa
ENSBBBP00000013507	ENSBBBG00000021228	Bison_bison_bison
ENSPVIP00000011249	ENSPVIG00000008838	Pogona_vitticeps	ENSPVIT00000014257
ENSDORP00000011554	ENSDORG00000012293	Dipodomys_ordii
ENSMNEP00000037416	ENSMNEG00000041791	Macaca_nemestrina
ENSBTAP00000062332	ENSBTAG00000018419	Bos_taurus
ENSSPAP00000016216	ENSSPAG00000011311	Stegastes_partitus
ENSMMMP00000013278	ENSMMMG00000011810	Marmota_marmota_marmota
ENSDNOP00000008241	ENSDNOG00000010612	Dasypus_novemcinctus
ENSLACP00000004616	ENSLACG00000004110	Latimeria_chalumnae
MGP_CAROLIEiJ_P0036904	MGP_CAROLIEiJ_G0019319	Mus_caroli_strain_CAROLI_EIJ
ENSHGLP00000002352	ENSHGLG00000001787	Heterocephalus_glaber_HetGla_female_1.0
ENSTTRP00000008190	ENSTTRG00000008640	Tursiops_truncatus
ENSEEEP00000012146	ENSEEEG00000006124	Electrophorus_electricus
ENSFHEP00000018536	ENSFHEG00000020404	Fundulus_heteroclitus
ENSMFAP00000044710	ENSMFAG00000040628	Macaca_fascicularis
ENSMLEP00000002850	ENSMLEG00000011877	Mandrillus_leucophaeus
ENSCCAP00000003914	ENSCCAG00000018983	Cebus_capucinus_imitator
ENSGACP00000024950	ENSGACG00000018870	Gasterosteus_aculeatus
ENSSDUP00000019626	ENSSDUG00000014308	Seriola_dumerili
ENSCSAP00000011943	ENSCSAG00000015893	Chlorocebus_sabaeus
ENSPPAP00000031100	ENSPPAG00000038492	Pan_paniscus
ENSODEP00000004200	ENSODEG00000003204	Octodon_degus
ENSLOCP00000011346	ENSLOCG00000009300	Lepisosteus_oculatus
ENSVURP00010029872	ENSVURG00010022821	Vombatus_ursinus
ENSPREP00000013898	ENSPREG00000009430	Poecilia_reticulata
ENSBIXP00005044575	ENSBIXG00005028426	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGMOP00000004738	ENSGMOG00000004421	Gadus_morhua
ENSSMRP00000007817	ENSSMRG00000006254	Salvator_merianae	ENSSMRT00000009138
MGP_PahariEiJ_P0085013	MGP_PahariEiJ_G0030336	Mus_pahari_strain_PAHARI_EIJ
ENSORLP00020018592	ENSORLG00020019580	Oryzias_latipes_ASM223471v1
ENSPPYP00000006484	ENSPPYG00000005702	Pongo_abelii
ENSOANP00000023725	ENSOANG00000015072	Ornithorhynchus_anatinus
ENSLAFP00000010138	ENSLAFG00000012126	Loxodonta_africana
ENSCANP00000030240	ENSCANG00000038786	Colobus_angolensis_palliatus
ENSPANP00000017711	ENSPANG00000021097	Papio_anubis
ENSACIP00000011914	ENSACIG00000009289	Amphilophus_citrinellus
ENSACLP00000034310	ENSACLG00000023245	Astatotilapia_calliptera
ENSSARP00000006334	ENSSARG00000006932	Sorex_araneus
ENSPCIP00000013151	ENSPCIG00000010387	Phascolarctos_cinereus
ENSPTIP00000006810	ENSPTIG00000008561	Panthera_tigris_altaica
ENSGAGP00000013836	ENSGAGG00000010545	Gopherus_agassizii
ENSGACP00000010804	ENSGACG00000008170	Gasterosteus_aculeatus
ENSLCRP00005001531	ENSLCRG00005000726	Larimichthys_crocea
ENSTGEP00000028083	ENSTGEG00000022619	Theropithecus_gelada
ENSXETP00000028820	ENSXETG00000007140	Xenopus_tropicalis
ENSRNOP00000027719	ENSRNOG00000020401	Rattus_norvegicus
ENSCGRP00001006669	ENSCGRG00001009027	Cricetulus_griseus_CHOK1GS_HDv1
ENSHGLP00100012802	ENSHGLG00100009479	Heterocephalus_glaber_HetGla_1.0
ENSCVAP00000013284	ENSCVAG00000015744	Cyprinodon_variegatus
ENSCJAP00000012204	ENSCJAG00000006470	Callithrix_jacchus
ENSMAUP00000001397	ENSMAUG00000001040	Mesocricetus_auratus
ENSGWIP00000010518	ENSGWIG00000005286	Gouania_willdenowi
ENSRBIP00000022756	ENSRBIG00000035329	Rhinopithecus_bieti
ENSPRNP00000017223	ENSPRNG00000008922	Parambassis_ranga
ENSJJAP00000007895	ENSJJAG00000012143	Jaculus_jaculus
ENSRROP00000001096	ENSRROG00000004106	Rhinopithecus_roxellana
ENSMSIP00000037370	ENSMSIG00000031141	Mus_spicilegus
ENSSDAP00000024340	ENSSDAG00000022154	Spermophilus_dauricus
ENSPCAP00000002594	ENSPCAG00000002729	Procavia_capensis
ENSOARP00000020520	ENSOARG00000019102	Ovis_aries
ENSTNIP00000006283	ENSTNIG00000003686	Tetraodon_nigroviridis
ENSLBEP00000029490	ENSLBEG00000022324	Labrus_bergylta
ENSECRP00000005830	ENSECRG00000003899	Erpetoichthys_calabaricus
ENSHCOP00000028360	ENSHCOG00000021025	Hippocampus_comes
ENSMICP00000001618	ENSMICG00000001771	Microcebus_murinus
ENSMMOP00000027400	ENSMMOG00000020714	Mola_mola
ENSCAPP00000014320	ENSCAPG00000014710	Cavia_aperea
ENSPCOP00000011755	ENSPCOG00000017395	Propithecus_coquereli
ENSAPEP00000023490	ENSAPEG00000016663	Amphiprion_percula
ENSPKIP00000030912	ENSPKIG00000011600	Paramormyrops_kingsleyae
ENSXCOP00000003013	ENSXCOG00000002043	Xiphophorus_couchianus
ENSCABP00000007565	ENSCABG00000005697	Chelonoidis_abingdonii
ENSSTOP00000002179	ENSSTOG00000002428	Ictidomys_tridecemlineatus
ENSORLP00015019922	ENSORLG00015021015	Oryzias_latipes_ASM223469v1
ENSFDAP00000003091	ENSFDAG00000012648	Fukomys_damarensis
ENSSFOP00015035210	ENSSFOG00015022428	Scleropages_formosus
ENSBIXP00000020046	ENSBIXG00000004646	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTBEP00000006730	ENSTBEG00000007724	Tupaia_belangeri
ENSAMXP00005053634	ENSAMXG00005024026	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCGRP00015022818	ENSCGRG00015017261	Cricetulus_griseus_CriGri-PICR
ENSCATP00000001081	ENSCATG00000005203	Cercocebus_atys
ENSMOCP00000017869	ENSMOCG00000016322	Microtus_ochrogaster
ENSSPUP00000011836	ENSSPUG00000008981	Sphenodon_punctatus	ENSSPUT00000012623
ENSOMEP00000033543	ENSOMEG00000019606	Oryzias_melastigma
ENSCLAP00000022325	ENSCLAG00000015310	Chinchilla_lanigera
ENSPTEP00000020448	ENSPTEG00000021670	Piliocolobus_tephrosceles
ENSACIP00000004397	ENSACIG00000003482	Amphilophus_citrinellus
ENSANAP00000020388	ENSANAG00000027965	Aotus_nancymaae
ENSATEP00000018283	ENSATEG00000012725	Anabas_testudineus
ENSCHIP00000023057	ENSCHIG00000020735	Capra_hircus
ENSMLUP00000013491	ENSMLUG00000014814	Myotis_lucifugus
ENSSSCP00000056597	ENSSSCG00000001988	Sus_scrofa_strain_reference
ENSIPUP00000014771	ENSIPUG00000010064	Ictalurus_punctatus
ENSP00000312126	ENSG00000129467	Homo_sapiens
ENSCSEP00000027738	ENSCSEG00000017712	Cynoglossus_semilaevis
ENSCGOP00000036242	ENSCGOG00000016507	Cottoperca_gobio
ENSCAFP00000018143	ENSCAFG00000012293	Canis_lupus_familiaris
ENSKMAP00000005378	ENSKMAG00000004071	Kryptolebias_marmoratus
ENSHHUP00000046679	ENSHHUG00000028397	Hucho_hucho
ENSOCUP00000002576	ENSOCUG00000002958	Oryctolagus_cuniculus
ENSPEMP00000016690	ENSPEMG00000015837	Peromyscus_maniculatus_bairdii
ENSMODP00000003686	ENSMODG00000003033	Monodelphis_domestica
ENSSPUP00000012111	ENSSPUG00000009123	Sphenodon_punctatus	ENSSPUT00000012916
ENSUAMP00000032005	ENSUAMG00000024425	Ursus_americanus
ENSCAFP00020031360	ENSCAFG00020024322	Canis_lupus_dingo
ENSMUGP00000010619	ENSMUGG00000009069	Meriones_unguiculatus
ENSACAP00000009399	ENSACAG00000009349	Anolis_carolinensis	ENSACAT00000009594
ENSMMUP00000027242	ENSMMUG00000020698	Macaca_mulatta
ENSEASP00005017685	ENSEASG00005012144	Equus_asinus_asinus
ENSPTRP00000010553	ENSPTRG00000006216	Pan_troglodytes
ENSEEUP00000011302	ENSEEUG00000012349	Erinaceus_europaeus
ENSNLEP00000018767	ENSNLEG00000015446	Nomascus_leucogenys
ENSMAMP00000016605	ENSMAMG00000011239	Mastacembelus_armatus
ENSBSLP00000002602	ENSBSLG00000001400	Betta_splendens
ENSACIP00000004370	ENSACIG00000003467	Amphilophus_citrinellus
ENSSBOP00000038607	ENSSBOG00000035365	Saimiri_boliviensis_boliviensis
ENSUPAP00010011346	ENSUPAG00010009208	Urocitellus_parryii
ENSCPBP00000037069	ENSCPBG00000025597	Chrysemys_picta_bellii
ENSOANP00000001394	ENSOANG00000000897	Ornithorhynchus_anatinus
ENSPSMP00000021288	ENSPSMG00000015036	Prolemur_simus
ENSETEP00000009349	ENSETEG00000011518	Echinops_telfairi
ENSCPOP00000012980	ENSCPOG00000014412	Cavia_porcellus
ENSCGRP00000019970	ENSCGRG00000014541	Cricetulus_griseus_CriGri_1.0
ENSELUP00000008263	ENSELUG00000008933	Esox_lucius
ENSSHAP00000007292	ENSSHAG00000006340	Sarcophilus_harrisii
ENSUMAP00000031806	ENSUMAG00000022943	Ursus_maritimus
ENSVPAP00000000217	ENSVPAG00000000236	Vicugna_pacos
