ENSCHOP00000010331	ENSCHOG00000011668	Choloepus_hoffmanni
ENSELUP00000004063	ENSELUG00000005243	Esox_lucius	ENSELUT00000012980
ENSNGAP00000012009	ENSNGAG00000013984	Nannospalax_galili
ENSMAMP00000020666	ENSMAMG00000013901	Mastacembelus_armatus
ENSMNEP00000014937	ENSMNEG00000031588	Macaca_nemestrina
ENSCPGP00000015656	ENSCPGG00000011031	Calidris_pygmaea
ENSDORP00000025612	ENSDORG00000010402	Dipodomys_ordii
ENSGAGP00000018224	ENSGAGG00000013498	Gopherus_agassizii
ENSMLEP00000016406	ENSMLEG00000032344	Mandrillus_leucophaeus
ENSCVAP00000024417	ENSCVAG00000008469	Cyprinodon_variegatus
ENSCCAP00000034735	ENSCCAG00000035288	Cebus_capucinus_imitator
ENSNBRP00000018842	ENSNBRG00000014509	Neolamprologus_brichardi
ENSONIP00000005558	ENSONIG00000004414	Oreochromis_niloticus
ENSJJAP00000024595	ENSJJAG00000024011	Jaculus_jaculus
ENSPFOP00000006378	ENSPFOG00000006337	Poecilia_formosa
ENSOPRP00000009355	ENSOPRG00000010219	Ochotona_princeps
ENSKMAP00000023891	ENSKMAG00000017717	Kryptolebias_marmoratus
ENSBSLP00000049765	ENSBSLG00000023669	Betta_splendens
ENSLCRP00005022744	ENSLCRG00005009116	Larimichthys_crocea
ENSACIP00000019310	ENSACIG00000015021	Amphilophus_citrinellus
MGP_PahariEiJ_P0074772	MGP_PahariEiJ_G0027750	Mus_pahari_strain_PAHARI_EIJ
ENSJHYP00000016986	ENSJHYG00000012977	Junco_hyemalis
ENSGGOP00000039204	ENSGGOG00000005823	Gorilla_gorilla
ENSPTRP00000061748	ENSPTRG00000012408	Pan_troglodytes
ENSDARP00000122986	ENSDARG00000032324	Danio_rerio
ENSPCAP00000000039	ENSPCAG00000000038	Procavia_capensis
ENSCINP00000006278	ENSCING00000003095	Ciona_intestinalis
MGP_SPRETEiJ_P0020506	MGP_SPRETEiJ_G0015321	Mus_spretus_strain_SPRET/EiJ
ENSPKIP00000001134	ENSPKIG00000019539	Paramormyrops_kingsleyae
ENSATEP00000017716	ENSATEG00000012315	Anabas_testudineus
ENSMUNP00000016552	ENSMUNG00000012749	Melopsittacus_undulatus
ENSGACP00000010327	ENSGACG00000007774	Gasterosteus_aculeatus
ENSCGRP00000008223	ENSCGRG00000005999	Cricetulus_griseus_CriGri_1.0
ENSTBEP00000000817	ENSTBEG00000000916	Tupaia_belangeri
ENSPEMP00000028269	ENSPEMG00000023844	Peromyscus_maniculatus_bairdii
ENSVURP00010015088	ENSVURG00010011543	Vombatus_ursinus
ENSTGEP00000004264	ENSTGEG00000003516	Theropithecus_gelada
ENSUMAP00000017903	ENSUMAG00000013111	Ursus_maritimus
ENSCCEP00000004615	ENSCCEG00000005063	Cyanistes_caeruleus
ENSPPYP00000014264	ENSPPYG00000012783	Pongo_abelii
ENSPCOP00000011221	ENSPCOG00000017120	Propithecus_coquereli
ENSZALP00000017793	ENSZALG00000014344	Zonotrichia_albicollis
MGP_CAROLIEiJ_P0019478	MGP_CAROLIEiJ_G0014514	Mus_caroli_strain_CAROLI_EIJ
ENSMLUP00000000009	ENSMLUG00000000009	Myotis_lucifugus
ENSPTIP00000025771	ENSPTIG00000021414	Panthera_tigris_altaica
ENSFDAP00000001149	ENSFDAG00000011220	Fukomys_damarensis
ENSMAUP00000017671	ENSMAUG00000016481	Mesocricetus_auratus
ENSMMUP00000001662	ENSMMUG00000001244	Macaca_mulatta
ENSTTRP00000001564	ENSTTRG00000001659	Tursiops_truncatus
ENSPTEP00000025480	ENSPTEG00000025761	Piliocolobus_tephrosceles
ENSBTAP00000053352	ENSBTAG00000018236	Bos_taurus
ENSSFOP00015002078	ENSSFOG00015001354	Scleropages_formosus
ENSBIXP00005006986	ENSBIXG00005001310	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSDAP00000020021	ENSSDAG00000018195	Spermophilus_dauricus
ENSPNAP00000035845	ENSPNAG00000026135	Pygocentrus_nattereri	ENSPNAT00000039523
ENSAMXP00000011160	ENSAMXG00000010854	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000011160
ENSOGAP00000006653	ENSOGAG00000007435	Otolemur_garnettii
ENSCAFP00000064841	ENSCAFG00000004855	Canis_lupus_familiaris
ENSCGOP00000032862	ENSCGOG00000014584	Cottoperca_gobio
ENSSSCP00000036731	ENSSSCG00000039185	Sus_scrofa_strain_reference
ENSHBUP00000032025	ENSHBUG00000018101	Haplochromis_burtoni
ENSMMOP00000007065	ENSMMOG00000005495	Mola_mola
ENSCPUP00000025172	ENSCPUG00000017004	Calidris_pugnax
ENSLCOP00000003124	ENSLCOG00000002373	Lepidothrix_coronata
ENSSARP00000012571	ENSSARG00000013899	Sorex_araneus
ENSOANP00000019113	ENSOANG00000012068	Ornithorhynchus_anatinus
ENSNPEP00000015730	ENSNPEG00000011663	Nothoprocta_perdicaria
ENSDCDP00000061746	ENSDCDG00000035144	Denticeps_clupeoides	ENSDCDT00000074003
ENSLBEP00000034349	ENSLBEG00000025834	Labrus_bergylta
ENSANAP00000007492	ENSANAG00000021697	Aotus_nancymaae
ENSPLAP00000009256	ENSPLAG00000011988	Poecilia_latipinna
ENSMICP00000011089	ENSMICG00000000936	Microcebus_murinus
ENSMSIP00000009971	ENSMSIG00000008644	Mus_spicilegus
ENSFALP00000013783	ENSFALG00000013207	Ficedula_albicollis
ENSGWIP00000044436	ENSGWIG00000022124	Gouania_willdenowi
ENSUPAP00010024068	ENSUPAG00010019049	Urocitellus_parryii
ENSMGAP00000012443	ENSMGAG00000011848	Meleagris_gallopavo
ENSPPAP00000028127	ENSPPAG00000037104	Pan_paniscus
ENSTRUP00000012000	ENSTRUG00000005009	Takifugu_rubripes
ENSEEEP00000040089	ENSEEEG00000019007	Electrophorus_electricus	ENSEEET00000040551
ENSIPUP00000001160	ENSIPUG00000000813	Ictalurus_punctatus	ENSIPUT00000001228
ENSHCOP00000014859	ENSHCOG00000018374	Hippocampus_comes	ENSHCOT00000022594
ENSPREP00000023604	ENSPREG00000015938	Poecilia_reticulata
ENSCAPP00000012396	ENSCAPG00000013274	Cavia_aperea
ENSORLP00015024128	ENSORLG00015004510	Oryzias_latipes_ASM223469v1
ENSLSDP00000017834	ENSLSDG00000012744	Lonchura_striata_domestica
ENSTSYP00000030431	ENSTSYG00000000312	Carlito_syrichta
ENSPRNP00000030635	ENSPRNG00000015251	Parambassis_ranga
ENSCSAVP00000009985	ENSCSAVG00000005885	Ciona_savignyi
ENSHHUP00000078893	ENSHHUG00000046033	Hucho_hucho	ENSHHUT00000081440
ENSCGRP00001018294	ENSCGRG00001018059	Cricetulus_griseus_CHOK1GS_HDv1
ENSNMEP00000027435	ENSNMEG00000022979	Numida_meleagris
ENSPPRP00000005947	ENSPPRG00000001586	Panthera_pardus
ENSHGLP00000011718	ENSHGLG00000008402	Heterocephalus_glaber_HetGla_female_1.0
ENSSPUP00000023044	ENSSPUG00000017674	Sphenodon_punctatus
ENSECRP00000024442	ENSECRG00000016552	Erpetoichthys_calabaricus
ENSSFOP00015031862	ENSSFOG00015020408	Scleropages_formosus
ENSXMAP00000001928	ENSXMAG00000001914	Xiphophorus_maculatus
ENSODEP00000010010	ENSODEG00000007483	Octodon_degus
ENSPANP00000011883	ENSPANG00000022430	Papio_anubis
ENSCJAP00000024433	ENSCJAG00000013283	Callithrix_jacchus
ENSAMEP00000009126	ENSAMEG00000008640	Ailuropoda_melanoleuca
ENSPMEP00000010289	ENSPMEG00000012261	Poecilia_mexicana
ENSSMAP00000008161	ENSSMAG00000005045	Scophthalmus_maximus
ENSMZEP00005002071	ENSMZEG00005001677	Maylandia_zebra
ENSMALP00000018711	ENSMALG00000013037	Monopterus_albus
ENSAOWP00000022277	ENSAOWG00000014937	Apteryx_owenii
ENSCABP00000010238	ENSCABG00000007430	Chelonoidis_abingdonii
ENSORLP00000025820	ENSORLG00000020848	Oryzias_latipes_ASM223467v1	ENSORLT00000025821
ENSRROP00000012923	ENSRROG00000030747	Rhinopithecus_roxellana
ENSAPEP00000012796	ENSAPEG00000009079	Amphiprion_percula	ENSAPET00000013137
ENSPVAP00000005490	ENSPVAG00000005806	Pteropus_vampyrus
ENSHGLP00000026715	ENSHGLG00000019003	Heterocephalus_glaber_HetGla_female_1.0
ENSNVIP00000004004	ENSNVIG00000003068	Neovison_vison
ENSNLEP00000001068	ENSNLEG00000000875	Nomascus_leucogenys
ENSVVUP00000025123	ENSVVUG00000018417	Vulpes_vulpes
ENSTGEP00000002081	ENSTGEG00000001693	Theropithecus_gelada
ENSFHEP00000007849	ENSFHEG00000009006	Fundulus_heteroclitus
ENSCSEP00000028371	ENSCSEG00000018139	Cynoglossus_semilaevis
ENSDNOP00000028590	ENSDNOG00000037430	Dasypus_novemcinctus
ENSSCAP00000016716	ENSSCAG00000012183	Serinus_canaria
ENSOANP00000030583	ENSOANG00000031913	Ornithorhynchus_anatinus
ENSORLP00020006481	ENSORLG00020007324	Oryzias_latipes_ASM223471v1
ENSPKIP00000020131	ENSPKIG00000004986	Paramormyrops_kingsleyae
ENSPSIP00000010013	ENSPSIG00000008929	Pelodiscus_sinensis
ENSLACP00000016100	ENSLACG00000014180	Latimeria_chalumnae
ENSPMEP00000022522	ENSPMEG00000003481	Poecilia_mexicana
ENSSHAP00000016070	ENSSHAG00000013685	Sarcophilus_harrisii
ENSMFAP00000045347	ENSMFAG00000000388	Macaca_fascicularis
ENSBMUP00000025411	ENSBMUG00000019037	Bos_mutus
ENSPLAP00000016983	ENSPLAG00000021286	Poecilia_latipinna
ENSCCNP00000001844	ENSCCNG00000001993	Castor_canadensis
ENSSDUP00000014769	ENSSDUG00000010789	Seriola_dumerili
ENSHGLP00100017568	ENSHGLG00100012957	Heterocephalus_glaber_HetGla_1.0
ENSAPEP00000013181	ENSAPEG00000009152	Amphiprion_percula
ENSMODP00000040351	ENSMODG00000028489	Monodelphis_domestica
ENSBIXP00000043459	ENSBIXG00000027570	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSAPOP00000000207	ENSAPOG00000001402	Acanthochromis_polyacanthus
ENSLAFP00000011797	ENSLAFG00000014087	Loxodonta_africana
ENSGALP00000073825	ENSGALG00000011605	Gallus_gallus
ENSEASP00005018949	ENSEASG00005013008	Equus_asinus_asinus
ENSSPAP00000024800	ENSSPAG00000018654	Stegastes_partitus
ENSTGUP00000004807	ENSTGUG00000004633	Taeniopygia_guttata
ENSPCOP00000014518	ENSPCOG00000018944	Propithecus_coquereli
ENSCSAP00000012701	ENSCSAG00000016641	Chlorocebus_sabaeus
ENSPMAP00000002193	ENSPMAG00000001991	Petromyzon_marinus
ENSP00000263713	ENSG00000115109	Homo_sapiens
ENSACAP00000003929	ENSACAG00000003907	Anolis_carolinensis
ENSOARP00000013808	ENSOARG00000012888	Ovis_aries
ENSPMAP00000009383	ENSPMAG00000008523	Petromyzon_marinus
ENSAHAP00000010910	ENSAHAG00000006627	Apteryx_haastii
ENSACLP00000011549	ENSACLG00000007894	Astatotilapia_calliptera
ENSMUGP00000026444	ENSMUGG00000021998	Meriones_unguiculatus
ENSABRP00000025909	ENSABRG00000021703	Anser_brachyrhynchus
ENSEBUP00000012022	ENSEBUG00000007682	Eptatretus_burgeri	ENSEBUT00000012598
ENSPSMP00000013357	ENSPSMG00000009476	Prolemur_simus
ENSEASP00005018951	ENSEASG00005013047	Equus_asinus_asinus
ENSUMAP00000017816	ENSUMAG00000013094	Ursus_maritimus
ENSEBUP00000020981	ENSEBUG00000012971	Eptatretus_burgeri
ENSVPAP00000002400	ENSVPAG00000002598	Vicugna_pacos
ENSDNVP00000022883	ENSDNVG00000015907	Dromaius_novaehollandiae
ENSMMMP00000025789	ENSMMMG00000022584	Marmota_marmota_marmota
ENSDCDP00000011698	ENSDCDG00000006450	Denticeps_clupeoides	ENSDCDT00000013457
ENSLOCP00000002280	ENSLOCG00000001937	Lepisosteus_oculatus
ENSSTOP00000014309	ENSSTOG00000015989	Ictidomys_tridecemlineatus
ENSCLAP00000004132	ENSCLAG00000002942	Chinchilla_lanigera
ENSGMOP00000013491	ENSGMOG00000012613	Gadus_morhua
ENSCANP00000030966	ENSCANG00000039079	Colobus_angolensis_palliatus
ENSCHAP00000046861	ENSCHAG00000021611	Clupea_harengus	ENSCHAT00000050624
ENSCGRP00015011931	ENSCGRG00015009004	Cricetulus_griseus_CriGri-PICR
ENSSLDP00000028326	ENSSLDG00000021903	Seriola_lalandi_dorsalis
ENSBBBP00000006384	ENSBBBG00000000921	Bison_bison_bison
ENSPNYP00000007280	ENSPNYG00000005555	Pundamilia_nyererei
ENSAOCP00000012546	ENSAOCG00000017015	Amphiprion_ocellaris
ENSEEUP00000006764	ENSEEUG00000007362	Erinaceus_europaeus
ENSSBOP00000032183	ENSSBOG00000032246	Saimiri_boliviensis_boliviensis
ENSCATP00000034325	ENSCATG00000040081	Cercocebus_atys
ENSMUSP00000058966	ENSMUSG00000026383	Mus_musculus_strain_reference_(CL57BL6)
ENSPCIP00000001581	ENSPCIG00000001254	Phascolarctos_cinereus
ENSPMJP00000027147	ENSPMJG00000019780	Parus_major
