ENSOCUP00000006490	ENSOCUG00000007503	Oryctolagus_cuniculus
ENSSBOP00000013346	ENSSBOG00000023437	Saimiri_boliviensis_boliviensis
ENSBMUP00000013307	ENSBMUG00000010154	Bos_mutus
ENSGGOP00000032091	ENSGGOG00000023145	Gorilla_gorilla
ENSLAFP00000016445	ENSLAFG00000022421	Loxodonta_africana
ENSMLEP00000010853	ENSMLEG00000029602	Mandrillus_leucophaeus
ENSRROP00000010591	ENSRROG00000029695	Rhinopithecus_roxellana
ENSRROP00000023107	ENSRROG00000035408	Rhinopithecus_roxellana
ENSNVIP00000029154	ENSNVIG00000022460	Neovison_vison
ENSPTEP00000031972	ENSPTEG00000030803	Piliocolobus_tephrosceles
ENSP00000376849	ENSG00000137757	Homo_sapiens
ENSVPAP00000005090	ENSVPAG00000005477	Vicugna_pacos
ENSEASP00005015854	ENSEASG00005011030	Equus_asinus_asinus
ENSCSAP00000014958	ENSCSAG00000003080	Chlorocebus_sabaeus
ENSCANP00000025022	ENSCANG00000035922	Colobus_angolensis_palliatus
