ENSCSAVP00000005856	ENSCSAVG00000003496	Ciona_savignyi
ENSSBOP00000007206	ENSSBOG00000020551	Saimiri_boliviensis_boliviensis
ENSSBOP00000038165	ENSSBOG00000035160	Saimiri_boliviensis_boliviensis
ENSCCAP00000031994	ENSCCAG00000034022	Cebus_capucinus_imitator
ENSCJAP00000035546	ENSCJAG00000019143	Callithrix_jacchus
ENSANAP00000006282	ENSANAG00000021213	Aotus_nancymaae
ENSTBEP00000004767	ENSTBEG00000005536	Tupaia_belangeri
ENSSSCP00000005469	ENSSSCG00000005090	Sus_scrofa_strain_reference
ENSVPAP00000002210	ENSVPAG00000002390	Vicugna_pacos
ENSOARP00000022711	ENSOARG00000021131	Ovis_aries
ENSCHIP00000024955	ENSCHIG00000021930	Capra_hircus
ENSBIXP00005003332	ENSBIXG00005005464	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040225	ENSBIXG00000024266	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000041096	ENSBTAG00000030801	Bos_taurus
ENSBMUP00000033862	ENSBMUG00000025238	Bos_mutus
ENSBBBP00000012944	ENSBBBG00000020603	Bison_bison_bison
ENSTTRP00000013122	ENSTTRG00000013838	Tursiops_truncatus
ENSSARP00000007925	ENSSARG00000008765	Sorex_araneus
ENSEEUP00000000974	ENSEEUG00000001091	Erinaceus_europaeus
ENSECAP00000021201	ENSECAG00000023790	Equus_caballus
ENSEASP00005023726	ENSEASG00005016125	Equus_asinus_asinus
ENSPVAP00000014431	ENSPVAG00000015308	Pteropus_vampyrus
ENSUMAP00000018708	ENSUMAG00000013740	Ursus_maritimus
ENSAMEP00000003121	ENSAMEG00000002974	Ailuropoda_melanoleuca
ENSNVIP00000008136	ENSNVIG00000006449	Neovison_vison
ENSMPUP00000006372	ENSMPUG00000006428	Mustela_putorius_furo
ENSCAFP00020009909	ENSCAFG00020008032	Canis_lupus_dingo
ENSCAFP00000058747	ENSCAFG00000015639	Canis_lupus_familiaris
ENSVVUP00000041403	ENSVVUG00000029465	Vulpes_vulpes
ENSPPRP00000022164	ENSPPRG00000012770	Panthera_pardus
ENSPTIP00000004204	ENSPTIG00000006766	Panthera_tigris_altaica
ENSFCAP00000049570	ENSFCAG00000025289	Felis_catus
ENSLAFP00000003017	ENSLAFG00000003614	Loxodonta_africana
ENSPCAP00000006121	ENSPCAG00000006586	Procavia_capensis
ENSCHOP00000005274	ENSCHOG00000005964	Choloepus_hoffmanni
ENSMLUP00000002132	ENSMLUG00000002350	Myotis_lucifugus
ENSUAMP00000022114	ENSUAMG00000017395	Ursus_americanus
ENSCCNP00000029434	ENSCCNG00000028223	Castor_canadensis
ENSMLEP00000022152	ENSMLEG00000035293	Mandrillus_leucophaeus
ENSDNOP00000026695	ENSDNOG00000030615	Dasypus_novemcinctus
ENSDORP00000024744	ENSDORG00000015553	Dipodomys_ordii
ENSSHAP00000019237	ENSSHAG00000016338	Sarcophilus_harrisii
ENSETEP00000008738	ENSETEG00000010757	Echinops_telfairi
ENSVURP00010023680	ENSVURG00010018151	Vombatus_ursinus
ENSPCIP00000027390	ENSPCIG00000020456	Phascolarctos_cinereus
ENSMODP00000010769	ENSMODG00000008657	Monodelphis_domestica
ENSOPRP00000010665	ENSOPRG00000011690	Ochotona_princeps
ENSOANP00000014467	ENSOANG00000009088	Ornithorhynchus_anatinus
ENSXETP00000042871	ENSXETG00000010495	Xenopus_tropicalis
ENSLACP00000021029	ENSLACG00000018476	Latimeria_chalumnae
ENSSFOP00015020301	ENSSFOG00015013061	Scleropages_formosus
ENSPKIP00000041747	ENSPKIG00000018174	Paramormyrops_kingsleyae
ENSAPEP00000032037	ENSAPEG00000022745	Amphiprion_percula
ENSAOCP00000022329	ENSAOCG00000007722	Amphiprion_ocellaris
ENSAPOP00000029526	ENSAPOG00000015452	Acanthochromis_polyacanthus
ENSSPAP00000017132	ENSSPAG00000012911	Stegastes_partitus
ENSPRNP00000032101	ENSPRNG00000016100	Parambassis_ranga
ENSACLP00000029920	ENSACLG00000020264	Astatotilapia_calliptera
ENSMZEP00005009823	ENSMZEG00005007438	Maylandia_zebra
ENSHBUP00000020750	ENSHBUG00000023081	Haplochromis_burtoni
ENSPNYP00000029237	ENSPNYG00000022028	Pundamilia_nyererei
ENSNBRP00000012170	ENSNBRG00000009499	Neolamprologus_brichardi
ENSONIP00000025341	ENSONIG00000020116	Oreochromis_niloticus
ENSACIP00000031342	ENSACIG00000024219	Amphilophus_citrinellus
ENSMALP00000013436	ENSMALG00000009504	Monopterus_albus
ENSATEP00000022491	ENSATEG00000015597	Anabas_testudineus
ENSBSLP00000048242	ENSBSLG00000022974	Betta_splendens
ENSMAMP00000002531	ENSMAMG00000001768	Mastacembelus_armatus
ENSLCAP00010051084	ENSLCAG00010023795	Lates_calcarifer
ENSSMAP00000002545	ENSSMAG00000001599	Scophthalmus_maximus
ENSSDUP00000026986	ENSSDUG00000019550	Seriola_dumerili
ENSCVAP00000006112	ENSCVAG00000007604	Cyprinodon_variegatus
ENSFHEP00000007011	ENSFHEG00000008120	Fundulus_heteroclitus
ENSPMEP00000029252	ENSPMEG00000014901	Poecilia_mexicana
ENSPREP00000022935	ENSPREG00000015484	Poecilia_reticulata
ENSPFOP00000004052	ENSPFOG00000004095	Poecilia_formosa
ENSPLAP00000025502	ENSPLAG00000012563	Poecilia_latipinna
ENSGAFP00000006068	ENSGAFG00000004109	Gambusia_affinis
ENSXCOP00000011324	ENSXCOG00000008553	Xiphophorus_couchianus
ENSXMAP00000013507	ENSXMAG00000013476	Xiphophorus_maculatus
ENSKMAP00000007944	ENSKMAG00000005962	Kryptolebias_marmoratus
ENSORLP00015007855	ENSORLG00015008687	Oryzias_latipes_ASM223469v1
ENSORLP00000040357	ENSORLG00000015749	Oryzias_latipes_ASM223467v1
ENSORLP00020008922	ENSORLG00020009841	Oryzias_latipes_ASM223471v1
ENSOMEP00000005620	ENSOMEG00000006617	Oryzias_melastigma
ENSGWIP00000012480	ENSGWIG00000007258	Gouania_willdenowi
ENSPMGP00000004576	ENSPMGG00000003876	Periophthalmus_magnuspinnatus
ENSTRUP00000027110	ENSTRUG00000010746	Takifugu_rubripes
ENSTNIP00000020481	ENSTNIG00000017343	Tetraodon_nigroviridis
ENSMMOP00000015941	ENSMMOG00000012161	Mola_mola
ENSLBEP00000030654	ENSLBEG00000023140	Labrus_bergylta
ENSGACP00000011190	ENSGACG00000008443	Gasterosteus_aculeatus
ENSCGOP00000018009	ENSCGOG00000008652	Cottoperca_gobio
ENSSLDP00000000135	ENSSLDG00000000163	Seriola_lalandi_dorsalis
ENSCSEP00000002272	ENSCSEG00000001526	Cynoglossus_semilaevis
ENSLCRP00005034285	ENSLCRG00005013452	Larimichthys_crocea
ENSHCOP00000001786	ENSHCOG00000002831	Hippocampus_comes
ENSGMOP00000011596	ENSGMOG00000010848	Gadus_morhua
ENSHHUP00000085505	ENSHHUG00000049515	Hucho_hucho
ENSHHUP00000089291	ENSHHUG00000051556	Hucho_hucho
ENSELUP00000033114	ENSELUG00000011286	Esox_lucius
ENSCHAP00000000513	ENSCHAG00000000350	Clupea_harengus
ENSDCDP00000005786	ENSDCDG00000002817	Denticeps_clupeoides
ENSAMXP00005024245	ENSAMXG00005012383	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000050895	ENSAMXG00000029183	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000016273	ENSPNAG00000022418	Pygocentrus_nattereri
ENSEEEP00000049294	ENSEEEG00000023169	Electrophorus_electricus
ENSIPUP00000003866	ENSIPUG00000002697	Ictalurus_punctatus
ENSDARP00000027502	ENSDARG00000002077	Danio_rerio
ENSLOCP00000012372	ENSLOCG00000010103	Lepisosteus_oculatus
ENSECRP00000023863	ENSECRG00000016161	Erpetoichthys_calabaricus
ENSCMIP00000006614	ENSCMIG00000003732	Callorhinchus_milii
ENSEBUP00000018636	ENSEBUG00000011632	Eptatretus_burgeri
ENSPMAP00000002136	ENSPMAG00000001950	Petromyzon_marinus
FBpp0087350	FBgn0024956	Drosophila_melanogaster
YDR460W_mRNA	YDR460W	Saccharomyces_cerevisiae_strain_S288C
