ENSVURP00010012718	ENSVURG00010009795	Vombatus_ursinus	ENSVURT00010014474
ENSPCIP00000030873	ENSPCIG00000022947	Phascolarctos_cinereus	ENSPCIT00000037971
ENSMEUP00000007090	ENSMEUG00000007763	Notamacropus_eugenii	ENSMEUT00000007786
ENSSHAP00000020563	ENSSHAG00000017438	Sarcophilus_harrisii	ENSSHAT00000020727
ENSMODP00000042685	ENSMODG00000019913	Monodelphis_domestica	ENSMODT00000063337
ENSEEUP00000008927	ENSEEUG00000009782	Erinaceus_europaeus
ENSCHOP00000003711	ENSCHOG00000004196	Choloepus_hoffmanni
ENSCCNP00000021084	ENSCCNG00000020941	Castor_canadensis
ENSDORP00000020086	ENSDORG00000013721	Dipodomys_ordii
ENSCGRP00001009175	ENSCGRG00001011274	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021138	ENSCGRG00000015357	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015029284	ENSCGRG00015022080	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000007919	ENSMAUG00000009468	Mesocricetus_auratus
ENSMOCP00000012576	ENSMOCG00000012633	Microtus_ochrogaster
ENSPEMP00000016425	ENSPEMG00000015644	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0055059	MGP_SPRETEiJ_G0024859	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000032965	ENSMSIG00000027572	Mus_spicilegus
ENSMUSP00000107079	ENSMUSG00000005506	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0052974	MGP_CAROLIEiJ_G0023949	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063964	MGP_PahariEiJ_G0025385	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000014484	ENSRNOG00000010379	Rattus_norvegicus
ENSMUGP00000016906	ENSMUGG00000014377	Meriones_unguiculatus
ENSNGAP00000016815	ENSNGAG00000017390	Nannospalax_galili
ENSJJAP00000019300	ENSJJAG00000020280	Jaculus_jaculus
ENSSDAP00000008357	ENSSDAG00000007461	Spermophilus_dauricus
ENSSTOP00000024145	ENSSTOG00000000613	Ictidomys_tridecemlineatus
ENSUPAP00010017617	ENSUPAG00010013973	Urocitellus_parryii
ENSMMMP00000017617	ENSMMMG00000015346	Marmota_marmota_marmota
ENSCLAP00000017178	ENSCLAG00000011791	Chinchilla_lanigera
ENSODEP00000020617	ENSODEG00000015204	Octodon_degus
ENSHGLP00100018793	ENSHGLG00100013863	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000009634	ENSHGLG00000006909	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023709	ENSHGLG00100017423	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000027017	ENSHGLG00000019214	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020334	ENSFDAG00000008517	Fukomys_damarensis
ENSCPOP00000028430	ENSCPOG00000036381	Cavia_porcellus
ENSCAPP00000004220	ENSCAPG00000006787	Cavia_aperea
ENSPPAP00000021382	ENSPPAG00000033870	Pan_paniscus
ENSPTRP00000082238	ENSPTRG00000052299	Pan_troglodytes
ENSP00000436864	ENSG00000149187	Homo_sapiens
ENSGGOP00000004031	ENSGGOG00000004106	Gorilla_gorilla
ENSPPYP00000003787	ENSPPYG00000003302	Pongo_abelii
ENSNLEP00000044583	ENSNLEG00000014638	Nomascus_leucogenys
ENSMNEP00000005099	ENSMNEG00000022558	Macaca_nemestrina
ENSMMUP00000080909	ENSMMUG00000011657	Macaca_mulatta
ENSMFAP00000034128	ENSMFAG00000003505	Macaca_fascicularis
ENSCATP00000034471	ENSCATG00000040143	Cercocebus_atys
ENSMLEP00000033309	ENSMLEG00000040834	Mandrillus_leucophaeus
ENSTGEP00000030889	ENSTGEG00000024717	Theropithecus_gelada
ENSPANP00000015965	ENSPANG00000021676	Papio_anubis
ENSCSAP00000002095	ENSCSAG00000005786	Chlorocebus_sabaeus
ENSRROP00000016974	ENSRROG00000032588	Rhinopithecus_roxellana
ENSRBIP00000037696	ENSRBIG00000042406	Rhinopithecus_bieti
ENSPTEP00000037590	ENSPTEG00000035124	Piliocolobus_tephrosceles
ENSCANP00000018528	ENSCANG00000032689	Colobus_angolensis_palliatus
ENSCCAP00000030902	ENSCCAG00000033487	Cebus_capucinus_imitator
ENSSBOP00000010115	ENSSBOG00000021912	Saimiri_boliviensis_boliviensis
ENSCJAP00000048864	ENSCJAG00000020133	Callithrix_jacchus
ENSANAP00000027811	ENSANAG00000031770	Aotus_nancymaae
ENSTSYP00000003537	ENSTSYG00000003866	Carlito_syrichta
ENSMICP00000047958	ENSMICG00000045113	Microcebus_murinus
ENSPCOP00000019835	ENSPCOG00000021865	Propithecus_coquereli
ENSPSMP00000029005	ENSPSMG00000020100	Prolemur_simus
ENSOGAP00000010380	ENSOGAG00000011600	Otolemur_garnettii
ENSOCUP00000001131	ENSOCUG00000001311	Oryctolagus_cuniculus
ENSOPRP00000002978	ENSOPRG00000003239	Ochotona_princeps
ENSTBEP00000004424	ENSTBEG00000005140	Tupaia_belangeri
ENSDNOP00000033278	ENSDNOG00000009523	Dasypus_novemcinctus
ENSLAFP00000028159	ENSLAFG00000003484	Loxodonta_africana
ENSPCAP00000002487	ENSPCAG00000002631	Procavia_capensis
ENSETEP00000003685	ENSETEG00000004507	Echinops_telfairi
ENSOANP00000012576	ENSOANG00000007896	Ornithorhynchus_anatinus
ENSLCOP00000018257	ENSLCOG00000012903	Lepidothrix_coronata
ENSMVIP00005011710	ENSMVIG00005008576	Manacus_vitellinus
ENSJHYP00000013709	ENSJHYG00000010616	Junco_hyemalis
ENSZALP00000016747	ENSZALG00000013560	Zonotrichia_albicollis
ENSSCAP00000004124	ENSSCAG00000003397	Serinus_canaria
ENSTGUP00000010714	ENSTGUG00000010377	Taeniopygia_guttata
ENSLSDP00000020747	ENSLSDG00000014698	Lonchura_striata_domestica
ENSFALP00000006677	ENSFALG00000006402	Ficedula_albicollis
ENSCCEP00000002083	ENSCCEG00000002403	Cyanistes_caeruleus
ENSPMJP00000001088	ENSPMJG00000000899	Parus_major
ENSMUNP00000019628	ENSMUNG00000015012	Melopsittacus_undulatus
ENSCPGP00000022540	ENSCPGG00000015642	Calidris_pygmaea
ENSCPUP00000018320	ENSCPUG00000012619	Calidris_pugnax
ENSABRP00000020661	ENSABRG00000017589	Anser_brachyrhynchus
ENSAPLP00000016816	ENSAPLG00000020823	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005012750	ENSCJPG00005010841	Coturnix_japonica
ENSGALP00000066083	ENSGALG00000008097	Gallus_gallus
ENSMGAP00000011060	ENSMGAG00000010629	Meleagris_gallopavo
ENSNMEP00000010248	ENSNMEG00000009744	Numida_meleagris
ENSAHAP00000025594	ENSAHAG00000017842	Apteryx_haastii
ENSAOWP00000025318	ENSAOWG00000017123	Apteryx_owenii
ENSARWP00000004875	ENSARWG00000003447	Apteryx_rowi
ENSDNVP00000005419	ENSDNVG00000003899	Dromaius_novaehollandiae
ENSNPEP00000012619	ENSNPEG00000009425	Nothoprocta_perdicaria
ENSCPRP00005025085	ENSCPRG00005017370	Crocodylus_porosus
ENSGAGP00000015337	ENSGAGG00000011562	Gopherus_agassizii
ENSCABP00000005384	ENSCABG00000004042	Chelonoidis_abingdonii
ENSCPBP00000032684	ENSCPBG00000022914	Chrysemys_picta_bellii
ENSPSIP00000004177	ENSPSIG00000003922	Pelodiscus_sinensis
ENSACAP00000002119	ENSACAG00000002114	Anolis_carolinensis
ENSPVIP00000030048	ENSPVIG00000022134	Pogona_vitticeps
ENSNSUP00000024521	ENSNSUG00000017714	Notechis_scutatus
ENSSMRP00000007888	ENSSMRG00000006315	Salvator_merianae
ENSSPUP00000005573	ENSSPUG00000004228	Sphenodon_punctatus
ENSXETP00000032308	ENSXETG00000010772	Xenopus_tropicalis
ENSLACP00000021614	ENSLACG00000018990	Latimeria_chalumnae
ENSDCDP00000054168	ENSDCDG00000032062	Denticeps_clupeoides
ENSCHAP00000002892	ENSCHAG00000001891	Clupea_harengus
ENSAMXP00005026394	ENSAMXG00005013287	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000035958	ENSAMXG00000020576	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000007667	ENSPNAG00000013418	Pygocentrus_nattereri
ENSIPUP00000035359	ENSIPUG00000023708	Ictalurus_punctatus
ENSEEEP00000037222	ENSEEEG00000017558	Electrophorus_electricus
ENSDARP00000041054	ENSDARG00000005315	Danio_rerio
ENSKMAP00000011556	ENSKMAG00000008694	Kryptolebias_marmoratus
ENSKMAP00000011536	ENSKMAG00000008670	Kryptolebias_marmoratus
ENSCVAP00000001817	ENSCVAG00000002840	Cyprinodon_variegatus
ENSCVAP00000021054	ENSCVAG00000002834	Cyprinodon_variegatus
ENSPLAP00000001786	ENSPLAG00000002915	Poecilia_latipinna
ENSPMEP00000023819	ENSPMEG00000005661	Poecilia_mexicana
ENSGAFP00000025297	ENSGAFG00000017082	Gambusia_affinis
ENSGAFP00000025300	ENSGAFG00000017085	Gambusia_affinis
ENSPFOP00000007088	ENSPFOG00000007187	Poecilia_formosa
ENSXMAP00000039465	ENSXMAG00000029339	Xiphophorus_maculatus
ENSFHEP00000033844	ENSFHEG00000021226	Fundulus_heteroclitus
ENSOMEP00000022690	ENSOMEG00000002381	Oryzias_melastigma
ENSPMGP00000016094	ENSPMGG00000013192	Periophthalmus_magnuspinnatus
ENSCSEP00000013483	ENSCSEG00000008675	Cynoglossus_semilaevis
ENSTRUP00000001484	ENSTRUG00000025064	Takifugu_rubripes
ENSTRUP00000001483	ENSTRUG00000000617	Takifugu_rubripes
ENSATEP00000015680	ENSATEG00000010871	Anabas_testudineus
ENSGACP00000018787	ENSGACG00000014226	Gasterosteus_aculeatus
ENSLCRP00005058650	ENSLCRG00005021741	Larimichthys_crocea
ENSMMOP00000020358	ENSMMOG00000015460	Mola_mola
ENSLBEP00000023901	ENSLBEG00000018296	Labrus_bergylta
ENSLBEP00000002603	ENSLBEG00000002047	Labrus_bergylta
ENSSDUP00000015858	ENSSDUG00000011558	Seriola_dumerili
ENSSLDP00000016217	ENSSLDG00000012863	Seriola_lalandi_dorsalis
ENSLCAP00010011256	ENSLCAG00010005339	Lates_calcarifer
ENSSMAP00000022688	ENSSMAG00000013827	Scophthalmus_maximus
ENSMAMP00000015307	ENSMAMG00000010052	Mastacembelus_armatus
ENSCGOP00000037156	ENSCGOG00000016375	Cottoperca_gobio
ENSLBEP00000002626	ENSLBEG00000002087	Labrus_bergylta
ENSAPEP00000003220	ENSAPEG00000002340	Amphiprion_percula
ENSAOCP00000028230	ENSAOCG00000001252	Amphiprion_ocellaris
ENSAPOP00000034423	ENSAPOG00000024000	Acanthochromis_polyacanthus
ENSSPAP00000012707	ENSSPAG00000009569	Stegastes_partitus
ENSPFOP00000000906	ENSPFOG00000000961	Poecilia_formosa
ENSPLAP00000029282	ENSPLAG00000019373	Poecilia_latipinna
ENSPREP00000032726	ENSPREG00000022185	Poecilia_reticulata
ENSGAFP00000025303	ENSGAFG00000017089	Gambusia_affinis
ENSXCOP00000023703	ENSXCOG00000017706	Xiphophorus_couchianus
ENSPNYP00000031380	ENSPNYG00000023666	Pundamilia_nyererei
ENSHBUP00000015952	ENSHBUG00000017881	Haplochromis_burtoni
ENSMZEP00005024491	ENSMZEG00005018307	Maylandia_zebra
ENSACLP00000014977	ENSACLG00000010181	Astatotilapia_calliptera
ENSNBRP00000011947	ENSNBRG00000009325	Neolamprologus_brichardi
ENSPNYP00000031453	ENSPNYG00000023719	Pundamilia_nyererei
ENSNBRP00000030984	ENSNBRG00000023547	Neolamprologus_brichardi
ENSONIP00000010443	ENSONIG00000008300	Oreochromis_niloticus
ENSACIP00000030845	ENSACIG00000023843	Amphilophus_citrinellus
ENSPRNP00000052949	ENSPRNG00000024866	Parambassis_ranga
ENSGWIP00000040449	ENSGWIG00000020105	Gouania_willdenowi
ENSHCOP00000005988	ENSHCOG00000000258	Hippocampus_comes
ENSGMOP00000013680	ENSGMOG00000012783	Gadus_morhua
ENSHHUP00000039979	ENSHHUG00000024743	Hucho_hucho
ENSHHUP00000015298	ENSHHUG00000009389	Hucho_hucho
ENSELUP00000024317	ENSELUG00000023173	Esox_lucius
ENSPKIP00000032119	ENSPKIG00000012324	Paramormyrops_kingsleyae
ENSSFOP00015030193	ENSSFOG00015019353	Scleropages_formosus
ENSLOCP00000007227	ENSLOCG00000005966	Lepisosteus_oculatus
ENSCMIP00000006443	ENSCMIG00000003656	Callorhinchus_milii
ENSCMIP00000029160	ENSCMIG00000012628	Callorhinchus_milii
