ENSONIP00000000542	ENSONIG00000000426	Oreochromis_niloticus
ENSPVIP00000024884	ENSPVIG00000018705	Pogona_vitticeps
ENSCLAP00000013235	ENSCLAG00000009139	Chinchilla_lanigera
ENSCMIP00000018760	ENSCMIG00000008807	Callorhinchus_milii
ENSSPUP00000004779	ENSSPUG00000003703	Sphenodon_punctatus
ENSXMAP00000032286	ENSXMAG00000021784	Xiphophorus_maculatus
ENSGGOP00000016831	ENSGGOG00000015946	Gorilla_gorilla
ENSPSIP00000015136	ENSPSIG00000013000	Pelodiscus_sinensis
ENSODEP00000010545	ENSODEG00000007867	Octodon_degus
ENSSMAP00000005902	ENSSMAG00000003561	Scophthalmus_maximus
ENSSARP00000000498	ENSSARG00000000533	Sorex_araneus
ENSPLAP00000004313	ENSPLAG00000006002	Poecilia_latipinna
ENSCMIP00000018769	ENSCMIG00000008813	Callorhinchus_milii
ENSCSEP00000019828	ENSCSEG00000012611	Cynoglossus_semilaevis
ENSOGAP00000003637	ENSOGAG00000004077	Otolemur_garnettii
ENSEEEP00000016177	ENSEEEG00000007865	Electrophorus_electricus
ENSCAFP00020001402	ENSCAFG00020000581	Canis_lupus_dingo
ENSBSLP00000006331	ENSBSLG00000003206	Betta_splendens
ENSNPEP00000005510	ENSNPEG00000003560	Nothoprocta_perdicaria	ENSNPET00000005647
ENSNSUP00000015400	ENSNSUG00000011366	Notechis_scutatus
ENSMUGP00000032360	ENSMUGG00000026901	Meriones_unguiculatus
ENSMEUP00000002148	ENSMEUG00000002309	Notamacropus_eugenii
ENSJHYP00000015040	ENSJHYG00000011582	Junco_hyemalis
ENSCJPP00005004067	ENSCJPG00005004119	Coturnix_japonica
ENSTGUP00000006118	ENSTGUG00000005918	Taeniopygia_guttata
ENSRROP00000016397	ENSRROG00000032345	Rhinopithecus_roxellana
ENSCAPP00000012957	ENSCAPG00000013653	Cavia_aperea
ENSHGLP00100020460	ENSHGLG00100015075	Heterocephalus_glaber_HetGla_1.0
ENSARWP00000024000	ENSARWG00000016290	Apteryx_rowi
ENSRBIP00000030175	ENSRBIG00000038956	Rhinopithecus_bieti
ENSSHAP00000009509	ENSSHAG00000008227	Sarcophilus_harrisii
ENSKMAP00000021810	ENSKMAG00000015985	Kryptolebias_marmoratus
ENSPCOP00000004907	ENSPCOG00000013257	Propithecus_coquereli
ENSBTAP00000019663	ENSBTAG00000014782	Bos_taurus
ENSSBOP00000033203	ENSSBOG00000032779	Saimiri_boliviensis_boliviensis
ENSHCOP00000024372	ENSHCOG00000013657	Hippocampus_comes
ENSCGRP00015029478	ENSCGRG00015022154	Cricetulus_griseus_CriGri-PICR
ENSSFOP00015020978	ENSSFOG00015013421	Scleropages_formosus
ENSPPYP00000015447	ENSPPYG00000013804	Pongo_abelii
ENSZALP00000022426	ENSZALG00000017422	Zonotrichia_albicollis
ENSCGRP00000021200	ENSCGRG00000015395	Cricetulus_griseus_CriGri_1.0
ENSCAFP00000013716	ENSCAFG00000009273	Canis_lupus_familiaris
ENSNVIP00000030256	ENSNVIG00000023305	Neovison_vison
ENSPNAP00000022548	ENSPNAG00000005656	Pygocentrus_nattereri
ENSMAMP00000000970	ENSMAMG00000000457	Mastacembelus_armatus
ENSGALP00000047027	ENSGALG00000043672	Gallus_gallus
ENSACAP00000006912	ENSACAG00000006988	Anolis_carolinensis	ENSACAT00000007063
ENSSDUP00000027348	ENSSDUG00000019551	Seriola_dumerili
ENSOARP00000002713	ENSOARG00000002553	Ovis_aries
ENSMUSP00000046199	ENSMUSG00000042286	Mus_musculus_strain_reference_(CL57BL6)
ENSMLUP00000014042	ENSMLUG00000015377	Myotis_lucifugus
ENSSTOP00000000307	ENSSTOG00000000330	Ictidomys_tridecemlineatus
ENSAMEP00000009160	ENSAMEG00000008575	Ailuropoda_melanoleuca
ENSLAFP00000011643	ENSLAFG00000013893	Loxodonta_africana
ENSSPUP00000004791	ENSSPUG00000003714	Sphenodon_punctatus	ENSSPUT00000005092
ENSANAP00000028070	ENSANAG00000031871	Aotus_nancymaae
ENSLCRP00005052270	ENSLCRG00005019537	Larimichthys_crocea
ENSPTRP00000025911	ENSPTRG00000015002	Pan_troglodytes
ENSSPUP00000004797	ENSSPUG00000003720	Sphenodon_punctatus	ENSSPUT00000005099
ENSHHUP00000070145	ENSHHUG00000041258	Hucho_hucho
ENSAPLP00000006448	ENSAPLG00000006699	Anas_platyrhynchos_platyrhynchos
ENSPSMP00000007907	ENSPSMG00000005864	Prolemur_simus
ENSCPOP00000016768	ENSCPOG00000021618	Cavia_porcellus
ENSPMEP00000032605	ENSPMEG00000020610	Poecilia_mexicana
ENSMMUP00000022847	ENSMMUG00000017351	Macaca_mulatta
ENSCPRP00005020216	ENSCPRG00005014062	Crocodylus_porosus
ENSSLDP00000008208	ENSSLDG00000006358	Seriola_lalandi_dorsalis
ENSBMUP00000009924	ENSBMUG00000007022	Bos_mutus
ENSJJAP00000000478	ENSJJAG00000000307	Jaculus_jaculus
ENSNGAP00000015773	ENSNGAG00000016620	Nannospalax_galili
ENSDARP00000086483	ENSDARG00000076484	Danio_rerio
ENSHHUP00000083437	ENSHHUG00000048423	Hucho_hucho
ENSLOCP00000012989	ENSLOCG00000010584	Lepisosteus_oculatus
ENSTGEP00000001899	ENSTGEG00000001707	Theropithecus_gelada
ENSCHIP00000027082	ENSCHIG00000023133	Capra_hircus
MGP_SPRETEiJ_P0037739	MGP_SPRETEiJ_G0019952	Mus_spretus_strain_SPRET/EiJ
ENSCVAP00000019236	ENSCVAG00000022577	Cyprinodon_variegatus
ENSOARP00000003774	ENSOARG00000003517	Ovis_aries
ENSSPUP00000004784	ENSSPUG00000003708	Sphenodon_punctatus	ENSSPUT00000005084
ENSCHAP00000046579	ENSCHAG00000021441	Clupea_harengus
ENSPKIP00000010500	ENSPKIG00000025195	Paramormyrops_kingsleyae
MGP_CAROLIEiJ_P0036037	MGP_CAROLIEiJ_G0019067	Mus_caroli_strain_CAROLI_EIJ
ENSMOCP00000022426	ENSMOCG00000019424	Microtus_ochrogaster
ENSOMEP00000003299	ENSOMEG00000000873	Oryzias_melastigma
ENSCHOP00000003784	ENSCHOG00000004255	Choloepus_hoffmanni
ENSCABP00000019207	ENSCABG00000014123	Chelonoidis_abingdonii
ENSORLP00020009367	ENSORLG00020010359	Oryzias_latipes_ASM223471v1
ENSUMAP00000029455	ENSUMAG00000021338	Ursus_maritimus
ENSPVAP00000011857	ENSPVAG00000012573	Pteropus_vampyrus
ENSGMOP00000004878	ENSGMOG00000004597	Gadus_morhua
ENSMGAP00000000507	ENSMGAG00000000964	Meleagris_gallopavo
ENSACLP00000007949	ENSACLG00000005183	Astatotilapia_calliptera
ENSOCUP00000026004	ENSOCUG00000028026	Oryctolagus_cuniculus
ENSPKIP00000021608	ENSPKIG00000005937	Paramormyrops_kingsleyae
ENSHHUP00000083442	ENSHHUG00000048425	Hucho_hucho
ENSBBBP00000021928	ENSBBBG00000003438	Bison_bison_bison
ENSRNOP00000025394	ENSRNOG00000018434	Rattus_norvegicus
